frequency_hz,quantity,row,col,label,real,imag,mag,phase_deg,unit
1.000000000000e0,Z,0,0,Z_aa,1.667244745712e-1,1.762571267776e-2,1.676535599635e-1,6.034757472222e0,ohm/km
1.000000000000e0,Z,0,1,Z_ab,7.133881665262e-4,1.087165953073e-2,1.089504032247e-2,8.624568669046e1,ohm/km
1.000000000000e0,Z,0,2,Z_ac,7.134924410623e-4,1.010116245476e-2,1.012632975964e-2,8.595964113761e1,ohm/km
1.000000000000e0,Z,1,0,Z_ba,7.133881665262e-4,1.087165953073e-2,1.089504032247e-2,8.624568669046e1,ohm/km
1.000000000000e0,Z,1,1,Z_bb,1.667242654669e-1,1.762580732530e-2,1.676533619685e-1,6.034797151798e0,ohm/km
1.000000000000e0,Z,1,2,Z_bc,7.133881665262e-4,1.087165953073e-2,1.089504032247e-2,8.624568669046e1,ohm/km
1.000000000000e0,Z,2,0,Z_ca,7.134924410623e-4,1.010116245476e-2,1.012632975964e-2,8.595964113761e1,ohm/km
1.000000000000e0,Z,2,1,Z_cb,7.133881665262e-4,1.087165953073e-2,1.089504032247e-2,8.624568669046e1,ohm/km
1.000000000000e0,Z,2,2,Z_cc,1.667244745712e-1,1.762571267776e-2,1.676535599635e-1,6.034757472222e0,ohm/km
1.000000000000e0,Y,0,0,Y_aa,0.000000000000e0,5.356420125724e-8,5.356420125724e-8,9.000000000000e1,S/km
1.000000000000e0,Y,0,1,Y_ab,0.000000000000e0,-1.597332330927e-8,1.597332330927e-8,-9.000000000000e1,S/km
1.000000000000e0,Y,0,2,Y_ac,0.000000000000e0,-9.263275898048e-9,9.263275898048e-9,-9.000000000000e1,S/km
1.000000000000e0,Y,1,0,Y_ba,0.000000000000e0,-1.597332330927e-8,1.597332330927e-8,-9.000000000000e1,S/km
1.000000000000e0,Y,1,1,Y_bb,0.000000000000e0,5.641514087791e-8,5.641514087791e-8,9.000000000000e1,S/km
1.000000000000e0,Y,1,2,Y_bc,0.000000000000e0,-1.597332330927e-8,1.597332330927e-8,-9.000000000000e1,S/km
1.000000000000e0,Y,2,0,Y_ca,0.000000000000e0,-9.263275898048e-9,9.263275898048e-9,-9.000000000000e1,S/km
1.000000000000e0,Y,2,1,Y_cb,0.000000000000e0,-1.597332330927e-8,1.597332330927e-8,-9.000000000000e1,S/km
1.000000000000e0,Y,2,2,Y_cc,0.000000000000e0,5.356420125724e-8,5.356420125724e-8,9.000000000000e1,S/km
1.012969575568e0,Z,0,0,Z_aa,1.667389811012e-1,1.784772288162e-2,1.676914697614e-1,6.109671109145e0,ohm/km
1.012969575568e0,Z,0,1,Z_ab,7.278799231040e-4,1.100607345386e-2,1.103011613966e-2,8.621628865969e1,ohm/km
1.012969575568e0,Z,0,2,Z_ac,7.279863856796e-4,1.022558250168e-2,1.025146339195e-2,8.592783174370e1,ohm/km
1.012969575568e0,Z,1,0,Z_ba,7.278799231040e-4,1.100607345386e-2,1.103011613966e-2,8.621628865969e1,ohm/km
1.012969575568e0,Z,1,1,Z_bb,1.667387676075e-1,1.784782047088e-2,1.676912678670e-1,6.109712027193e0,ohm/km
1.012969575568e0,Z,1,2,Z_bc,7.278799231040e-4,1.100607345386e-2,1.103011613966e-2,8.621628865969e1,ohm/km
1.012969575568e0,Z,2,0,Z_ca,7.279863856796e-4,1.022558250168e-2,1.025146339195e-2,8.592783174370e1,ohm/km
1.012969575568e0,Z,2,1,Z_cb,7.278799231040e-4,1.100607345386e-2,1.103011613966e-2,8.621628865969e1,ohm/km
1.012969575568e0,Z,2,2,Z_cc,1.667389811012e-1,1.784772288162e-2,1.676914697614e-1,6.109671109145e0,ohm/km
1.012969575568e0,Y,0,0,Y_aa,0.000000000000e0,5.425890621321e-8,5.425890621321e-8,9.000000000000e1,S/km
1.012969575568e0,Y,0,1,Y_ab,0.000000000000e0,-1.618049053301e-8,1.618049053301e-8,-9.000000000000e1,S/km
1.012969575568e0,Y,0,2,Y_ac,0.000000000000e0,-9.383416654819e-9,9.383416654819e-9,-9.000000000000e1,S/km
1.012969575568e0,Y,1,0,Y_ba,0.000000000000e0,-1.618049053301e-8,1.618049053301e-8,-9.000000000000e1,S/km
1.012969575568e0,Y,1,1,Y_bb,0.000000000000e0,5.714682131073e-8,5.714682131073e-8,9.000000000000e1,S/km
1.012969575568e0,Y,1,2,Y_bc,0.000000000000e0,-1.618049053301e-8,1.618049053301e-8,-9.000000000000e1,S/km
1.012969575568e0,Y,2,0,Y_ca,0.000000000000e0,-9.383416654819e-9,9.383416654819e-9,-9.000000000000e1,S/km
1.012969575568e0,Y,2,1,Y_cb,0.000000000000e0,-1.618049053301e-8,1.618049053301e-8,-9.000000000000e1,S/km
1.012969575568e0,Y,2,2,Y_cc,0.000000000000e0,5.425890621321e-8,5.425890621321e-8,9.000000000000e1,S/km
1.026107361027e0,Z,0,0,Z_aa,1.667537244992e-1,1.807245122730e-2,1.677301944425e-1,6.185465137218e0,ohm/km
1.026107361027e0,Z,0,1,Z_ab,7.426081803862e-4,1.114206945583e-2,1.116678909393e-2,8.618693090032e1,ohm/km
1.026107361027e0,Z,0,2,Z_ac,7.427168697861e-4,1.035145499008e-2,1.037806575236e-2,8.589606076521e1,ohm/km
1.026107361027e0,Z,1,0,Z_ba,7.426081803862e-4,1.114206945583e-2,1.116678909393e-2,8.618693090032e1,ohm/km
1.026107361027e0,Z,1,1,Z_bb,1.667535065382e-1,1.807255183853e-2,1.677299885910e-1,6.185507327723e0,ohm/km
1.026107361027e0,Z,1,2,Z_bc,7.426081803862e-4,1.114206945583e-2,1.116678909393e-2,8.618693090032e1,ohm/km
1.026107361027e0,Z,2,0,Z_ca,7.427168697861e-4,1.035145499008e-2,1.037806575236e-2,8.589606076521e1,ohm/km
1.026107361027e0,Z,2,1,Z_cb,7.426081803862e-4,1.114206945583e-2,1.116678909393e-2,8.618693090032e1,ohm/km
1.026107361027e0,Z,2,2,Z_cc,1.667537244992e-1,1.807245122730e-2,1.677301944425e-1,6.185465137218e0,ohm/km
1.026107361027e0,Y,0,0,Y_aa,0.000000000000e0,5.496262119760e-8,5.496262119760e-8,9.000000000000e1,S/km
1.026107361027e0,Y,0,1,Y_ab,0.000000000000e0,-1.639034462771e-8,1.639034462771e-8,-9.000000000000e1,S/km
1.026107361027e0,Y,0,2,Y_ac,0.000000000000e0,-9.505115586214e-9,9.505115586214e-9,-9.000000000000e1,S/km
1.026107361027e0,Y,1,0,Y_ba,0.000000000000e0,-1.639034462771e-8,1.639034462771e-8,-9.000000000000e1,S/km
1.026107361027e0,Y,1,1,Y_bb,0.000000000000e0,5.788799132822e-8,5.788799132822e-8,9.000000000000e1,S/km
1.026107361027e0,Y,1,2,Y_bc,0.000000000000e0,-1.639034462771e-8,1.639034462771e-8,-9.000000000000e1,S/km
1.026107361027e0,Y,2,0,Y_ca,0.000000000000e0,-9.505115586214e-9,9.505115586214e-9,-9.000000000000e1,S/km
1.026107361027e0,Y,2,1,Y_cb,0.000000000000e0,-1.639034462771e-8,1.639034462771e-8,-9.000000000000e1,S/km
1.026107361027e0,Y,2,2,Y_cc,0.000000000000e0,5.496262119760e-8,5.496262119760e-8,9.000000000000e1,S/km
1.039415537987e0,Z,0,0,Z_aa,1.667687070568e-1,1.829993022397e-2,1.677697502519e-1,6.262148918612e0,ohm/km
1.039415537987e0,Z,0,1,Z_ab,7.575752208424e-4,1.127966531202e-2,1.130507716765e-2,8.615761888234e1,ohm/km
1.039415537987e0,Z,0,2,Z_ac,7.576861763606e-4,1.047879601364e-2,1.050615316075e-2,8.586433404048e1,ohm/km
1.039415537987e0,Z,1,0,Z_ba,7.575752208424e-4,1.127966531202e-2,1.130507716765e-2,8.615761888234e1,ohm/km
1.039415537987e0,Z,1,1,Z_bb,1.667684845495e-1,1.830003393919e-2,1.677695403853e-1,6.262192416311e0,ohm/km
1.039415537987e0,Z,1,2,Z_bc,7.575752208424e-4,1.127966531202e-2,1.130507716765e-2,8.615761888234e1,ohm/km
1.039415537987e0,Z,2,0,Z_ca,7.576861763606e-4,1.047879601364e-2,1.050615316075e-2,8.586433404048e1,ohm/km
1.039415537987e0,Z,2,1,Z_cb,7.575752208424e-4,1.127966531202e-2,1.130507716765e-2,8.615761888234e1,ohm/km
1.039415537987e0,Z,2,2,Z_cc,1.667687070568e-1,1.829993022397e-2,1.677697502519e-1,6.262148918612e0,ohm/km
1.039415537987e0,Y,0,0,Y_aa,0.000000000000e0,5.567546306666e-8,5.567546306666e-8,9.000000000000e1,S/km
1.039415537987e0,Y,0,1,Y_ab,0.000000000000e0,-1.660292044095e-8,1.660292044095e-8,-9.000000000000e1,S/km
1.039415537987e0,Y,0,2,Y_ac,0.000000000000e0,-9.628392901096e-9,9.628392901096e-9,-9.000000000000e1,S/km
1.039415537987e0,Y,1,0,Y_ba,0.000000000000e0,-1.660292044095e-8,1.660292044095e-8,-9.000000000000e1,S/km
1.039415537987e0,Y,1,1,Y_bb,0.000000000000e0,5.863877400625e-8,5.863877400625e-8,9.000000000000e1,S/km
1.039415537987e0,Y,1,2,Y_bc,0.000000000000e0,-1.660292044095e-8,1.660292044095e-8,-9.000000000000e1,S/km
1.039415537987e0,Y,2,0,Y_ca,0.000000000000e0,-9.628392901096e-9,9.628392901096e-9,-9.000000000000e1,S/km
1.039415537987e0,Y,2,1,Y_cb,0.000000000000e0,-1.660292044095e-8,1.660292044095e-8,-9.000000000000e1,S/km
1.039415537987e0,Y,2,2,Y_cc,0.000000000000e0,5.567546306666e-8,5.567546306666e-8,9.000000000000e1,S/km
1.052896316354e0,Z,0,0,Z_aa,1.667839310582e-1,1.853019279250e-2,1.678101537576e-1,6.339731900091e0,ohm/km
1.052896316354e0,Z,0,1,Z_ab,7.727833195572e-4,1.141887901842e-2,1.144499856253e-2,8.612835806965e1,ohm/km
1.052896316354e0,Z,0,2,Z_ac,7.728965810016e-4,1.060762186482e-2,1.063574213452e-2,8.583265740309e1,ohm/km
1.052896316354e0,Z,1,0,Z_ba,7.727833195572e-4,1.141887901842e-2,1.144499856253e-2,8.612835806965e1,ohm/km
1.052896316354e0,Z,1,1,Z_bb,1.667837039248e-1,1.853029969553e-2,1.678099398178e-1,6.339776740486e0,ohm/km
1.052896316354e0,Z,1,2,Z_bc,7.727833195572e-4,1.141887901842e-2,1.144499856253e-2,8.612835806965e1,ohm/km
1.052896316354e0,Z,2,0,Z_ca,7.728965810016e-4,1.060762186482e-2,1.063574213452e-2,8.583265740309e1,ohm/km
1.052896316354e0,Z,2,1,Z_cb,7.727833195572e-4,1.141887901842e-2,1.144499856253e-2,8.612835806965e1,ohm/km
1.052896316354e0,Z,2,2,Z_cc,1.667839310582e-1,1.853019279250e-2,1.678101537576e-1,6.339731900091e0,ohm/km
1.052896316354e0,Y,0,0,Y_aa,0.000000000000e0,5.639755019221e-8,5.639755019221e-8,9.000000000000e1,S/km
1.052896316354e0,Y,0,1,Y_ab,0.000000000000e0,-1.681825327227e-8,1.681825327227e-8,-9.000000000000e1,S/km
1.052896316354e0,Y,0,2,Y_ac,0.000000000000e0,-9.753269070429e-9,9.753269070429e-9,-9.000000000000e1,S/km
1.052896316354e0,Y,1,0,Y_ba,0.000000000000e0,-1.681825327227e-8,1.681825327227e-8,-9.000000000000e1,S/km
1.052896316354e0,Y,1,1,Y_bb,0.000000000000e0,5.939929401697e-8,5.939929401697e-8,9.000000000000e1,S/km
1.052896316354e0,Y,1,2,Y_bc,0.000000000000e0,-1.681825327227e-8,1.681825327227e-8,-9.000000000000e1,S/km
1.052896316354e0,Y,2,0,Y_ca,0.000000000000e0,-9.753269070429e-9,9.753269070429e-9,-9.000000000000e1,S/km
1.052896316354e0,Y,2,1,Y_cb,0.000000000000e0,-1.681825327227e-8,1.681825327227e-8,-9.000000000000e1,S/km
1.052896316354e0,Y,2,2,Y_cc,0.000000000000e0,5.639755019221e-8,5.639755019221e-8,9.000000000000e1,S/km
1.066551934695e0,Z,0,0,Z_aa,1.667993987808e-1,1.876327227161e-2,1.678514218587e-1,6.418223613367e0,ohm/km
