freq_hz,raw_Z00_re,raw_Z00_im,raw_Z01_re,raw_Z01_im,raw_Z02_re,raw_Z02_im,raw_Z10_re,raw_Z10_im,raw_Z11_re,raw_Z11_im,raw_Z12_re,raw_Z12_im,raw_Z20_re,raw_Z20_im,raw_Z21_re,raw_Z21_im,raw_Z22_re,raw_Z22_im,fit_Z00_re,fit_Z00_im,fit_Z01_re,fit_Z01_im,fit_Z02_re,fit_Z02_im,fit_Z10_re,fit_Z10_im,fit_Z11_re,fit_Z11_im,fit_Z12_re,fit_Z12_im,fit_Z20_re,fit_Z20_im,fit_Z21_re,fit_Z21_im,fit_Z22_re,fit_Z22_im,raw_Y00_re,raw_Y00_im,raw_Y01_re,raw_Y01_im,raw_Y02_re,raw_Y02_im,raw_Y10_re,raw_Y10_im,raw_Y11_re,raw_Y11_im,raw_Y12_re,raw_Y12_im,raw_Y20_re,raw_Y20_im,raw_Y21_re,raw_Y21_im,raw_Y22_re,raw_Y22_im,fit_Y00_re,fit_Y00_im,fit_Y01_re,fit_Y01_im,fit_Y02_re,fit_Y02_im,fit_Y10_re,fit_Y10_im,fit_Y11_re,fit_Y11_im,fit_Y12_re,fit_Y12_im,fit_Y20_re,fit_Y20_im,fit_Y21_re,fit_Y21_im,fit_Y22_re,fit_Y22_im
1.000000000000000e+00,1.667244745712000e-04,1.762571267776000e-05,7.133881665261999e-07,1.087165953073000e-05,7.134924410623000e-07,1.010116245476000e-05,7.133881665261999e-07,1.087165953073000e-05,1.667242654669000e-04,1.762580732530000e-05,7.133881665261999e-07,1.087165953073000e-05,7.134924410623000e-07,1.010116245476000e-05,7.133881665261999e-07,1.087165953073000e-05,1.667244745712000e-04,1.762571267776000e-05,1.667410315722849e-04,1.763788543601470e-05,7.049566063447070e-07,1.085105963478318e-05,7.050374896598256e-07,1.008054012044764e-05,7.049566063447140e-07,1.085105963478318e-05,1.667407988138412e-04,1.763797905723068e-05,7.049566063447273e-07,1.085105963478317e-05,7.050374896598392e-07,1.008054012044764e-05,7.049566063447273e-07,1.085105963478317e-05,1.667410315722849e-04,1.763788543601470e-05,0.000000000000000e+00,5.356420125724000e-11,0.000000000000000e+00,-1.597332330927000e-11,0.000000000000000e+00,-9.263275898047999e-12,0.000000000000000e+00,-1.597332330927000e-11,0.000000000000000e+00,5.641514087791000e-11,0.000000000000000e+00,-1.597332330927000e-11,0.000000000000000e+00,-9.263275898047999e-12,0.000000000000000e+00,-1.597332330927000e-11,0.000000000000000e+00,5.356420125724000e-11,0.000000000000000e+00,5.356420125723881e-11,-0.000000000000000e+00,-1.597332330927280e-11,-0.000000000000000e+00,-9.263275898048228e-12,-0.000000000000000e+00,-1.597332330927280e-11,0.000000000000000e+00,5.641514087791520e-11,-0.000000000000000e+00,-1.597332330927280e-11,-0.000000000000000e+00,-9.263275898048228e-12,-0.000000000000000e+00,-1.597332330927280e-11,0.000000000000000e+00,5.356420125723894e-11
1.012969575568000e+00,1.667389811012000e-04,1.784772288162000e-05,7.278799231040000e-07,1.100607345386000e-05,7.279863856796001e-07,1.022558250168000e-05,7.278799231040000e-07,1.100607345386000e-05,1.667387676075000e-04,1.784782047088000e-05,7.278799231040000e-07,1.100607345386000e-05,7.279863856796001e-07,1.022558250168000e-05,7.278799231040000e-07,1.100607345386000e-05,1.667389811012000e-04,1.784772288162000e-05,1.667555236576643e-04,1.786086644611601e-05,7.193726134040899e-07,1.098604651559008e-05,7.194557464671664e-07,1.020553290331082e-05,7.193726134040967e-07,1.098604651559008e-05,1.667552866539151e-04,1.786096270632368e-05,7.193726134041102e-07,1.098604651559008e-05,7.194557464671800e-07,1.020553290331082e-05,7.193726134041102e-07,1.098604651559008e-05,1.667555236576643e-04,1.786086644611601e-05,0.000000000000000e+00,5.425890621321000e-11,0.000000000000000e+00,-1.618049053301000e-11,0.000000000000000e+00,-9.383416654819000e-12,0.000000000000000e+00,-1.618049053301000e-11,0.000000000000000e+00,5.714682131073000e-11,0.000000000000000e+00,-1.618049053301000e-11,0.000000000000000e+00,-9.383416654819000e-12,0.000000000000000e+00,-1.618049053301000e-11,0.000000000000000e+00,5.425890621321000e-11,0.000000000000000e+00,5.425890621318413e-11,-0.000000000000000e+00,-1.618049053300450e-11,-0.000000000000000e+00,-9.383416654815198e-12,-0.000000000000000e+00,-1.618049053300450e-11,0.000000000000000e+00,5.714682131071068e-11,-0.000000000000000e+00,-1.618049053300450e-11,-0.000000000000000e+00,-9.383416654815198e-12,-0.000000000000000e+00,-1.618049053300450e-11,0.000000000000000e+00,5.425890621318425e-11
1.026107361027000e+00,1.667537244992000e-04,1.807245122730000e-05,7.426081803861999e-07,1.114206945583000e-05,7.427168697860999e-07,1.035145499008000e-05,7.426081803861999e-07,1.114206945583000e-05,1.667535065382000e-04,1.807255183853000e-05,7.426081803861999e-07,1.114206945583000e-05,7.427168697860999e-07,1.035145499008000e-05,7.426081803861999e-07,1.114206945583000e-05,1.667537244992000e-04,1.807245122730000e-05,1.667702782124358e-04,1.808656948216826e-05,7.340496864131570e-07,1.112261499006365e-05,7.341351122455141e-07,1.033197763743479e-05,7.340496864131638e-07,1.112261499006365e-05,1.667700368808223e-04,1.808666845770955e-05,7.340496864131773e-07,1.112261499006365e-05,7.341351122455276e-07,1.033197763743479e-05,7.340496864131773e-07,1.112261499006365e-05,1.667702782124357e-04,1.808656948216826e-05,0.000000000000000e+00,5.496262119760000e-11,0.000000000000000e+00,-1.639034462771000e-11,0.000000000000000e+00,-9.505115586214000e-12,0.000000000000000e+00,-1.639034462771000e-11,0.000000000000000e+00,5.788799132822000e-11,0.000000000000000e+00,-1.639034462771000e-11,0.000000000000000e+00,-9.505115586214000e-12,0.000000000000000e+00,-1.639034462771000e-11,0.000000000000000e+00,5.496262119760000e-11,0.000000000000000e+00,5.496262119758443e-11,-0.000000000000000e+00,-1.639034462770898e-11,-0.000000000000000e+00,-9.505115586211281e-12,-0.000000000000000e+00,-1.639034462770898e-11,0.000000000000000e+00,5.788799132820399e-11,-0.000000000000000e+00,-1.639034462770898e-11,-0.000000000000000e+00,-9.505115586211281e-12,-0.000000000000000e+00,-1.639034462770898e-11,0.000000000000000e+00,5.496262119758455e-11
1.039415537987000e+00,1.667687070568000e-04,1.829993022397000e-05,7.575752208424000e-07,1.127966531202000e-05,7.576861763606000e-07,1.047879601364000e-05,7.575752208424000e-07,1.127966531202000e-05,1.667684845495000e-04,1.830003393919000e-05,7.575752208424000e-07,1.127966531202000e-05,7.576861763606000e-07,1.047879601364000e-05,7.575752208424000e-07,1.127966531202000e-05,1.667687070568000e-04,1.829993022397000e-05,1.667852978094051e-04,1.831502604170536e-05,7.489903828955995e-07,1.126078178218438e-05,7.490781450613125e-07,1.045988936487151e-05,7.489903828956063e-07,1.126078178218438e-05,1.667850520662587e-04,1.831512781086799e-05,7.489903828956198e-07,1.126078178218438e-05,7.490781450613260e-07,1.045988936487151e-05,7.489903828956198e-07,1.126078178218438e-05,1.667852978094051e-04,1.831502604170535e-05,0.000000000000000e+00,5.567546306666000e-11,0.000000000000000e+00,-1.660292044095000e-11,0.000000000000000e+00,-9.628392901095999e-12,0.000000000000000e+00,-1.660292044095000e-11,0.000000000000000e+00,5.863877400625000e-11,0.000000000000000e+00,-1.660292044095000e-11,0.000000000000000e+00,-9.628392901095999e-12,0.000000000000000e+00,-1.660292044095000e-11,0.000000000000000e+00,5.567546306666000e-11,0.000000000000000e+00,5.567546306663682e-11,-0.000000000000000e+00,-1.660292044094807e-11,-0.000000000000000e+00,-9.628392901091812e-12,-0.000000000000000e+00,-1.660292044094807e-11,0.000000000000000e+00,5.863877400623063e-11,-0.000000000000000e+00,-1.660292044094807e-11,-0.000000000000000e+00,-9.628392901091812e-12,-0.000000000000000e+00,-1.660292044094807e-11,0.000000000000000e+00,5.567546306663695e-11
1.052896316354000e+00,1.667839310582000e-04,1.853019279250000e-05,7.727833195572000e-07,1.141887901842000e-05,7.728965810016001e-07,1.060762186482000e-05,7.727833195572000e-07,1.141887901842000e-05,1.667837039248000e-04,1.853029969553000e-05,7.727833195572000e-07,1.141887901842000e-05,7.728965810016001e-07,1.060762186482000e-05,7.727833195572000e-07,1.141887901842000e-05,1.667839310582000e-04,1.853019279250000e-05,1.668005849694558e-04,1.854626800546025e-05,7.641972086344308e-07,1.140056380756680e-05,7.642873512383382e-07,1.058928329748830e-05,7.641972086344377e-07,1.140056380756680e-05,1.668003347299979e-04,1.854637264851025e-05,7.641972086344511e-07,1.140056380756681e-05,7.642873512383518e-07,1.058928329748830e-05,7.641972086344511e-07,1.140056380756681e-05,1.668005849694558e-04,1.854626800546026e-05,0.000000000000000e+00,5.639755019221000e-11,0.000000000000000e+00,-1.681825327227000e-11,0.000000000000000e+00,-9.753269070429001e-12,0.000000000000000e+00,-1.681825327227000e-11,0.000000000000000e+00,5.939929401697000e-11,0.000000000000000e+00,-1.681825327227000e-11,0.000000000000000e+00,-9.753269070429001e-12,0.000000000000000e+00,-1.681825327227000e-11,0.000000000000000e+00,5.639755019221000e-11,0.000000000000000e+00,5.639755019219104e-11,-0.000000000000000e+00,-1.681825327226481e-11,-0.000000000000000e+00,-9.753269070425772e-12,-0.000000000000000e+00,-1.681825327226481e-11,0.000000000000000e+00,5.939929401694887e-11,-0.000000000000000e+00,-1.681825327226481e-11,-0.000000000000000e+00,-9.753269070425772e-12,-0.000000000000000e+00,-1.681825327226481e-11,0.000000000000000e+00,5.639755019219116e-11
1.066551934695000e+00,1.667993987808000e-04,1.876327227161000e-05,7.882347441960999e-07,1.155972879531000e-05,7.883503518931000e-07,1.073794903831000e-05,7.882347441960999e-07,1.155972879531000e-05,1.667991669402000e-04,1.876338244807000e-05,7.882347441960999e-07,1.155972879531000e-05,7.883503518931000e-07,1.073794903831000e-05,7.882347441960999e-07,1.155972879531000e-05,1.667993987808000e-04,1.876327227161000e-05,1.668161421592160e-04,1.878032764520944e-05,7.796726153479331e-07,1.154197817881528e-05,7.797651830334617e-07,1.072017482204254e-05,7.796726153479400e-07,1.154197817881528e-05,1.668158873375586e-04,1.878043524442341e-05,7.796726153479534e-07,1.154197817881528e-05,7.797651830334752e-07,1.072017482204254e-05,7.796726153479534e-07,1.154197817881528e-05,1.668161421592160e-04,1.878032764520945e-05,0.000000000000000e+00,5.712900248130000e-11,0.000000000000000e+00,-1.703637887901000e-11,0.000000000000000e+00,-9.879764830677000e-12,0.000000000000000e+00,-1.703637887901000e-11,0.000000000000000e+00,6.016967764943001e-11,0.000000000000000e+00,-1.703637887901000e-11,0.000000000000000e+00,-9.879764830677000e-12,0.000000000000000e+00,-1.703637887901000e-11,0.000000000000000e+00,5.712900248130000e-11,0.000000000000000e+00,5.712900248130041e-11,-0.000000000000000e+00,-1.703637887901364e-11,-0.000000000000000e+00,-9.879764830676903e-12,-0.000000000000000e+00,-1.703637887901364e-11,0.000000000000000e+00,6.016967764943144e-11,-0.000000000000000e+00,-1.703637887901364e-11,-0.000000000000000e+00,-9.879764830676903e-12,-0.000000000000000e+00,-1.703637887901364e-11,0.000000000000000e+00,5.712900248130054e-11
1.080384660610000e+00,1.668151124946000e-04,1.899920242410000e-05,8.039317550039999e-07,1.170223309096000e-05,8.040497498033000e-07,1.086979423437000e-05,8.039317550039999e-07,1.170223309096000e-05,1.668148758648000e-04,1.899931596146000e-05,8.039317550039999e-07,1.170223309096000e-05,8.040497498033000e-07,1.086979423437000e-05,8.039317550039999e-07,1.170223309096000e-05,1.668151124946000e-04,1.899920242410000e-05,1.668319717888086e-04,1.901723763189250e-05,7.954189984469891e-07,1.168504221110660e-05,7.955140363938062e-07,1.085257950547784e-05,7.954189984469959e-07,1.168504221110660e-05,1.668317122979553e-04,1.901734827158964e-05,7.954189984470094e-07,1.168504221110660e-05,7.955140363938197e-07,1.085257950547784e-05,7.954189984470094e-07,1.168504221110660e-05,1.668319717888085e-04,1.901723763189250e-05,0.000000000000000e+00,5.786994139613000e-11,0.000000000000000e+00,-1.725733348230000e-11,0.000000000000000e+00,-1.000790118725000e-11,0.000000000000000e+00,-1.725733348230000e-11,0.000000000000000e+00,6.095005283062999e-11,0.000000000000000e+00,-1.725733348230000e-11,0.000000000000000e+00,-1.000790118725000e-11,0.000000000000000e+00,-1.725733348230000e-11,0.000000000000000e+00,5.786994139613000e-11,0.000000000000000e+00,5.786994139614769e-11,-0.000000000000000e+00,-1.725733348230249e-11,-0.000000000000000e+00,-1.000790118724963e-11,-0.000000000000000e+00,-1.725733348230249e-11,0.000000000000000e+00,6.095005283065174e-11,-0.000000000000000e+00,-1.725733348230249e-11,-0.000000000000000e+00,-1.000790118724963e-11,-0.000000000000000e+00,-1.725733348230249e-11,0.000000000000000e+00,5.786994139614782e-11
1.094396791108000e+00,1.668310744624000e-04,1.923801744313000e-05,8.198766048375000e-07,1.184641058542000e-05,8.199970281177001e-07,1.100317436239000e-05,8.198766048375000e-07,1.184641058542000e-05,1.668308329603000e-04,1.923813443074000e-05,8.198766048375000e-07,1.184641058542000e-05,8.199970281177001e-07,1.100317436239000e-05,8.198766048375000e-07,1.184641058542000e-05,1.668310744624000e-04,1.923801744313000e-05,1.668480762096896e-04,1.925703104395483e-05,8.114386948810230e-07,1.182977342796752e-05,8.115362488025358e-07,1.098651310041207e-05,8.114386948810299e-07,1.182977342796752e-05,1.668478119615363e-04,1.925714481052862e-05,8.114386948810434e-07,1.182977342796752e-05,8.115362488025494e-07,1.098651310041207e-05,8.114386948810434e-07,1.182977342796752e-05,1.668480762096895e-04,1.925703104395484e-05,0.000000000000000e+00,5.862048997420999e-11,0.000000000000000e+00,-1.748115377301000e-11,0.000000000000000e+00,-1.013769941798000e-11,0.000000000000000e+00,-1.748115377301000e-11,0.000000000000000e+00,6.174054914672001e-11,0.000000000000000e+00,-1.748115377301000e-11,0.000000000000000e+00,-1.013769941798000e-11,0.000000000000000e+00,-1.748115377301000e-11,0.000000000000000e+00,5.862048997420999e-11,0.000000000000000e+00,5.862048997418526e-11,-0.000000000000000e+00,-1.748115377299877e-11,-0.000000000000000e+00,-1.013769941797206e-11,-0.000000000000000e+00,-1.748115377299877e-11,0.000000000000000e+00,6.174054914669615e-11,-0.000000000000000e+00,-1.748115377299877e-11,-0.000000000000000e+00,-1.013769941797206e-11,-0.000000000000000e+00,-1.748115377299877e-11,0.000000000000000e+00,5.862048997418538e-11
1.108590652993000e+00,1.668472869401000e-04,1.947975195863000e-05,8.360715392306001e-07,1.199228019427000e-05,8.361944329038000e-07,1.113810654433000e-05,8.360715392306001e-07,1.199228019427000e-05,1.668470404815000e-04,1.947987248772000e-05,8.360715392306001e-07,1.199228019427000e-05,8.361944329038000e-07,1.113810654433000e-05,8.360715392306001e-07,1.199228019427000e-05,1.668472869401000e-04,1.947975195863000e-05,1.668644577125946e-04,1.949974137601490e-05,8.277339810902148e-07,1.197618956730810e-05,8.278340972309315e-07,1.112199155087355e-05,8.277339810902218e-07,1.197618956730811e-05,1.668641886179302e-04,1.949985835796447e-05,8.277339810902351e-07,1.197618956730810e-05,8.278340972309451e-07,1.112199155087355e-05,8.277339810902351e-07,1.197618956730810e-05,1.668644577125945e-04,1.949974137601491e-05,0.000000000000000e+00,5.938077284878999e-11,0.000000000000000e+00,-1.770787691789000e-11,0.000000000000000e+00,-1.026918107667000e-11,0.000000000000000e+00,-1.770787691789000e-11,0.000000000000000e+00,6.254129786451000e-11,0.000000000000000e+00,-1.770787691789000e-11,0.000000000000000e+00,-1.026918107667000e-11,0.000000000000000e+00,-1.770787691789000e-11,0.000000000000000e+00,5.938077284878999e-11,0.000000000000000e+00,5.938077284881084e-11,-0.000000000000000e+00,-1.770787691789504e-11,-0.000000000000000e+00,-1.026918107667160e-11,-0.000000000000000e+00,-1.770787691789504e-11,0.000000000000000e+00,6.254129786454010e-11,-0.000000000000000e+00,-1.770787691789504e-11,-0.000000000000000e+00,-1.026918107667160e-11,-0.000000000000000e+00,-1.770787691789504e-11,0.000000000000000e+00,5.938077284881098e-11
1.122968603241000e+00,1.668637521766000e-04,1.972444104369000e-05,8.525187964936001e-07,1.213986107250000e-05,8.526442030112000e-07,1.127460811827000e-05,8.525187964936001e-07,1.213986107250000e-05,1.668635006762000e-04,1.972456520743000e-05,8.525187964936001e-07,1.213986107250000e-05,8.526442030112000e-07,1.127460811827000e-05,8.525187964936001e-07,1.213986107250000e-05,1.668637521766000e-04,1.972444104369000e-05,1.668811185255804e-04,1.974540254752908e-05,8.443070710532177e-07,1.212430858751281e-05,8.444097961859876e-07,1.125903099810188e-05,8.443070710532246e-07,1.212430858751281e-05,1.668808444940886e-04,1.974552283549014e-05,8.443070710532381e-07,1.212430858751281e-05,8.444097961860011e-07,1.125903099810188e-05,8.443070710532381e-07,1.212430858751281e-05,1.668811185255803e-04,1.974540254752909e-05,0.000000000000000e+00,6.015091626956000e-11,0.000000000000000e+00,-1.793754056573000e-11,0.000000000000000e+00,-1.040236799667000e-11,0.000000000000000e+00,-1.793754056573000e-11,0.000000000000000e+00,6.335243195332000e-11,0.000000000000000e+00,-1.793754056573000e-11,0.000000000000000e+00,-1.040236799667000e-11,0.000000000000000e+00,-1.793754056573000e-11,0.000000000000000e+00,6.015091626956000e-11,0.000000000000000e+00,6.015091626956129e-11,-0.000000000000000e+00,-1.793754056573098e-11,-0.000000000000000e+00,-1.040236799666724e-11,-0.000000000000000e+00,-1.793754056573098e-11,0.000000000000000e+00,6.335243195331667e-11,-0.000000000000000e+00,-1.793754056573098e-11,-0.000000000000000e+00,-1.040236799666724e-11,-0.000000000000000e+00,-1.793754056573098e-11,0.000000000000000e+00,6.015091626956142e-11
