t sa_top sb_top sc_top sa_bottom sb_bottom sc_bottom
-0.0001500000 0.0000000000 0.0000000000 0.9996196742 0.4255853535 0.2725392755 0.7987369196
-0.0001358583 0.0000000000 0.0000000000 0.9919938106 0.4270418508 0.2713952036 0.7984441946
-0.0001217167 0.0000000000 0.0000000000 0.8538225331 0.4284998430 0.2702586381 0.7981425215
-0.0001075750 0.0000000001 0.0000000001 0.2159039244 0.4299592981 0.2691337210 0.7978318975
-0.0000934333 0.0000000017 0.0000000017 0.0128142813 0.4314201838 0.2680237518 0.7975123199
-0.0000792917 0.0000000365 0.0000000365 0.0006115889 0.4328824680 0.2669213772 0.7971837865
-0.0000651500 0.0000007735 0.0000007735 0.0000296198 0.4343461185 0.2658266266 0.7968462953
-0.0000510083 0.0000164068 0.0000164068 0.0000177667 0.4358111032 0.2647395292 0.7964998444
-0.0000368667 0.0003479165 0.0003479165 0.0003479806 0.4372773896 0.2636601140 0.7961444325
-0.0000227250 0.0073287105 0.0073287105 0.0073287135 0.4387449457 0.2625884093 0.7957800583
-0.0000085833 0.1354039349 0.1354039349 0.1354039350 0.4402137391 0.2615244432 0.7954067209
0.0000055583 0.7686315030 0.7686315030 0.7686315030 0.4416837376 0.2604682433 0.7950244199
0.0000197000 0.9860082934 0.9860082934 0.9860082934 0.4431549088 0.2594198369 0.7946331548
0.0000338417 0.9993314964 0.9993314964 0.9993314964 0.4446272204 0.2583792509 0.7942329256
0.0000479833 0.9999684656 0.9999684656 0.9999684656 0.4461006402 0.2573465117 0.7938237328
0.0000621250 0.9999985134 0.9999985133 0.9999985134 0.4475751357 0.2563216455 0.7934055767
0.0000762667 0.9999999299 0.9999999285 0.9999999299 0.4490506746 0.2553046779 0.7929784585
0.0000904083 0.9999999967 0.9999999670 0.9999999967 0.4505272246 0.2542956343 0.7925423791
0.0001045500 0.9999999998 0.9999993706 0.9999999998 0.4520047532 0.2532945396 0.7920973401
0.0001186917 1.0000000000 0.9999866524 1.0000000000 0.4534832281 0.2523014184 0.7916433433
0.0001328333 1.0000000000 0.9997169379 1.0000000000 0.4549626170 0.2513162948 0.7911803909
0.0001469750 1.0000000000 0.9940296485 1.0000000000 0.4564428873 0.2503391925 0.7907084851
0.0001611167 1.0000000000 0.8869903848 1.0000000000 0.4579240068 0.2493701350 0.7902276287
0.0001752583 1.0000000000 0.2700756560 1.0000000000 0.4594059429 0.2484091453 0.7897378247
0.0001894000 1.0000000000 0.0171435888 1.0000000000 0.4608886634 0.2474562459 0.7892390764
0.0002035417 1.0000000000 0.0008215969 1.0000000000 0.4623721356 0.2465114591 0.7887313876
0.0002176833 1.0000000000 0.0000387617 1.0000000000 0.4638563273 0.2455748068 0.7882147620
0.0002318250 1.0000000000 0.0000018274 1.0000000000 0.4653412060 0.2446463104 0.7876892040
0.0002459667 1.0000000000 0.0000000861 1.0000000000 0.4668267393 0.2437259909 0.7871547182
0.0002601083 1.0000000000 0.0000000041 1.0000000000 0.4683128947 0.2428138690 0.7866113095
0.0002742500 1.0000000000 0.0000000002 1.0000000000 0.4697996398 0.2419099652 0.7860589830
0.0002883917 1.0000000000 0.0000000000 1.0000000000 0.4712869421 0.2410142992 0.7854977443
0.0003025333 1.0000000000 0.0000000000 1.0000000000 0.4727747692 0.2401268906 0.7849275992
0.0003166750 1.0000000000 0.0000000000 1.0000000000 0.4742630887 0.2392477586 0.7843485540
0.0003308167 1.0000000000 0.0000000000 1.0000000000 0.4757518680 0.2383769219 0.7837606150
0.0003449583 1.0000000000 0.0000000000 1.0000000000 0.4772410747 0.2375143990 0.7831637892
0.0003591000 1.0000000000 0.0000000000 1.0000000000 0.4787306764 0.2366602079 0.7825580836
0.0003732417 1.0000000000 0.0000000000 1.0000000000 0.4802206405 0.2358143662 0.7819435057
0.0003873833 1.0000000000 0.0000000000 1.0000000000 0.4817109347 0.2349768911 0.7813200633
0.0004015250 1.0000000000 0.0000000000 1.0000000000 0.4832015263 0.2341477997 0.7806877645
0.0004156667 1.0000000000 0.0000000000 1.0000000000 0.4846923830 0.2333271082 0.7800466178
0.0004298083 1.0000000000 0.0000000000 1.0000000000 0.4861834722 0.2325148330 0.7793966320
0.0004439500 1.0000000000 0.0000000000 1.0000000000 0.4876747615 0.2317109896 0.7787378161
0.0004580917 0.9999999993 0.0000000000 1.0000000000 0.4891662182 0.2309155936 0.7780701796
0.0004722333 0.9999999847 0.0000000000 1.0000000000 0.4906578100 0.2301286600 0.7773937322
0.0004863750 0.9999996762 0.0000000000 1.0000000000 0.4921495043 0.2293502032 0.7767084841
0.0005005167 0.9999931304 0.0000000000 1.0000000000 0.4936412684 0.2285802377 0.7760144457
0.0005146583 0.9998542978 0.0000000000 1.0000000000 0.4951330700 0.2278187773 0.7753116277
0.0005288000 0.9969183386 0.0000000000 1.0000000000 0.4966248764 0.2270658354 0.7746000414
