time,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,minimum,maximum
0.00826388889,-3.34457212e-07,-3.34457212e-07,-3.34457212e-07,-3.34457212e-07,6.54559017e-09,6.54559017e-09,6.80626772e-09,6.72499466e-09,6.35171175e-09,6.35171175e-09,6.7692736e-09,6.78373989e-09,-2.69892351e-07,-2.74243124e-07,-2.74243124e-07,-2.74243124e-07,-2.7435553e-07,-2.69892351e-07,-8.42763567e-08,-8.42988451e-08,-8.43162362e-08,-8.51083868e-08,-8.42797139e-08,-8.62601071e-08,-6.96785419e-07,-6.97135556e-07,-6.96785419e-07,-6.98243367e-07,-3.92186815e-07,-3.90967937e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.98243367e-07,6.80626772e-09
0.0249305556,-4.60789569e-06,-4.60789569e-06,-4.60789569e-06,-4.60789569e-06,-1.09887009e-06,-1.09887009e-06,-1.09904932e-06,-1.09902438e-06,-1.09884478e-06,-1.09884478e-06,-1.09905941e-06,-1.09906681e-06,-5.02445893e-06,-4.99506854e-06,-4.99506854e-06,-4.99506854e-06,-4.99409318e-06,-5.02445893e-06,-1.27472026e-06,-1.27506245e-06,-1.27532708e-06,-1.28118407e-06,-1.27477136e-06,-1.28760781e-06,-6.1066094e-06,-6.12480171e-06,-6.1066094e-06,-6.1888905e-06,-5.85629209e-06,-5.87249126e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.1888905e-06,-1.09884478e-06
0.0415972222,-1.08146134e-05,-1.08146134e-05,-1.08146134e-05,-1.08146134e-05,-3.08164439e-06,-3.08164439e-06,-3.08630649e-06,-3.08494047e-06,-3.07837532e-06,-3.07837532e-06,-3.08573892e-06,-3.08598912e-06,-1.23987825e-05,-1.22329425e-05,-1.22329425e-05,-1.22329425e-05,-1.22277844e-05,-1.23987825e-05,-3.21093408e-06,-3.21177631e-06,-3.21242766e-06,-3.21243509e-06,-3.21105984e-06,-3.20103678e-06,-1.30748445e-05,-1.31453974e-05,-1.30748445e-05,-1.33956669e-05,-1.40614203e-05,-1.41737608e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41737608e-05,-3.07837532e-06
0.0582638889,-1.66293261e-05,-1.66293261e-05,-1.66293261e-05,-1.66293261e-05,-5.31025014e-06,-5.31025014e-06,-5.32442559e-06,-5.32015667e-06,-5.29989633e-06,-5.29989633e-06,-5.32256664e-06,-5.32333676e-06,-1.95402872e-05,-1.91620895e-05,-1.91620895e-05,-1.91620895e-05,-1.91505196e-05,-1.95402872e-05,-5.34126574e-06,-5.34259337e-06,-5.34362018e-06,-5.31351628e-06,-5.34146399e-06,-5.24035315e-06,-1.88864032e-05,-1.90290006e-05,-1.88864032e-05,-1.95366243e-05,-2.14403222e-05,-2.17322234e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17322234e-05,-5.24035315e-06
0.0749305556,-2.12487916e-05,-2.12487916e-05,-2.12487916e-05,-2.12487916e-05,-7.50519682e-06,-7.50519682e-06,-7.53240695e-06,-7.52413448e-06,-7.485038e-06,-7.485038e-06,-7.52874815e-06,-7.5302327e-06,-2.51895402e-05,-2.45877059e-05,-2.45877059e-05,-2.45877059e-05,-2.45694304e-05,-2.51895402e-05,-7.45755286e-06,-7.45927109e-06,-7.46060006e-06,-7.37831755e-06,-7.45780943e-06,-7.20397138e-06,-2.28685057e-05,-2.30810103e-05,-2.28685057e-05,-2.38387809e-05,-2.64168585e-05,-2.69174176e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69174176e-05,-7.20397138e-06
0.0915972222,-2.4452219e-05,-2.4452219e-05,-2.4452219e-05,-2.4452219e-05,-9.5610028e-06,-9.5610028e-06,-9.60290314e-06,-9.59010408e-06,-9.52972739e-06,-9.52972739e-06,-9.59719822e-06,-9.59948892e-06,-2.88918834e-05,-2.81139326e-05,-2.81139326e-05,-2.81139326e-05,-2.80903885e-05,-2.88918834e-05,-9.4890234e-06,-9.49101483e-06,-9.49255518e-06,-9.34343585e-06,-9.48932076e-06,-9.04168312e-06,-2.51028001e-05,-2.5367338e-05,-2.51028001e-05,-2.63105711e-05,-2.85307983e-05,-2.92005502e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92005502e-05,-9.04168312e-06
0.108263889,-2.62500294e-05,-2.62500294e-05,-2.62500294e-05,-2.62500294e-05,-1.14513767e-05,-1.14513767e-05,-1.1508096e-05,-1.14907218e-05,-1.14088325e-05,-1.14088325e-05,-1.15003153e-05,-1.15034197e-05,-3.06013935e-05,-2.97349068e-05,-2.97349068e-05,-2.97349068e-05,-2.9708697e-05,-3.06013935e-05,-1.14138529e-05,-1.14160017e-05,-1.1417664e-05,-1.11948655e-05,-1.14141737e-05,-1.07532973e-05,-2.58986181e-05,-2.61891124e-05,-2.58986181e-05,-2.72225583e-05,-2.7962233e-05,-2.87049442e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06013935e-05,-1.07532973e-05
0.124930556,-2.67470467e-05,-2.67470467e-05,-2.67470467e-05,-2.67470467e-05,-1.31788802e-05,-1.31788802e-05,-1.32494509e-05,-1.32277944e-05,-1.31257505e-05,-1.31257505e-05,-1.32397213e-05,-1.32435863e-05,-3.04780893e-05,-2.96306905e-05,-2.96306905e-05,-2.96306905e-05,-2.96049943e-05,-3.04780893e-05,-1.32205348e-05,-1.32227341e-05,-1.32244355e-05,-1.29277592e-05,-1.32208632e-05,-1.23456927e-05,-2.5588859e-05,-2.58769043e-05,-2.5588859e-05,-2.68962071e-05,-2.52444109e-05,-2.59320208e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04780893e-05,-1.23456927e-05
0.141597222,-2.60893286e-05,-2.60893286e-05,-2.60893286e-05,-2.60893286e-05,-1.47498838e-05,-1.47498838e-05,-1.48325781e-05,-1.4807169e-05,-1.46874335e-05,-1.46874335e-05,-1.48211351e-05,-1.48256657e-05,-2.87821523e-05,-2.80640833e-05,-2.80640833e-05,-2.80640833e-05,-2.80421487e-05,-2.87821523e-05,-1.48925873e-05,-1.48947387e-05,-1.48964031e-05,-1.45309275e-05,-1.48929085e-05,-1.381699e-05,-2.44607027e-05,-2.47194711e-05,-2.44607027e-05,-2.56257467e-05,-2.10741398e-05,-2.15758953e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87821523e-05,-1.381699e-05
0.158263889,-2.44458087e-05,-2.44458087e-05,-2.44458087e-05,-2.44458087e-05,-1.61645094e-05,-1.61645094e-05,-1.62570595e-05,-1.62285959e-05,-1.60944171e-05,-1.60944171e-05,-1.62442161e-05,-1.62492875e-05,-2.58202352e-05,-2.53304876e-05,-2.53304876e-05,-2.53304876e-05,-2.53152312e-05,-2.58202352e-05,-1.64053524e-05,-1.64073642e-05,-1.64089208e-05,-1.59838818e-05,-1.64056528e-05,-1.51540507e-05,-2.27431876e-05,-2.29497859e-05,-2.27431876e-05,-2.36586242e-05,-1.61825797e-05,-1.63919109e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58202352e-05,-1.51540507e-05
