time,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,minimum,maximum
0.00826388889,0.0250332836,0.0250332836,0.0250332836,0.0250332836,0.692026187,0.692026187,0.475879016,0.470606745,0.444867332,0.444867332,0.435690599,0.431432583,0.0724440878,0.0606223179,0.0606223179,0.0606223179,0.0603117441,0.0724440878,0.580046821,0.280022633,0.200016179,0.670114927,0.500040383,0.562237033,0.0200795927,0.0210911207,0.0200795927,0.0248868335,0.584243756,0.68579877,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.562,0.02,0.02101,0.02,0.0248,0.5832421,0.6848,-0.00072131263,0.00100165601
0.0249305556,0.0250838056,0.0250838056,0.0250838056,0.0250838056,0.692886669,0.692886669,0.476453908,0.471180367,0.445432656,0.445432656,0.436219077,0.431955066,0.0726867789,0.0608598469,0.0608598469,0.0608598469,0.0605491197,0.0726867789,0.580467803,0.280225937,0.200161437,0.670753066,0.500403318,0.56311963,0.0201595601,0.0211717627,0.0201595601,0.024969887,0.585740901,0.687137447,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.562,0.02,0.02101,0.02,0.0248,0.5832421,0.6848,7.39357456e-05,0.00249880051
0.0415972222,0.0250893788,0.0250893788,0.0250893788,0.0250893788,0.693207383,0.693207383,0.476670383,0.471395678,0.445641702,0.445641702,0.436417785,0.43215163,0.0727297722,0.060897484,0.060897484,0.060897484,0.0605865993,0.0727297722,0.58063137,0.280304913,0.200217855,0.670977444,0.500544327,0.563381816,0.0201548366,0.0211676503,0.0201548366,0.0249679772,0.585905038,0.687312739,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.562,0.02,0.02101,0.02,0.0248,0.5832421,0.6848,8.9378788e-05,0.0026629381
0.0582638889,0.0250781573,0.0250781573,0.0250781573,0.0250781573,0.69325711,0.69325711,0.476705581,0.471430184,0.445672879,0.445672879,0.436449881,0.43218346,0.0726812489,0.0608465727,0.0608465727,0.0608465727,0.0605356198,0.0726812489,0.580658492,0.280317994,0.200227191,0.671001312,0.500567705,0.56337667,0.020123915,0.0211369031,0.020123915,0.0249378737,0.585386349,0.686866098,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.562,0.02,0.02101,0.02,0.0248,0.5832421,0.6848,7.81572534e-05,0.0021442491
0.0749305556,0.0250615088,0.0250615088,0.0250615088,0.0250615088,0.693194664,0.693194664,0.476665074,0.471389388,0.445630928,0.445630928,0.436412483,0.432146548,0.0725951406,0.0607613466,0.0607613466,0.0607613466,0.060450422,0.0725951406,0.580636239,0.280307229,0.20021949,0.670956998,0.500548515,0.563290628,0.0200896849,0.0211024721,0.0200896849,0.0249027251,0.584603602,0.686164785,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.562000039,0.02,0.02101,0.02,0.0248,0.5832421,0.6848,6.15087656e-05,0.00136478461
0.0915972222,0.025043905,0.025043905,0.025043905,0.025043905,0.693096183,0.693096183,0.476599759,0.471324066,0.44556585,0.44556585,0.436352376,0.432087147,0.072498843,0.0606684125,0.0606684125,0.0606684125,0.0603575887,0.072498843,0.580598511,0.280288992,0.200206451,0.670895005,0.500515984,0.563192716,0.020059961,0.021072322,0.020059961,0.0248710252,0.583795933,0.685423628,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.56200004,0.02,0.02101,0.02,0.0248,0.5832421,0.6848,4.39050365e-05,0.00119267554
0.108263889,0.0250271437,0.0250271437,0.0250271437,0.0250271437,0.69299351,0.69299351,0.476531087,0.471255568,0.445498438,0.445498438,0.436289255,0.432024739,0.072406228,0.0605806349,0.0605806349,0.0605806349,0.0602699543,0.072406228,0.580555658,0.280268283,0.200191647,0.67082988,0.500479037,0.563100851,0.0200365221,0.0210483623,0.0200365221,0.0248451565,0.583099215,0.684769638,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533193,0.44533193,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.56200004,0.02,0.02101,0.02,0.0248,0.58324206,0.6848,-0.000142844929,0.00110081129
0.124930556,0.0250119731,0.0250119731,0.0250119731,0.0250119731,0.692895381,0.692895381,0.47646506,0.47118983,0.445434303,0.445434303,0.436228618,0.431964766,0.0723241464,0.0605039376,0.0605039376,0.0605039376,0.0601934157,0.0723241464,0.580507919,0.280245217,0.20017516,0.670761066,0.500437877,0.563012201,0.0200189172,0.0210302333,0.0200189172,0.0248250976,0.5825838,0.68427321,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533187,0.44533187,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.56200004,0.02,0.02101,0.02,0.0248,0.58324206,0.6848,-0.000658259896,0.00101216062
0.141597222,0.024998755,0.024998755,0.024998755,0.024998755,0.692800265,0.692800265,0.476400781,0.471125919,0.445372348,0.445372348,0.436169622,0.431906403,0.0722559051,0.0604408631,0.0604408631,0.0604408631,0.0601304931,0.0722559051,0.580452272,0.280218335,0.200155949,0.670683354,0.5003899,0.562918032,0.0200060993,0.0210169457,0.0200060993,0.0248100763,0.582275874,0.68396529,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533187,0.44533187,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.56200004,0.02,0.02101,0.02,0.0248,0.58324206,0.6848,-0.000966186001,0.000917991715
0.158263889,0.0249877255,0.0249877255,0.0249877255,0.0249877255,0.692702955,0.692702955,0.476334847,0.471060414,0.445309096,0.445309096,0.43610913,0.431846551,0.0722029329,0.0603922585,0.0603922585,0.0603922585,0.060082017,0.0722029329,0.580385675,0.280186167,0.200132962,0.670591731,0.500332485,0.562810396,0.0199970313,0.0210074949,0.0199970313,0.0247992141,0.582171183,0.683848341,0.025,0.025,0.025,0.025,0.6927475,0.6927475,0.47637367,0.4710963,0.44533187,0.44533187,0.43614364,0.43188113,0.0722,0.060399998,0.060399998,0.060399998,0.06009,0.0722,0.58,0.28,0.2,0.67,0.5,0.56200004,0.02,0.02101,0.02,0.0248,0.58324206,0.6848,-0.00107087739,0.000810356022
