omega,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,-7.0710678118653914e-01,-7.9936057773011271e-15,-4.2367935683377095e-01,1.5158662280220836e-02,5.7380894408298999e-01,1.1823945316842353e-02,7.0710678118655579e-01,5.5511151231257827e-17,-4.2367935683375391e-01,1.5158662280229745e-02,5.7380894408298866e-01,1.1823945316843130e-02,-1.4155636462048471e-14,5.7368081094995243e-15,8.0033245286043930e-01,0.0000000000000000e+00,5.8412924940891187e-01,0.0000000000000000e+00,-7.0710678118654202e-01,-6.3101216565660031e-15,-4.1326666791868039e-01,-3.5581207045731408e-04,5.6622866661017113e-01,4.8750845363514442e-04,7.0710678118655301e-01,1.7360007359162159e-15,-4.1326666791865430e-01,-3.5581207044640094e-04,5.6622866661016957e-01,4.8750845363407930e-04,-9.1065362603657890e-15,5.6621459291282967e-15,8.1194467726290209e-01,-1.6031637994653500e-02,5.9948089436293395e-01,2.1965412916088601e-02,5.9000259085167556e-05,5.9509124485809189e-05,8.1192242784036925e-05,9.9852629667687764e-01,-3.7016494076434182e-03,9.9849052343457656e-01,-3.7334419283907802e-03,9.9907772717215004e-01,-5.0967983467006678e-03
6.5415379968575820e+01,-7.0710678118653225e-01,8.8817841970012523e-16,-4.2387784633041992e-01,1.4966647711533498e-02,5.7373067167059555e-01,1.1739994101117313e-02,7.0710678118656289e-01,8.9372953482325102e-15,-4.2387784633037856e-01,1.4966647711543157e-02,5.7373067167059344e-01,1.1739994101118669e-02,-2.6547101958537524e-14,-1.1996674192051332e-14,8.0012942531178999e-01,-2.1081600254535537e-04,5.8428636102275155e-01,1.6176717660804085e-04,-7.0710678118653447e-01,-6.2988040368034597e-15,-4.1337307191443107e-01,-2.3434829893849950e-04,5.6607826185113985e-01,6.2679455645622481e-04,7.0710678118656045e-01,1.7492158108209766e-15,-4.1337307191438294e-01,-2.3434829895860841e-04,5.6607826185113830e-01,6.2679455645470172e-04,-2.2766340650914329e-14,6.6262808295384374e-15,8.1182401465748899e-01,-1.5926715699316127e-02,5.9975531829470630e-01,2.1683390124625071e-02,5.8687288209396231e-05,5.9184764562971630e-05,8.1024816693403689e-05,9.9851791594609307e-01,-3.8333802934320711e-03,9.9848168871287024e-01,-3.8657348924046892e-03,9.9906159983907983e-01,-5.2953449846497806e-03
6.8105136602345354e+01,-7.0710678118654458e-01,-3.8857805861880479e-15,-4.2406473627165431e-01,1.4782726727259832e-02,5.7365696192062443e-01,1.1659645898825871e-02,7.0710678118655046e-01,4.1633363423443370e-15,-4.2406473627165131e-01,1.4782726727252032e-02,5.7365696192062476e-01,1.1659645898826006e-02,-5.4552184601519849e-15,-1.7486172285704469e-16,7.9993810424473999e-01,-4.1262580305706509e-04,5.8443424363616336e-01,3.1663930895057049e-04,-7.0710678118654680e-01,-1.6904407199173796e-15,-4.1347324768063359e-01,-1.1825597395338262e-04,5.6593657873141667e-01,7.6040198281547566e-04,7.0710678118654835e-01,6.3602391497682535e-15,-4.1347324768062388e-01,-1.1825597395387355e-04,5.6593657873141656e-01,7.6040198281570118e-04,-1.9626155733546846e-15,-4.3913523453811770e-15,8.1171045009435550e-01,-1.5825915836419045e-02,6.0001373058350504e-01,2.1413543961680850e-02,5.8391756337176588e-05,5.8878304988681514e-05,8.0860421301273973e-05,9.9850984729728065e-01,-3.9708734673378210e-03,9.9847317360702215e-01,-4.0038140197966084e-03,9.9904470373793519e-01,-5.5018048304916892e-03
7.0905490938862883e+01,-7.0710678118654313e-01,-2.4702462297909733e-15,-4.2424061964257753e-01,1.4607428400015082e-02,5.7358756951534662e-01,1.1583107967909671e-02,7.0710678118655235e-01,5.6343818499726694e-15,-4.2424061964254112e-01,1.4607428400033790e-02,5.7358756951534551e-01,1.1583107967909876e-02,-6.7561214875827909e-15,-3.8222624179411585e-15,7.9975788427926231e-01,-6.0489241119149328e-04,5.8457338969020156e-01,4.6419895683967247e-04,-7.0710678118653625e-01,-9.4406294275473232e-15,-4.1356754651001360e-01,-7.7993448655069852e-06,5.6580319076019248e-01,8.8790683604775614e-04,7.0710678118655834e-01,-1.3378099743698724e-15,-4.1356754651000055e-01,-7.7993448718959718e-06,5.6580319076019092e-01,8.8790683604723225e-04,-2.0097183471152272e-14,1.1245787235322303e-14,8.1160363844178174e-01,-1.5729594387635167e-02,6.0025697690136359e-01,2.1156578672362820e-02,5.8112988067104401e-05,5.8589067023446320e-05,8.0698800601307965e-05,9.9850208169983912e-01,-4.1143810173376030e-03,9.9846496921134986e-01,-4.1479334650113891e-03,9.9902699166973374e-01,-5.7164829209570642e-03
7.3820990546372755e+01,-7.0710678118655002e-01,-2.1094237467877974e-15,-4.2440607786676110e-01,1.4441232319145098e-02,5.7352225423718650e-01,1.1510567645244611e-02,7.0710678118654502e-01,5.9119376061289586e-15,-4.2440607786675849e-01,1.4441232319144737e-02,5.7352225423718550e-01,1.1510567645245032e-02,5.8661425159523782e-15,-3.9825397935517850e-15,7.9958817161404205e-01,-7.8712936059449623e-04,5.8470428128705831e-01,6.0406866026011669e-04,-7.0710678118654624e-01,-3.7371680379388503e-15,-4.1365631057526442e-01,9.6784021809646903e-05,5.6567767734482044e-01,1.0089233887697231e-03,7.0710678118654879e-01,4.2854737637448307e-15,-4.1365631057527419e-01,9.6784021802983830e-05,5.6567767734481955e-01,1.0089233887692166e-03,-1.0990647210786386e-15,1.5946251533503756e-17,8.1150323850894335e-01,-1.5638075671396030e-02,6.0048588379342305e-01,2.0913130625309351e-02,5.7850307238165143e-05,5.8316370014836752e-05,8.0539710821075228e-05,9.9849460870412565e-01,-4.2641640323074440e-03,9.9845706509786358e-01,-4.2983564612437113e-03,9.9900841371316573e-01,-5.9396957218498872e-03
7.6856369980520014e+01,-7.0710678118653758e-01,8.9372953482325102e-15,-4.2456167677796380e-01,1.4284572481365471e-02,5.7346078256770505e-01,1.1442194001106340e-02,7.0710678118655734e-01,1.6986412276764895e-14,-4.2456167677793849e-01,1.4284572481365582e-02,5.7346078256770483e-01,1.1442194001105825e-02,-1.4897055887657891e-14,-2.4327924338218686e-14,7.9942838811132644e-01,-9.5889663937881453e-04,5.8482738696684144e-01,7.3590766360627155e-04,-7.0710678118654002e-01,-4.2637568224926942e-15,-4.1373987099349196e-01,1.9528082536647909e-04,5.6555962715154029e-01,1.1231013029191009e-03,7.0710678118655512e-01,3.7841426417545035e-15,-4.1373987099346393e-01,1.9528082532306416e-04,5.6555962715153774e-01,1.1231013029195727e-03,-1.4444850619890532e-14,1.2879664700105463e-16,8.1140891598712328e-01,-1.5551654544125527e-02,6.0070125347276127e-01,2.0683773994713325e-02,5.7603040773095685e-05,5.8059535238030337e-05,8.0382922055452448e-05,9.9848741654143935e-01,-4.4204930439729435e-03,9.9844944941135971e-01,-4.4553557555251280e-03,9.9898891707449311e-01,-6.1717717077756883e-03
8.0016558472918234e+01,-7.0710678118656423e-01,-3.5221825456233091e-14,-4.2470796410138101e-01,1.4137842398282502e-02,5.7340292861002828e-01,1.1378139946943033e-02,7.0710678118653092e-01,-2.7255975254547593e-14,-4.2470796410140793e-01,1.4137842398234124e-02,5.7340292861002973e-01,1.1378139946943576e-02,2.4316039219460568e-14,5.9450800225914172e-14,7.9927797376173992e-01,-1.1197953691258755e-03,5.8494315980608835e-01,8.5940773109279001e-04,-7.0710678118655590e-01,1.0393040372729951e-14,-4.1381854684088815e-01,2.8749902890693249e-04,5.6544864033882813e-01,1.2301218880262088e-03,7.0710678118653902e-01,1.8362957681115191e-14,-4.1381854684093416e-01,2.8749902901225102e-04,5.6544864033883246e-01,1.2301218880261221e-03,1.4366345996957589e-14,-2.7838475273301966e-14,8.1132034545902165e-01,-1.5470599354078643e-02,6.0090386077831504e-01,2.0469028078643772e-02,5.7370516953886024e-05,5.7817884179635126e-05,8.0228211390572275e-05,9.9848049211928758e-01,-4.5836480826925725e-03,9.9844210886303220e-01,-4.6192136569830379e-03,9.9896844587361777e-01,-6.4130513146264815e-03
8.3306687935856900e+01,-7.0710678118654902e-01,2.2287727219350018e-14,-4.2484546577498317e-01,1.4001398349895694e-02,5.7334847554650603e-01,1.1318543620137600e-02,7.0710678118654613e-01,3.0198066269804258e-14,-4.2484546577500093e-01,1.4001398349901578e-02,5.7334847554650648e-01,1.1318543620136633e-02,8.3525684559221999e-15,-4.7954204871908395e-14,7.9913639046754636e-01,-1.2694643973946707e-03,5.8505203450277510e-01,9.7429040665714464e-04,-7.0710678118655257e-01,-6.0585748335586818e-15,-4.1389264336766618e-01,3.7326587436438061e-04,5.6534433160456399e-01,1.3296957269962155e-03,7.0710678118654213e-01,1.8512176981798436e-15,-4.1389264336767845e-01,3.7326587427882751e-04,5.6534433160456055e-01,1.3296957269971835e-03,1.0127096358510414e-14,2.7685145931631753e-15,8.1123721299670337e-01,-1.5395153850823292e-02,6.0109444837174841e-01,2.0269361996015232e-02,5.7152072354858173e-05,5.7590745503581505e-05,8.0075370540072185e-05,9.9847382124429795e-01,-4.7539194123275771e-03,9.9843502894888592e-01,-4.7902227646572449e-03,9.9894694103518489e-01,-6.6638879919726189e-03
8.6732101296147491e+01,-7.0710678118655079e-01,-5.0792703376600912e-14,-4.2497468550507689e-01,1.3875566375036785e-02,5.7329721573777237e-01,1.1263531268952073e-02,7.0710678118654435e-01,-4.2937875477377929e-14,-4.2497468550506390e-01,1.3875566375023185e-02,5.7329721573777315e-01,1.1263531268953721e-02,-5.6552720222336191e-15,8.5719817358880708e-14,7.9900312228018433e-01,-1.4075730154893829e-03,5.8515442707926746e-01,1.0803012895538935e-03,-7.0710678118654402e-01,7.0878253769384954e-16,-4.1396245216110061e-01,4.5242386413542508e-04,5.6524633085950160e-01,1.4215574532760629e-03,7.0710678118655079e-01,8.5633494116742957e-15,-4.1396245216109612e-01,4.5242386428852657e-04,5.6524633085950915e-01,1.4215574532742033e-03,-7.9289669163525270e-15,-6.9709651896098292e-15,8.1115921702666594e-01,-1.5325541375674752e-02,6.0127372665473799e-01,2.0085204559742532e-02,5.6947047679166132e-05,5.7377450966977875e-05,7.9924191747054990e-05,9.9846738835200688e-01,-4.9316074311403675e-03,9.9842819368120006e-01,-4.9686858642190032e-03,9.9892433988016216e-01,-6.9246475420579809e-03
9.0298361171640849e+01,-7.0710678118653358e-01,6.3754557189099614e-14,-4.2509609988892172e-01,1.3760641654083888e-02,5.7324895265657938e-01,1.1213217019225761e-02,7.0710678118656167e-01,7.1609385088322597e-14,-4.2509609988894992e-01,1.3760641654141398e-02,5.7324895265658027e-01,1.1213217019223594e-02,-1.3215446707702762e-14,-1.2345943638487369e-13,7.9887768061967279e-01,-1.5338215992964366e-03,5.8525073110580528e-01,1.1772104948059858e-03,-7.0710678118655612e-01,-2.1621566434978354e-14,-4.1402824859059267e-01,5.2483105426795983e-04,5.6515428706372872e-01,1.5054662322162779e-03,7.0710678118653869e-01,-1.3766845622074980e-14,-4.1402824859056392e-01,5.2483105404678779e-04,5.6515428706372062e-01,1.5054662322197716e-03,1.6485970816176092e-14,3.1746533533746958e-14,8.1108607127824084e-01,-1.5261964490210150e-02,6.0144236704084442e-01,1.9916943466437038e-02,5.6754799502274849e-05,5.7177347167191193e-05,7.9774489264246954e-05,9.9846117721553695e-01,-5.1170239223962011e-03,9.9842158629118893e-01,-5.1549171672005487e-03,9.9890057630179907e-01,-7.1957104024698336e-03
9.4011258904507542e+01,-7.0710678118662285e-01,-1.7541523789077473e-14,-4.2521015979158877e-01,1.3656898214741503e-02,5.7320350025760036e-01,1.1167706862247370e-02,7.0710678118647241e-01,-9.6589403142388619e-15,-4.2521015979161297e-01,1.3656898214666507e-02,5.7320350025760292e-01,1.1167706862247318e-02,1.4010923139296026e-13,4.0909113738326445e-14,7.9875960251141043e-01,-1.6479314678250478e-03,5.8534131880525497e-01,1.2648047556641298e-03,-7.0710678118655523e-01,1.8003897513841067e-14,-4.1409029300276606e-01,5.9035554142030516e-04,5.6506786754106786e-01,1.5811984617009577e-03,7.0710678118653936e-01,2.5886319880032107e-14,-4.1409029300301381e-01,5.9035554148628364e-04,5.6506786754106786e-01,1.5811984617104431e-03,1.2089711931864855e-14,-4.3323512147067153e-14,8.1101750469565104e-01,-1.5204610807812921e-02,6.0160100450944221e-01,1.9764938947714056e-02,5.6574688320307711e-05,5.6989783773188332e-05,7.9626071115569528e-05,9.9845517010851914e-01,-5.3104913244680571e-03,9.9841518839654764e-01,-5.3492415846711208e-03,9.9887558014134359e-01,-7.4774697351111339e-03
9.7876823965948702e+01,-7.0710678118647829e-01,-1.1757261830780408e-13,-4.2531729540957502e-01,1.3564591526653264e-02,5.7316068096924855e-01,1.1127099800501453e-02,7.0710678118661696e-01,-1.0974554598419672e-13,-4.2531729540941776e-01,1.3564591526669972e-02,5.7316068096924544e-01,1.1127099800505616e-02,-1.5166339024625492e-13,1.9326896043782056e-13,7.9864844513465616e-01,-1.7496424001352540e-03,5.8542654495804647e-01,1.3428850590831917e-03,-7.0710678118650006e-01,-7.2116225709510173e-15,-4.1414883371373534e-01,6.4887400418335225e-04,5.6498675442446233e-01,1.6485457042809751e-03,7.0710678118659454e-01,6.1600760973179278e-16,-4.1414883371347605e-01,6.4887400453476733e-04,5.6498675442447577e-01,1.6485457042677010e-03,-8.8631719292688370e-14,1.3084512700621712e-14,8.1095325902450810e-01,-1.5153655063364328e-02,6.0175024511792718e-01,1.9629527154833279e-02,5.6406096811557098e-05,5.6814131796253424e-05,7.9478749559209027e-05,9.9844934840763722e-01,-5.5123446991272706e-03,9.9840898061399930e-01,-5.5519966840825259e-03,9.9884927663072443e-01,-7.7703326964844045e-03
1.0190133374761122e+02,-7.0710678118658410e-01,5.1458837191376006e-14,-4.2541789239054673e-01,1.3483951833598684e-02,5.7312033501936965e-01,1.1091484938057327e-02,7.0710678118651116e-01,5.9258153939367730e-14,-4.2541789239062611e-01,1.3483951833605512e-02,5.7312033501937110e-01,1.1091484938056192e-02,8.0519704183841279e-14,-9.5940162450393093e-14,7.9854381148809428e-01,-1.8387190836158251e-03,5.8550672874692400e-01,1.4112726113055182e-03,-7.0710678118657122e-01,-6.3144321145181337e-15,-4.1420409394378727e-01,7.0027544680301146e-04,5.6491066248851207e-01,1.7073199067692627e-03,7.0710678118652370e-01,1.4851711693358850e-15,-4.1420409394392455e-01,7.0027544662993116e-04,5.6491066248850408e-01,1.7073199067740054e-03,4.5061653564222203e-14,2.5661198621578829e-15,8.1089310156756023e-01,-1.5109254046951058e-02,6.0189063187931591e-01,1.9511011398606722e-02,5.6248419214483650e-05,5.6649772962465260e-05,7.9332374459567241e-05,9.9844369357313922e-01,-5.7229311919155196e-03,9.9840294350364489e-01,-5.7635321347304534e-03,9.9882158792066389e-01,-8.0747242967126546e-03
1.0609132375560732e+02,-7.0710678118668291e-01,5.2458037913538647e-15,-4.2551232321987392e-01,1.3415206387736162e-02,5.7308230811217031e-01,1.1060950854813257e-02,7.0710678118641235e-01,1.3017364963729960e-14,-4.2551232321996557e-01,1.3415206387604461e-02,5.7308230811217364e-01,1.1060950854812743e-02,2.5591166443556534e-13,4.6968544017833177e-15,7.9844531628650062e-01,-1.9149285301932051e-03,5.8558217758681808e-01,1.4697900210953463e-03,-7.0710678118657544e-01,3.4531708049999904e-14,-4.1425628957048538e-01,7.4444864586401503e-04,5.6483931625710837e-01,1.7573363451719309e-03,7.0710678118651937e-01,4.2302238377356348e-14,-4.1425628957093724e-01,7.4444864586444177e-04,5.6483931625710637e-01,1.7573363451841642e-03,4.9771930940265570e-14,-7.6744402091821907e-14,8.1083680948396020e-01,-1.5071561436547587e-02,6.0202269049955015e-01,1.9409692569764211e-02,5.6101062465568969e-05,5.6496101280357679e-05,7.9186760198512508e-05,9.9843818470093770e-01,-5.9426104837821620e-03,9.9839705517367017e-01,-5.9842101885225017e-03,9.9879243024026176e-01,-8.3910807932246964e-03
