omega,re_0,im_0,re_1,im_1,re_2,im_2
62.83185307179587,9.2480342846032e-08,2.335506752238563e-07,9.472995950048413e-08,2.3556500295327111e-07,5.731110682869032e-08,3.213969467113442e-07
65.41537996857582,9.297775164026761e-08,2.418640110037988e-07,9.525562785917422e-08,2.4391422715667304e-07,5.826294821764363e-08,3.3392217896305113e-07
68.10513660234535,9.345293205807459e-08,2.5054096558423846e-07,9.575856459563821e-08,2.526285953559455e-07,5.92580456479273e-08,3.4694705727615184e-07
70.90549093886288,9.390623762506678e-08,2.59597445833865e-07,9.623911297305439e-08,2.6172414565076143e-07,6.02989576976873e-08,3.604908853381518e-07
73.82099054637276,9.433809319307583e-08,2.690499268319759e-07,9.669769388787441e-08,2.7121748932125303e-07,6.138838151743976e-08,3.7457369438451543e-07
76.85636998052001,9.474898708619797e-08,2.7891547977485316e-07,9.713479830720351e-08,2.811258383078923e-07,6.252915964250394e-08,3.892162804237366e-07
80.01655847291823,9.513946983974667e-08,2.892117755479675e-07,9.755098609520478e-08,2.914670083147362e-07,6.372429087594114e-08,4.0444020199356793e-07
83.3066879358569,9.551013826127652e-08,2.999571310837974e-07,9.79468703374089e-08,3.0225946473073053e-07,6.497693392048008e-08,4.2026784730633393e-07
86.73210129614749,9.586165070251994e-08,3.111705032459106e-07,9.832313248760395e-08,3.13522316256861e-07,6.62904303673284e-08,4.3672239353950515e-07
90.29836117164085,9.619468001343111e-08,3.228715675822432e-07,9.868047567725054e-08,3.2527539295289383e-07,6.766828936527262e-08,4.5382795160412567e-07
94.01125890450754,9.650996446945205e-08,3.3508067259228436e-07,9.901967532921726e-08,3.3753920073748157e-07,6.911422429267223e-08,4.716094468647527e-07
97.8768239659487,9.680826683279323e-08,3.47818963805685e-07,9.934153755915655e-08,3.5033504475430446e-07,7.063218362612496e-08,4.900927005924575e-07
101.90133374761122,9.709031016457596e-08,3.611083494460651e-07,9.96468372457546e-08,3.6368499411451313e-07,7.222624858903246e-08,5.093046737810349e-07
106.09132375560732,9.735692945772726e-08,3.7497152985115547e-07,9.993646630934367e-08,3.776119131562456e-07,7.390081115048632e-08,5.292730531407714e-07
110.453598223693,9.76089297053884e-08,3.8943209492453825e-07,1.002112946199458e-07,3.921395578668782e-07,7.566047083421894e-08,5.500266778717026e-07
114.9952411628399,9.784718068871646e-08,4.045145361258969e-07,1.0047225905345481e-07,4.0729259112163723e-07,7.750995137726636e-08,5.715955727748701e-07
119.72362786514542,9.807224725571377e-08,4.202443235386448e-07,1.0072000597140045e-07,4.23096632814535e-07,7.945476624694555e-08,5.940099988885267e-07
124.64643688076109,9.828519960682237e-08,4.366477530108715e-07,1.0095568695342102e-07,4.3957816914270154e-07,8.149989032697544e-08,6.173026726199852e-07
129.77166248729,9.84867594748816e-08,4.537522998917243e-07,1.0118011389900505e-07,4.567648404613272e-07,8.365115308590056e-08,6.41506490018041e-07
135.10762767190218,9.86777274688379e-08,4.715864533217346e-07,1.0139418353832609e-07,4.7468530963529626e-07,8.591453064861483e-08,6.666557442435878e-07
140.6629976472495,9.885889893973456e-08,4.901798458175386e-07,1.0159879413802666e-07,4.93369384907425e-07,8.829632505495877e-08,6.927859416896695e-07
146.44679392313063,9.903106497464913e-08,5.095632448842053e-07,1.0179484620398686e-07,5.128480118173883e-07,9.080315519500091e-08,7.19933774448079e-07
