omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Zc_real_0_0,Overhead_Zc_imag_0_0,Overhead_Zc_real_0_1,Overhead_Zc_imag_0_1,Overhead_Zc_real_0_2,Overhead_Zc_imag_0_2,Overhead_Zc_real_1_0,Overhead_Zc_imag_1_0,Overhead_Zc_real_1_1,Overhead_Zc_imag_1_1,Overhead_Zc_real_1_2,Overhead_Zc_imag_1_2,Overhead_Zc_real_2_0,Overhead_Zc_imag_2_0,Overhead_Zc_real_2_1,Overhead_Zc_imag_2_1,Overhead_Zc_real_2_2,Overhead_Zc_imag_2_2,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,1.7032837709576086e-03,6.0537765527471799e-04,-3.5247528559459462e-04,-2.0865254256802814e-04,-3.6981389769555470e-04,-2.2231687100472379e-04,-3.5247528559459478e-04,-2.0865254256802860e-04,1.7032837709576080e-03,6.0537765527471734e-04,-3.6981389769555486e-04,-2.2231687100472385e-04,-3.6981389769555453e-04,-2.2231687100472390e-04,-3.6981389769555470e-04,-2.2231687100472409e-04,1.7298025958438741e-03,6.2198162511251640e-04,6.0790527207062496e+02,-1.6952596951581563e+02,1.8740063545321769e+02,-3.0164403720883604e+00,1.9099872054090957e+02,-3.3508764968498652e+00,1.8740063545321755e+02,-3.0164403720883217e+00,6.0790527207062541e+02,-1.6952596951581569e+02,1.9099872054090972e+02,-3.3508764968499376e+00,1.9099872054090946e+02,-3.3508764968498745e+00,1.9099872054090989e+02,-3.3508764968500371e+00,6.0017122570125707e+02,-1.6814022627155404e+02,9.2480342846031994e-08,9.4729959500484133e-08,5.7311106828690320e-08,2.3355067522385631e-07,2.3556500295327111e-07,3.2139694671134419e-07,5.9000259085167556e-05,5.9509124485809189e-05,8.1192242784036925e-05,9.9852629667687764e-01,-3.7016494076434182e-03,9.9849052343457656e-01,-3.7334419283907802e-03,9.9907772717215004e-01,-5.0967983467006678e-03
6.5415379968575820e+01,1.7227324769410037e-03,5.9542160129272292e-04,-3.6022520157954504e-04,-2.0531233417130969e-04,-3.7815406602838584e-04,-2.1894084831587156e-04,-3.6022520157954498e-04,-2.0531233417130960e-04,1.7227324769410034e-03,5.9542160129272270e-04,-3.7815406602838562e-04,-2.1894084831587134e-04,-3.7815406602840373e-04,-2.1894084831622026e-04,-3.7815406602840351e-04,-2.1894084831622024e-04,1.7497560218813753e-03,6.1212218243094849e-04,6.0573111404218901e+02,-1.6431898016476731e+02,1.8745707266917915e+02,-3.5254015203983271e+00,1.9107091784867538e+02,-3.8682468473346945e+00,1.8745707266917933e+02,-3.5254015203983315e+00,6.0573111404218969e+02,-1.6431898016476728e+02,1.9107091784867546e+02,-3.8682468473347029e+00,1.9107091784876081e+02,-3.8682468472083142e+00,1.9107091784876087e+02,-3.8682468472083040e+00,5.9801936811010000e+02,-1.6306276194295680e+02,9.2977751640267610e-08,9.5255627859174225e-08,5.8262948217643627e-08,2.4186401100379880e-07,2.4391422715667304e-07,3.3392217896305113e-07,5.8687288209396231e-05,5.9184764562971630e-05,8.1024816693403689e-05,9.9851791594609307e-01,-3.8333802934320711e-03,9.9848168871287024e-01,-3.8657348924046892e-03,9.9906159983907983e-01,-5.2953449846497806e-03
6.8105136602345354e+01,1.7416386925359047e-03,5.8507612599967512e-04,-3.6775372193360807e-04,-2.0173694949742802e-04,-3.8627310265759729e-04,-2.1530352552071554e-04,-3.6775372193360802e-04,-2.0173694949742805e-04,1.7416386925359049e-03,5.8507612599967480e-04,-3.8627310265759729e-04,-2.1530352552071548e-04,-3.8627310265750448e-04,-2.1530352551979315e-04,-3.8627310265750453e-04,-2.1530352551979312e-04,1.7691681561646411e-03,6.0186177787257460e-04,6.0365264229524257e+02,-1.5927271165238537e+02,1.8748490801548130e+02,-4.0402329751399071e+00,1.9111395011920524e+02,-4.3935207170645088e+00,1.8748490801548124e+02,-4.0402329751399186e+00,6.0365264229524269e+02,-1.5927271165238534e+02,1.9111395011920519e+02,-4.3935207170645167e+00,1.9111395011898250e+02,-4.3935207173858366e+00,1.9111395011898256e+02,-4.3935207173858313e+00,5.9596075109485412e+02,-1.5814504595009279e+02,9.3452932058074592e-08,9.5758564595638211e-08,5.9258045647927303e-08,2.5054096558423846e-07,2.5262859535594552e-07,3.4694705727615184e-07,5.8391756337176588e-05,5.8878304988681514e-05,8.0860421301273973e-05,9.9850984729728065e-01,-3.9708734673378210e-03,9.9847317360702215e-01,-4.0038140197966084e-03,9.9904470373793519e-01,-5.5018048304916892e-03
7.0905490938862883e+01,1.7599791614911243e-03,5.7437619433245760e-04,-3.7504733558627767e-04,-1.9794384213055042e-04,-3.9415544530616519e-04,-2.1142228366814305e-04,-3.7504733558627772e-04,-1.9794384213055036e-04,1.7599791614911243e-03,5.7437619433245771e-04,-3.9415544530616519e-04,-2.1142228366814305e-04,-3.9415544530588931e-04,-2.1142228366496739e-04,-3.9415544530588926e-04,-2.1142228366496739e-04,1.7880143763501363e-03,5.9123544120423012e-04,6.0166564311370405e+02,-1.5438455961358670e+02,1.8748473763123332e+02,-4.5596232906814445e+00,1.9112834012735354e+02,-4.9253461465533519e+00,1.8748473763123334e+02,-4.5596232906814498e+00,6.0166564311370405e+02,-1.5438455961358670e+02,1.9112834012735357e+02,-4.9253461465533581e+00,1.9112834012657132e+02,-4.9253461476716405e+00,1.9112834012657132e+02,-4.9253461476716440e+00,5.9399121461857430e+02,-1.5338454961486570e+02,9.3906237625066779e-08,9.6239112973054392e-08,6.0298957697687306e-08,2.5959744583386499e-07,2.6172414565076143e-07,3.6049088533815181e-07,5.8112988067104401e-05,5.8589067023446320e-05,8.0698800601307965e-05,9.9850208169983912e-01,-4.1143810173376030e-03,9.9846496921134986e-01,-4.1479334650113891e-03,9.9902699166973374e-01,-5.7164829209570642e-03
7.3820990546372755e+01,1.7777340384071165e-03,5.6335833542722335e-04,-3.8209433129449366e-04,-1.9395125480468735e-04,-4.0178734486882102e-04,-2.0731550063825618e-04,-3.8209433129449361e-04,-1.9395125480468735e-04,1.7777340384071165e-03,5.6335833542722291e-04,-4.0178734486882097e-04,-2.0731550063825613e-04,-4.0178734486883029e-04,-2.0731550063838461e-04,-4.0178734486883018e-04,-2.0731550063838455e-04,1.8062734690373573e-03,5.8027993719492708e-04,5.9976594671806959e+02,-1.4965187876154482e+02,1.8745720764665109e+02,-5.0823533207584664e+00,1.9111466500584925e+02,-5.4624616881419437e+00,1.8745720764665111e+02,-5.0823533207584575e+00,5.9976594671806936e+02,-1.4965187876154482e+02,1.9111466500584928e+02,-5.4624616881419499e+00,1.9111466500588128e+02,-5.4624616880964343e+00,1.9111466500588125e+02,-5.4624616880964334e+00,5.9210663940379504e+02,-1.4877870892974485e+02,9.4338093193075827e-08,9.6697693887874409e-08,6.1388381517439761e-08,2.6904992683197592e-07,2.7121748932125303e-07,3.7457369438451543e-07,5.7850307238165143e-05,5.8316370014836752e-05,8.0539710821075228e-05,9.9849460870412565e-01,-4.2641640323074440e-03,9.9845706509786358e-01,-4.2983564612437113e-03,9.9900841371316573e-01,-5.9396957218498872e-03
7.6856369980520014e+01,1.7948870537379566e-03,5.5206025471190873e-04,-3.8888486697120120e-04,-1.8977801583731463e-04,-4.0915696208635474e-04,-2.0300234537364505e-04,-3.8888486697120109e-04,-1.8977801583731444e-04,1.7948870537379557e-03,5.5206025471190852e-04,-4.0915696208635501e-04,-2.0300234537364543e-04,-4.0915696208658974e-04,-2.0300234537214837e-04,-4.0915696208658969e-04,-2.0300234537214829e-04,1.8239278180153078e-03,5.6903337795328752e-04,5.9794943486877889e+02,-1.4507198001529642e+02,1.8740300596261497e+02,-5.6072986055751119e+00,1.9107354817432309e+02,-6.0036993415438937e+00,1.8740300596261500e+02,-5.6072986055751421e+00,5.9794943486878049e+02,-1.4507198001529636e+02,1.9107354817432321e+02,-6.0036993415439426e+00,1.9107354817383040e+02,-6.0036993421182423e+00,1.9107354817383046e+02,-6.0036993421183213e+00,5.9030295384032956e+02,-1.4432492159899957e+02,9.4748987086197967e-08,9.7134798307203508e-08,6.2529159642503936e-08,2.7891547977485316e-07,2.8112583830789231e-07,3.8921628042373659e-07,5.7603040773095685e-05,5.8059535238030337e-05,8.0382922055452448e-05,9.9848741654143935e-01,-4.4204930439729435e-03,9.9844944941135971e-01,-4.4553557555251280e-03,9.9898891707449311e-01,-6.1717717077756883e-03
8.0016558472918234e+01,1.8114254811547284e-03,5.4052035621138966e-04,-3.9541093616105673e-04,-1.8544329338815747e-04,-4.1625436058367632e-04,-1.9850251592918612e-04,-3.9541093616105694e-04,-1.8544329338815796e-04,1.8114254811547293e-03,5.4052035621138955e-04,-4.1625436058367616e-04,-1.9850251592918550e-04,-4.1625436058072144e-04,-1.9850251592903490e-04,-4.1625436058072117e-04,-1.9850251592903520e-04,1.8409633958955188e-03,5.5753473726872593e-04,5.9621204845419606e+02,-1.4064213017138056e+02,1.8732285299535363e+02,-6.1334265668190859e+00,1.9100564988682507e+02,-6.5479824608162227e+00,1.8732285299535357e+02,-6.1334265668190495e+00,5.9621204845419390e+02,-1.4064213017138076e+02,1.9100564988682501e+02,-6.5479824608161188e+00,1.9100564988662083e+02,-6.5479824603596928e+00,1.9100564988662063e+02,-6.5479824603595329e+00,5.8857614084905595e+02,-1.4002054636281721e+02,9.5139469839746674e-08,9.7550986095204783e-08,6.3724290875941138e-08,2.8921177554796749e-07,2.9146700831473622e-07,4.0444020199356793e-07,5.7370516953886024e-05,5.7817884179635126e-05,8.0228211390572275e-05,9.9848049211928758e-01,-4.5836480826925725e-03,9.9844210886303220e-01,-4.6192136569830379e-03,9.9896844587361777e-01,-6.4130513146264815e-03
8.3306687935856900e+01,1.8273402395887275e-03,5.2877742582896207e-04,-4.0166640838621575e-04,-1.8096643339384142e-04,-4.2307156823643969e-04,-1.9383607218220438e-04,-4.0166640838621532e-04,-1.8096643339384074e-04,1.8273402395887260e-03,5.2877742582896239e-04,-4.2307156823643991e-04,-1.9383607218220535e-04,-4.2307156823766793e-04,-1.9383607217484194e-04,-4.2307156823766820e-04,-1.9383607217484175e-04,1.8573698850812604e-03,5.4582352891108059e-04,5.9454979319582742e+02,-1.3635955079572787e+02,1.8721749405604766e+02,-6.6597992766971617e+00,1.9091165967816261e+02,-7.0943289148080719e+00,1.8721749405604771e+02,-6.6597992766972220e+00,5.9454979319583072e+02,-1.3635955079572724e+02,1.9091165967816264e+02,-7.0943289148082682e+00,1.9091165967558987e+02,-7.0943289175343738e+00,1.9091165967559027e+02,-7.0943289175346136e+00,5.8692224302924126e+02,-1.3586290174501914e+02,9.5510138261276521e-08,9.7946870337408906e-08,6.4976933920480083e-08,2.9995713108379741e-07,3.0225946473073053e-07,4.2026784730633393e-07,5.7152072354858173e-05,5.7590745503581505e-05,8.0075370540072185e-05,9.9847382124429795e-01,-4.7539194123275771e-03,9.9843502894888592e-01,-4.7902227646572449e-03,9.9894694103518489e-01,-6.6638879919726189e-03
8.6732101296147491e+01,1.8426257188275238e-03,5.1687005868728236e-04,-4.0764692339425614e-04,-1.7636667144191659e-04,-4.2960249895981255e-04,-1.8902311986907557e-04,-4.0764692339425679e-04,-1.7636667144191781e-04,1.8426257188275264e-03,5.1687005868728214e-04,-4.2960249895981228e-04,-1.8902311986907405e-04,-4.2960249895022858e-04,-1.8902311986500870e-04,-4.2960249895022804e-04,-1.8902311986500916e-04,1.8731405287347029e-03,5.3393921947282477e-04,5.9295875153471138e+02,-1.3222141944742705e+02,1.8708769100422862e+02,-7.1855668143071600e+00,1.9079228758187625e+02,-7.6418453373487951e+00,1.8708769100422862e+02,-7.1855668143070721e+00,5.9295875153470570e+02,-1.3222141944742839e+02,1.9079228758187608e+02,-7.6418453373484150e+00,1.9079228758051849e+02,-7.6418453375976858e+00,1.9079228758051784e+02,-7.6418453375972843e+00,5.8533737368045558e+02,-1.3184926674329975e+02,9.5861650702519944e-08,9.8323132487603955e-08,6.6290430367328402e-08,3.1117050324591058e-07,3.1352231625686100e-07,4.3672239353950515e-07,5.6947047679166132e-05,5.7377450966977875e-05,7.9924191747054990e-05,9.9846738835200688e-01,-4.9316074311403675e-03,9.9842819368120006e-01,-4.9686858642190032e-03,9.9892433988016216e-01,-6.9246475420579809e-03
9.0298361171640849e+01,1.8572798569976541e-03,5.0483657921777112e-04,-4.1334992716390975e-04,-1.7166309409418558e-04,-4.3584299380156137e-04,-1.8408377086387808e-04,-4.1334992716390877e-04,-1.7166309409418404e-04,1.8572798569976505e-03,5.0483657921777166e-04,-4.3584299380156164e-04,-1.8408377086388003e-04,-4.3584299380910920e-04,-1.8408377084786997e-04,-4.3584299380910980e-04,-1.8408377084786921e-04,1.8882722152340455e-03,5.2192113853841572e-04,5.9143508089135310e+02,-1.2822487131676331e+02,1.8693421482967065e+02,-7.7099738790273555e+00,1.9064825681675396e+02,-8.1897336436273864e+00,1.8693421482967076e+02,-7.7099738790274630e+00,5.9143508089136071e+02,-1.2822487131676195e+02,1.9064825681675396e+02,-8.1897336436279531e+00,1.9064825681282295e+02,-8.1897336511694494e+00,1.9064825681282372e+02,-8.1897336511700978e+00,5.8381771495133250e+02,-1.2797688236585071e+02,9.6194680013431110e-08,9.8680475677250537e-08,6.7668289365272619e-08,3.2287156758224319e-07,3.2527539295289383e-07,4.5382795160412567e-07,5.6754799502274849e-05,5.7177347167191193e-05,7.9774489264246954e-05,9.9846117721553695e-01,-5.1170239223962011e-03,9.9842158629118893e-01,-5.1549171672005487e-03,9.9890057630179907e-01,-7.1957104024698336e-03
