omega,Overhead_R_0_0,Overhead_R_0_1,Overhead_R_0_2,Overhead_R_0_3,Overhead_R_1_0,Overhead_R_1_1,Overhead_R_1_2,Overhead_R_1_3,Overhead_R_2_0,Overhead_R_2_1,Overhead_R_2_2,Overhead_R_2_3,Overhead_R_3_0,Overhead_R_3_1,Overhead_R_3_2,Overhead_R_3_3,Overhead_L_0_0,Overhead_L_0_1,Overhead_L_0_2,Overhead_L_0_3,Overhead_L_1_0,Overhead_L_1_1,Overhead_L_1_2,Overhead_L_1_3,Overhead_L_2_0,Overhead_L_2_1,Overhead_L_2_2,Overhead_L_2_3,Overhead_L_3_0,Overhead_L_3_1,Overhead_L_3_2,Overhead_L_3_3,Overhead_G_0_0,Overhead_G_0_1,Overhead_G_0_2,Overhead_G_0_3,Overhead_G_1_0,Overhead_G_1_1,Overhead_G_1_2,Overhead_G_1_3,Overhead_G_2_0,Overhead_G_2_1,Overhead_G_2_2,Overhead_G_2_3,Overhead_G_3_0,Overhead_G_3_1,Overhead_G_3_2,Overhead_G_3_3,Overhead_C_0_0,Overhead_C_0_1,Overhead_C_0_2,Overhead_C_0_3,Overhead_C_1_0,Overhead_C_1_1,Overhead_C_1_2,Overhead_C_1_3,Overhead_C_2_0,Overhead_C_2_1,Overhead_C_2_2,Overhead_C_2_3,Overhead_C_3_0,Overhead_C_3_1,Overhead_C_3_2,Overhead_C_3_3,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2
6.2831853071795869e+01,8.7513586991315472e-05,9.7367610658676076e-06,9.7194285953513206e-06,9.7059561905417415e-06,9.7367610658676076e-06,8.7513586991315472e-05,9.7194285953513206e-06,9.7059561905417415e-06,9.7194285953513206e-06,9.7194285953513206e-06,8.7478905459601304e-05,9.6886888258493814e-06,9.7059561905417415e-06,9.7059561905417415e-06,9.6886888258493814e-06,2.6880297424550013e-03,2.5055582179208567e-06,1.1875916225414378e-06,1.2086382199478578e-06,1.1174000763802470e-06,1.1875916225414378e-06,2.5055582179208567e-06,1.2086382199478578e-06,1.1174000763802470e-06,1.2086382199478578e-06,1.2086382199478578e-06,2.5061235422499337e-06,1.2961760591821803e-06,1.1174000763802470e-06,1.1174000763802470e-06,1.2961760591821803e-06,2.6807931424675348e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825099e-12,-1.1978281413433609e-12,-1.2976004784276647e-12,-7.4421868045270480e-13,-1.1978281413433609e-12,7.6417282362825083e-12,-1.2976004784276647e-12,-7.4421868045270470e-13,-1.2976004784276645e-12,-1.2976004784276645e-12,7.8824389596617849e-12,-1.7472744699475665e-12,-7.4421868045270490e-13,-7.4421868045270470e-13,-1.7472744699475663e-12,6.7230549785248756e-12,9.2480342846031994e-08,9.4729959500484133e-08,5.7311106828690320e-08,2.3355067522385631e-07,2.3556500295327111e-07,3.2139694671134419e-07
6.5415379968575820e+01,8.7914692960260746e-05,1.0134333176897040e-05,1.0115930014540538e-05,1.0101625548783768e-05,1.0134333176897040e-05,8.7914692960260746e-05,1.0115930014540538e-05,1.0101625548783768e-05,1.0115930014540538e-05,1.0115930014540538e-05,8.7877868655837188e-05,1.0083292915241173e-05,1.0101625548783768e-05,1.0101625548783768e-05,1.0083292915241173e-05,2.6884236226547399e-03,2.5015710361521719e-06,1.1836055672709133e-06,1.2046579139639233e-06,1.1134242418053974e-06,1.1836055672709133e-06,2.5015710361521719e-06,1.2046579139639233e-06,1.1134242418053974e-06,1.2046579139639233e-06,1.2046579139639233e-06,2.5021478592093402e-06,1.2922059721410930e-06,1.1134242418053974e-06,1.1134242418053974e-06,1.2922059721410930e-06,2.6768275240550743e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825083e-12,-1.1978281413433613e-12,-1.2976004784276655e-12,-7.4421868045270470e-13,-1.1978281413433607e-12,7.6417282362825066e-12,-1.2976004784276645e-12,-7.4421868045270440e-13,-1.2976004784276661e-12,-1.2976004784276647e-12,7.8824389596617913e-12,-1.7472744699475669e-12,-7.4421868045270531e-13,-7.4421868045270450e-13,-1.7472744699475677e-12,6.7230549785248789e-12,9.2977751640267610e-08,9.5255627859174225e-08,5.8262948217643627e-08,2.4186401100379880e-07,2.4391422715667304e-07,3.3392217896305113e-07
6.8105136602345354e+01,8.8332270401712923e-05,1.0548080459282962e-05,1.0528540663754173e-05,1.0513352907400108e-05,1.0548080459282962e-05,8.8332270401712923e-05,1.0528540663754173e-05,1.0513352907400108e-05,1.0528540663754173e-05,1.0528540663754173e-05,8.8293171325696471e-05,1.0493889514456878e-05,1.0513352907400108e-05,1.0513352907400108e-05,1.0493889514456878e-05,2.6888334532086311e-03,2.4975846437462613e-06,1.1796203957891574e-06,1.2006786085686057e-06,1.1094494986477298e-06,1.1796203957891574e-06,2.4975846437462613e-06,1.2006786085686057e-06,1.1094494986477298e-06,1.2006786085686057e-06,1.2006786085686057e-06,2.4981731991409356e-06,1.2882370932099454e-06,1.1094494986477298e-06,1.1094494986477298e-06,1.2882370932099454e-06,2.6728632043896294e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825066e-12,-1.1978281413433607e-12,-1.2976004784276647e-12,-7.4421868045270490e-13,-1.1978281413433607e-12,7.6417282362825066e-12,-1.2976004784276645e-12,-7.4421868045270510e-13,-1.2976004784276645e-12,-1.2976004784276651e-12,7.8824389596617833e-12,-1.7472744699475669e-12,-7.4421868045270500e-13,-7.4421868045270500e-13,-1.7472744699475667e-12,6.7230549785248765e-12,9.3452932058074592e-08,9.5758564595638211e-08,5.9258045647927303e-08,2.5054096558423846e-07,2.5262859535594552e-07,3.4694705727615184e-07
7.0905490938862883e+01,8.8766998517160784e-05,1.0978657302737642e-05,1.0957910888947213e-05,1.0941785472004073e-05,1.0978657302737642e-05,8.8766998517160784e-05,1.0957910888947213e-05,1.0941785472004073e-05,1.0957910888947213e-05,1.0957910888947213e-05,8.8725484573439603e-05,1.0921121822715223e-05,1.0941785472004073e-05,1.0941785472004073e-05,1.0921121822715223e-05,2.6892598749364443e-03,2.4935990510155140e-06,1.1756361263132667e-06,1.1967003243427468e-06,1.1054758693256036e-06,1.1756361263132667e-06,2.4935990510155140e-06,1.1967003243427468e-06,1.1054758693256036e-06,1.1967003243427468e-06,1.1967003243427468e-06,2.4941995770852198e-06,1.2842694471643481e-06,1.1054758693256036e-06,1.1054758693256036e-06,1.2842694471643481e-06,2.6689002100708688e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825099e-12,-1.1978281413433605e-12,-1.2976004784276645e-12,-7.4421868045270500e-13,-1.1978281413433609e-12,7.6417282362825066e-12,-1.2976004784276645e-12,-7.4421868045270500e-13,-1.2976004784276647e-12,-1.2976004784276645e-12,7.8824389596617849e-12,-1.7472744699475671e-12,-7.4421868045270510e-13,-7.4421868045270480e-13,-1.7472744699475665e-12,6.7230549785248773e-12,9.3906237625066779e-08,9.6239112973054392e-08,6.0298957697687306e-08,2.5959744583386499e-07,2.6172414565076143e-07,3.6049088533815181e-07
7.3820990546372755e+01,8.9219584945483775e-05,1.1426744453642146e-05,1.1404717145283881e-05,1.1387596365346920e-05,1.1426744453642146e-05,8.9219584945483775e-05,1.1404717145283881e-05,1.1387596365346920e-05,1.1404717145283881e-05,1.1404717145283881e-05,8.9175507444984794e-05,1.1365658712011124e-05,1.1387596365346920e-05,1.1387596365346920e-05,1.1365658712011124e-05,2.6897035542026966e-03,2.4896142694680821e-06,1.1716527789195116e-06,1.1927230837717849e-06,1.1015033781972449e-06,1.1716527789195116e-06,2.4896142694680821e-06,1.1927230837717849e-06,1.1015033781972449e-06,1.1927230837717849e-06,1.1927230837717849e-06,2.4902270093693292e-06,1.2803030607648080e-06,1.1015033781972449e-06,1.1015033781972449e-06,1.2803030607648080e-06,2.6649385697176535e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825083e-12,-1.1978281413433605e-12,-1.2976004784276649e-12,-7.4421868045270470e-13,-1.1978281413433607e-12,7.6417282362825083e-12,-1.2976004784276647e-12,-7.4421868045270480e-13,-1.2976004784276651e-12,-1.2976004784276645e-12,7.8824389596617849e-12,-1.7472744699475669e-12,-7.4421868045270490e-13,-7.4421868045270480e-13,-1.7472744699475669e-12,6.7230549785248765e-12,9.4338093193075827e-08,9.6697693887874409e-08,6.1388381517439761e-08,2.6904992683197592e-07,2.7121748932125303e-07,3.7457369438451543e-07
7.6856369980520014e+01,8.9690766904759414e-05,1.1893049985328210e-05,1.1869662952557589e-05,1.1851485571210724e-05,1.1893049985328210e-05,8.9690766904759414e-05,1.1869662952557589e-05,1.1851485571210724e-05,1.1869662952557589e-05,1.1869662952557589e-05,8.9643968039924339e-05,1.1828195656398072e-05,1.1851485571210724e-05,1.1851485571210724e-05,1.1828195656398072e-05,2.6901651838396449e-03,2.4856303052446376e-06,1.1676703690317392e-06,1.1887469047439006e-06,1.0975320450664618e-06,1.1676703690317392e-06,2.4856303052446376e-06,1.1887469047439006e-06,1.0975320450664618e-06,1.1887469047439006e-06,1.1887469047439006e-06,2.4862555070632898e-06,1.2763379562721635e-06,1.0975320450664618e-06,1.0975320450664618e-06,1.2763379562721635e-06,2.6609783074909748e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825099e-12,-1.1978281413433605e-12,-1.2976004784276645e-12,-7.4421868045270490e-13,-1.1978281413433611e-12,7.6417282362825083e-12,-1.2976004784276647e-12,-7.4421868045270500e-13,-1.2976004784276651e-12,-1.2976004784276647e-12,7.8824389596617849e-12,-1.7472744699475671e-12,-7.4421868045270520e-13,-7.4421868045270490e-13,-1.7472744699475667e-12,6.7230549785248781e-12,9.4748987086197967e-08,9.7134798307203508e-08,6.2529159642503936e-08,2.7891547977485316e-07,2.8112583830789231e-07,3.8921628042373659e-07
8.0016558472918234e+01,9.0181312322970542e-05,1.2378310257354617e-05,1.2353479840676113e-05,1.2334180869199396e-05,1.2378310257354617e-05,9.0181312322970542e-05,1.2353479840676113e-05,1.2334180869199396e-05,1.2353479840676113e-05,1.2353479840676113e-05,9.0131624614581623e-05,1.2309455653241453e-05,1.2334180869199396e-05,1.2334180869199396e-05,1.2309455653241453e-05,2.6906454840632966e-03,2.4816471728923349e-06,1.1636889212537682e-06,1.1847718143653292e-06,1.0935618989846818e-06,1.1636889212537682e-06,2.4816471728923349e-06,1.1847718143653292e-06,1.0935618989846818e-06,1.1847718143653292e-06,1.1847718143653292e-06,2.4822850897198306e-06,1.2723741652325244e-06,1.0935618989846818e-06,1.0935618989846818e-06,1.2723741652325244e-06,2.6570194568655491e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825083e-12,-1.1978281413433609e-12,-1.2976004784276651e-12,-7.4421868045270510e-13,-1.1978281413433597e-12,7.6417282362825083e-12,-1.2976004784276649e-12,-7.4421868045270490e-13,-1.2976004784276649e-12,-1.2976004784276649e-12,7.8824389596617849e-12,-1.7472744699475669e-12,-7.4421868045270480e-13,-7.4421868045270500e-13,-1.7472744699475669e-12,6.7230549785248781e-12,9.5139469839746674e-08,9.7550986095204783e-08,6.3724290875941138e-08,2.8921177554796749e-07,2.9146700831473622e-07,4.0444020199356793e-07
8.3306687935856900e+01,9.0692021294571499e-05,1.2883291157069056e-05,1.2856928572410663e-05,1.2836439042895693e-05,1.2883291157069056e-05,9.0692021294571499e-05,1.2856928572410663e-05,1.2836439042895693e-05,1.2856928572410663e-05,1.2856928572410663e-05,9.0639267000868257e-05,1.2810190412876363e-05,1.2836439042895693e-05,1.2836439042895693e-05,1.2810190412876363e-05,2.6911452036550709e-03,2.4776648681955842e-06,1.1597084422662472e-06,1.1807978218902787e-06,1.0895929512065628e-06,1.1597084422662472e-06,2.4776648681955842e-06,1.1807978218902787e-06,1.0895929512065628e-06,1.1807978218902787e-06,1.1807978218902787e-06,2.4783157582712558e-06,1.2684117014659054e-06,1.0895929512065628e-06,1.0895929512065628e-06,1.2684117014659054e-06,2.6530620336440549e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825099e-12,-1.1978281413433609e-12,-1.2976004784276641e-12,-7.4421868045270490e-13,-1.1978281413433611e-12,7.6417282362825099e-12,-1.2976004784276645e-12,-7.4421868045270480e-13,-1.2976004784276647e-12,-1.2976004784276647e-12,7.8824389596617817e-12,-1.7472744699475669e-12,-7.4421868045270531e-13,-7.4421868045270510e-13,-1.7472744699475669e-12,6.7230549785248781e-12,9.5510138261276521e-08,9.7946870337408906e-08,6.4976933920480083e-08,2.9995713108379741e-07,3.0225946473073053e-07,4.2026784730633393e-07
8.6732101296147491e+01,9.1223727439566595e-05,1.3408789242821655e-05,1.3380800270224992e-05,1.3359046993988266e-05,1.3408789242821655e-05,9.1223727439566595e-05,1.3380800270224992e-05,1.3359046993988266e-05,1.3380800270224992e-05,1.3380800270224992e-05,9.1167717932506714e-05,1.3331181456674270e-05,1.3359046993988266e-05,1.3359046993988266e-05,1.3331181456674270e-05,2.6916651210539301e-03,2.4736834245132657e-06,1.1557289772333393e-06,1.1768249750647533e-06,1.0856252514849347e-06,1.1557289772333393e-06,2.4736834245132657e-06,1.1768249750647533e-06,1.0856252514849347e-06,1.1768249750647533e-06,1.1768249750647533e-06,2.4743475512409626e-06,1.2644506172982854e-06,1.0856252514849347e-06,1.0856252514849347e-06,1.2644506172982854e-06,2.6491060921402261e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825083e-12,-1.1978281413433609e-12,-1.2976004784276651e-12,-7.4421868045270470e-13,-1.1978281413433607e-12,7.6417282362825099e-12,-1.2976004784276645e-12,-7.4421868045270470e-13,-1.2976004784276641e-12,-1.2976004784276649e-12,7.8824389596617817e-12,-1.7472744699475671e-12,-7.4421868045270490e-13,-7.4421868045270490e-13,-1.7472744699475677e-12,6.7230549785248773e-12,9.5861650702519944e-08,9.8323132487603955e-08,6.6290430367328402e-08,3.1117050324591058e-07,3.1352231625686100e-07,4.3672239353950515e-07
9.0298361171640849e+01,9.1777299334232394e-05,1.3955632938375279e-05,1.3925917590204836e-05,1.3902822900313936e-05,1.3955632938375279e-05,9.1777299334232394e-05,1.3925917590204836e-05,1.3902822900313936e-05,1.3925917590204836e-05,1.3925917590204836e-05,9.1717834434702327e-05,1.3873241254936397e-05,1.3902822900313936e-05,1.3902822900313936e-05,1.3873241254936397e-05,2.6922060454857284e-03,2.4697028089982265e-06,1.1517505060970659e-06,1.1728532565377121e-06,1.0816587845727983e-06,1.1517505060970659e-06,2.4697028089982265e-06,1.1728532565377121e-06,1.0816587845727983e-06,1.1728532565377121e-06,1.1728532565377121e-06,2.4703804411965559e-06,1.2604909001803891e-06,1.0816587845727983e-06,1.0816587845727983e-06,1.2604909001803891e-06,2.6451516218883765e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6417282362825083e-12,-1.1978281413433611e-12,-1.2976004784276647e-12,-7.4421868045270500e-13,-1.1978281413433609e-12,7.6417282362825099e-12,-1.2976004784276645e-12,-7.4421868045270490e-13,-1.2976004784276653e-12,-1.2976004784276649e-12,7.8824389596617849e-12,-1.7472744699475669e-12,-7.4421868045270490e-13,-7.4421868045270500e-13,-1.7472744699475663e-12,6.7230549785248773e-12,9.6194680013431110e-08,9.8680475677250537e-08,6.7668289365272619e-08,3.2287156758224319e-07,3.2527539295289383e-07,4.5382795160412567e-07
