omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5,re_6,im_6,re_7,im_7,re_8,im_8,re_9,im_9,re_10,im_10,re_11,im_11,re_12,im_12,re_13,im_13,re_14,im_14,re_15,im_15
62.83185307179587,0.0,4.801439457566964e-10,0.0,-7.526176178214839e-11,0.0,-8.153064260645906e-11,0.0,-4.676063878349015e-11,0.0,-7.526176178214839e-11,0.0,4.801439457566963e-10,0.0,-8.153064260645906e-11,0.0,-4.676063878349014e-11,0.0,-8.153064260645904e-11,0.0,-8.153064260645904e-11,0.0,4.952682465608687e-10,0.0,-1.097844927718455e-10,0.0,-4.6760638783490156e-11,0.0,-4.676063878349014e-11,0.0,-1.0978449277184549e-10,0.0,4.224220026042807e-10
65.41537996857582,0.0,4.998865561930151e-10,0.0,-7.835638300302893e-11,0.0,-8.488302834375151e-11,0.0,-4.868334776152579e-11,0.0,-7.835638300302889e-11,0.0,4.99886556193015e-10,0.0,-8.488302834375145e-11,0.0,-4.868334776152577e-11,0.0,-8.488302834375155e-11,0.0,-8.488302834375146e-11,0.0,5.156327396253816e-10,0.0,-1.14298623361012e-10,0.0,-4.868334776152583e-11,0.0,-4.8683347761525775e-11,0.0,-1.1429862336101205e-10,0.0,4.397911959698303e-10
68.10513660234535,0.0,5.204409454100198e-10,0.0,-8.157824919232302e-11,0.0,-8.83732578385848e-11,0.0,-5.0685114894248674e-11,0.0,-8.157824919232302e-11,0.0,5.204409454100198e-10,0.0,-8.837325783858477e-11,0.0,-5.0685114894248687e-11,0.0,-8.837325783858477e-11,0.0,-8.837325783858482e-11,0.0,5.368345821074148e-10,0.0,-1.1899836645756962e-10,0.0,-5.068511489424868e-11,0.0,-5.068511489424868e-11,0.0,-1.1899836645756962e-10,0.0,4.578745776975147e-10
70.90549093886288,0.0,5.418404922149821e-10,0.0,-8.493259242233661e-11,0.0,-9.20069989654169e-11,0.0,-5.2769190903371766e-11,0.0,-8.493259242233665e-11,0.0,5.418404922149819e-10,0.0,-9.20069989654169e-11,0.0,-5.2769190903371766e-11,0.0,-9.200699896541692e-11,0.0,-9.20069989654169e-11,0.0,5.589082042304385e-10,0.0,-1.2389135409657366e-10,0.0,-5.276919090337177e-11,0.0,-5.2769190903371754e-11,0.0,-1.238913540965736e-10,0.0,4.767015138612727e-10
73.82099054637276,0.0,5.641199478885608e-10,0.0,-8.842485989828746e-11,0.0,-9.579015265097741e-11,0.0,-5.493896017413312e-11,0.0,-8.842485989828748e-11,0.0,5.641199478885608e-10,0.0,-9.57901526509774e-11,0.0,-5.4938960174133126e-11,0.0,-9.579015265097743e-11,0.0,-9.579015265097739e-11,0.0,5.81889451923553e-10,0.0,-1.289855321279178e-10,0.0,-5.493896017413313e-11,0.0,-5.4938960174133126e-11,0.0,-1.289855321279178e-10,0.0,4.963025780124292e-10
76.85636998052001,0.0,5.873154926183153e-10,0.0,-9.206072280416394e-11,0.0,-9.972886245693637e-11,0.0,-5.719794625128749e-11,0.0,-9.206072280416398e-11,0.0,5.873154926183151e-10,0.0,-9.972886245693638e-11,0.0,-5.7197946251287496e-11,0.0,-9.972886245693641e-11,0.0,-9.972886245693638e-11,0.0,6.058156450326314e-10,0.0,-1.3428917311980723e-10,0.0,-5.719794625128751e-11,0.0,-5.719794625128749e-11,0.0,-1.3428917311980718e-10,0.0,5.167096008288851e-10
80.01655847291823,0.0,6.114647942526497e-10,0.0,-9.584608551230801e-11,0.0,-1.0382952455659394e-10,0.0,-5.954981756108193e-11,0.0,-9.584608551230791e-11,0.0,6.114647942526497e-10,0.0,-1.0382952455659393e-10,0.0,-5.954981756108192e-11,0.0,-1.0382952455659393e-10,0.0,-1.0382952455659393e-10,0.0,6.30725637924986e-10,0.0,-1.398108897927967e-10,0.0,-5.95498175610819e-11,0.0,-5.954981756108192e-11,0.0,-1.398108897927967e-10,0.0,5.3795572180578e-10
83.3066879358569,0.0,6.366070694706132e-10,0.0,-9.978709517167886e-11,0.0,-1.0809879812179203e-10,0.0,-6.19983933685087e-11,0.0,-9.978709517167888e-11,0.0,6.366070694706132e-10,0.0,-1.0809879812179205e-10,0.0,-6.199839336850868e-11,0.0,-1.0809879812179208e-10,0.0,-1.0809879812179208e-10,0.0,6.566598825859845e-10,0.0,-1.4555964900621172e-10,0.0,-6.199839336850873e-11,0.0,-6.199839336850871e-11,0.0,-1.4555964900621172e-10,0.0,5.600754430715811e-10
86.73210129614749,0.0,6.62783147466885e-10,0.0,-1.0389015169036845e-10,0.0,-1.125436161369177e-10,0.0,-6.45476499795092e-11,0.0,-1.0389015169036843e-10,0.0,6.627831474668851e-10,0.0,-1.1254361613691765e-10,0.0,-6.45476499795092e-11,0.0,-1.1254361613691761e-10,0.0,-1.1254361613691767e-10,0.0,6.836604943100851e-10,0.0,-1.515447863196648e-10,0.0,-6.454764997950922e-11,0.0,-6.454764997950922e-11,0.0,-1.5154478631966486e-10,0.0,5.831046854169883e-10
90.29836117164085,0.0,6.900355362553639e-10,0.0,-1.0816191812857809e-10,0.0,-1.1717119665755522e-10,0.0,-6.720172719820033e-11,0.0,-1.0816191812857807e-10,0.0,6.900355362553641e-10,0.0,-1.1717119665755522e-10,0.0,-6.720172719820031e-11,0.0,-1.1717119665755527e-10,0.0,-1.1717119665755525e-10,0.0,7.117713200929528e-10,0.0,-1.5777602115331272e-10,0.0,-6.720172719820031e-11,0.0,-6.720172719820033e-11,0.0,-1.5777602115331267e-10,0.0,6.070808466276375e-10
