omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5,re_6,im_6,re_7,im_7,re_8,im_8,re_9,im_9,re_10,im_10,re_11,im_11,re_12,im_12,re_13,im_13,re_14,im_14,re_15,im_15
62.83185307179587,8.751358699131547e-05,0.00015742886581123397,9.736761065867608e-06,7.461858233681928e-05,9.71942859535132e-06,7.59409790527207e-05,9.705956190541742e-06,7.020831742153716e-05,9.736761065867608e-06,7.461858233681928e-05,8.751358699131547e-05,0.00015742886581123397,9.71942859535132e-06,7.59409790527207e-05,9.705956190541742e-06,7.020831742153716e-05,9.71942859535132e-06,7.59409790527207e-05,9.71942859535132e-06,7.59409790527207e-05,8.74789054596013e-05,0.00015746438618641643,9.688688825849381e-06,8.144114370571414e-05,9.705956190541742e-06,7.020831742153716e-05,9.705956190541742e-06,7.020831742153716e-05,9.688688825849381e-06,8.144114370571414e-05,0.0026880297424550013,0.00016843920084339808
65.41537996857582,8.791469296026075e-05,0.00016364121984827824,1.013433317689704e-05,7.742600791594852e-05,1.0115930014540538e-05,7.880315517410196e-05,1.0101625548783768e-05,7.283506984392351e-05,1.013433317689704e-05,7.742600791594852e-05,8.791469296026075e-05,0.00016364121984827824,1.0115930014540538e-05,7.880315517410196e-05,1.0101625548783768e-05,7.283506984392351e-05,1.0115930014540538e-05,7.880315517410196e-05,1.0115930014540538e-05,7.880315517410196e-05,8.787786865583719e-05,0.00016367895294773754,1.0083292915241173e-05,8.45301446652725e-05,1.0101625548783768e-05,7.283506984392351e-05,1.0101625548783768e-05,7.283506984392351e-05,1.0083292915241173e-05,8.45301446652725e-05,0.00268842362265474,0.00017510568959640472
68.10513660234535,8.833227040171292e-05,0.00017009834333825917,1.0548080459282962e-05,8.033820819413325e-05,1.0528540663754173e-05,8.177238065207884e-05,1.0513352907400108e-05,7.55592096588072e-05,1.0548080459282962e-05,8.033820819413325e-05,8.833227040171292e-05,0.00017009834333825917,1.0528540663754173e-05,8.177238065207884e-05,1.0513352907400108e-05,7.55592096588072e-05,1.0528540663754173e-05,8.177238065207884e-05,1.0528540663754173e-05,8.177238065207884e-05,8.829317132569647e-05,0.00017013842698381152,1.0493889514456878e-05,8.773556320927163e-05,1.0513352907400108e-05,7.55592096588072e-05,1.0513352907400108e-05,7.55592096588072e-05,1.0493889514456878e-05,8.773556320927163e-05,0.002688833453208631,0.00018203571365433825
70.90549093886288,8.876699851716078e-05,0.00017680986491693763,1.0978657302737642e-05,8.335905670170519e-05,1.0957910888947213e-05,8.485262400421891e-05,1.0941785472004073e-05,7.838430923559815e-05,1.0978657302737642e-05,8.335905670170519e-05,8.876699851716078e-05,0.00017680986491693763,1.0957910888947213e-05,8.485262400421891e-05,1.0941785472004073e-05,7.838430923559815e-05,1.0957910888947213e-05,8.485262400421891e-05,1.0957910888947213e-05,8.485262400421891e-05,8.87254845734396e-05,0.00017685244551273168,1.0921121822715223e-05,9.106175564897013e-05,1.0941785472004073e-05,7.838430923559815e-05,1.0941785472004073e-05,7.838430923559815e-05,1.0921121822715223e-05,9.106175564897013e-05,0.0026892598749364443,0.00018923967966190923
73.82099054637276,8.921958494548377e-05,0.000183785791450518,1.1426744453642146e-05,8.649256871624864e-05,1.1404717145283881e-05,8.804799949155749e-05,1.138759636534692e-05,8.131407046869647e-05,1.1426744453642146e-05,8.649256871624864e-05,8.921958494548377e-05,0.000183785791450518,1.1404717145283881e-05,8.804799949155749e-05,1.138759636534692e-05,8.131407046869647e-05,1.1404717145283881e-05,8.804799949155749e-05,1.1404717145283881e-05,8.804799949155749e-05,8.91755074449848e-05,0.00018383102451697536,1.1365658712011124e-05,9.451324014521099e-05,1.138759636534692e-05,8.131407046869647e-05,1.138759636534692e-05,8.131407046869647e-05,1.1365658712011124e-05,9.451324014521099e-05,0.0026897035542026966,0.00019672840496179103
76.85636998052001,8.969076690475941e-05,0.00019103652237467477,1.189304998532821e-05,8.974290589759368e-05,1.186966295255759e-05,9.13627719241952e-05,1.1851485571210724e-05,8.435232892110476e-05,1.189304998532821e-05,8.974290589759368e-05,8.969076690475941e-05,0.00019103652237467477,1.186966295255759e-05,9.13627719241952e-05,1.1851485571210724e-05,8.435232892110476e-05,1.186966295255759e-05,9.13627719241952e-05,1.186966295255759e-05,9.13627719241952e-05,8.964396803992434e-05,0.00019108457311696158,1.1828195656398072e-05,9.809470218743417e-05,1.1851485571210724e-05,8.435232892110476e-05,1.1851485571210724e-05,8.435232892110476e-05,1.1828195656398072e-05,9.809470218743417e-05,0.002690165183839645,0.00020451313331066432
80.01655847291823,9.018131232297054e-05,0.00019857286611889174,1.2378310257354617e-05,9.311438261178929e-05,1.2353479840676113e-05,9.48013631612288e-05,1.2334180869199396e-05,8.75030596338633e-05,1.2378310257354617e-05,9.311438261178929e-05,9.018131232297054e-05,0.00019857286611889174,1.2353479840676113e-05,9.48013631612288e-05,1.2334180869199396e-05,8.75030596338633e-05,1.2353479840676113e-05,9.48013631612288e-05,1.2353479840676113e-05,9.48013631612288e-05,9.013162461458162e-05,0.0001986239100280199,1.2309455653241453e-05,0.00010181100179175882,1.2334180869199396e-05,8.75030596338633e-05,1.2334180869199396e-05,8.75030596338633e-05,1.2309455653241453e-05,0.00010181100179175882,0.0026906454840632966,0.00021260555273396365
83.3066879358569,9.06920212945715e-05,0.00020640605398440556,1.2883291157069056e-05,9.661146929645298e-05,1.2856928572410663e-05,9.836835566355298e-05,1.2836439042895693e-05,9.077037996327448e-05,1.2883291157069056e-05,9.661146929645298e-05,9.06920212945715e-05,0.00020640605398440556,1.2856928572410663e-05,9.836835566355298e-05,1.2836439042895693e-05,9.077037996327448e-05,1.2856928572410663e-05,9.836835566355298e-05,1.2856928572410663e-05,9.836835566355298e-05,9.063926700086826e-05,0.00020646027748082006,1.2810190412876363e-05,0.00010566717778820946,1.2836439042895693e-05,9.077037996327448e-05,1.2836439042895693e-05,9.077037996327448e-05,1.2810190412876363e-05,0.00010566717778820946,0.002691145203655071,0.00022101781091125517
86.73210129614749,9.12237274395666e-05,0.00021454776134948556,1.3408789242821655e-05,0.00010023880272429492,1.3380800270224992e-05,0.00010206850294515243,1.3359046993988266e-05,9.415855928144695e-05,1.3408789242821655e-05,0.00010023880272429492,9.12237274395666e-05,0.00021454776134948556,1.3380800270224992e-05,0.00010206850294515243,1.3359046993988266e-05,9.415855928144695e-05,1.3380800270224992e-05,0.00010206850294515243,1.3380800270224992e-05,0.00010206850294515243,9.116771793250671e-05,0.00021460536245610567,1.333118145667427e-05,0.00010966845902349111,1.3359046993988266e-05,9.415855928144695e-05,1.3359046993988266e-05,9.415855928144695e-05,1.333118145667427e-05,0.00010966845902349111,0.00269166512105393,0.0002297625379277475
90.29836117164085,9.17772993342324e-05,0.0002230101162335378,1.395563293837528e-05,0.000104001183179173,1.3925917590204836e-05,0.00010590672696017747,1.3902822900313936e-05,9.76720155938326e-05,1.395563293837528e-05,0.000104001183179173,9.17772993342324e-05,0.0002230101162335378,1.3925917590204836e-05,0.00010590672696017747,1.3902822900313936e-05,9.76720155938326e-05,1.3925917590204836e-05,0.00010590672696017747,1.3925917590204836e-05,0.00010590672696017747,9.171783443470233e-05,0.00022307130531052407,1.3873241254936397e-05,0.00011382026255805546,1.3902822900313936e-05,9.76720155938326e-05,1.3902822900313936e-05,9.76720155938326e-05,1.3873241254936397e-05,0.00011382026255805546,0.0026922060454857284,0.00023885285650702818
