omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5,re_6,im_6,re_7,im_7,re_8,im_8,re_9,im_9,re_10,im_10,re_11,im_11,re_12,im_12,re_13,im_13,re_14,im_14,re_15,im_15,re_16,im_16,re_17,im_17,re_18,im_18,re_19,im_19,re_20,im_20,re_21,im_21,re_22,im_22,re_23,im_23,re_24,im_24,re_25,im_25,re_26,im_26,re_27,im_27,re_28,im_28,re_29,im_29,re_30,im_30,re_31,im_31,re_32,im_32,re_33,im_33,re_34,im_34,re_35,im_35,re_36,im_36,re_37,im_37,re_38,im_38,re_39,im_39,re_40,im_40,re_41,im_41,re_42,im_42,re_43,im_43,re_44,im_44,re_45,im_45,re_46,im_46,re_47,im_47,re_48,im_48,re_49,im_49,re_50,im_50,re_51,im_51,re_52,im_52,re_53,im_53,re_54,im_54,re_55,im_55,re_56,im_56,re_57,im_57,re_58,im_58,re_59,im_59,re_60,im_60,re_61,im_61,re_62,im_62,re_63,im_63
62.83185307179587,0.0,6.605804358886652e-10,0.0,-3.423550859240719e-10,0.0,-3.0688405717761015e-11,0.0,-2.5832638194230684e-11,0.0,-1.1274567337115436e-11,0.0,-1.0324774138897807e-11,0.0,-3.7022646937863745e-11,0.0,-1.661266407894082e-11,0.0,-3.423550859240719e-10,0.0,6.634634940955748e-10,0.0,-3.577731015747617e-11,0.0,-2.982052161541089e-11,0.0,-1.2455681099044792e-11,0.0,-1.133688537601481e-11,0.0,-3.716926642351698e-11,0.0,-1.7336405666618704e-11,0.0,-3.068840571776102e-11,0.0,-3.5777310157476166e-11,0.0,6.705643364487853e-10,0.0,-3.3369966501411817e-10,0.0,-3.357456362965185e-11,0.0,-2.8903523366745805e-11,0.0,-3.5204066144433516e-11,0.0,-3.26107745696156e-11,0.0,-2.583263819423071e-11,0.0,-2.9820521615410915e-11,0.0,-3.33699665014118e-10,0.0,6.710610606700702e-10,0.0,-4.0519063077080995e-11,0.0,-3.442722002086979e-11,0.0,-3.216140307885303e-11,0.0,-3.4901222698074875e-11,0.0,-1.1274567337115447e-11,0.0,-1.2455681099044787e-11,0.0,-3.3574563629651864e-11,0.0,-4.051906307708098e-11,0.0,6.649516631529939e-10,0.0,-3.412069116053468e-10,0.0,-1.8041001568625937e-11,0.0,-3.7500677964772126e-11,0.0,-1.0324774138897791e-11,0.0,-1.1336885376014817e-11,0.0,-2.8903523366745805e-11,0.0,-3.442722002086979e-11,0.0,-3.412069116053468e-10,0.0,6.614386237430162e-10,0.0,-1.722181549777179e-11,0.0,-3.745611682546285e-11,0.0,-3.702264693786373e-11,0.0,-3.716926642351698e-11,0.0,-3.5204066144433516e-11,0.0,-3.2161403078853025e-11,0.0,-1.8041001568625934e-11,0.0,-1.72218154977718e-11,0.0,4.13429284549811e-10,0.0,-5.3454118319094007e-11,0.0,-1.6612664078940816e-11,0.0,-1.7336405666618714e-11,0.0,-3.261077456961561e-11,0.0,-3.490122269807487e-11,0.0,-3.750067796477212e-11,0.0,-3.745611682546285e-11,0.0,-5.345411831909401e-11,0.0,4.1301994281977064e-10
65.41537996857582,0.0,6.877422533454076e-10,0.0,-3.564320791924956e-10,0.0,-3.195025488685264e-11,0.0,-2.689482739169584e-11,0.0,-1.1738156210289556e-11,0.0,-1.0749309313127656e-11,0.0,-3.854494811915572e-11,0.0,-1.7295745388449073e-11,0.0,-3.564320791924954e-10,0.0,6.907438574499536e-10,0.0,-3.724840544700485e-11,0.0,-3.104668503257748e-11,0.0,-1.2967835134997303e-11,0.0,-1.1803036649019263e-11,0.0,-3.86975963205997e-11,0.0,-1.8049245860620606e-11,0.0,-3.1950254886852635e-11,0.0,-3.7248405447004866e-11,0.0,6.981366730032599e-10,0.0,-3.474207637540408e-10,0.0,-3.4955086150382536e-11,0.0,-3.009198155123336e-11,0.0,-3.66515907249395e-11,0.0,-3.395166790804953e-11,0.0,-2.689482739169586e-11,0.0,-3.104668503257749e-11,0.0,-3.4742076375404087e-10,0.0,6.986538215845343e-10,0.0,-4.21851302734813e-11,0.0,-3.584280215886029e-11,0.0,-3.34838191119669e-11,0.0,-3.6336294929160434e-11,0.0,-1.1738156210289556e-11,0.0,-1.29678351349973e-11,0.0,-3.495508615038252e-11,0.0,-4.2185130273481296e-11,0.0,6.922932172028372e-10,0.0,-3.5523669411856256e-10,0.0,-1.8782813412757523e-11,0.0,-3.904263487727582e-11,0.0,-1.074930931312766e-11,0.0,-1.1803036649019255e-11,0.0,-3.009198155123336e-11,0.0,-3.5842802158860274e-11,0.0,-3.552366941185626e-10,0.0,6.886357282603148e-10,0.0,-1.792994396087847e-11,0.0,-3.8996241468244594e-11,0.0,-3.85449481191557e-11,0.0,-3.869759632059971e-11,0.0,-3.6651590724939503e-11,0.0,-3.34838191119669e-11,0.0,-1.8782813412757533e-11,0.0,-1.7929943960878464e-11,0.0,4.304287143665702e-10,0.0,-5.5652050509049234e-11,0.0,-1.7295745388449076e-11,0.0,-1.8049245860620612e-11,0.0,-3.3951667908049514e-11,0.0,-3.6336294929160434e-11,0.0,-3.904263487727582e-11,0.0,-3.89962414682446e-11,0.0,-5.565205050904922e-11,0.0,4.3000254127921947e-10
68.10513660234535,0.0,7.160209133355822e-10,0.0,-3.7108789178514315e-10,0.0,-3.3263988905883357e-11,0.0,-2.8000691798898734e-11,0.0,-1.222080698064381e-11,0.0,-1.1191300570341388e-11,0.0,-4.012984344425518e-11,0.0,-1.8006913708757212e-11,0.0,-3.7108789178514315e-10,0.0,7.191459377207414e-10,0.0,-3.877998939097261e-11,0.0,-3.232326596909493e-11,0.0,-1.350104797571983e-11,0.0,-1.2288355180235861e-11,0.0,-4.028876825087468e-11,0.0,-1.8791396694437713e-11,0.0,-3.326398890588338e-11,0.0,-3.87799893909726e-11,0.0,7.268427318596078e-10,0.0,-3.6170604810866225e-10,0.0,-3.639237314469702e-11,0.0,-3.1329306887256514e-11,0.0,-3.815863477693414e-11,0.0,-3.5347696243084575e-11,0.0,-2.8000691798898734e-11,0.0,-3.232326596909494e-11,0.0,-3.617060481086623e-10,0.0,7.273811446119046e-10,0.0,-4.391970300017091e-11,0.0,-3.7316590355550354e-11,0.0,-3.486061038985318e-11,0.0,-3.783037461469104e-11,0.0,-1.2220806980643817e-11,0.0,-1.3501047975719833e-11,0.0,-3.6392373144697066e-11,0.0,-4.3919703000170895e-11,0.0,7.207590042146912e-10,0.0,-3.69843354739089e-10,0.0,-1.95551271561324e-11,0.0,-4.064799414005838e-11,0.0,-1.1191300570341412e-11,0.0,-1.2288355180235858e-11,0.0,-3.1329306887256514e-11,0.0,-3.731659035555034e-11,0.0,-3.698433547390889e-10,0.0,7.169511262481992e-10,0.0,-1.8667189326342308e-11,0.0,-4.0599693121841615e-11,0.0,-4.0129843444255205e-11,0.0,-4.0288768250874674e-11,0.0,-3.8158634776934134e-11,0.0,-3.486061038985318e-11,0.0,-1.9555127156132395e-11,0.0,-1.866718932634231e-11,0.0,4.481271285680704e-10,0.0,-5.7940357511339824e-11,0.0,-1.8006913708757225e-11,0.0,-1.8791396694437717e-11,0.0,-3.5347696243084575e-11,0.0,-3.7830374614691054e-11,0.0,-4.064799414005838e-11,0.0,-4.059969312184161e-11,0.0,-5.794035751133982e-11,0.0,4.476834320498478e-10
70.90549093886288,0.0,7.454623383106771e-10,0.0,-3.8634632365728324e-10,0.0,-3.463174118169709e-11,0.0,-2.9152027257813835e-11,0.0,-1.2723303437317991e-11,0.0,-1.1651465671637862e-11,0.0,-4.1779906665903826e-11,0.0,-1.87473239245981e-11,0.0,-3.8634632365728314e-10,0.0,7.487158577848308e-10,0.0,-4.037454916838259e-11,0.0,-3.365233749795002e-11,0.0,-1.4056185519413371e-11,0.0,-1.2793629091050615e-11,0.0,-4.1945366159825985e-11,0.0,-1.956406336611248e-11,0.0,-3.463174118169709e-11,0.0,-4.037454916838261e-11,0.0,7.56729129533454e-10,0.0,-3.7657871632280725e-10,0.0,-3.7888758660329467e-11,0.0,-3.261750869961136e-11,0.0,-3.972764562845182e-11,0.0,-3.680112662144488e-11,0.0,-2.915202725781384e-11,0.0,-3.365233749795007e-11,0.0,-3.7657871632280746e-10,0.0,7.572896807992454e-10,0.0,-4.572559807491708e-11,0.0,-3.8850977933925966e-11,0.0,-3.629401271967852e-11,0.0,-3.93858880295292e-11,0.0,-1.2723303437318012e-11,0.0,-1.405618551941335e-11,0.0,-3.788875866032947e-11,0.0,-4.572559807491706e-11,0.0,7.503952505204828e-10,0.0,-3.85050613603028e-10,0.0,-2.0359196979126343e-11,0.0,-4.231936273778223e-11,0.0,-1.1651465671637845e-11,0.0,-1.2793629091050639e-11,0.0,-3.2617508699611386e-11,0.0,-3.885097793392596e-11,0.0,-3.850506136030281e-10,0.0,7.464307998179475e-10,0.0,-1.9434748826088122e-11,0.0,-4.226907567310007e-11,0.0,-4.177990666590385e-11,0.0,-4.194536615982598e-11,0.0,-3.9727645628451865e-11,0.0,-3.62940127196785e-11,0.0,-2.0359196979126346e-11,0.0,-1.9434748826088122e-11,0.0,4.665532680694709e-10,0.0,-6.03227553672259e-11,0.0,-1.8747323924598102e-11,0.0,-1.956406336611249e-11,0.0,-3.6801126621444867e-11,0.0,-3.938588802952921e-11,0.0,-4.2319362737782224e-11,0.0,-4.226907567310009e-11,0.0,-6.032275536722591e-11,0.0,4.660913275900598e-10
73.82099054637276,0.0,7.761143389664813e-10,0.0,-4.022321533733049e-10,0.0,-3.605573284278972e-11,0.0,-3.0350703452039143e-11,0.0,-1.3246461597378032e-11,0.0,-1.213055189109391e-11,0.0,-4.34978173646855e-11,0.0,-1.9518178407379336e-11,0.0,-4.0223215337330445e-10,0.0,7.795016370045282e-10,0.0,-4.2034674226331976e-11,0.0,-3.5036057932967644e-11,0.0,-1.4634149268374232e-11,0.0,-1.3319678908909497e-11,0.0,-4.367008023988607e-11,0.0,-2.0368500629150113e-11,0.0,-3.6055732842789744e-11,0.0,-4.203467422633194e-11,0.0,7.878443993233266e-10,0.0,-3.920629205092275e-10,0.0,-3.9446672716639616e-11,0.0,-3.395867893272722e-11,0.0,-4.136117123702438e-11,0.0,-3.831431930652556e-11,0.0,-3.0350703452039143e-11,0.0,-3.5036057932967715e-11,0.0,-3.920629205092277e-10,0.0,7.884279993963929e-10,0.0,-4.760574813770307e-11,0.0,-4.0448456625885106e-11,0.0,-3.778635384076911e-11,0.0,-4.100536121236816e-11,0.0,-1.3246461597378053e-11,0.0,-1.4634149268374222e-11,0.0,-3.9446672716639654e-11,0.0,-4.760574813770304e-11,0.0,7.812500831914265e-10,0.0,-4.008831661735903e-10,0.0,-2.1196328631638817e-11,0.0,-4.4059454849385464e-11,0.0,-1.2130551891093895e-11,0.0,-1.3319678908909531e-11,0.0,-3.3958678932727196e-11,0.0,-4.044845662588511e-11,0.0,-4.0088316617359026e-10,0.0,7.771226217782372e-10,0.0,-2.0233868919951798e-11,0.0,-4.400710007576568e-11,0.0,-4.3497817364685545e-11,0.0,-4.367008023988608e-11,0.0,-4.136117123702445e-11,0.0,-3.7786353840769084e-11,0.0,-2.1196328631638827e-11,0.0,-2.0233868919951792e-11,0.0,4.857370555579718e-10,0.0,-6.280311291455185e-11,0.0,-1.9518178407379326e-11,0.0,-2.0368500629150133e-11,0.0,-3.8314319306525586e-11,0.0,-4.1005361212368166e-11,0.0,-4.405945484938549e-11,0.0,-4.4007100075765684e-11,0.0,-6.280311291455184e-11,0.0,4.852561209602128e-10
76.85636998052001,0.0,8.080266918841223e-10,0.0,-4.187711783452759e-10,0.0,-3.7538276346257915e-11,0.0,-3.159866694302414e-11,0.0,-1.3791131030967476e-11,0.0,-1.2629337229282361e-11,0.0,-4.5286365300467103e-11,0.0,-2.0320728967745473e-11,0.0,-4.1877117834527593e-10,0.0,8.115532692074493e-10,0.0,-4.376306048508229e-11,0.0,-3.6476674333753e-11,0.0,-1.5235877792967232e-11,0.0,-1.3867358899794425e-11,0.0,-4.546571129910954e-11,0.0,-2.120601483014558e-11,0.0,-3.753827634625792e-11,0.0,-4.376306048508228e-11,0.0,8.202390701251478e-10,0.0,-4.081838058698467e-10,0.0,-4.1068645250785064e-11,0.0,-3.535499554782952e-11,0.0,-4.306186432737575e-11,0.0,-3.988973161128627e-11,0.0,-3.159866694302414e-11,0.0,-3.6476674333752926e-11,0.0,-4.0818380586984656e-10,0.0,8.208466667288279e-10,0.0,-4.95632064131187e-11,0.0,-4.211162061862626e-11,0.0,-3.9340057204687404e-11,0.0,-4.269142406783222e-11,0.0,-1.3791131030967444e-11,0.0,-1.5235877792967248e-11,0.0,-4.10686452507851e-11,0.0,-4.9563206413118714e-11,0.0,8.133736081928342e-10,0.0,-4.1736672334470087e-10,0.0,-2.2067881553534218e-11,0.0,-4.587109625570815e-11,0.0,-1.262933722928242e-11,0.0,-1.38673588997944e-11,0.0,-3.535499554782946e-11,0.0,-4.2111620618626255e-11,0.0,-4.173667233447009e-10,0.0,8.090764333770463e-10,0.0,-2.10658473198389e-11,0.0,-4.5816588752872094e-11,0.0,-4.5286365300467084e-11,0.0,-4.546571129910955e-11,0.0,-4.3061864327375767e-11,0.0,-3.9340057204687417e-11,0.0,-2.2067881553534214e-11,0.0,-2.106584731983889e-11,0.0,5.057096440850486e-10,0.0,-6.538545807045314e-11,0.0,-2.0320728967745505e-11,0.0,-2.1206014830145567e-11,0.0,-3.988973161128627e-11,0.0,-4.26914240678322e-11,0.0,-4.5871096255708144e-11,0.0,-4.581658875287208e-11,0.0,-6.538545807045313e-11,0.0,5.052089343667391e-10
80.01655847291823,0.0,8.412512203635446e-10,0.0,-4.3599025672602956e-10,0.0,-3.9081779233058004e-11,0.0,-3.289794433114146e-11,0.0,-1.4358196240946336e-11,0.0,-1.3148631676687465e-11,0.0,-4.714845494276151e-11,0.0,-2.1156278888425968e-11,0.0,-4.3599025672602946e-10,0.0,8.449228038727945e-10,0.0,-4.55625147160346e-11,0.0,-3.797652615474976e-11,0.0,-1.5862348255794537e-11,0.0,-1.4437558455487618e-11,0.0,-4.7335175309478034e-11,0.0,-2.207796603019362e-11,0.0,-3.908177923305801e-11,0.0,-4.556251471603463e-11,0.0,8.539657484874216e-10,0.0,-4.2496755152970715e-10,0.0,-4.275731022615162e-11,0.0,-3.6808726059787866e-11,0.0,-4.483248669925042e-11,0.0,-4.152992188874525e-11,0.0,-3.28979443311415e-11,0.0,-3.797652615474975e-11,0.0,-4.2496755152970715e-10,0.0,8.545983283136432e-10,0.0,-5.160115166857111e-11,0.0,-4.384317076741614e-11,0.0,-4.09576459107381e-11,0.0,-4.444681463724702e-11,0.0,-1.4358196240946345e-11,0.0,-1.5862348255794517e-11,0.0,-4.2757310226151594e-11,0.0,-5.160115166857111e-11,0.0,8.468179917524912e-10,0.0,-4.345280531935887e-10,0.0,-2.2975271082271547e-11,0.0,-4.775722892835093e-11,0.0,-1.3148631676687486e-11,0.0,-1.4437558455487612e-11,0.0,-3.680872605978785e-11,0.0,-4.384317076741613e-11,0.0,-4.345280531935887e-10,0.0,8.423441252401511e-10,0.0,-2.1932035097112866e-11,0.0,-4.770048018014694e-11,0.0,-4.7148454942761544e-11,0.0,-4.733517530947802e-11,0.0,-4.483248669925045e-11,0.0,-4.0957645910738066e-11,0.0,-2.297527108227155e-11,0.0,-2.1932035097112866e-11,0.0,5.265034676566983e-10,0.0,-6.807398437239538e-11,0.0,-2.1156278888425968e-11,0.0,-2.2077966030193635e-11,0.0,-4.1529921888745246e-11,0.0,-4.4446814637246995e-11,0.0,-4.775722892835095e-11,0.0,-4.770048018014696e-11,0.0,-6.807398437239538e-11,0.0,5.259821697023034e-10
83.3066879358569,0.0,8.758418785807181e-10,0.0,-4.5391735102481764e-10,0.0,-4.06887480376745e-11,0.0,-3.425064554673593e-11,0.0,-1.494857809925861e-11,0.0,-1.3689278529069168e-11,0.0,-4.908711018737211e-11,0.0,-2.2026185040669626e-11,0.0,-4.539173510248176e-10,0.0,8.796644306558495e-10,0.0,-4.7435959099718465e-11,0.0,-3.953804904434133e-11,0.0,-1.6514577998535172e-11,0.0,-1.503120353787858e-11,0.0,-4.928150814222279e-11,0.0,-2.2985770213527567e-11,0.0,-4.068874803767448e-11,0.0,-4.7435959099718503e-11,0.0,8.890792040403727e-10,0.0,-4.424414130499326e-10,0.0,-4.451540990971499e-11,0.0,-3.832223121939219e-11,0.0,-4.6675913712372125e-11,0.0,-4.323755368655556e-11,0.0,-3.425064554673596e-11,0.0,-3.953804904434134e-11,0.0,-4.4244141304993274e-10,0.0,8.897377943519691e-10,0.0,-5.372289337636767e-11,0.0,-4.5645918981579194e-11,0.0,-4.2641746803294435e-11,0.0,-4.627438354501592e-11,0.0,-1.4948578099258637e-11,0.0,-1.6514577998535156e-11,0.0,-4.4515409909714954e-11,0.0,-5.372289337636765e-11,0.0,8.816375450747499e-10,0.0,-4.5239502445016273e-10,0.0,-2.3919970751307773e-11,0.0,-4.972091580721933e-11,0.0,-1.3689278529069155e-11,0.0,-1.503120353787862e-11,0.0,-3.832223121939224e-11,0.0,-4.5645918981579194e-11,0.0,-4.5239502445016273e-10,0.0,8.769797216376631e-10,0.0,-2.2833838876634803e-11,0.0,-4.966183365787917e-11,0.0,-4.908711018737216e-11,0.0,-4.928150814222278e-11,0.0,-4.6675913712372144e-11,0.0,-4.2641746803294397e-11,0.0,-2.391997075130778e-11,0.0,-2.2833838876634826e-11,0.0,5.481522939038677e-10,0.0,-7.087305778816905e-11,0.0,-2.202618504066963e-11,0.0,-2.298577021352756e-11,0.0,-4.3237553686555566e-11,0.0,-4.6274383545015924e-11,0.0,-4.9720915807219344e-11,0.0,-4.9661833657879176e-11,0.0,-7.087305778816904e-11,0.0,5.4760956116408e-10
86.73210129614749,0.0,9.118548392052286e-10,0.0,-4.725815735163576e-10,0.0,-4.236179235854656e-11,0.0,-3.565896727649554e-11,0.0,-1.5563235342359834e-11,0.0,-1.4252155756913307e-11,0.0,-5.11054792669753e-11,0.0,-2.2931860087703498e-11,0.0,-4.725815735163576e-10,0.0,9.15834567387981e-10,0.0,-4.938643597119708e-11,0.0,-4.1163778800163414e-11,0.0,-1.719362619403298e-11,0.0,-1.564925818265744e-11,0.0,-5.130787049785521e-11,0.0,-2.3930901586972747e-11,0.0,-4.236179235854656e-11,0.0,-4.938643597119711e-11,0.0,9.256364584377787e-10,0.0,-4.6063376668874243e-10,0.0,-4.634579932527978e-11,0.0,-3.98979688470377e-11,0.0,-4.8595138955815195e-11,0.0,-4.501540007240931e-11,0.0,-3.565896727649554e-11,0.0,-4.116377880016342e-11,0.0,-4.6063376668874264e-10,0.0,9.26322128736687e-10,0.0,-5.593187708805437e-11,0.0,-4.752279279083007e-11,0.0,-4.439509473759949e-11,0.0,-4.81770986278236e-11,0.0,-1.5563235342359828e-11,0.0,-1.7193626194032975e-11,0.0,-4.634579932527975e-11,0.0,-5.5931877088054377e-11,0.0,9.178888125379113e-10,0.0,-4.709966517537682e-10,0.0,-2.4903514683007208e-11,0.0,-5.1765345774511607e-11,0.0,-1.4252155756913317e-11,0.0,-1.5649258182657435e-11,0.0,-3.989796884703772e-11,0.0,-4.752279279083007e-11,0.0,-4.709966517537684e-10,0.0,9.130394682154479e-10,0.0,-2.377272312101828e-11,0.0,-5.17038342789963e-11,0.0,-5.110547926697533e-11,0.0,-5.130787049785521e-11,0.0,-4.85951389558152e-11,0.0,-4.4395094737599506e-11,0.0,-2.4903514683007208e-11,0.0,-2.3772723121018285e-11,0.0,5.706912789185877e-10,0.0,-7.37872238058982e-11,0.0,-2.293186008770349e-11,0.0,-2.3930901586972763e-11,0.0,-4.5015400072409314e-11,0.0,-4.817709862782359e-11,0.0,-5.176534577451158e-11,0.0,-5.1703834278996314e-11,0.0,-7.378722380589818e-11,0.0,5.701262300355949e-10
90.29836117164085,0.0,9.49348584620532e-10,0.0,-4.920132335170103e-10,0.0,-4.4103629095862836e-11,0.0,-3.71251965307076e-11,0.0,-1.6203166128134337e-11,0.0,-1.483817743119065e-11,0.0,-5.320683986361712e-11,0.0,-2.387477477879305e-11,0.0,-4.920132335170103e-10,0.0,9.534919516950144e-10,0.0,-5.141711276059391e-11,0.0,-4.285635548705189e-11,0.0,-1.79005955663147e-11,0.0,-1.6292726064837372e-11,0.0,-5.3417553038910373e-11,0.0,-2.491489497394944e-11,0.0,-4.410362909586287e-11,0.0,-5.1417112760593965e-11,0.0,9.636968779559098e-10,0.0,-4.795741554823943e-10,0.0,-4.825145088982628e-11,0.0,-4.1538497824042824e-11,0.0,-5.059327910937155e-11,0.0,-4.6866348137294314e-11,0.0,-3.7125196530707576e-11,0.0,-4.285635548705189e-11,0.0,-4.795741554823945e-10,0.0,9.64410741719963e-10,0.0,-5.823169002973641e-11,0.0,-4.9476840099365056e-11,0.0,-4.622053702096845e-11,0.0,-5.015804975418269e-11,0.0,-1.620316612813435e-11,0.0,-1.7900595566314703e-11,0.0,-4.825145088982631e-11,0.0,-5.823169002973639e-11,0.0,9.556306635181042e-10,0.0,-4.903631427708124e-10,0.0,-2.5927500079942504e-11,0.0,-5.389383883322732e-11,0.0,-1.483817743119067e-11,0.0,-1.6292726064837356e-11,0.0,-4.153849782404287e-11,0.0,-4.947684009936505e-11,0.0,-4.903631427708121e-10,0.0,9.50581923333887e-10,0.0,-2.4750212508808173e-11,0.0,-5.3829798101419364e-11,0.0,-5.320683986361713e-11,0.0,-5.341755303891038e-11,0.0,-5.059327910937156e-11,0.0,-4.622053702096847e-11,0.0,-2.5927500079942508e-11,0.0,-2.4750212508808183e-11,0.0,5.941570243448635e-10,0.0,-7.682121481557655e-11,0.0,-2.3874774778793038e-11,0.0,-2.4914894973949455e-11,0.0,-4.6866348137294334e-11,0.0,-5.015804975418268e-11,0.0,-5.389383883322735e-11,0.0,-5.3829798101419364e-11,0.0,-7.682121481557655e-11,0.0,5.935687417210871e-10
