omega,re_0,im_0,re_1,im_1,re_2,im_2
6.283185307179585,2.4628520838345643e-08,3.266358088711212e-08,2.757557449040645e-08,3.490405848669549e-08,1.4805567178631306e-08,4.02230798314775e-08
6.732554355028205,2.5245220456455774e-08,3.414481359655162e-08,2.830991379367832e-08,3.642613236243398e-08,1.5064468553039086e-08,4.273556204659645e-08
7.214061964974244,2.5860837909499027e-08,3.571604644087694e-08,2.9047963063992745e-08,3.8035430059678766e-08,1.5328569495532197e-08,4.5429115397166784e-08
7.7300066646502446,2.647368351407549e-08,3.738470410895019e-08,2.9788074883341903e-08,3.9738891180302395e-08,1.5599055624218423e-08,4.83164336512163e-08
8.282851370788094,2.7081976422387838e-08,3.915891628953456e-08,3.052846266762096e-08,4.1544124011103945e-08,1.587722694861096e-08,5.141100200157186e-08
8.875235146213218,2.768385638190881e-08,4.104757742056608e-08,3.1267204316951765e-08,4.345946725824581e-08,1.6164493970400103e-08,5.472716639128048e-08
9.509985797690774,2.8277403532949284e-08,4.306040764278744e-08,3.200225239549463e-08,4.5494055040104943e-08,1.646238286700402e-08,5.828019025322798e-08
10.19013337476112,2.8860660356004543e-08,4.5208015653070626e-08,3.2731447229378247e-08,4.765788570305343e-08,1.6772537312725936e-08,6.208632479905804e-08
10.918924634002583,2.9431662589228044e-08,4.750196708458893e-08,3.345253840623369e-08,4.9961899596813696e-08,1.709673099287852e-08,6.616287995504593e-08
11.699838537768235,2.998846329080187e-08,4.99548356286039e-08,3.416320425055831e-08,5.2418040194461334e-08,1.7436863261475787e-08,7.052830338631378e-08
12.536602861381589,3.052917280055891e-08,5.2580275255983366e-08,3.48610841248076e-08,5.503934058295912e-08,1.7794981801756305e-08,7.520225664802968e-08
13.43321198806739,3.1051989039577e-08,5.539307261345774e-08,3.5543808075360854e-08,5.783999137360428e-08,1.8173282646851997e-08,8.020571136080088e-08
14.393945976563458,3.1555248158308744e-08,5.840921359035519e-08,3.6209046808522725e-08,6.083542857279176e-08,1.8574131388837767e-08,8.556104108500558e-08
15.423390992434912,3.203743938876041e-08,6.164592178052175e-08,3.68545345855577e-08,6.404238542883203e-08,1.900008360405757e-08,9.129211082215737e-08
16.526461200621817,3.249726012723448e-08,6.512172865931577e-08,3.747813085891285e-08,6.747898691217185e-08,1.9453885177451566e-08,9.742439472366022e-08
17.708422223726544,3.293363889453544e-08,6.885650581288797e-08,3.807786092068691e-08,7.116479865479219e-08,1.9938520123272384e-08,1.0398507135078069e-07
18.974916278021656,3.334575656442085e-08,7.287153080650799e-08,3.865195363248959e-08,7.512090645809853e-08,2.0457214702302788e-08,1.1100315135669395e-07
20.33198910716752,3.373306671595676e-08,7.718952426256072e-08,3.9198889979527535e-08,7.936996608596012e-08,2.1013473525621276e-08,1.1850960251912069e-07
21.786118842210715,3.4095306278757306e-08,8.183471015870467e-08,3.9717436547616857e-08,8.39362693486759e-08,2.161111152738618e-08,1.265374659167487e-07
23.344246925629555,3.443249090582027e-08,8.683287871753139e-08,4.020667090761496e-08,8.88458053176477e-08,2.2254285595090204e-08,1.3512200869652137e-07
25.0138112470457,3.474490659830502e-08,9.22114502501135e-08,4.066600204575533e-08,9.412631709509754e-08,2.2947535403834203e-08,1.4430086483762998e-07
26.802781648779042,3.5033100143952587e-08,9.79995642629113e-08,4.109518222537409e-08,9.980737767987195e-08,2.369582388445503e-08,1.541141731339928e-07
28.71969797073499,3.529782567509006e-08,1.0422814675690529e-07,4.149429300687275e-08,1.0592043757921744e-07,2.4504585977226444e-08,1.64604782999742e-07
30.77371081623584,3.554006133527198e-08,1.1093007635704192e-07,4.1863747873299074e-08,1.1249896394806179e-07,2.537978279612524e-08,1.7581836985489575e-07
32.97462523339605,3.5760940394184556e-08,1.1814028463026922e-07,4.220425038447437e-08,1.195785068814858e-07,2.6327962431357296e-08,1.878036153777753e-07
35.33294752055898,3.5961704141544684e-08,1.2589583204502963e-07,4.2516782287274016e-08,1.2719677841906493e-07,2.7356301687722243e-08,2.006125286056721e-07
37.85993537922616,3.6143703892383724e-08,1.3423622655327484e-07,4.2802540301407736e-08,1.3539388804539103e-07,2.8472725932923578e-08,2.1430039604390636e-07
40.5676516538891,3.630834941521363e-08,1.432034797883223e-07,4.3062920273333986e-08,1.4421242418447896e-07,2.9685924945952725e-08,2.289262345103222e-07
43.46902191529649,3.645707984568634e-08,1.5284235992862818e-07,4.3299463477466214e-08,1.5369766473920491e-07,3.1005485725099005e-08,2.4455286981942145e-07
46.577896162036765,3.659132328812194e-08,1.6320061983923728e-07,4.3513807483109235e-08,1.6389777976181044e-07,3.244197112133722e-08,2.6124719473808103e-07
49.909114934975015,3.671248780878094e-08,1.7432927024783138e-07,4.370764083311486e-08,1.748640978657509e-07,3.400701070384624e-08,2.790804847910112e-07
53.47858016014826,3.6822055136276303e-08,1.862826331224692e-07,4.388276902418635e-08,1.8665119721539552e-07,3.5713431664967065e-08,2.981284091246912e-07
57.30333105829572,3.6921234567498845e-08,1.9911922384339347e-07,4.4040825066030034e-08,1.993176559299343e-07,3.757537856047806e-08,3.184718866043343e-07
61.401625483385565,3.7011392227924223e-08,2.1290068256971202e-07,4.418358636391951e-08,2.1292513031485996e-07,3.9608397704331014e-08,3.4019577636132707e-07
65.79302707841705,3.709387272282836e-08,2.2769377910305222e-07,4.431284298286562e-08,2.275403004728749e-07,4.182971292500536e-08,3.633912789469376e-07
70.49849866454444,3.7169584271459926e-08,2.4357051184316487e-07,4.442990214940132e-08,2.4323488915797137e-07,4.4258213908288004e-08,3.8815586707285007e-07
75.54050230932697,3.723993079665904e-08,2.606064424127704e-07,4.453663410289682e-08,2.600841898496076e-07,4.691471279424503e-08,4.1459104697603336e-07
80.94310655178988,3.730592734274739e-08,2.788837430113011e-07,4.463442174060667e-08,2.7816994315313065e-07,4.982214417795741e-08,4.428057216787043e-07
86.73210129614742,3.736859934006718e-08,2.9849000114967345e-07,4.4724676844150654e-08,2.975792185776939e-07,5.300565124034255e-08,4.729150091867114e-07
92.93512092264555,3.742893224346217e-08,3.1951903718219646e-07,4.480876445223054e-08,3.184052350619349e-07,5.649280633985848e-08,5.050409193723599e-07
99.58177620320616,3.748804453966517e-08,3.4207169491733964e-07,4.4888046145416306e-08,3.407481757772744e-07,6.031397247566051e-08,5.393117271915557e-07
106.70379565158625,3.754670544676562e-08,3.6625657397133536e-07,4.496344436431043e-08,3.647158226141751e-07,6.450238321843364e-08,5.758634970351126e-07
114.33517698280319,3.760659408353876e-08,3.921863372443597e-07,4.5037343802796044e-08,3.904202093408723e-07,6.909356283338129e-08,6.148398520780278e-07
122.51234940483201,3.766811522090516e-08,4.199878217486739e-07,4.5109877178949966e-08,4.1798707982368246e-07,7.412743622082647e-08,6.563918340090091e-07
131.27434751729254,3.773280079498551e-08,4.4979215570866476e-07,4.518297402631172e-08,4.4754672900438535e-07,7.964635577956233e-08,7.006783413688155e-07
140.66299764724937,3.780159980085829e-08,4.817423603432399e-07,4.525759140484195e-08,4.792410841447682e-07,8.569660614891503e-08,7.478666366223694e-07
150.72311751161968,3.787566187270576e-08,5.159908177567069e-07,4.533492523717322e-08,5.132213954191364e-07,9.232785945151067e-08,7.981319859890537e-07
