omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5,re_6,im_6,re_7,im_7,re_8,im_8,re_9,im_9,re_10,im_10,re_11,im_11,re_12,im_12,re_13,im_13,re_14,im_14,re_15,im_15,re_16,im_16,re_17,im_17,re_18,im_18,re_19,im_19,re_20,im_20,re_21,im_21,re_22,im_22,re_23,im_23,re_24,im_24,re_25,im_25,re_26,im_26,re_27,im_27,re_28,im_28,re_29,im_29,re_30,im_30,re_31,im_31,re_32,im_32,re_33,im_33,re_34,im_34,re_35,im_35,re_36,im_36,re_37,im_37,re_38,im_38,re_39,im_39,re_40,im_40,re_41,im_41,re_42,im_42,re_43,im_43,re_44,im_44,re_45,im_45,re_46,im_46,re_47,im_47,re_48,im_48,re_49,im_49,re_50,im_50,re_51,im_51,re_52,im_52,re_53,im_53,re_54,im_54,re_55,im_55,re_56,im_56,re_57,im_57,re_58,im_58,re_59,im_59,re_60,im_60,re_61,im_61,re_62,im_62,re_63,im_63
6.283185307179585,0.0,6.610925119313468e-11,0.0,-3.41646363241275e-11,0.0,-3.2616627487751006e-12,0.0,-2.737226392319147e-12,0.0,-1.1207917828469965e-12,0.0,-1.026623215721076e-12,0.0,-3.9344098718364525e-12,0.0,-1.7536962847206876e-12,0.0,-3.416463632412751e-11,0.0,6.643977782521999e-11,0.0,-3.829505487918017e-12,0.0,-3.1747430404751893e-12,0.0,-1.2312217458858479e-12,0.0,-1.1207917828469975e-12,0.0,-3.970144166482758e-12,0.0,-1.8433361145869657e-12,0.0,-3.261662748775101e-12,0.0,-3.829505487918017e-12,0.0,6.708261681051988e-11,0.0,-3.336880523202851e-11,0.0,-3.1747430404751873e-12,0.0,-2.7372263923191494e-12,0.0,-3.2767518299985337e-12,0.0,-3.042120896509073e-12,0.0,-2.737226392319148e-12,0.0,-3.1747430404751885e-12,0.0,-3.3368805232028516e-11,0.0,6.708261681051988e-11,0.0,-3.829505487918019e-12,0.0,-3.261662748775101e-12,0.0,-3.0421208965090733e-12,0.0,-3.2767518299985325e-12,0.0,-1.120791782846996e-12,0.0,-1.2312217458858473e-12,0.0,-3.1747430404751877e-12,0.0,-3.8295054879180175e-12,0.0,6.643977782522e-11,0.0,-3.416463632412751e-11,0.0,-1.8433361145869657e-12,0.0,-3.970144166482757e-12,0.0,-1.0266232157210752e-12,0.0,-1.1207917828469967e-12,0.0,-2.737226392319148e-12,0.0,-3.2616627487751006e-12,0.0,-3.416463632412751e-11,0.0,6.61092511931347e-11,0.0,-1.753696284720689e-12,0.0,-3.9344098718364525e-12,0.0,-3.934409871836453e-12,0.0,-3.970144166482759e-12,0.0,-3.276751829998534e-12,0.0,-3.042120896509072e-12,0.0,-1.8433361145869657e-12,0.0,-1.7536962847206887e-12,0.0,4.138587696962971e-11,0.0,-5.326919331173928e-12,0.0,-1.753696284720689e-12,0.0,-1.8433361145869657e-12,0.0,-3.042120896509072e-12,0.0,-3.276751829998533e-12,0.0,-3.970144166482758e-12,0.0,-3.934409871836451e-12,0.0,-5.326919331173926e-12,0.0,4.1385876969629705e-11
6.732554355028205,0.0,7.083733890824607e-11,0.0,-3.660806737772458e-11,0.0,-3.4949346024868783e-12,0.0,-2.932990922175855e-12,0.0,-1.2009500324722317e-12,0.0,-1.100046594850244e-12,0.0,-4.215796132390183e-12,0.0,-1.879119424601689e-12,0.0,-3.660806737772461e-11,0.0,7.119150457542065e-11,0.0,-4.103389059817513e-12,0.0,-3.4017984570378972e-12,0.0,-1.3192778697450357e-12,0.0,-1.2009500324722317e-12,0.0,-4.2540861189627366e-12,0.0,-1.9751702328216087e-12,0.0,-3.494934602486875e-12,0.0,-4.103389059817514e-12,0.0,7.188031895832884e-11,0.0,-3.575531899883222e-11,0.0,-3.4017984570378984e-12,0.0,-2.9329909221758545e-12,0.0,-3.511102844316088e-12,0.0,-3.259691269476201e-12,0.0,-2.9329909221758504e-12,0.0,-3.401798457037896e-12,0.0,-3.57553189988322e-11,0.0,7.188031895832884e-11,0.0,-4.1033890598175165e-12,0.0,-3.4949346024868742e-12,0.0,-3.2596912694762015e-12,0.0,-3.5111028443160873e-12,0.0,-1.2009500324722345e-12,0.0,-1.319277869745034e-12,0.0,-3.4017984570378984e-12,0.0,-4.103389059817515e-12,0.0,7.119150457542068e-11,0.0,-3.660806737772459e-11,0.0,-1.9751702328216136e-12,0.0,-4.254086118962745e-12,0.0,-1.100046594850241e-12,0.0,-1.200950032472235e-12,0.0,-2.9329909221758504e-12,0.0,-3.4949346024868795e-12,0.0,-3.660806737772458e-11,0.0,7.083733890824607e-11,0.0,-1.8791194246016853e-12,0.0,-4.2157961323901754e-12,0.0,-4.21579613239018e-12,0.0,-4.254086118962741e-12,0.0,-3.511102844316084e-12,0.0,-3.2596912694762064e-12,0.0,-1.975170232821615e-12,0.0,-1.8791194246016845e-12,0.0,4.4345766137146693e-11,0.0,-5.70789690079626e-12,0.0,-1.879119424601681e-12,0.0,-1.975170232821612e-12,0.0,-3.259691269476208e-12,0.0,-3.511102844316084e-12,0.0,-4.254086118962739e-12,0.0,-4.215796132390175e-12,0.0,-5.707896900796263e-12,0.0,4.434576613714669e-11
7.214061964974244,0.0,7.590357617184478e-11,0.0,-3.922625092267093e-11,0.0,-3.7448898971076226e-12,0.0,-3.142756395198073e-12,0.0,-1.2868411444197223e-12,0.0,-1.1787211630429408e-12,0.0,-4.517306942802127e-12,0.0,-2.0135127403076795e-12,0.0,-3.922625092267095e-11,0.0,7.628307152147453e-11,0.0,-4.396860594495243e-12,0.0,-3.6450927192436406e-12,0.0,-1.413631706404551e-12,0.0,-1.2868411444197205e-12,0.0,-4.558335402611901e-12,0.0,-2.116433035599023e-12,0.0,-3.744889897107616e-12,0.0,-4.396860594495267e-12,0.0,7.702114943048598e-11,0.0,-3.8312514572177714e-11,0.0,-3.645092719243614e-12,0.0,-3.1427563951980535e-12,0.0,-3.762214480359343e-12,0.0,-3.492822124358256e-12,0.0,-3.142756395198079e-12,0.0,-3.645092719243598e-12,0.0,-3.831251457217768e-11,0.0,7.702114943048627e-11,0.0,-4.396860594495253e-12,0.0,-3.74488989710763e-12,0.0,-3.4928221243582396e-12,0.0,-3.762214480359335e-12,0.0,-1.2868411444197235e-12,0.0,-1.4136317064045607e-12,0.0,-3.645092719243618e-12,0.0,-4.3968605944952845e-12,0.0,7.628307152147453e-11,0.0,-3.9226250922670947e-11,0.0,-2.116433035599004e-12,0.0,-4.558335402611912e-12,0.0,-1.178721163042933e-12,0.0,-1.286841144419717e-12,0.0,-3.1427563951980705e-12,0.0,-3.744889897107616e-12,0.0,-3.922625092267095e-11,0.0,7.590357617184476e-11,0.0,-2.0135127403076985e-12,0.0,-4.517306942802097e-12,0.0,-4.5173069428021115e-12,0.0,-4.558335402611891e-12,0.0,-3.762214480359332e-12,0.0,-3.492822124358237e-12,0.0,-2.116433035599017e-12,0.0,-2.0135127403076848e-12,0.0,4.751734452150477e-11,0.0,-6.116121721509092e-12,0.0,-2.0135127403076913e-12,0.0,-2.11643303559902e-12,0.0,-3.4928221243582432e-12,0.0,-3.762214480359364e-12,0.0,-4.5583354026118926e-12,0.0,-4.517306942802113e-12,0.0,-6.116121721509094e-12,0.0,4.7517344521504754e-11
7.7300066646502446,0.0,8.133214720470472e-11,0.0,-4.2031685135736364e-11,0.0,-4.012721820740075e-12,0.0,-3.3675241491136866e-12,0.0,-1.3788751290197889e-12,0.0,-1.263022481692624e-12,0.0,-4.840381596896331e-12,0.0,-2.1575177725815608e-12,0.0,-4.2031685135736364e-11,0.0,8.173878379808108e-11,0.0,-4.711321009440168e-12,0.0,-3.905787218050574e-12,0.0,-1.5147336639084586e-12,0.0,-1.3788751290197903e-12,0.0,-4.884344383646692e-12,0.0,-2.2677988558869784e-12,0.0,-4.012721820740077e-12,0.0,-4.711321009440168e-12,0.0,8.252964852635629e-11,0.0,-4.1052598996285465e-11,0.0,-3.905787218050569e-12,0.0,-3.367524149113689e-12,0.0,-4.031285446149517e-12,0.0,-3.742626336010878e-12,0.0,-3.3675241491136862e-12,0.0,-3.9057872180505734e-12,0.0,-4.105259899628547e-11,0.0,8.252964852635626e-11,0.0,-4.711321009440174e-12,0.0,-4.012721820740074e-12,0.0,-3.742626336010879e-12,0.0,-4.0312854461495155e-12,0.0,-1.3788751290197893e-12,0.0,-1.5147336639084574e-12,0.0,-3.905787218050573e-12,0.0,-4.711321009440169e-12,0.0,8.173878379808112e-11,0.0,-4.203168513573637e-11,0.0,-2.2677988558869764e-12,0.0,-4.8843443836466884e-12,0.0,-1.2630224816926234e-12,0.0,-1.3788751290197895e-12,0.0,-3.3675241491136866e-12,0.0,-4.012721820740073e-12,0.0,-4.2031685135736376e-11,0.0,8.133214720470475e-11,0.0,-2.157517772581562e-12,0.0,-4.840381596896334e-12,0.0,-4.840381596896331e-12,0.0,-4.884344383646689e-12,0.0,-4.031285446149517e-12,0.0,-3.7426263360108755e-12,0.0,-2.267798855886977e-12,0.0,-2.157517772581562e-12,0.0,5.0915751988418793e-11,0.0,-6.55354249778006e-12,0.0,-2.15751777258156e-12,0.0,-2.267798855886977e-12,0.0,-3.742626336010877e-12,0.0,-4.031285446149516e-12,0.0,-4.884344383646689e-12,0.0,-4.840381596896332e-12,0.0,-6.553542497780061e-12,0.0,5.091575198841878e-11
8.282851370788094,0.0,8.71489658662679e-11,0.0,-4.5037762054610084e-11,0.0,-4.2997088974711835e-12,0.0,-3.6083671366291612e-12,0.0,-1.4774913202566977e-12,0.0,-1.3533529720827563e-12,0.0,-5.186562325791256e-12,0.0,-2.311821944714376e-12,0.0,-4.503776205461005e-11,0.0,8.758468482628674e-11,0.0,-5.0482714147866615e-12,0.0,-4.185126406291476e-12,0.0,-1.6230663631712056e-12,0.0,-1.4774913202567008e-12,0.0,-5.233669300506306e-12,0.0,-2.4299902544786563e-12,0.0,-4.299708897471182e-12,0.0,-5.048271414786664e-12,0.0,8.843211165046508e-11,0.0,-4.3988652354697856e-11,0.0,-4.18512640629147e-12,0.0,-3.608367136629167e-12,0.0,-4.319600180472599e-12,0.0,-4.010296371326337e-12,0.0,-3.6083671366291596e-12,0.0,-4.185126406291475e-12,0.0,-4.3988652354697856e-11,0.0,8.843211165046513e-11,0.0,-5.048271414786673e-12,0.0,-4.299708897471182e-12,0.0,-4.010296371326345e-12,0.0,-4.3196001804726015e-12,0.0,-1.4774913202566977e-12,0.0,-1.623066363171203e-12,0.0,-4.185126406291463e-12,0.0,-5.048271414786668e-12,0.0,8.758468482628679e-11,0.0,-4.5037762054610045e-11,0.0,-2.4299902544786507e-12,0.0,-5.233669300506303e-12,0.0,-1.3533529720827577e-12,0.0,-1.4774913202567008e-12,0.0,-3.6083671366291596e-12,0.0,-4.299708897471185e-12,0.0,-4.503776205461008e-11,0.0,8.7148965866268e-11,0.0,-2.311821944714383e-12,0.0,-5.1865623257912546e-12,0.0,-5.186562325791253e-12,0.0,-5.233669300506305e-12,0.0,-4.319600180472604e-12,0.0,-4.010296371326337e-12,0.0,-2.4299902544786507e-12,0.0,-2.3118219447143826e-12,0.0,5.4557211196280766e-11,0.0,-7.022247304066417e-12,0.0,-2.3118219447143777e-12,0.0,-2.4299902544786507e-12,0.0,-4.010296371326344e-12,0.0,-4.319600180472607e-12,0.0,-5.233669300506306e-12,0.0,-5.186562325791249e-12,0.0,-7.022247304066418e-12,0.0,5.455721119628076e-11
8.875235146213218,0.0,9.338179935719933e-11,0.0,-4.8258831506212376e-11,0.0,-4.607221090542281e-12,0.0,-3.866435047283084e-12,0.0,-1.583160472976052e-12,0.0,-1.450143836387368e-12,0.0,-5.557501659903388e-12,0.0,-2.4771618440334083e-12,0.0,-4.825883150621241e-11,0.0,9.384868063451753e-11,0.0,-5.409320279023078e-12,0.0,-4.4844437392010036e-12,0.0,-1.7391469418197377e-12,0.0,-1.5831604729760524e-12,0.0,-5.6079776927219056e-12,0.0,-2.6037814692131213e-12,0.0,-4.607221090542276e-12,0.0,-5.40932027902308e-12,0.0,9.475671483640081e-11,0.0,-4.713469020944445e-11,0.0,-4.4844437392009996e-12,0.0,-3.8664350472830855e-12,0.0,-4.62853498428424e-12,0.0,-4.2971099816004954e-12,0.0,-3.866435047283091e-12,0.0,-4.484443739200999e-12,0.0,-4.713469020944441e-11,0.0,9.475671483640081e-11,0.0,-5.4093202790230785e-12,0.0,-4.6072210905422835e-12,0.0,-4.297109981600498e-12,0.0,-4.628534984284241e-12,0.0,-1.583160472976053e-12,0.0,-1.7391469418197369e-12,0.0,-4.4844437392009955e-12,0.0,-5.409320279023077e-12,0.0,9.384868063451755e-11,0.0,-4.825883150621237e-11,0.0,-2.603781469213121e-12,0.0,-5.607977692721904e-12,0.0,-1.4501438363873657e-12,0.0,-1.583160472976052e-12,0.0,-3.866435047283089e-12,0.0,-4.6072210905422835e-12,0.0,-4.82588315062124e-11,0.0,9.338179935719931e-11,0.0,-2.4771618440334055e-12,0.0,-5.557501659903386e-12,0.0,-5.557501659903389e-12,0.0,-5.607977692721904e-12,0.0,-4.628534984284247e-12,0.0,-4.297109981600495e-12,0.0,-2.603781469213121e-12,0.0,-2.4771618440334063e-12,0.0,5.845910503674014e-11,0.0,-7.524473552459902e-12,0.0,-2.4771618440334055e-12,0.0,-2.603781469213121e-12,0.0,-4.297109981600498e-12,0.0,-4.628534984284245e-12,0.0,-5.6079776927219056e-12,0.0,-5.557501659903388e-12,0.0,-7.524473552459902e-12,0.0,5.845910503674011e-11
9.509985797690774,0.0,1.0006040076906381e-10,0.0,-5.171026960711545e-11,0.0,-4.936726342013918e-12,0.0,-4.142959795611111e-12,0.0,-1.6963870100829406e-12,0.0,-1.5538571160603893e-12,0.0,-5.954970317476522e-12,0.0,-2.6543267380797864e-12,0.0,-5.1710269607115455e-11,0.0,1.0056067307096426e-10,0.0,-5.79619110718651e-12,0.0,-4.805168039805784e-12,0.0,-1.863529522804793e-12,0.0,-1.696387010082938e-12,0.0,-6.0090563610933735e-12,0.0,-2.7900021108817952e-12,0.0,-4.936726342013923e-12,0.0,-5.796191107186503e-12,0.0,1.0153364924809821e-10,0.0,-5.0505730505813745e-11,0.0,-4.805168039805791e-12,0.0,-4.142959795611106e-12,0.0,-4.959564590628211e-12,0.0,-4.60443630201415e-12,0.0,-4.1429597956111055e-12,0.0,-4.8051680398057864e-12,0.0,-5.0505730505813725e-11,0.0,1.0153364924809821e-10,0.0,-5.796191107186502e-12,0.0,-4.936726342013915e-12,0.0,-4.60443630201415e-12,0.0,-4.9595645906282114e-12,0.0,-1.6963870100829378e-12,0.0,-1.863529522804793e-12,0.0,-4.805168039805792e-12,0.0,-5.796191107186508e-12,0.0,1.0056067307096426e-10,0.0,-5.171026960711545e-11,0.0,-2.7900021108817977e-12,0.0,-6.009056361093376e-12,0.0,-1.5538571160603925e-12,0.0,-1.6963870100829406e-12,0.0,-4.142959795611106e-12,0.0,-4.936726342013916e-12,0.0,-5.171026960711544e-11,0.0,1.0006040076906381e-10,0.0,-2.6543267380797843e-12,0.0,-5.9549703174765235e-12,0.0,-5.9549703174765235e-12,0.0,-6.0090563610933775e-12,0.0,-4.9595645906282066e-12,0.0,-4.604436302014155e-12,0.0,-2.790002110881798e-12,0.0,-2.6543267380797868e-12,0.0,6.264005961378006e-11,0.0,-8.062618673210583e-12,0.0,-2.654326738079789e-12,0.0,-2.7900021108817977e-12,0.0,-4.604436302014152e-12,0.0,-4.959564590628211e-12,0.0,-6.009056361093374e-12,0.0,-5.954970317476521e-12,0.0,-8.062618673210578e-12,0.0,6.264005961378006e-11
10.19013337476112,0.0,1.0721665111386369e-10,0.0,-5.540855216306551e-11,0.0,-5.289797580142931e-12,0.0,-4.439261401820525e-12,0.0,-1.817711430458173e-12,0.0,-1.6649878974395436e-12,0.0,-6.380865657293004e-12,0.0,-2.844162342260854e-12,0.0,-5.540855216306558e-11,0.0,1.0775270254322564e-10,0.0,-6.2107306681968536e-12,0.0,-5.148830319562664e-12,0.0,-1.9968078595655556e-12,0.0,-1.8177114304581702e-12,0.0,-6.438819897172392e-12,0.0,-2.9895411234635185e-12,0.0,-5.289797580142905e-12,0.0,-6.210730668196886e-12,0.0,1.0879526530056083e-10,0.0,-5.4117865262107284e-11,0.0,-5.148830319562641e-12,0.0,-4.439261401820529e-12,0.0,-5.3142692044309615e-12,0.0,-4.933742387345021e-12,0.0,-4.4392614018205565e-12,0.0,-5.148830319562643e-12,0.0,-5.41178652621072e-11,0.0,1.0879526530056095e-10,0.0,-6.210730668196876e-12,0.0,-5.2897975801429475e-12,0.0,-4.93374238734501e-12,0.0,-5.314269204430948e-12,0.0,-1.8177114304581783e-12,0.0,-1.9968078595655548e-12,0.0,-5.148830319562617e-12,0.0,-6.210730668196863e-12,0.0,1.0775270254322573e-10,0.0,-5.540855216306552e-11,0.0,-2.989541123463519e-12,0.0,-6.438819897172391e-12,0.0,-1.6649878974395333e-12,0.0,-1.8177114304581726e-12,0.0,-4.439261401820567e-12,0.0,-5.289797580142934e-12,0.0,-5.540855216306567e-11,0.0,1.0721665111386347e-10,0.0,-2.844162342260845e-12,0.0,-6.380865657293003e-12,0.0,-6.380865657293011e-12,0.0,-6.438819897172382e-12,0.0,-5.31426920443097e-12,0.0,-4.933742387344996e-12,0.0,-2.9895411234635185e-12,0.0,-2.8441623422608413e-12,0.0,6.712003315739983e-11,0.0,-8.639251559114344e-12,0.0,-2.8441623422608392e-12,0.0,-2.9895411234635218e-12,0.0,-4.933742387344995e-12,0.0,-5.31426920443097e-12,0.0,-6.438819897172389e-12,0.0,-6.380865657293004e-12,0.0,-8.639251559114357e-12,0.0,6.712003315739975e-11
10.918924634002583,0.0,1.1488471151142997e-10,0.0,-5.937133331798989e-11,0.0,-5.6681202279223374e-12,0.0,-4.756754293046896e-12,0.0,-1.9477128890869933e-12,0.0,-1.7840666750934314e-12,0.0,-6.837220735917124e-12,0.0,-3.047574856962318e-12,0.0,-5.937133331798981e-11,0.0,1.1545910096659169e-10,0.0,-6.654917810604237e-12,0.0,-5.517071086804087e-12,0.0,-2.1396181703746858e-12,0.0,-1.947712889087001e-12,0.0,-6.899319822768228e-12,0.0,-3.203351027592879e-12,0.0,-5.66812022792236e-12,0.0,-6.654917810604201e-12,0.0,1.165762270879984e-10,0.0,-5.798833738659563e-11,0.0,-5.517071086804097e-12,0.0,-4.756754293046897e-12,0.0,-5.694342045777492e-12,0.0,-5.286600215109248e-12,0.0,-4.7567542930468744e-12,0.0,-5.517071086804103e-12,0.0,-5.798833738659572e-11,0.0,1.1657622708799824e-10,0.0,-6.6549178106042135e-12,0.0,-5.668120227922322e-12,0.0,-5.286600215109263e-12,0.0,-5.69434204577751e-12,0.0,-1.9477128890869885e-12,0.0,-2.1396181703746886e-12,0.0,-5.517071086804132e-12,0.0,-6.654917810604217e-12,0.0,1.1545910096659156e-10,0.0,-5.937133331798989e-11,0.0,-3.2033510275928823e-12,0.0,-6.89931982276823e-12,0.0,-1.784066675093438e-12,0.0,-1.9477128890869917e-12,0.0,-4.756754293046845e-12,0.0,-5.668120227922345e-12,0.0,-5.937133331798972e-11,0.0,1.1488471151143031e-10,0.0,-3.0475748569623183e-12,0.0,-6.837220735917112e-12,0.0,-6.837220735917105e-12,0.0,-6.899319822768237e-12,0.0,-5.694342045777492e-12,0.0,-5.286600215109275e-12,0.0,-3.2033510275928807e-12,0.0,-3.047574856962327e-12,0.0,7.19204112963422e-11,0.0,-9.257124828395122e-12,0.0,-3.047574856962324e-12,0.0,-3.203351027592876e-12,0.0,-5.286600215109284e-12,0.0,-5.694342045777482e-12,0.0,-6.899319822768233e-12,0.0,-6.837220735917122e-12,0.0,-9.257124828395112e-12,0.0,7.192041129634227e-11
11.699838537768235,0.0,1.2310118626115058e-10,0.0,-6.361752982792281e-11,0.0,-6.07350024862658e-12,0.0,-5.096954055271606e-12,0.0,-2.087011961716831e-12,0.0,-1.911661884193691e-12,0.0,-7.326214012706043e-12,0.0,-3.2655352933918536e-12,0.0,-6.361752982792286e-11,0.0,1.2371665565108094e-10,0.0,-7.130872908832001e-12,0.0,-5.911648177878795e-12,0.0,-2.2926421753936352e-12,0.0,-2.087011961716819e-12,0.0,-7.392754383104676e-12,0.0,-3.4324524675184965e-12,0.0,-6.073500248626576e-12,0.0,-7.130872908832e-12,0.0,1.2491367785655316e-10,0.0,-6.213562298836894e-11,0.0,-5.911648177878814e-12,0.0,-5.0969540552715905e-12,0.0,-6.101597432676783e-12,0.0,-5.664694189562865e-12,0.0,-5.0969540552715905e-12,0.0,-5.9116481778788e-12,0.0,-6.21356229883689e-11,0.0,1.2491367785655334e-10,0.0,-7.1308729088319935e-12,0.0,-6.07350024862657e-12,0.0,-5.66469418956286e-12,0.0,-6.101597432676778e-12,0.0,-2.0870119617168263e-12,0.0,-2.292642175393633e-12,0.0,-5.911648177878804e-12,0.0,-7.130872908832022e-12,0.0,1.2371665565108102e-10,0.0,-6.361752982792282e-11,0.0,-3.4324524675184973e-12,0.0,-7.39275438310468e-12,0.0,-1.911661884193694e-12,0.0,-2.087011961716834e-12,0.0,-5.096954055271608e-12,0.0,-6.0735002486265596e-12,0.0,-6.361752982792281e-11,0.0,1.2310118626115035e-10,0.0,-3.265535293391859e-12,0.0,-7.326214012706072e-12,0.0,-7.326214012706072e-12,0.0,-7.392754383104684e-12,0.0,-6.101597432676758e-12,0.0,-5.664694189562866e-12,0.0,-3.4324524675184985e-12,0.0,-3.2655352933918487e-12,0.0,7.706410914465952e-11,0.0,-9.919187964619748e-12,0.0,-3.265535293391864e-12,0.0,-3.432452467518506e-12,0.0,-5.664694189562854e-12,0.0,-6.101597432676787e-12,0.0,-7.392754383104676e-12,0.0,-7.326214012706052e-12,0.0,-9.919187964619735e-12,0.0,7.706410914465956e-11
