omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5,re_6,im_6,re_7,im_7,re_8,im_8,re_9,im_9,re_10,im_10,re_11,im_11,re_12,im_12,re_13,im_13,re_14,im_14,re_15,im_15,re_16,im_16,re_17,im_17,re_18,im_18,re_19,im_19,re_20,im_20,re_21,im_21,re_22,im_22,re_23,im_23,re_24,im_24,re_25,im_25,re_26,im_26,re_27,im_27,re_28,im_28,re_29,im_29,re_30,im_30,re_31,im_31,re_32,im_32,re_33,im_33,re_34,im_34,re_35,im_35,re_36,im_36,re_37,im_37,re_38,im_38,re_39,im_39,re_40,im_40,re_41,im_41,re_42,im_42,re_43,im_43,re_44,im_44,re_45,im_45,re_46,im_46,re_47,im_47,re_48,im_48,re_49,im_49,re_50,im_50,re_51,im_51,re_52,im_52,re_53,im_53,re_54,im_54,re_55,im_55,re_56,im_56,re_57,im_57,re_58,im_58,re_59,im_59,re_60,im_60,re_61,im_61,re_62,im_62,re_63,im_63
62.83185307179587,0.0,6.61092511931347e-10,0.0,-3.416463632412751e-10,0.0,-3.2616627487751014e-11,0.0,-2.737226392319148e-11,0.0,-1.1207917828469968e-11,0.0,-1.0266232157210763e-11,0.0,-3.9344098718364535e-11,0.0,-1.753696284720688e-11,0.0,-3.4164636324127515e-10,0.0,6.643977782522e-10,0.0,-3.829505487918018e-11,0.0,-3.17474304047519e-11,0.0,-1.2312217458858482e-11,0.0,-1.1207917828469979e-11,0.0,-3.970144166482759e-11,0.0,-1.8433361145869662e-11,0.0,-3.261662748775102e-11,0.0,-3.829505487918018e-11,0.0,6.708261681051989e-10,0.0,-3.3368805232028516e-10,0.0,-3.174743040475188e-11,0.0,-2.7372263923191504e-11,0.0,-3.276751829998534e-11,0.0,-3.042120896509073e-11,0.0,-2.7372263923191488e-11,0.0,-3.174743040475189e-11,0.0,-3.336880523202852e-10,0.0,6.708261681051989e-10,0.0,-3.82950548791802e-11,0.0,-3.261662748775102e-11,0.0,-3.042120896509074e-11,0.0,-3.276751829998533e-11,0.0,-1.1207917828469965e-11,0.0,-1.2312217458858475e-11,0.0,-3.1747430404751884e-11,0.0,-3.8295054879180185e-11,0.0,6.643977782522001e-10,0.0,-3.4164636324127515e-10,0.0,-1.843336114586966e-11,0.0,-3.9701441664827587e-11,0.0,-1.0266232157210755e-11,0.0,-1.120791782846997e-11,0.0,-2.7372263923191488e-11,0.0,-3.2616627487751014e-11,0.0,-3.4164636324127515e-10,0.0,6.610925119313472e-10,0.0,-1.7536962847206893e-11,0.0,-3.934409871836453e-11,0.0,-3.934409871836454e-11,0.0,-3.97014416648276e-11,0.0,-3.276751829998535e-11,0.0,-3.0421208965090726e-11,0.0,-1.8433361145869662e-11,0.0,-1.753696284720689e-11,0.0,4.1385876969629723e-10,0.0,-5.326919331173929e-11,0.0,-1.7536962847206893e-11,0.0,-1.843336114586966e-11,0.0,-3.0421208965090726e-11,0.0,-3.2767518299985336e-11,0.0,-3.970144166482759e-11,0.0,-3.934409871836452e-11,0.0,-5.326919331173928e-11,0.0,4.138587696962972e-10
65.41537996857582,0.0,6.882753849859236e-10,0.0,-3.556942151741522e-10,0.0,-3.3957761487102724e-11,0.0,-2.8497759617079713e-11,0.0,-1.1668766199974492e-11,0.0,-1.0688360195937166e-11,0.0,-4.096185360380954e-11,0.0,-1.825804957294484e-11,0.0,-3.5569421517415223e-10,0.0,6.917165576030814e-10,0.0,-3.986967506714401e-11,0.0,-3.305282466489893e-11,0.0,-1.2818472541413811e-11,0.0,-1.1668766199974492e-11,0.0,-4.1333889816003694e-11,0.0,-1.9191306073325417e-11,0.0,-3.395776148710272e-11,0.0,-3.9869675067143995e-11,0.0,6.984092706819005e-10,0.0,-3.4740867356821285e-10,0.0,-3.3052824664898943e-11,0.0,-2.8497759617079726e-11,0.0,-3.4114856643993864e-11,0.0,-3.167207150934942e-11,0.0,-2.8497759617079697e-11,0.0,-3.3052824664898943e-11,0.0,-3.4740867356821295e-10,0.0,6.984092706819006e-10,0.0,-3.9869675067144e-11,0.0,-3.3957761487102744e-11,0.0,-3.167207150934946e-11,0.0,-3.411485664399389e-11,0.0,-1.1668766199974487e-11,0.0,-1.2818472541413805e-11,0.0,-3.305282466489893e-11,0.0,-3.9869675067143995e-11,0.0,6.917165576030814e-10,0.0,-3.5569421517415223e-10,0.0,-1.919130607332541e-11,0.0,-4.13338898160037e-11,0.0,-1.0688360195937185e-11,0.0,-1.1668766199974489e-11,0.0,-2.8497759617079733e-11,0.0,-3.395776148710272e-11,0.0,-3.556942151741521e-10,0.0,6.882753849859237e-10,0.0,-1.8258049572944856e-11,0.0,-4.0961853603809526e-11,0.0,-4.096185360380954e-11,0.0,-4.1333889816003694e-11,0.0,-3.411485664399387e-11,0.0,-3.167207150934943e-11,0.0,-1.9191306073325417e-11,0.0,-1.8258049572944837e-11,0.0,4.308758591295324e-10,0.0,-5.5459521735339844e-11,0.0,-1.8258049572944847e-11,0.0,-1.9191306073325407e-11,0.0,-3.167207150934944e-11,0.0,-3.4114856643993877e-11,0.0,-4.133388981600369e-11,0.0,-4.0961853603809526e-11,0.0,-5.545952173533987e-11,0.0,4.308758591295323e-10
68.10513660234535,0.0,7.165759663402703e-10,0.0,-3.703196881946822e-10,0.0,-3.535404037857709e-11,0.0,-2.966953356403886e-11,0.0,-1.2148563784416652e-11,0.0,-1.1127845340790715e-11,0.0,-4.264612750874244e-11,0.0,-1.900878602027745e-11,0.0,-3.703196881946823e-10,0.0,7.201586334634507e-10,0.0,-4.150904065746239e-11,0.0,-3.4411894266725625e-11,0.0,-1.3345543874938464e-11,0.0,-1.2148563784416657e-11,0.0,-4.30334611459494e-11,0.0,-1.9980416261880848e-11,0.0,-3.535404037857711e-11,0.0,-4.1509040657462366e-11,0.0,7.27126538238937e-10,0.0,-3.6169346079727237e-10,0.0,-3.441189426672563e-11,0.0,-2.966953356403887e-11,0.0,-3.5517594991036424e-11,0.0,-3.2974367154324945e-11,0.0,-2.966953356403884e-11,0.0,-3.4411894266725644e-11,0.0,-3.616934607972724e-10,0.0,7.27126538238937e-10,0.0,-4.1509040657462366e-11,0.0,-3.53540403785771e-11,0.0,-3.297436715432496e-11,0.0,-3.5517594991036424e-11,0.0,-1.214856378441666e-11,0.0,-1.334554387493846e-11,0.0,-3.441189426672563e-11,0.0,-4.1509040657462404e-11,0.0,7.201586334634505e-10,0.0,-3.703196881946823e-10,0.0,-1.9980416261880855e-11,0.0,-4.3033461145949395e-11,0.0,-1.1127845340790715e-11,0.0,-1.214856378441665e-11,0.0,-2.966953356403883e-11,0.0,-3.535404037857708e-11,0.0,-3.703196881946821e-10,0.0,7.165759663402702e-10,0.0,-1.9008786020277452e-11,0.0,-4.264612750874243e-11,0.0,-4.264612750874245e-11,0.0,-4.303346114594938e-11,0.0,-3.551759499103641e-11,0.0,-3.297436715432497e-11,0.0,-1.9980416261880848e-11,0.0,-1.9008786020277455e-11,0.0,4.485926590775193e-10,0.0,-5.7739912318792474e-11,0.0,-1.9008786020277468e-11,0.0,-1.9980416261880845e-11,0.0,-3.297436715432495e-11,0.0,-3.551759499103641e-11,0.0,-4.303346114594939e-11,0.0,-4.264612750874245e-11,0.0,-5.773991231879249e-11,0.0,4.4859265907751925e-10
70.90549093886288,0.0,7.460402140445484e-10,0.0,-3.85546532988913e-10,0.0,-3.680773161578336e-11,0.0,-3.08894886382593e-11,0.0,-1.2648089737573289e-11,0.0,-1.158540128312925e-11,0.0,-4.4399655569365603e-11,0.0,-1.979039132964826e-11,0.0,-3.8554653298891295e-10,0.0,7.497701936600787e-10,0.0,-4.3215813858557545e-11,0.0,-3.5826846238707855e-11,0.0,-1.3894287384280213e-11,0.0,-1.2648089737573297e-11,0.0,-4.4802915632753366e-11,0.0,-2.0801973168096006e-11,0.0,-3.6807731615783345e-11,0.0,-4.321581385855756e-11,0.0,7.570246054940326e-10,0.0,-3.7656561144499293e-10,0.0,-3.5826846238707855e-11,0.0,-3.088948863825933e-11,0.0,-3.697801128440005e-11,0.0,-3.433021073178805e-11,0.0,-3.088948863825929e-11,0.0,-3.582684623870785e-11,0.0,-3.7656561144499293e-10,0.0,7.570246054940323e-10,0.0,-4.321581385855754e-11,0.0,-3.680773161578331e-11,0.0,-3.433021073178802e-11,0.0,-3.697801128440006e-11,0.0,-1.2648089737573298e-11,0.0,-1.3894287384280201e-11,0.0,-3.582684623870785e-11,0.0,-4.321581385855754e-11,0.0,7.497701936600785e-10,0.0,-3.8554653298891295e-10,0.0,-2.0801973168096003e-11,0.0,-4.4802915632753366e-11,0.0,-1.1585401283129256e-11,0.0,-1.26480897375733e-11,0.0,-3.0889488638259305e-11,0.0,-3.680773161578335e-11,0.0,-3.85546532988913e-10,0.0,7.460402140445486e-10,0.0,-1.9790391329648266e-11,0.0,-4.4399655569365655e-11,0.0,-4.439965556936562e-11,0.0,-4.4802915632753385e-11,0.0,-3.697801128440006e-11,0.0,-3.433021073178804e-11,0.0,-2.080197316809601e-11,0.0,-1.9790391329648247e-11,0.0,4.67037940312509e-10,0.0,-6.011406824767882e-11,0.0,-1.979039132964825e-11,0.0,-2.080197316809601e-11,0.0,-3.433021073178804e-11,0.0,-3.697801128440004e-11,0.0,-4.480291563275337e-11,0.0,-4.439965556936562e-11,0.0,-6.011406824767881e-11,0.0,4.670379403125091e-10
73.82099054637276,0.0,7.767159758569716e-10,0.0,-4.013994768261566e-10,0.0,-3.832119588573211e-11,0.0,-3.21596059565172e-11,0.0,-1.3168155252632489e-11,0.0,-1.2061771059948538e-11,0.0,-4.6225285385506e-11,0.0,-2.0604134770248744e-11,0.0,-4.013994768261566e-10,0.0,7.805993251757657e-10,0.0,-4.499276634382393e-11,0.0,-3.7299978358155896e-11,0.0,-1.4465594188296654e-11,0.0,-1.316815525263248e-11,0.0,-4.664512673958031e-11,0.0,-2.165731093959959e-11,0.0,-3.8321195885732135e-11,0.0,-4.499276634382392e-11,0.0,7.881520246962522e-10,0.0,-3.920492767836369e-10,0.0,-3.729997835815586e-11,0.0,-3.215960595651717e-11,0.0,-3.849847713208905e-11,0.0,-3.5741804031389635e-11,0.0,-3.215960595651714e-11,0.0,-3.7299978358155864e-11,0.0,-3.9204927678363697e-10,0.0,7.881520246962519e-10,0.0,-4.499276634382392e-11,0.0,-3.832119588573212e-11,0.0,-3.574180403138965e-11,0.0,-3.849847713208909e-11,0.0,-1.3168155252632547e-11,0.0,-1.446559418829663e-11,0.0,-3.729997835815591e-11,0.0,-4.4992766343823934e-11,0.0,7.805993251757654e-10,0.0,-4.013994768261566e-10,0.0,-2.1657310939599593e-11,0.0,-4.664512673958033e-11,0.0,-1.2061771059948488e-11,0.0,-1.3168155252632497e-11,0.0,-3.21596059565171e-11,0.0,-3.8321195885732115e-11,0.0,-4.0139947682615627e-10,0.0,7.767159758569716e-10,0.0,-2.0604134770248754e-11,0.0,-4.622528538550601e-11,0.0,-4.622528538550597e-11,0.0,-4.6645126739580337e-11,0.0,-3.849847713208907e-11,0.0,-3.574180403138964e-11,0.0,-2.1657310939599593e-11,0.0,-2.0604134770248738e-11,0.0,4.862416566064617e-10,0.0,-6.258584497556364e-11,0.0,-2.0604134770248754e-11,0.0,-2.1657310939599586e-11,0.0,-3.5741804031389596e-11,0.0,-3.8498477132089095e-11,0.0,-4.664512673958032e-11,0.0,-4.6225285385506016e-11,0.0,-6.258584497556362e-11,0.0,4.862416566064617e-10
76.85636998052001,0.0,8.086530669450255e-10,0.0,-4.1790426371424653e-10,0.0,-3.989689094241675e-11,0.0,-3.348194809536146e-11,0.0,-1.3709604877511087e-11,0.0,-1.2557728260519565e-11,0.0,-4.812598164490679e-11,0.0,-2.14513378012176e-11,0.0,-4.179042637142466e-10,0.0,8.126960922390488e-10,0.0,-4.6842783752621e-11,0.0,-3.883368288263475e-11,0.0,-1.5060392046966547e-11,0.0,-1.3709604877511063e-11,0.0,-4.856308608096267e-11,0.0,-2.2547818581646187e-11,0.0,-3.9896890942416753e-11,0.0,-4.6842783752620995e-11,0.0,8.205593444712653e-10,0.0,-4.081696011400787e-10,0.0,-3.883368288263476e-11,0.0,-3.3481948095361456e-11,0.0,-4.008146165814096e-11,0.0,-3.7211439376204577e-11,0.0,-3.3481948095361424e-11,0.0,-3.883368288263477e-11,0.0,-4.081696011400787e-10,0.0,8.205593444712654e-10,0.0,-4.6842783752621e-11,0.0,-3.989689094241671e-11,0.0,-3.7211439376204577e-11,0.0,-4.008146165814095e-11,0.0,-1.370960487751109e-11,0.0,-1.5060392046966563e-11,0.0,-3.883368288263479e-11,0.0,-4.684278375262103e-11,0.0,8.126960922390489e-10,0.0,-4.179042637142465e-10,0.0,-2.2547818581646184e-11,0.0,-4.8563086080962677e-11,0.0,-1.2557728260519539e-11,0.0,-1.3709604877511089e-11,0.0,-3.34819480953614e-11,0.0,-3.989689094241672e-11,0.0,-4.179042637142464e-10,0.0,8.086530669450252e-10,0.0,-2.1451337801217614e-11,0.0,-4.8125981644906776e-11,0.0,-4.81259816449068e-11,0.0,-4.8563086080962664e-11,0.0,-4.008146165814096e-11,0.0,-3.721143937620461e-11,0.0,-2.2547818581646174e-11,0.0,-2.1451337801217633e-11,0.0,5.062349933737566e-10,0.0,-6.515925648496648e-11,0.0,-2.1451337801217666e-11,0.0,-2.254781858164617e-11,0.0,-3.7211439376204615e-11,0.0,-4.0081461658140996e-11,0.0,-4.856308608096268e-11,0.0,-4.812598164490678e-11,0.0,-6.515925648496648e-11,0.0,5.062349933737566e-10
80.01655847291823,0.0,8.419033507816144e-10,0.0,-4.3508769620590134e-10,0.0,-4.153737559802365e-11,0.0,-3.485866244058556e-11,0.0,-1.4273317886338041e-11,0.0,-1.3074078282640243e-11,0.0,-5.010483093766092e-11,0.0,-2.233337621759269e-11,0.0,-4.350876962059013e-10,0.0,8.461126176248014e-10,0.0,-4.876887037633812e-11,0.0,-4.043045043481354e-11,0.0,-1.5679646868003424e-11,0.0,-1.4273317886338046e-11,0.0,-5.055990828096121e-11,0.0,-2.3474942212757837e-11,0.0,-4.153737559802367e-11,0.0,-4.8768870376338134e-11,0.0,8.54299191908572e-10,0.0,-4.2495276272833185e-10,0.0,-4.0430450434813555e-11,0.0,-3.485866244058556e-11,0.0,-4.172953551230116e-11,0.0,-3.874150334529476e-11,0.0,-3.485866244058556e-11,0.0,-4.043045043481354e-11,0.0,-4.249527627283321e-10,0.0,8.542991919085714e-10,0.0,-4.87688703763381e-11,0.0,-4.1537375598023636e-11,0.0,-3.874150334529475e-11,0.0,-4.1729535512301146e-11,0.0,-1.4273317886338037e-11,0.0,-1.5679646868003414e-11,0.0,-4.0430450434813555e-11,0.0,-4.876887037633812e-11,0.0,8.461126176248013e-10,0.0,-4.3508769620590124e-10,0.0,-2.3474942212757843e-11,0.0,-5.0559908280961217e-11,0.0,-1.3074078282640261e-11,0.0,-1.427331788633806e-11,0.0,-3.485866244058557e-11,0.0,-4.1537375598023604e-11,0.0,-4.3508769620590124e-10,0.0,8.419033507816144e-10,0.0,-2.23333762175927e-11,0.0,-5.010483093766089e-11,0.0,-5.0104830937660913e-11,0.0,-5.055990828096121e-11,0.0,-4.172953551230117e-11,0.0,-3.874150334529475e-11,0.0,-2.347494221275783e-11,0.0,-2.2333376217592703e-11,0.0,5.270504183139996e-10,0.0,-6.783848180577211e-11,0.0,-2.23333762175927e-11,0.0,-2.347494221275782e-11,0.0,-3.874150334529476e-11,0.0,-4.1729535512301185e-11,0.0,-5.0559908280961217e-11,0.0,-5.0104830937660926e-11,0.0,-6.783848180577212e-11,0.0,5.270504183139994e-10
83.3066879358569,0.0,8.765208233675024e-10,0.0,-4.529776789240862e-10,0.0,-4.324531387825424e-11,0.0,-3.629198467442321e-11,0.0,-1.4860209707330597e-11,0.0,-1.3611659640541865e-11,0.0,-5.2165046768604886e-11,0.0,-2.3251682384500195e-11,0.0,-4.529776789240861e-10,0.0,8.809031672977632e-10,0.0,-5.077415403714109e-11,0.0,-4.209287404705231e-11,0.0,-1.6324364275417967e-11,0.0,-1.486020970733059e-11,0.0,-5.26388360310839e-11,0.0,-2.4440187413113676e-11,0.0,-4.324531387825418e-11,0.0,-5.077415403714109e-11,0.0,8.894263580240005e-10,0.0,-4.4242601616103073e-10,0.0,-4.209287404705231e-11,0.0,-3.6291984674423204e-11,0.0,-4.344537504456792e-11,0.0,-4.0334480649336534e-11,0.0,-3.629198467442323e-11,0.0,-4.2092874047052306e-11,0.0,-4.4242601616103104e-10,0.0,8.894263580239996e-10,0.0,-5.077415403714102e-11,0.0,-4.324531387825424e-11,0.0,-4.033448064933656e-11,0.0,-4.3445375044567944e-11,0.0,-1.4860209707330613e-11,0.0,-1.6324364275417934e-11,0.0,-4.209287404705231e-11,0.0,-5.0774154037141046e-11,0.0,8.809031672977629e-10,0.0,-4.529776789240862e-10,0.0,-2.4440187413113663e-11,0.0,-5.263883603108393e-11,0.0,-1.3611659640541823e-11,0.0,-1.4860209707330622e-11,0.0,-3.629198467442323e-11,0.0,-4.324531387825421e-11,0.0,-4.529776789240861e-10,0.0,8.765208233675025e-10,0.0,-2.3251682384500208e-11,0.0,-5.2165046768604867e-11,0.0,-5.216504676860484e-11,0.0,-5.263883603108395e-11,0.0,-4.3445375044567924e-11,0.0,-4.0334480649336534e-11,0.0,-2.4440187413113682e-11,0.0,-2.3251682384500198e-11,0.0,5.487217341371606e-10,0.0,-7.062787180166581e-11,0.0,-2.3251682384500185e-11,0.0,-2.4440187413113676e-11,0.0,-4.033448064933657e-11,0.0,-4.3445375044567924e-11,0.0,-5.26388360310839e-11,0.0,-5.2165046768604886e-11,0.0,-7.062787180166581e-11,0.0,5.487217341371606e-10
86.73210129614749,0.0,9.125617009168265e-10,0.0,-4.716032638770576e-10,0.0,-4.5023479348505443e-11,0.0,-3.7784242406130756e-11,0.0,-1.5471233409382057e-11,0.0,-1.4171345326573898e-11,0.0,-5.4309974775812964e-11,0.0,-2.42077475632098e-11,0.0,-4.716032638770577e-10,0.0,9.171242385364539e-10,0.0,-5.286189116732431e-11,0.0,-4.3823653372294735e-11,0.0,-1.6995591242577184e-11,0.0,-1.5471233409382057e-11,0.0,-5.4803245356177387e-11,0.0,-2.5445121669500702e-11,0.0,-4.502347934850539e-11,0.0,-5.2861891167324283e-11,0.0,9.259978867362667e-10,0.0,-4.606177367089058e-10,0.0,-4.3823653372294683e-11,0.0,-3.778424240613077e-11,0.0,-4.5231766651386845e-11,0.0,-4.1992958165607475e-11,0.0,-3.7784242406130795e-11,0.0,-4.3823653372294683e-11,0.0,-4.60617736708906e-10,0.0,9.259978867362666e-10,0.0,-5.286189116732429e-11,0.0,-4.5023479348505424e-11,0.0,-4.199295816560749e-11,0.0,-4.523176665138687e-11,0.0,-1.5471233409382045e-11,0.0,-1.699559124257718e-11,0.0,-4.38236533722947e-11,0.0,-5.286189116732426e-11,0.0,9.17124238536454e-10,0.0,-4.716032638770577e-10,0.0,-2.5445121669500692e-11,0.0,-5.4803245356177387e-11,0.0,-1.417134532657389e-11,0.0,-1.547123340938204e-11,0.0,-3.7784242406130776e-11,0.0,-4.502347934850545e-11,0.0,-4.716032638770577e-10,0.0,9.125617009168264e-10,0.0,-2.4207747563209796e-11,0.0,-5.430997477581297e-11,0.0,-5.4309974775812925e-11,0.0,-5.4803245356177387e-11,0.0,-4.523176665138686e-11,0.0,-4.1992958165607475e-11,0.0,-2.5445121669500696e-11,0.0,-2.420774756320981e-11,0.0,5.71284133456678e-10,0.0,-7.353195623561419e-11,0.0,-2.4207747563209813e-11,0.0,-2.5445121669500696e-11,0.0,-4.1992958165607514e-11,0.0,-4.5231766651386845e-11,0.0,-5.480324535617741e-11,0.0,-5.4309974775812964e-11,0.0,-7.353195623561416e-11,0.0,5.712841334566782e-10
90.29836117164085,0.0,9.500845111480619e-10,0.0,-4.909946976366725e-10,0.0,-4.687475961793448e-11,0.0,-3.9337858951852384e-11,0.0,-1.6107381249774825e-11,0.0,-1.4754044228879453e-11,0.0,-5.65430981636657e-11,0.0,-2.520312433283247e-11,0.0,-4.909946976366726e-10,0.0,9.54834651680569e-10,0.0,-5.503547209751558e-11,0.0,-4.562559906810465e-11,0.0,-1.769441779241176e-11,0.0,-1.6107381249774838e-11,0.0,-5.7056651096840955e-11,0.0,-2.649137692079622e-11,0.0,-4.687475961793446e-11,0.0,-5.503547209751557e-11,0.0,9.640731675020732e-10,0.0,-4.795574663801216e-10,0.0,-4.562559906810463e-11,0.0,-3.9337858951852364e-11,0.0,-4.709161130055235e-11,0.0,-4.3719629138883306e-11,0.0,-3.933785895185238e-11,0.0,-4.562559906810465e-11,0.0,-4.795574663801216e-10,0.0,9.64073167502073e-10,0.0,-5.503547209751556e-11,0.0,-4.6874759617934474e-11,0.0,-4.3719629138883325e-11,0.0,-4.7091611300552355e-11,0.0,-1.6107381249774828e-11,0.0,-1.769441779241174e-11,0.0,-4.562559906810467e-11,0.0,-5.503547209751557e-11,0.0,9.54834651680569e-10,0.0,-4.909946976366726e-10,0.0,-2.649137692079619e-11,0.0,-5.705665109684095e-11,0.0,-1.4754044228879472e-11,0.0,-1.610738124977484e-11,0.0,-3.933785895185238e-11,0.0,-4.687475961793445e-11,0.0,-4.909946976366726e-10,0.0,9.50084511148062e-10,0.0,-2.520312433283248e-11,0.0,-5.654309816366567e-11,0.0,-5.654309816366567e-11,0.0,-5.7056651096840955e-11,0.0,-4.7091611300552355e-11,0.0,-4.3719629138883306e-11,0.0,-2.649137692079618e-11,0.0,-2.5203124332832487e-11,0.0,5.94774255939656e-10,0.0,-7.655545112586485e-11,0.0,-2.5203124332832487e-11,0.0,-2.6491376920796184e-11,0.0,-4.3719629138883325e-11,0.0,-4.7091611300552355e-11,0.0,-5.7056651096840994e-11,0.0,-5.654309816366568e-11,0.0,-7.655545112586483e-11,0.0,5.94774255939656e-10
