omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
62.83185307179587,2.438535900680571e-08,2.1524943691648869e-07,3.319273648167378e-08,2.1564600117359403e-07,3.723275208168425e-08,2.1622970711941997e-07,3.78377243186682e-08,2.1644050628125282e-07,3.011287356232649e-08,2.1828291361258267e-07,3.7874285467858126e-08,3.578909950836056e-07
65.41537996857582,2.4406692967708195e-08,2.2399050384803177e-07,3.322880386886605e-08,2.2431210389372535e-07,3.727996642369621e-08,2.2486722602845067e-07,3.788624807780579e-08,2.250812348280932e-07,3.014906335020465e-08,2.2709522011699705e-07,3.9365558308479594e-08,3.718573326914043e-07
68.10513660234535,2.442792721148166e-08,2.330949847323605e-07,3.326327930865036e-08,2.3334161279448296e-07,3.7324736451916556e-08,2.3386851804681478e-07,3.793214545230595e-08,2.3408606728636342e-07,3.018488333606125e-08,2.362757231797642e-07,4.0934917625468066e-08,3.863619806203338e-07
70.90549093886288,2.4449192118146043e-08,2.4257769137182315e-07,3.329635359461639e-08,2.4274928121784614e-07,3.7367298308632795e-08,2.4324833002632233e-07,3.797565052814904e-08,2.4346976647437084e-07,3.022054039798023e-08,2.4583938908412407e-07,4.25867211494457e-08,4.014250360265457e-07
73.82099054637276,2.447060971557766e-08,2.5245409939840386e-07,3.332820087801677e-08,2.5255051922502124e-07,3.740786914717601e-08,2.5302206084321164e-07,3.801697694056798e-08,2.532477472599031e-07,3.0256230752221086e-08,2.5580185235020005e-07,4.4325556879060984e-08,4.1706734886761683e-07
76.85636998052001,2.4492314091799865e-08,2.627401879480169e-07,3.3359004841511843e-08,2.627612379081022e-07,3.744667554852284e-08,2.6320560785533576e-07,3.805634655762281e-08,2.6343592312047886e-07,3.029216449671233e-08,2.6617925600154427e-07,4.615625779980274e-08,4.3331031626935117e-07
80.01655847291823,2.4514433197720425e-08,2.7345271456091713e-07,3.33889347078114e-08,2.7339812008766665e-07,3.748392720185511e-08,2.7381563580630273e-07,3.809396269224241e-08,2.7405097499749626e-07,3.032854428333303e-08,2.7698852729967634e-07,4.8083943130971656e-08,4.501762071293012e-07
83.3066879358569,2.45371205932952e-08,2.846090017082904e-07,3.3418185945477497e-08,2.8447841452118354e-07,3.751986109095293e-08,2.8486937468663835e-07,3.81300547387094e-08,2.8511014940677503e-07,3.036560306241767e-08,2.8824716590640497e-07,5.011401060417928e-08,4.6768787861636915e-07
86.73210129614749,2.4560488460254565e-08,2.962273197733444e-07,3.344689376579801e-08,2.9602030286973153e-07,3.755464755020655e-08,2.9638497892709155e-07,3.816478287908909e-08,2.966316168651311e-07,3.0403524838919774e-08,2.999736221917419e-07,5.2252175964070914e-08,4.858692374238917e-07
90.29836117164085,2.4584716721627122e-08,3.0832618923377294e-07,3.347527494277799e-08,3.0804222972303795e-07,3.758854485741344e-08,3.0838087128786356e-07,3.819839459169595e-08,3.0863381701834965e-07,3.044257402739959e-08,3.121866070256222e-07,5.4504376114983714e-08,5.047444089684043e-07
