omega,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Alpha_3,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Beta_3,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_Tau_3,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2,Overhead_H_real_3,Overhead_H_imag_3,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_0_3,Overhead_Yc_imag_0_3,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_1_3,Overhead_Yc_imag_1_3,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Yc_real_2_3,Overhead_Yc_imag_2_3,Overhead_Yc_real_3_0,Overhead_Yc_imag_3_0,Overhead_Yc_real_3_1,Overhead_Yc_imag_3_1,Overhead_Yc_real_3_2,Overhead_Yc_imag_3_2,Overhead_Yc_real_3_3,Overhead_Yc_imag_3_3,Overhead_Zc_real_0_0,Overhead_Zc_imag_0_0,Overhead_Zc_real_0_1,Overhead_Zc_imag_0_1,Overhead_Zc_real_0_2,Overhead_Zc_imag_0_2,Overhead_Zc_real_0_3,Overhead_Zc_imag_0_3,Overhead_Zc_real_1_0,Overhead_Zc_imag_1_0,Overhead_Zc_real_1_1,Overhead_Zc_imag_1_1,Overhead_Zc_real_1_2,Overhead_Zc_imag_1_2,Overhead_Zc_real_1_3,Overhead_Zc_imag_1_3,Overhead_Zc_real_2_0,Overhead_Zc_imag_2_0,Overhead_Zc_real_2_1,Overhead_Zc_imag_2_1,Overhead_Zc_real_2_2,Overhead_Zc_imag_2_2,Overhead_Zc_real_2_3,Overhead_Zc_imag_2_3,Overhead_Zc_real_3_0,Overhead_Zc_imag_3_0,Overhead_Zc_real_3_1,Overhead_Zc_imag_3_1,Overhead_Zc_real_3_2,Overhead_Zc_imag_3_2,Overhead_Zc_real_3_3,Overhead_Zc_imag_3_3
6.2831853071795853e+00,3.2824421463990754e-08,5.6863704593352652e-08,5.6899660329620222e-08,9.3341821829279695e-08,4.6131848047563067e-08,6.0793945624129432e-08,6.0821313657296280e-08,9.6148051556005471e-08,1.1747378641174182e-04,1.5481051129824161e-04,1.5488020342242090e-04,2.4483900278068270e-04,9.9947467488526487e-01,-7.3772195523883497e-04,9.9909012184113521e-01,-9.7181839514882810e-04,9.9908954664732186e-01,-9.7225532592353598e-04,9.9850646399760334e-01,-1.5360724274167312e-03,4.9489207004051921e-04,4.3585714114530925e-04,-5.1115805396516258e-05,-7.5538516124021499e-05,-4.8660023657180502e-05,-7.3920450596411458e-05,-4.0712875323807990e-05,-3.5420919359763018e-05,-5.1296982955086268e-05,-7.5005843066662764e-05,4.9952639740653913e-04,4.3974649041993662e-04,-4.5342920871448500e-05,-7.0630142381062147e-05,-5.3122561300782286e-05,-4.7399124302869414e-05,-4.9039019620983375e-05,-7.2794614201842159e-05,-4.5540106885189326e-05,-7.0038038983054749e-05,5.0683699249369041e-04,4.4612626824175040e-04,-7.0270273400410197e-05,-6.3924885343141444e-05,-8.4218197239030388e-06,-1.9346402019158307e-05,-1.1700508998572758e-05,-2.3537276797520707e-05,-1.6257465014018449e-05,-2.9270352923557179e-05,2.5089637633504133e-04,2.4464370367323866e-04,1.2190480808835125e+03,-1.0137981498862980e+03,2.4256478289509880e+02,-9.9497088009021297e+01,2.3873777671431148e+02,-9.4945877985621678e+01,2.9069352067027887e+02,-2.1686221179587551e+02,2.4206244900287055e+02,-9.9769048091129548e+01,1.2107182409123184e+03,-1.0051811656124496e+03,2.3305576352678537e+02,-8.9555886090698209e+01,3.3534406400939548e+02,-2.5880601558557805e+02,2.3792217298382607e+02,-9.5355993944335978e+01,2.3274578805837962e+02,-8.9691284878582962e+01,1.1998232991919097e+03,-9.9335031356623324e+02,3.9791730164435222e+02,-3.1742137414145083e+02,1.3502475667852974e+02,-3.2056366156281108e+01,1.5017195527552931e+02,-4.3019898087529157e+01,1.7123979267316679e+02,-5.8454790636628886e+01,2.1395550079219652e+03,-2.0258543889763719e+03
6.7325543550282054e+00,3.3652671161344094e-08,5.8721711363198495e-08,5.8759263944970389e-08,9.6521644399616329e-08,4.8317203189056408e-08,6.3080646186190449e-08,6.3108703389840052e-08,9.9632003073999021e-08,1.1482644033725539e-04,1.4991194808370803e-04,1.4997862638064030e-04,2.3677670688908786e-04,9.9946140353311652e-01,-7.7265902871400879e-04,9.9906038499916150e-01,-1.0083423355237951e-03,9.9905978426983333e-01,-1.0087902228497906e-03,9.9845557694273035e-01,-1.5916514100973082e-03,5.1337278296302515e-04,4.4851862607648126e-04,-5.2989121000161324e-05,-7.9450493408229781e-05,-5.0449046334078390e-05,-7.7818681726251723e-05,-4.2161462140016005e-05,-3.6403100258530689e-05,-5.3173752600799613e-05,-7.8862107247369193e-05,5.1817076953905399e-04,4.5250728539739386e-04,-4.7013152550562980e-05,-7.4413396041211132e-05,-5.5021894344475031e-05,-4.8785074218842560e-05,-5.0834523473318052e-05,-7.6574970204712158e-05,-4.7213318914250629e-05,-7.3759249533967582e-05,5.2573954238101359e-04,4.5906435421895627e-04,-7.2793143616735020e-05,-6.5866733467268240e-05,-8.6595229861453229e-06,-2.0561252653567493e-05,-1.2032300112597679e-05,-2.4939868719839252e-05,-1.6721367196259393e-05,-3.0926462211229653e-05,2.5997059168341477e-04,2.5301179857605178e-04,1.1856195955117191e+03,-9.7426490515594890e+02,2.4007476817037667e+02,-9.3091313887565065e+01,2.3641270376385785e+02,-8.8689949587526698e+01,2.8361522516714768e+02,-2.0759457647691707e+02,2.3955384811474846e+02,-9.3362380452083812e+01,1.1775896295205655e+03,-9.6594641443016872e+02,2.3091267717352980e+02,-8.3491771443749101e+01,3.2684628311170462e+02,-2.4802546349109122e+02,2.3556525591147013e+02,-8.9094594719591257e+01,2.3058956833634861e+02,-8.3622520658451364e+01,1.1671088439283940e+03,-9.5451033132797181e+02,3.8743680726587735e+02,-3.0452304799183077e+02,1.3448997158750001e+02,-2.8618240807066783e+01,1.4927622479666209e+02,-3.9077974751234237e+01,1.6983490135951070e+02,-5.3810477065848573e+01,2.0710765716007163e+03,-1.9537432912629845e+03
7.2140619649742437e+00,3.4484442959475805e-08,6.0630130689920435e-08,6.0669374070694990e-08,9.9802385314229215e-08,5.0639436339080359e-08,6.5464459306722496e-08,6.5493205338941351e-08,1.0324983516639950e-07,1.1231272720433183e-04,1.4519300626397529e-04,1.4525676181781144e-04,2.2899683485563216e-04,9.9944807304198557e-01,-8.0978396948720190e-04,9.9902984026165809e-01,-1.0464155539127379e-03,9.9902921249553134e-01,-1.0468743868873951e-03,9.9840307373195891e-01,-1.6493607400053644e-03,5.3254893235669281e-04,4.6135429461826064e-04,-5.4998979520181075e-05,-8.3608553289753657e-05,-5.2374064053103144e-05,-8.1966188315972673e-05,-4.3650632848953787e-05,-3.7396978814893666e-05,-5.5184957869000222e-05,-8.2959375339039366e-05,5.3751464648374306e-04,4.6544251470245377e-04,-4.8814897986624551e-05,-7.8441997275201198e-05,-5.6979132646509483e-05,-5.0194954328167774e-05,-5.2761407712244369e-05,-8.0593871265767831e-05,-4.9015536033289632e-05,-7.7720168556135163e-05,5.4534856926523074e-04,4.7217898969198810e-04,-7.5397930977425559e-05,-6.7849217168493495e-05,-8.9209731800124018e-06,-2.1868731613993903e-05,-1.2389749524666023e-05,-2.6446086641746160e-05,-1.7213650983517640e-05,-3.2700809858488643e-05,2.6939351139411866e-04,2.6164655194880527e-04,1.1535916449533854e+03,-9.3600490857166938e+02,2.3785210295178592e+02,-8.6902577264472328e+01,2.3435043165435604e+02,-8.2647241312061837e+01,2.7687012394876291e+02,-1.9860193754162447e+02,2.3731217391203361e+02,-8.7171774685747792e+01,1.1458517816644078e+03,-9.2797601872487132e+02,2.2902583918211394e+02,-7.7634543861879365e+01,3.1873338485093097e+02,-2.3756840521572423e+02,2.3347046882867602e+02,-8.3044350157955876e+01,2.2868935356748383e+02,-7.7759553668102583e+01,1.1357724503841739e+03,-9.1692270057821383e+02,3.7741360684665642e+02,-2.9201609165869917e+02,1.3410463700397924e+02,-2.5276725484767447e+01,1.4854787894541511e+02,-3.5246082626240550e+01,1.6862235663954209e+02,-4.9294985816611415e+01,2.0050651030938063e+03,-1.8839889191699563e+03
7.7300066646502446e+00,3.5318575091730386e-08,6.2589194674587277e-08,6.2630230400532989e-08,1.0318642853460330e-07,5.3109469376002018e-08,6.7950687797548674e-08,6.7980120614336932e-08,1.0700750372181269e-07,1.0992894665715622e-04,1.4064813138095914e-04,1.4070905307097842e-04,2.2149011233935708e-04,9.9943470159733649e-01,-8.4927134957028176e-04,9.9899848372213851e-01,-1.0861225690533135e-03,9.9899782729671593e-01,-1.0865923090512459e-03,9.9834891600475484e-01,-1.7092948648613215e-03,5.5244024720483436e-04,4.7434701281434259e-04,-5.7165376337205518e-05,-8.8025212307304453e-05,-5.4455570902199368e-05,-8.6375700156066668e-05,-4.5179324234009394e-05,-3.8402231266886049e-05,-5.7350055704420770e-05,-8.7309905593231589e-05,5.5757751377557196e-04,4.7853494230694311e-04,-5.0768452362515657e-05,-8.2728559478442685e-05,-5.8993960267411075e-05,-5.1628643708563172e-05,-5.4839001545106018e-05,-8.4863511787613594e-05,-5.0966427401832770e-05,-8.1933133455552263e-05,5.6568331197596555e-04,4.8545286307622327e-04,-7.8085356952856049e-05,-6.9872475645506500e-05,-9.2114584860463532e-06,-2.3275162861721189e-05,-1.2778196187626136e-05,-2.8063087323284016e-05,-1.7739714747586784e-05,-3.4601654082106473e-05,2.7918072096234226e-04,2.7055372303646212e-04,1.1229227448590070e+03,-8.9898095988600323e+02,2.3589031106829287e+02,-8.0931319327353066e+01,2.3254459564170270e+02,-7.6818475107267219e+01,2.7045025163010922e+02,-1.8987568153387855e+02,2.3533100592221516e+02,-8.1197576341454692e+01,1.1154635008795335e+03,-8.9123319696823205e+02,2.2738910483912306e+02,-7.1985137042962037e+01,3.1099578574942518e+02,-2.2742450537587473e+02,2.3163157040855035e+02,-7.7205788385617865e+01,2.2703906684050102e+02,-7.2103219647031125e+01,1.1057733269017147e+03,-8.8055122111993524e+02,3.6783585574000728e+02,-2.7988776698723308e+02,1.3386665414811119e+02,-2.2032521259144222e+01,1.4798441851164645e+02,-3.1524426535866464e+01,1.6759909843232211e+02,-4.4907823727451216e+01,1.9414419382599876e+03,-1.8165100226921334e+03
8.2828513707880944e+00,3.6153927292552634e-08,6.4598992409692796e-08,6.4641930295673726e-08,1.0667611893408706e-07,5.5739146887247035e-08,7.0545036784059488e-08,7.0575152526876917e-08,1.1091131120905947e-07,1.0767141766615036e-04,1.3627198383193496e-04,1.3633015847054169e-04,2.1424759413451506e-04,9.9942130698921416e-01,-8.9131049092072798e-04,9.9896631373645406e-01,-1.1275543197449426e-03,9.9896562689723634e-01,-1.1280348985726787e-03,9.9829306599706080e-01,-1.7715537340859022e-03,5.7306584770455736e-04,4.8747799312935512e-04,-5.9510963824254014e-05,-9.2712096151303949e-05,-5.6716796902222126e-05,-9.1059009261735201e-05,-4.6746168754975335e-05,-3.9418818762640228e-05,-5.9691085785337325e-05,-9.1925104087657342e-05,5.7837819431753293e-04,4.9176571515222392e-04,-5.2896834775290847e-05,-8.7284758638830860e-05,-6.1065793682370381e-05,-5.3086286689344945e-05,-5.7089210074239046e-05,-8.9395234006462977e-05,-5.3088300417354327e-05,-8.6409591207535827e-05,5.8676227838137134e-04,4.9886709249621929e-04,-8.0855926160086405e-05,-7.1936884296610096e-05,-9.5371231445859577e-06,-2.4786888909006393e-05,-1.3203851136006994e-05,-2.9798113718293522e-05,-1.8305848405964648e-05,-3.6637430455930681e-05,2.8934865908587093e-04,2.7973875464982307e-04,1.0935723836263394e+03,-8.6315773987302225e+02,2.3418252196915094e+02,-7.5178560253632043e+01,2.3098841707992887e+02,-7.1204948545602008e+01,2.6434801220296566e+02,-1.8140772678686557e+02,2.3360354228570802e+02,-7.5440708865243749e+01,1.0863845423306047e+03,-8.5568303887438697e+02,2.2599590984042530e+02,-6.6545053378032605e+01,3.0362433291779917e+02,-2.1758401900807732e+02,2.3004193273930818e+02,-7.1580011786856147e+01,2.2563222596018841e+02,-6.6654922773115885e+01,1.0770716049689495e+03,-8.4536155364696128e+02,3.5869222538249926e+02,-2.6812600896202923e+02,1.3377377495903860e+02,-1.8886709936174579e+01,1.4758321421043169e+02,-2.7913614226834955e+01,1.6676196394681673e+02,-4.0648931574955910e+01,1.8801312594214401e+03,-1.7512282551656936e+03
8.8752351462132175e+00,3.6989408620339308e-08,6.6659451667991275e-08,6.6704410610323149e-08,1.1027374737318705e-07,5.8541306009787849e-08,7.3253656049566831e-08,7.3284449070807915e-08,1.1496793640875530e-07,1.0553645953977124e-04,1.3205943017430592e-04,1.3211494288262497e-04,2.0726064733434435e-04,9.9940790614733588e-01,-9.3610657677079033e-04,9.9893333120663086e-01,-1.1708088298064206e-03,9.9893261205415107e-01,-1.1713001500372367e-03,9.9823548676983309e-01,-1.8362432416936794e-03,5.9444417272301185e-04,5.0072683598928946e-04,-6.2061184361220152e-05,-9.7679512036522934e-05,-5.9183842447043243e-05,-9.6026525832568397e-05,-4.8349510446589857e-05,-4.0447075779203409e-05,-6.2232801611765339e-05,-9.6815111278778659e-05,5.9993477570466499e-04,5.0511441717804805e-04,-5.5225921736498739e-05,-9.2120890146313070e-05,-6.3193799637670535e-05,-5.4568377499696972e-05,-5.9536644697788624e-05,-9.4199114791831921e-05,-5.5406232112138833e-05,-9.1159671816659838e-05,6.0860317189532034e-04,5.1240129579617456e-04,-8.3709946886746062e-05,-7.4043133994421972e-05,-9.9050343758865596e-06,-2.6410167425352563e-05,-1.3673867525354609e-05,-3.1658397025354454e-05,-1.8919307647076013e-05,-3.8816661628511183e-05,2.9991466437891883e-04,2.8920669286277933e-04,1.0655008808466034e+03,-8.2850170794460450e+02,2.3272138149740013e+02,-6.9645845517614433e+01,2.2967461318309387e+02,-6.5808479834933536e+01,2.5855615136842113e+02,-1.7319053170775828e+02,2.3212251166654826e+02,-6.9902621534572162e+01,1.0585754709558062e+03,-8.2129240248816507e+02,2.2483918054580005e+02,-6.1316309615153436e+01,2.9661027391534930e+02,-2.0803779738946685e+02,2.2869445341361822e+02,-6.6168645534117985e+01,2.2446185488927046e+02,-6.1416583216982580e+01,1.0496281967009515e+03,-8.1132111638447134e+02,3.4997186963245548e+02,-2.5671942814216112e+02,1.3382355498866468e+02,-1.5840743649700666e+01,1.4734145867402077e+02,-2.4414645375299873e+01,1.6610763843889592e+02,-3.6518672346817169e+01,1.8210599610602765e+03,-1.6880680595882448e+03
9.5099857976907742e+00,3.7824006710411639e-08,6.8770319374664674e-08,6.8817428173008350e-08,1.1398153408192153e-07,6.1529830410989016e-08,7.6083179825080640e-08,7.6114642703701647e-08,1.1918446065582927e-07,1.0352037387159853e-04,1.2800554095045155e-04,1.2805847542046240e-04,2.0052094820780146e-04,9.9939451467007434e-01,-9.8388151579942035e-04,9.9889953989127100e-01,-1.2159918486644090e-03,9.9889878636798146e-01,-1.2164937838155393e-03,9.9817614247266584e-01,-1.9034756567194156e-03,6.1659292109314220e-04,5.1407160798554684e-04,-6.4844315174410257e-05,-1.0293595106088267e-04,-6.1885721038318334e-05,-1.0128676230236162e-04,-4.9987442349244007e-05,-4.1487804600944801e-05,-6.5002716505192687e-05,-1.0198832032296376e-04,6.2226455408686317e-04,5.1855916125451997e-04,-5.7784489237926017e-05,-9.7245354006511965e-05,-6.5376933497733952e-05,-5.6075850304409309e-05,-6.2208668505123177e-05,-9.9283484372186340e-05,-5.7948112726756093e-05,-9.6191692230718996e-05,6.3122283774857306e-04,5.2603370010864486e-04,-8.6647570660362686e-05,-7.6192314828763664e-05,-1.0323228992427015e-05,-2.8151042441467470e-05,-1.4196390599338803e-05,-3.3651032713707218e-05,-1.9588368498319467e-05,-4.1147840222857867e-05,3.1089699822980547e-04,2.9896209140995117e-04,1.0386692948895759e+03,-7.9498102598539583e+02,2.3149897322963480e+02,-6.4335174928703495e+01,2.2859531743645687e+02,-6.0631334906586815e+01,2.5306773338131660e+02,-1.6521711298164212e+02,2.3088009544626163e+02,-6.4585220562503324e+01,1.0319975685801926e+03,-7.8802983680792784e+02,2.2391125459935705e+02,-5.6301364424220125e+01,2.8994523292787704e+02,-1.9877730573525912e+02,2.2758147764618082e+02,-6.0973769108203989e+01,2.2352040521806003e+02,-5.6390567071166267e+01,1.0234047009828918e+03,-7.7839900630553211e+02,3.4166439993504247e+02,-2.4565732770277793e+02,1.3401330760252790e+02,-1.2896426358307655e+01,1.4725612022209887e+02,-2.1028893019110765e+01,1.6563260838930776e+02,-3.2517812688140602e+01,1.7641576009576372e+03,-1.6269566461292952e+03
1.0190133374761119e+01,3.8656819556498177e-08,7.0931140606634521e-08,7.0980538846805556e-08,1.1780161147383628e-07,6.4719718548000521e-08,7.9040777768590984e-08,7.9072901390494663e-08,1.2356840344905837e-07,1.0161942512036864e-04,1.2410558302190832e-04,1.2415602180731233e-04,1.9402046877812424e-04,9.9938114630443597e-01,-1.0348750318937314e-03,9.9886494673569615e-01,-1.2632176644735242e-03,9.9886415661188466e-01,-1.2637300602069217e-03,9.9811499861221564e-01,-1.9733701864828590e-03,6.3952905697363242e-04,5.2748890137329339e-04,-6.7891464290238543e-05,-1.0848755159720020e-04,-6.4854350421184135e-05,-1.0684577722528946e-04,-5.1657865449989658e-05,-4.2542372580131176e-05,-6.8031102830132782e-05,-1.0745085745971171e-04,6.4538404450381138e-04,5.3207666319134476e-04,-6.0604203026658410e-05,-1.0266409996431306e-04,-6.7613999823015413e-05,-5.7610171671047121e-05,-6.5135394663363438e-05,-1.0465440716296056e-04,-6.0744639973893114e-05,-1.0151162140101754e-04,6.5463727873119829e-04,5.3974123474809417e-04,-8.9668855047880789e-05,-7.8386001746556111e-05,-1.0800750629177178e-05,-3.0015205469486345e-05,-1.4780598779855042e-05,-3.5782848127118568e-05,-2.0322373780371732e-05,-4.3639305533848411e-05,3.2231488082930883e-04,3.0900891240537011e-04,1.0130392942132415e+03,-7.6256543261078059e+02,2.3050673739666826e+02,-5.9248916860761973e+01,2.2774199791870652e+02,-5.5676139659426603e+01,2.4787610555100648e+02,-1.5748105609222355e+02,2.2986784731154737e+02,-5.9490785605566330e+01,1.0066127051885474e+03,-7.5586545505021115e+02,2.2320379962778995e+02,-5.1503031385886580e+01,2.8362117305828815e+02,-1.8979463158601530e+02,2.2669471789446808e+02,-5.5997833429724103e+01,2.2279967549130515e+02,-5.1579601945771124e+01,9.9836327431298878e+02,-7.4656587128588001e+02,3.3375984442724950e+02,-2.3492970889540746e+02,1.3434005518897476e+02,-1.0055889610604796e+01,1.4732389331663356e+02,-1.7758078775165526e+01,1.6533311089255753e+02,-2.8647497464417981e+01,1.7093562731360644e+03,-1.5678238917409215e+03
1.0918924634002583e+01,3.9487089808730349e-08,7.3141236220457572e-08,7.3193075205701389e-08,1.2173600370614279e-07,6.8127145805830322e-08,8.2134208425727759e-08,8.2166982145053027e-08,1.2812775817589080e-07,9.9829824622483967e-05,1.2035501461471479e-04,1.2040303944562536e-04,1.8775146806630219e-04,9.9936781238458960e-01,-1.0893456558608494e-03,9.9882956222338115e-01,-1.3126099571264672e-03,9.9882873308230991e-01,-1.3131326337301149e-03,9.9805202237196311e-01,-2.0460535422272210e-03,6.6326885716205385e-04,5.4095389113092030e-04,-7.1236463864052496e-05,-1.1433751869366488e-04,-6.8124436841343142e-05,-1.1270657440242814e-04,-5.3358574519096393e-05,-4.3612806728669403e-05,-7.1350892208986325e-05,-1.1320601921015419e-04,6.6930903651007587e-04,5.4564231359944203e-04,-6.3719502188712060e-05,-1.0838002813164728e-04,-6.9903739240335556e-05,-5.9173429711936435e-05,-6.8349585787747132e-05,-1.1031511957671249e-04,-6.3829210852065789e-05,-1.0712250178022399e-04,6.7886172032441275e-04,5.5349962255206496e-04,-9.2773851907824098e-05,-8.0626335938024655e-05,-1.1347662711650973e-05,-3.2007839205843503e-05,-1.5436721024363342e-05,-3.8060253035996383e-05,-2.1131756654169928e-05,-4.6299103652950154e-05,3.3418851281617458e-04,3.1935041579388309e-04,9.8857305771328038e+02,-7.3122612063407610e+02,2.2973540210265369e+02,-5.4389705287816533e+01,2.2710538821658574e+02,-5.0945774579438826e+01,2.4297486123408615e+02,-1.4997652926314993e+02,2.2907662474457354e+02,-5.4621869409774291e+01,9.8238323933444826e+02,-7.2477081074532566e+02,2.2270774435241398e+02,-4.6924374311045973e+01,2.7763035791714390e+02,-1.8108249751516868e+02,2.2602518521296963e+02,-5.1243561054149808e+01,2.2229074248599801e+02,-4.6986675250220074e+01,9.7446653083743115e+02,-7.1579378453364211e+02,3.2624860745450451e+02,-2.2452728207782036e+02,1.3480048231975115e+02,-7.3215599040137214e+00,1.4754115123386052e+02,-1.4604239894037850e+01,1.6520508560864721e+02,-2.4909216512854687e+01,1.6565905170438100e+03,-1.5106022800915071e+03
1.1699838537768235e+01,4.0314240150956753e-08,7.5399679179660718e-08,7.5454122897638958e-08,1.2578660413888596e-07,7.1769527488644180e-08,8.5371879190336644e-08,8.5405291087745453e-08,1.3287103206915856e-07,9.8147716649916826e-05,1.1674948003973969e-04,1.1679517215394138e-04,1.8170648294281398e-04,9.9935452125159718e-01,-1.1475717305836890e-03,9.9879340074735956e-01,-1.3643027553751868e-03,9.9879252996983603e-01,-1.3648355117807968e-03,9.9798718296466604e-01,-2.1216605728147709e-03,6.8782801437836951e-04,5.5444035951506476e-04,-7.4915661292202431e-05,-1.2048552234662278e-04,-7.1733252760204720e-05,-1.1886848100570714e-04,-5.5087371767336489e-05,-4.4701879297979485e-05,-7.4997477134483643e-05,-1.1925368846846067e-04,6.9405470920956829e-04,5.5923021682056863e-04,-6.7167376297098478e-05,-1.1439236881245993e-04,-7.2244942914968010e-05,-6.0768413615500945e-05,-7.1886454631492821e-05,-1.1626544688517968e-04,-6.7237711267808045e-05,-1.1302385005078484e-04,7.0391073953839567e-04,5.6728343806579872e-04,-9.5962722932487949e-05,-8.2916095740264570e-05,-1.1975037041235323e-05,-3.4133451217725002e-05,-1.6176030602089312e-05,-4.0489081277898133e-05,-2.2028041774786497e-05,-4.9134840112826264e-05,3.4653909144833993e-04,3.2998904130143524e-04,9.6523318468686023e+02,-7.0093559869661965e+02,2.2917492661678915e+02,-4.9760321024146442e+01,2.2667543083556760e+02,-4.6443253346350197e+01,2.3835779660735011e+02,-1.4269829523332390e+02,2.2849653214733266e+02,-4.9981181881150576e+01,9.5927192845567947e+02,-6.9471875789339435e+02,2.2241322212032424e+02,-4.2568586611855828e+01,2.7196530692042001e+02,-1.7263427163566186e+02,2.2556313215693058e+02,-4.6713830806972581e+01,2.2198390440067845e+02,-4.2614916758914838e+01,9.5167745262117148e+02,-6.8605610289183483e+02,3.1912142267366141e+02,-2.1444147548546661e+02,1.3539089098777319e+02,-4.6961180348017262e+00,1.4790390088154129e+02,-1.1569688305000374e+01,1.6524412892484148e+02,-2.1304763385659491e+01,1.6057972198919078e+03,-1.4552268370762160e+03
