omega,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_0_3,Overhead_Tv_imag_0_3,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_1_3,Overhead_Tv_imag_1_3,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Tv_real_2_3,Overhead_Tv_imag_2_3,Overhead_Tv_real_3_0,Overhead_Tv_imag_3_0,Overhead_Tv_real_3_1,Overhead_Tv_imag_3_1,Overhead_Tv_real_3_2,Overhead_Tv_imag_3_2,Overhead_Tv_real_3_3,Overhead_Tv_imag_3_3,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_0_3,Overhead_Ti_imag_0_3,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_1_3,Overhead_Ti_imag_1_3,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Ti_real_2_3,Overhead_Ti_imag_2_3,Overhead_Ti_real_3_0,Overhead_Ti_imag_3_0,Overhead_Ti_real_3_1,Overhead_Ti_imag_3_1,Overhead_Ti_real_3_2,Overhead_Ti_imag_3_2,Overhead_Ti_real_3_3,Overhead_Ti_imag_3_3,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_Tau_3,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2,Overhead_H_real_3,Overhead_H_imag_3
6.2831853071795869e+01,-6.6965970895447924e-01,4.2926564103491327e-02,-4.9442607367543778e-01,1.3851814437902954e-03,5.4106884900132213e-01,1.6648424034133830e-02,-3.4247690068928201e-02,8.7209047867630313e-02,-1.2498707832168708e-01,2.2352478054554620e-02,8.0839013646523661e-01,-2.7755575615628914e-17,5.4564026743265448e-01,8.2602925276051564e-03,-5.7408682642456188e-02,9.0615290763198436e-02,7.2075745344039843e-01,0.0000000000000000e+00,-3.1937542834464644e-01,5.3441613047786607e-03,5.5233517847418978e-01,0.0000000000000000e+00,-8.9007617925555255e-02,9.4532443997751847e-02,1.1860124868019932e-01,5.8496492467322355e-03,3.9488790618104203e-03,1.2281171572857282e-03,3.1277788677372942e-01,-7.9193692338402705e-02,9.8125228708785861e-01,-2.7755575615628914e-17,-6.6584454356394940e-01,1.0246386522873248e-02,-4.9305127312330993e-01,2.2387184011182504e-03,5.7372898862793709e-01,-4.0909512393121766e-02,-1.0378086283756988e-01,-3.9097674579239516e-02,-1.1411864544824164e-01,-3.2265216151830482e-03,8.0984657791612802e-01,-2.6073392571070650e-03,5.9465710515544246e-01,-2.6708886574211839e-02,-1.8114817830207186e-01,-3.8745534908274468e-02,7.4191406030718798e-01,-3.3723865666355685e-02,-3.1798011662580633e-01,-2.6120767633293872e-03,6.1862735897362142e-01,-1.5576165495693479e-02,-2.8663605070671233e-01,-3.6850948065054810e-02,4.0018004637553513e-02,-1.1308098885657696e-03,1.6220696635134413e-03,2.1407110945045773e-05,1.1853250065574938e-01,1.6109920749901033e-01,9.8948833715454965e-01,-6.0540171513707254e-02,6.4751046168676484e-05,6.4766628295368352e-05,7.9222871818162389e-05,8.7782251441693429e-05,9.9781968035929591e-01,-4.0595801433903605e-03,9.9781647753117531e-01,-4.0605440451249222e-03,9.9896493735695391e-01,-4.9726086601429523e-03,9.9585230204506525e-01,-5.4927005054328532e-03
6.5415379968575820e+01,-6.7105433433148809e-01,4.1941292675307204e-02,-4.9375965436656588e-01,2.5899419126804435e-03,5.4032060111464930e-01,1.6896713781160255e-02,-3.5182394420238003e-02,9.0305607291268519e-02,-1.2494939173686634e-01,2.3671841343133115e-02,8.0847753555984769e-01,1.9166902457634638e-04,5.4528138573780105e-01,8.6777805183488599e-03,-5.8372962093622763e-02,9.3827334567424994e-02,7.1953471100192956e-01,-7.7118744228588110e-04,-3.2019913796466687e-01,3.9727325643974659e-03,5.5238039647073456e-01,6.2237106906132267e-04,-9.0006160094061927e-02,9.7873723021953102e-02,1.1827631308757033e-01,5.8498266103078605e-03,3.8052616173562047e-03,9.9151673615889991e-04,3.1392202069862207e-01,-8.1789551516197975e-02,9.8016102813905515e-01,3.3076175298366040e-04,-6.6668154641032729e-01,1.1341912519383181e-02,-4.9236866538265800e-01,1.0389777742780652e-03,5.7317874318665096e-01,-4.1288005127656513e-02,-1.0471556467979339e-01,-4.0490337311138810e-02,-1.1368116338529342e-01,-4.6494880358003794e-03,8.0993279556091291e-01,-2.8040099155110486e-03,5.9502969741852285e-01,-2.7746898900638039e-02,-1.8227137825178605e-01,-4.0114323738911731e-02,7.4116387504539794e-01,-3.3102654652708806e-02,-3.1877777230492210e-01,-1.2330141099485391e-03,6.1992760939481006e-01,-1.7465460263652144e-02,-2.8799251276866761e-01,-3.8133026974519348e-02,4.0065090746490228e-02,-1.1932470272518864e-03,1.5848622959880741e-03,9.4512392002789433e-05,1.2108509080725610e-01,1.6697429827298621e-01,9.9058047197811605e-01,-6.2863180663817367e-02,6.4183169199871418e-05,6.4198565253553963e-05,7.9056656324432136e-05,8.6497722652349374e-05,9.9779994869048871e-01,-4.1893539559055056e-03,9.9779666542417333e-01,-4.1903451081701454e-03,9.9894917788676918e-01,-5.1661329191814735e-03,9.9579275299415182e-01,-5.6345357384402859e-03
6.8105136602345354e+01,-6.7242537603105634e-01,4.0901453083719071e-02,-4.9310382945022385e-01,3.8224018120660008e-03,5.3955528736276204e-01,1.7131946106828194e-02,-3.6207800424741490e-02,9.3492187039849073e-02,-1.2491932127268443e-01,2.4988735843488007e-02,8.0856136192305283e-01,3.8902184589367783e-04,5.4489581958381528e-01,9.1018267597604841e-03,-5.9430950419479954e-02,9.7133156022040534e-02,7.1832581624923919e-01,-1.5907354481037844e-03,-3.2100117586965893e-01,2.5726910888037718e-03,5.5238765207840390e-01,1.2727722400605046e-03,-9.1101965766466855e-02,1.0131291176959756e-01,1.1795469234396659e-01,5.8389111559950481e-03,3.6659024761159947e-03,7.5020193739328510e-04,3.1516141325211633e-01,-8.4450200297330524e-02,9.7898775200659638e-01,6.5226349369719439e-04,-6.6750450360398383e-01,1.2465334364882947e-02,-4.9170506225291638e-01,-1.9144175590046601e-04,5.7266885300430237e-01,-4.1674212757681177e-02,-1.0573165081674425e-01,-4.1913579428847859e-02,-1.1325966969930600e-01,-6.0898889302824282e-03,8.1002516658520995e-01,-2.9990480073183549e-03,5.9541522598606011e-01,-2.8851716480580998e-02,-1.8348903711662556e-01,-4.1506112796486208e-02,7.4043200074338289e-01,-3.2444841829138336e-02,-3.1955941742942728e-01,1.7274044785653420e-04,6.2120585917933169e-01,-1.9489239325034477e-02,-2.8945909915336632e-01,-3.9425964101256497e-02,4.0111668856734166e-02,-1.2590700384962116e-03,1.5486502685059628e-03,1.6936201671722686e-04,1.2387751549468576e-01,1.7302818536018677e-01,9.9172196398682821e-01,-6.5336018389116041e-02,6.3640148021785442e-05,6.3655366702761594e-05,7.8896346301787456e-05,8.5248220585295466e-05,9.9778069155503490e-01,-4.3246290813056081e-03,9.9777732855559231e-01,-4.3256486912775557e-03,9.9893272315372927e-01,-5.3675633579227831e-03,9.9573334219355947e-01,-5.7811351248125810e-03
7.0905490938862883e+01,-6.7377172398675944e-01,3.9808905532966121e-02,-4.9245655435797447e-01,5.0818704696942302e-03,5.3877268616323903e-01,1.7354076744197117e-02,-3.7331010250312685e-02,9.6768408502086886e-02,-1.2489191977361472e-01,2.6303160065148767e-02,8.0864179158719052e-01,5.9201038671147233e-04,5.4448180169337668e-01,9.5316561977469572e-03,-6.0590009247079017e-02,1.0053240969100545e-01,7.1713223235792689e-01,-2.4570056411124287e-03,-3.2178376146891852e-01,1.1452456289481397e-03,5.5235346238269023e-01,1.9496230411917559e-03,-9.2302706088853353e-02,1.0484969061123633e-01,1.1763736209261984e-01,5.8174408919632742e-03,3.5304297982425041e-03,5.0439822066397253e-04,3.1650288902796109e-01,-8.7174059332305279e-02,9.7772705006215432e-01,9.6154822194558648e-04,-6.6831462061840397e-01,1.3615271428865733e-02,-4.9105879962686438e-01,-1.4517191506285328e-03,5.7220238439810123e-01,-4.2074903717746477e-02,-1.0683544702614224e-01,-4.3365081150996403e-02,-1.1285060684614069e-01,-7.5473456093847844e-03,8.1012460254066299e-01,-3.1924715857538852e-03,5.9581231804858015e-01,-3.0029032720836922e-02,-1.8480815199540995e-01,-4.2917458817075989e-02,7.3971931049062090e-01,-3.1751250329833926e-02,-3.2032762802641285e-01,1.6041717233602698e-03,6.2245549632246888e-01,-2.1652050067159870e-02,-2.9104353143260681e-01,-4.0724778720215855e-02,4.0157654934106717e-02,-1.3282638764194311e-03,1.5133295250542359e-03,2.4592316919633874e-04,1.2693087496910896e-01,1.7925982271351257e-01,9.9291146197612568e-01,-6.7970744797670402e-02,6.3121432591422855e-05,6.3136481303616130e-05,7.8741691429760761e-05,8.4033180986909514e-05,9.9776192096402638e-01,-4.4656691124743183e-03,9.9775847914119387e-01,-4.4667183738295495e-03,9.9891553092346386e-01,-5.5772214123785083e-03,9.9567413330566268e-01,-5.9327088577814848e-03
7.3820990546372755e+01,-6.7509255424313852e-01,3.8665621547817046e-02,-4.9181561375314559e-01,6.3677817499650513e-03,5.3797242215327767e-01,1.7563042225278797e-02,-3.8559537236318484e-02,1.0013337868086179e-01,-1.2486219742554786e-01,2.7615504243308560e-02,8.0871901818626668e-01,8.0061160302323520e-04,5.4403748586626355e-01,9.9663378524859070e-03,-6.1857930542767663e-02,1.0402422023287312e-01,7.1595516264478154e-01,-3.3681916676010296e-03,-3.2254930288380723e-01,-3.0857019361947569e-04,5.5227434283148735e-01,2.6510354383969259e-03,-9.3616505608968614e-02,1.0848319095806916e-01,1.1732523395861522e-01,5.7860469215519211e-03,3.3984400725945848e-03,2.5429860862018867e-04,3.1795362044490016e-01,-8.9958969200337829e-02,9.7637328829030201e-01,1.2552554677460886e-03,-6.6911331353112913e-01,1.4790370214400770e-02,-4.9042803213050223e-01,-2.7412006393119619e-03,5.7178178035135008e-01,-4.2497616853209193e-02,-1.0803363482666371e-01,-4.4841909133371424e-02,-1.1245029445649085e-01,-9.0217702225077832e-03,8.1023201779019349e-01,-3.3842819090879848e-03,5.9621903528786646e-01,-3.1285002596452914e-02,-1.8623605663882833e-01,-4.4344169963005761e-02,7.3902651127820740e-01,-3.1022724513251890e-02,-3.2108516351536215e-01,3.0604250496311458e-03,6.2366936328795530e-01,-2.3958540683176661e-02,-2.9275382656102378e-01,-4.2023569597183327e-02,4.0202976836658119e-02,-1.4008055443832405e-03,1.4787871538476157e-03,3.2417247455126993e-04,1.3026793366332828e-01,1.8566668844337156e-01,9.9414666015180242e-01,-7.0780322541941124e-02,6.2626456903005156e-05,6.2641341890284000e-05,7.8592463103970139e-05,8.2852045356325099e-05,9.9774364668386339e-01,-4.6127484932943523e-03,9.9774012714650995e-01,-4.6138285865796446e-03,9.9889755724865181e-01,-5.7954423788220558e-03,9.9561519232533591e-01,-6.0894775405656914e-03
7.6856369980520014e+01,-6.7638734181627513e-01,3.7473662641417577e-02,-4.9117863032640086e-01,7.6796868604336460e-03,5.3715396135725391e-01,1.7758729934233664e-02,-3.9901300760788759e-02,1.0358561064055802e-01,-1.2482515918864322e-01,2.8926516030185909e-02,8.0879325088125631e-01,1.0148271836777079e-03,5.4356095458968146e-01,1.0404765225495105e-02,-6.3242932229597981e-02,1.0760709987921738e-01,7.1479553116621142e-01,-4.3223423025514213e-03,-3.2330038166575853e-01,-1.7878906309546846e-03,5.5214682833867534e-01,3.3748045538095905e-03,-9.5051938826251570e-02,1.1221190916159118e-01,1.1701914631406390e-01,5.7454434638924664e-03,3.2695010301245766e-03,6.4825175932281889e-08,3.1952110773711462e-01,-9.2802107603768599e-02,9.7492062640943367e-01,1.5295795257216777e-03,-6.6990220814524470e-01,1.5989306703280005e-02,-4.8981074543929659e-01,-4.0593979958297877e-03,5.7140873120821889e-01,-4.2950640641409077e-02,-1.0933323251278045e-01,-4.6340420710784036e-02,-1.1205495254665598e-01,-1.0513344985272224e-02,8.1034833204772316e-01,-3.5744535736301625e-03,5.9663275676587391e-01,-3.2626236472749662e-02,-1.8778038711785164e-01,-4.5781198417261477e-02,7.3835413766693714e-01,-3.0260115098696156e-02,-3.2183495498604253e-01,4.5407946666767363e-03,6.2483965086775628e-01,-2.6413462432047875e-02,-2.9459824105662935e-01,-4.3315394339503765e-02,4.0247575479168331e-02,-1.4766655637153548e-03,1.4449020284626162e-03,4.0409571648624646e-04,1.3391317019092544e-01,1.9224447898479827e-01,9.9542409439158352e-01,-7.3778617287508286e-02,6.2154638968327279e-05,6.2169365459751593e-05,7.8448453097656987e-05,8.1704259878731981e-05,9.9772587609804619e-01,-4.7661527381758426e-03,9.9772228014688247e-01,-4.7672648327279242e-03,9.9887875646876279e-01,-6.0225760409308845e-03,9.9555658737822672e-01,-6.2516726208057842e-03
8.0016558472918234e+01,-6.7765587210965406e-01,3.6235152787929756e-02,-4.9054307237839917e-01,9.0172489904965375e-03,5.3631660895810296e-01,1.7940945339272069e-02,-4.1364620345887365e-02,1.0712294462764539e-01,-1.2477583777646360e-01,3.0237263313604143e-02,8.0886471233765533e-01,1.2346835282208424e-03,5.4305022800556013e-01,1.0845636363773850e-02,-6.4753653082890425e-02,1.1127886653362509e-01,7.1365396543223114e-01,-5.3173906125621867e-03,-3.2403973928493707e-01,-3.2920125862589203e-03,5.5196749445470639e-01,4.1184016689519293e-03,-9.6618026101221277e-02,1.1603362094155502e-01,1.1671985579982985e-01,5.6964159098055502e-03,3.1431541859374399e-03,-2.5817195237565449e-04,3.2121315535398604e-01,-9.5699906643694099e-02,9.7336304010167751e-01,1.7802249495649514e-03,-6.7068313858768858e-01,1.7210791621350297e-02,-4.8920476712213001e-01,-5.4059884137064654e-03,5.7108403454570655e-01,-4.3442978041813810e-02,-1.1074156789026912e-01,-4.7856160684478781e-02,-1.1166072136344686e-01,-1.2022501563522149e-02,8.1047447319550936e-01,-3.7629253143876551e-03,5.9705004643901727e-01,-3.4059782608048060e-02,-1.8944903624972695e-01,-4.7222525465212217e-02,7.3770254583507067e-01,-2.9464260633775732e-02,-3.2258009543368582e-01,6.0447143208864499e-03,6.2595777196206626e-01,-2.9021662975427662e-02,-2.9658520006249733e-01,-4.4592141422237885e-02,4.0291405578782948e-02,-1.5558096676212476e-03,1.4115453404930387e-03,4.8568769396383979e-04,1.3789281679433379e-01,1.9898677215078572e-01,9.9673890967583401e-01,-7.6980383081094478e-02,6.1705384418795630e-05,6.1719956780955201e-05,7.8309478636913536e-05,8.0589277368084864e-05,9.9770861416596202e-01,-4.9261789226375981e-03,9.9770494328464299e-01,-4.9273241802193094e-03,9.9885908131951562e-01,-6.2589878338481005e-03,9.9549838857294337e-01,-6.4195370698829123e-03
8.3306687935856900e+01,-6.7889824108152863e-01,3.4952264902402580e-02,-4.8990626173143381e-01,1.0380224647660110e-02,5.3545951994798557e-01,1.8109378524984662e-02,-4.2958182421958924e-02,1.1074243272578824e-01,-1.2470931659546283e-01,3.1549084726231809e-02,8.0893363689389786e-01,1.4602298747900463e-03,5.4250328153415239e-01,1.1287429969356305e-02,-6.6399119655351557e-02,1.1503652378641026e-01,7.1253079034264943e-01,-6.3511716383339023e-03,-3.2477026324381264e-01,-4.8203747184508254e-03,5.5173298297644857e-01,4.8789595766279836e-03,-9.8324200755615154e-02,1.1994525591794046e-01,1.1642803360855365e-01,5.6398106682990327e-03,3.0189175430970585e-03,-5.2030751195851304e-04,3.2303781701868156e-01,-9.8647941595551319e-02,9.7169436601388970e-01,2.0023602382767125e-03,-6.7145814177314755e-01,1.8453562201148015e-02,-4.8860777718781617e-01,-6.7808007369557916e-03,5.7080744799299676e-01,-4.3984293797960740e-02,-1.1226621948139454e-01,-4.9383736706661699e-02,-1.1126367605060911e-01,-1.3549885960731239e-02,8.1061137966091490e-01,-3.9495892526849319e-03,5.9746650353162334e-01,-3.5593076722705480e-02,-1.9125007049588946e-01,-4.8661026888414907e-02,7.3707191246474923e-01,-2.8635976958728031e-02,-3.2332382976649915e-01,7.5717325351453120e-03,6.2701420919813489e-01,-3.1788027785797326e-02,-2.9872318124029040e-01,-4.5844385909311766e-02,4.0334436259702358e-02,-1.6382002191175258e-03,1.3785811795999378e-03,5.6895122436971589e-04,1.4223481753445252e-01,2.0588458725101305e-01,9.9808458922959509e-01,-8.0401185107020601e-02,6.1278078981280451e-05,6.1292500867291837e-05,7.8175367928360701e-05,7.9506549904415983e-05,9.9769186317002501e-01,-5.0931352977634488e-03,9.9768811901475729e-01,-5.0943148773741160e-03,9.9883848283683507e-01,-6.5050585305082955e-03,9.9544066743343662e-01,-6.5933253499766090e-03
8.6732101296147491e+01,-6.8011486379640518e-01,3.3627183129530558e-02,-4.8926537752568072e-01,1.1768462583798029e-02,5.3458170366943780e-01,1.8263567937351222e-02,-4.4691028941959261e-02,1.1444026227678060e-01,-1.2462075118155934e-01,3.2863550431881959e-02,8.0900026891081045e-01,1.6915389207256826e-03,5.4191805885584399e-01,1.1728385576440646e-02,-6.8188735649517870e-02,1.1887618118338882e-01,7.1142601544701356e-01,-7.4214610803615411e-03,-3.2549497855441306e-01,-6.3725572151654662e-03,5.5144002433479311e-01,5.6532695333790274e-03,-1.0018029948203688e-01,1.2394281396223136e-01,1.1614425903620196e-01,5.5765203734561841e-03,2.8962871768773726e-03,-7.8626482429980165e-04,3.2500336025683402e-01,-1.0164085090531258e-01,9.6990833383924913e-01,2.1905688508021548e-03,-6.7222945582304128e-01,1.9716392463300078e-02,-4.8801731434936763e-01,-8.1838193625404804e-03,5.7057752627856817e-01,-4.4584842335210942e-02,-1.1391496228915823e-01,-5.0916702185698361e-02,-1.1085983780050922e-01,-1.5096340529051771e-02,8.1076000352872579e-01,-4.1342829345990331e-03,5.9787659872584875e-01,-3.7233888058145342e-02,-1.9319165001101871e-01,-5.0088345746298876e-02,7.3646222940827033e-01,-2.7776032186829776e-02,-3.2406955024045464e-01,9.1215084539020275e-03,6.2799834936909693e-01,-3.4717435555313453e-02,-3.0102059988794339e-01,-4.7061251929881968e-02,4.0376651039125792e-02,-1.7237981642644431e-03,1.3458667828600563e-03,6.5389733848743173e-04,1.4696881647528898e-01,2.1292597661267526e-01,9.9945266009384581e-01,-8.4057330309711450e-02,6.0872099654456442e-05,6.0886374155478084e-05,7.8045978015120268e-05,7.8455536055161530e-05,9.9767562291896283e-01,-5.2673423535792565e-03,9.9767180730704907e-01,-5.2685574180904938e-03,9.9881691072656320e-01,-6.7611864987449167e-03,9.9538349688003736e-01,-6.7733045221568186e-03
9.0298361171640849e+01,-6.8130646737283496e-01,3.2262115545162035e-02,-4.8861745507634252e-01,1.3181864082015542e-02,5.3368205671669033e-01,1.8402873016402553e-02,-4.6572453081437801e-02,1.1821160279457139e-01,-1.2450536779967375e-01,3.4182397515462981e-02,8.0906486288966095e-01,1.9287021424001689e-03,5.4129250779396154e-01,1.2166479393361587e-02,-7.0132175702354596e-02,1.2279289474129350e-01,7.1033933837518137e-01,-8.5259703627799943e-03,-3.2621704439241589e-01,-7.9482367863842433e-03,5.5108547794557527e-01,6.4377593873914535e-03,-1.0219645388081058e-01,1.2802119815784246e-01,1.1586902252048108e-01,5.5074778159313435e-03,2.7747382232804051e-03,-1.0559863058004606e-03,3.2711813709120968e-01,-1.0467220273894842e-01,9.6799865397493645e-01,2.3388138345187270e-03,-6.7299951671442326e-01,2.0998062157836683e-02,-4.8743077566493159e-01,-9.6151493803733664e-03,5.7039145961102200e-01,-4.5255368081251177e-02,-1.1569563285548959e-01,-5.2447412233424424e-02,-1.1044516977136612e-01,-1.6662848659670736e-02,8.1092131258837141e-01,-4.3167757206841097e-03,5.9827350442017990e-01,-3.8990191427949308e-02,-1.9528185782436039e-01,-5.1494746076002226e-02,7.3587330316128197e-01,-2.6885150370440994e-02,-3.2482079678654241e-01,1.0693763152510694e-02,6.2889830996297069e-01,-3.7814585723322761e-02,-3.0348559117485285e-01,-4.8230268469206694e-02,4.0418048837134353e-02,-1.8125634682485308e-03,1.3132525583948414e-03,7.4054308094482189e-04,1.5212589698321211e-01,2.2009544695726485e-01,1.0008323745300030e+00,-8.7965643850639971e-02,6.0486803370864167e-05,6.0500933155671136e-05,7.7921164598010529e-05,7.7435692211802207e-05,9.9765989011449896e-01,-5.4491320522599765e-03,9.9765600501147422e-01,-5.4503837758630132e-03,9.9879431290032150e-01,-7.0277860406412094e-03,9.9532695023137596e-01,-6.9597540886964264e-03
