omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3
62.83185307179587,1.3590149507770287e-07,2.5427676369470946e-07,1.3610186057821717e-07,2.5433795456313755e-07,6.395061198351643e-08,3.1110749012528103e-07,2.5881955920001944e-07,3.4472009530599516e-07
65.41537996857582,1.3710381075224528e-07,2.6241040004981136e-07,1.3730920337346606e-07,2.624733462186651e-07,6.487513990264665e-08,3.2322007578174006e-07,2.6250713828750223e-07,3.5364258710749515e-07
68.10513660234535,1.3827387465630689e-07,2.7088881090107353e-07,1.3848424918128047e-07,2.709535902977477e-07,6.583817710225775e-08,3.3582790264432375e-07,2.6618324818386655e-07,3.6286510675427606e-07
70.90549093886288,1.3941071846798614e-07,2.797285104161986e-07,1.3962601677070605e-07,2.7979520018657744e-07,6.684195590037651e-08,3.489511430114774e-07,2.6984367959693063e-07,3.724008720644461e-07
73.82099054637276,1.4051349589730917e-07,2.8894669268684776e-07,1.4073364728396884e-07,2.8901536921842244e-07,6.788878163775783e-08,3.626108422383956e-07,2.7348405922661963e-07,3.8226375356230763e-07
76.85636998052001,1.415814897947528e-07,2.9856124553471296e-07,1.4180641145419884e-07,2.986319845768019e-07,6.898102979518217e-08,3.7682895847956226e-07,2.770998610151647e-07,3.924683016390239e-07
80.01655847291823,1.426141129754819e-07,3.0859078127752866e-07,1.4284371052958637e-07,3.086636581693305e-07,7.012113579476108e-08,3.916284360208958e-07,2.806864138104445e-07,4.030297890508493e-07
83.3066879358569,1.4361092243089973e-07,3.190546126876451e-07,1.4384509057795854e-07,3.1912970265998245e-07,7.131159795197024e-08,4.070331862674213e-07,2.8423893555335287e-07,4.1396420885898845e-07
86.73210129614749,1.4457160438182967e-07,3.299728195837188e-07,1.4481022760549757e-07,3.3005019817550385e-07,7.255495000274809e-08,4.2306822943526945e-07,2.8775253244674274e-07,4.252883437737388e-07
90.29836117164085,1.4549601215655224e-07,3.4136620105626975e-07,1.457389655222035e-07,3.4144594458200585e-07,7.385378706825253e-08,4.3975959148662685e-07,2.9122225997826114e-07,4.3701975643233323e-07
94.01125890450754,1.4638407697879978e-07,3.532563886687442e-07,1.4663122689718088e-07,3.533385747973396e-07,7.521063803284682e-08,4.571346890104143e-07,2.946430893166333e-07,4.4917687012206425e-07
97.8768239659487,1.4723600320586722e-07,3.656657197860147e-07,1.4748720843413458e-07,3.6575042811297076e-07,7.662823751402825e-08,4.7522162961678146e-07,2.9801006510917527e-07,4.6177894475094016e-07
101.90133374761122,1.480519578195488e-07,3.786174514093731e-07,1.4830707018940122e-07,3.7870476416081836e-07,7.810903862545903e-08,4.940504320000625e-07,3.013181752262712e-07,4.748461942131237e-07
106.09132375560732,1.4883235615267733e-07,3.921355976371931e-07,1.4909122155417205e-07,3.922256003278584e-07,7.96556328727697e-08,5.136519412527598e-07,3.045625560303017e-07,4.883997319073142e-07
110.453598223693,1.495777263065651e-07,4.0624505433630255e-07,1.4984018542278152e-07,4.0633783648115316e-07,8.127038407506237e-08,5.340585844096914e-07,3.077384701448518e-07,5.024616799976236e-07
114.9952411628399,1.502886748121903e-07,4.209716329305589e-07,1.505545641786115e-07,4.210672887812906e-07,8.295572226680657e-08,5.553040148756268e-07,3.1084135705275294e-07,5.170552051927173e-07
119.72362786514542,1.5096590205183388e-07,4.3634203754385966e-07,1.5123505488293846e-07,4.3644066665944706e-07,8.471374818569886e-08,5.774234345182359e-07,3.138669281966222e-07,5.322045461289675e-07
124.64643688076109,1.5161036642052554e-07,4.523839150562941e-07,1.518826130958968e-07,4.5248562361780656e-07,8.654669198728615e-08,6.004533185398516e-07,3.1681122874360863e-07,5.479351325751377e-07
129.77166248729,1.5222285535933893e-07,4.6912598432737374e-07,1.5249802450109106e-07,4.6923088476255015e-07,8.845622828077262e-08,6.244318533230026e-07,3.1967066261368847e-07,5.642735728820538e-07
135.10762767190218,1.5280447292209472e-07,4.865978404092086e-07,1.5308239201473217e-07,4.86706053098874e-07,9.044373005201743e-08,6.493987023580111e-07,3.2244213136750946e-07,5.81247802915428e-07
140.6629976472495,1.533562705927936e-07,5.0483033031622e-07,1.5363676638167536e-07,5.049419835607362e-07,9.251071574520341e-08,6.75394773897352e-07,3.2512302555671236e-07,5.988871528149973e-07
146.44679392313063,1.538793977090409e-07,5.238552513219868e-07,1.5416229719165411e-07,5.239704824682837e-07,9.465795894239184e-08,7.024627846535083e-07,3.2771133145622923e-07,6.172224281784017e-07
152.46840895675493,1.5437506348095475e-07,5.437056641145278e-07,1.5466019403123018e-07,5.438246198653485e-07,9.688604761728682e-08,7.306468289219212e-07,3.302056532056516e-07,6.362860389333398e-07
158.73762140539807,1.5484448623035143e-07,5.644158916706529e-07,1.551316760109189e-07,5.645387283454227e-07,9.9195330178184e-08,7.599923741363098e-07,3.3260524938225007e-07,6.56112113086043e-07
165.26461200621813,1.5528899251069e-07,5.860213211396343e-07,1.5557807135637525e-07,5.861482065494246e-07,1.0158569552244824e-07,7.905465798938478e-07,3.349100514374742e-07,6.76736600056323e-07
172.05998010901936,1.5570975765071382e-07,6.08559015285773e-07,1.5600055680615686e-07,6.086901267010473e-07,1.040568979269773e-07,8.223576879012066e-07,3.371206475070556e-07,6.981974227546201e-07
179.13476088881166,1.5610826446739436e-07,6.320670533370006e-07,1.564006169679375e-07,6.3220258143808e-07,1.066082569635657e-07,8.554758578883487e-07,3.3923826558511704e-07,7.205345489417707e-07
186.50044326611896,1.5648575139038972e-07,6.56585182687787e-07,1.5677949259106172e-07,6.56725329501454e-07,1.0923909518203944e-07,8.899523255156011e-07,3.4126470629358633e-07,7.437901359644689e-07
194.16898856413573,1.568436053743988e-07,6.821546483697947e-07,1.5713857286486336e-07,6.82299629137511e-07,1.1194869214815684e-07,9.25839796115558e-07,3.4320227604938075e-07,7.680086176774248e-07
202.1528499330308,1.5718305497694705e-07,7.088184157259513e-07,1.574790880313508e-07,7.089684573124592e-07,1.1473624955639892e-07,9.631926497260168e-07,3.450537058303249e-07,7.932367541381449e-07
210.46499257294212,1.5750552876237453e-07,7.366207910808735e-07,1.5780247010197775e-07,7.367761358610444e-07,1.1760125128733128e-07,1.0020666758650208e-06,3.468220294253297e-07,8.19523697403812e-07
219.11891478850168,1.5781241302759694e-07,7.656081940607269e-07,1.5811010597284856e-07,7.657690985617147e-07,1.2054345503985465e-07,1.0425193543330539e-06,3.4851049698271745e-07,8.469210069736919e-07
228.1286699090846,1.58104808381566e-07,7.958285861550528e-07,1.584031008844387e-07,7.959953201877486e-07,1.23562878592148e-07,1.0846100903898735e-06,3.5012247322491407e-07,8.754826588086851e-07
237.5088891103756,1.583842534206949e-07,8.273319773564783e-07,1.5868299454701086e-07,8.275048284588972e-07,1.266601379134067e-07,1.1284000857836817e-06,3.5166133877845223e-07,9.0526502831572e-07
247.2748051743158,1.5865189213543735e-07,8.601703871101333e-07,1.589509334942203e-07,8.603496573246592e-07,1.2983638950688914e-07,1.1739527712204676e-06,3.5313040453839423e-07,9.363268346005214e-07
257.4422772260138,1.5890905762955012e-07,8.943978652738147e-07,1.592082530824118e-07,8.945838737076081e-07,1.3309339236887732e-07,1.2213337901173327e-06,3.5453288480357663e-07,9.687291415543728e-07
268.0278164877906,1.5915701060151937e-07,9.300706515292882e-07,1.5945621636568761e-07,9.302637346655647e-07,1.364335379229983e-07,1.2706113846944124e-06,3.55871834808825e-07,1.0025353047857652e-06
279.0486130921842,1.5939701169583926e-07,9.672472782960245e-07,1.5969608618336675e-07,9.674477906047557e-07,1.3985987949229523e-07,1.321856489072209e-06,3.571501401472047e-07,1.0378109641213574e-06
290.5225639974522,1.5963030387328432e-07,1.005988646817711e-06,1.599291076724982e-07,1.0061969613983273e-06,1.4337612053854946e-07,1.3751429206698163e-06,3.583705016622984e-07,1.0746240025347792e-06
302.46830205090794,1.5985814335916449e-07,1.0463580838009337e-06,1.6015653929137234e-07,1.046574593200647e-06,1.4698657271319759e-07,1.4305475889923886e-06,3.5953548163662723e-07,1.11304455133574e-06
314.9052262472862,1.6008174826689437e-07,1.0884215730880754e-06,1.6037960124367777e-07,1.0886466898171283e-06,1.506961571967524e-07,1.4881506873387892e-06,3.606474622852651e-07,1.1531450520480079e-06
327.85353323127407,1.6030237928144493e-07,1.1322477542388042e-06,1.6059955632330858e-07,1.132481911666142e-06,1.5451033568056071e-07,1.548035836516733e-06,3.6170873198833755e-07,1.195000294709029e-06
341.33425009536967,1.605212759346194e-07,1.1779079624036875e-06,1.6081764641029976e-07,1.1781516155226963e-06,1.5843505140940035e-07,1.6102902699030121e-06,3.6272151261110657e-07,1.2386873806653078e-06
355.3692685263229,1.6073956731068304e-07,1.2254769803556025e-06,1.610350018951613e-07,1.225730605583125e-06,1.6247685382409697e-07,1.6750049999168832e-06,3.636877412476277e-07,1.2842861301654831e-06
369.9813803556156,1.6095953659256632e-07,1.2750305452236152e-06,1.612539107806289e-07,1.275294647208346e-06,1.6664216607828957e-07,1.742274562017809e-06,3.6461027816492556e-07,1.3318785385864703e-06
385.19431457170947,1.6118006322500028e-07,1.326652450075915e-06,1.614732496841567e-07,1.3269275455525524e-06,1.7093912414490719e-07,1.8121987725275304e-06,3.6548963777082527e-07,1.3815497884419644e-06
401.03277585416777,1.6140461349238037e-07,1.3804239643991967e-06,1.6169649074058274e-07,1.3807106050134509e-06,1.7537463371065753e-07,1.884880028240688e-06,3.6632912319732355e-07,1.4333876780802779e-06
417.522484692226,1.6163369737638514e-07,1.4364332906482745e-06,1.6192414456329367e-07,1.4367320495179205e-06,1.7995692078275392e-07,1.96042611246068e-06,3.6713036159833647e-07,1.4874829800608081e-06
434.69021915296497,1.618691506262394e-07,1.494770877238951e-06,1.621580494168829e-07,1.4950823558444234e-06,1.8469416801406657e-07,2.038948845573722e-06,3.6789563946634454e-07,1.5439297816965623e-06
452.5638583669095,1.621119671598861e-07,1.5555317926006752e-06,1.6239920010073263e-07,1.5558566175444508e-06,1.895951140744845e-07,2.1205650300348186e-06,3.6862683220456675e-07,1.6028253538212926e-06
471.17242780167385,1.6236363007729058e-07,1.618814533480373e-06,1.626490810961712e-07,1.6191533595085626e-06,1.9466868237506743e-07,2.2053961224342626e-06,3.693260619325207e-07,1.664270545002633e-06
490.5461463971736,1.6262573046847163e-07,1.6847215322030407e-06,1.6290928464188256e-07,1.6850750433556852e-06,1.9992411078776014e-07,2.2935684343715552e-06,3.699955185662005e-07,1.7283698651749408e-06
510.7164756389469,1.628999834740315e-07,1.7533595191131643e-06,1.6318152628892253e-07,1.7537284297192732e-06,2.0537105020608943e-07,2.3852131344691974e-06,3.706374295128403e-07,1.7952317265948383e-06
531.7161706492817,1.6318763871656505e-07,1.8248394429786782e-06,1.6346705807873017e-07,1.825224498203807e-06,2.1101905558169406e-07,2.4804685692142447e-06,3.71254061179912e-07,1.8649687495040775e-06
553.5793333791087,1.6349058951469574e-07,1.8992771000040502e-06,1.637677700933519e-07,1.899679077991931e-06,2.168785455013093e-07,2.5794754201960862e-06,3.718471495925995e-07,1.9376972595144353e-06
576.3414679870473,1.63810277593606e-07,1.9767943869166087e-06,1.6408510408997444e-07,1.977214099986204e-06,2.2295991112336077e-07,2.6823845600307967e-06,3.7241871901667015e-07,2.013540000650257e-06
600.0395384955322,1.6414992480311462e-07,2.057513925130694e-06,1.644222837891487e-07,2.0579522226693866e-06,2.292745501733058e-07,2.789345937488999e-06,3.729726116546448e-07,2.092621988478147e-06
624.7120288176508,1.6450932193665492e-07,2.141568949295073e-06,1.6477909352120652e-07,2.1420267160457113e-06,2.3583278459313067e-07,2.900524703805514e-06,3.7350864087562365e-07,2.1750741760256347e-06
650.3990052521697,1.648924689672245e-07,2.2290917612052764e-06,1.651595355704457e-07,2.229569923153248e-06,2.426469487619704e-07,3.016082380585876e-06,3.740315954855171e-07,2.2610318902496887e-06
677.1421815482412,1.6530074661967807e-07,2.3202261957561633e-06,1.6556498618913157e-07,2.320725721113851e-06,2.497288430102576e-07,3.1361953742207373e-06,3.7454245006345284e-07,2.3506382297440736e-06
704.9849866454446,1.657365120505194e-07,2.41511945526384e-06,1.659977996961986e-07,2.415641357134713e-06,2.570909436825283e-07,3.2610438568737586e-06,3.7504354183500686e-07,2.444040680928025e-06
733.9726351991704,1.66202132257273e-07,2.5139236120874518e-06,1.664603392057559e-07,2.514468950836758e-06,2.6474607223831376e-07,3.390813815772391e-06,3.755371212857282e-07,2.54139150797071e-06
764.1522010058766,1.6670054891478333e-07,2.6167971752343974e-06,1.6695554456993312e-07,2.6173670613166713e-06,2.7270763184952264e-07,3.525699610430023e-06,3.7602654148915847e-07,2.6428498912884073e-06
795.5726934474478,1.672340780501606e-07,2.72390748138625e-06,1.6748572671788605e-07,2.7245030796359373e-06,2.809893908373338e-07,3.6659049411532274e-06,3.7651317280463127e-07,2.748582847723154e-06
