omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_0_3,Overhead_Yc_imag_0_3,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_1_3,Overhead_Yc_imag_1_3,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Yc_real_2_3,Overhead_Yc_imag_2_3,Overhead_Yc_real_3_0,Overhead_Yc_imag_3_0,Overhead_Yc_real_3_1,Overhead_Yc_imag_3_1,Overhead_Yc_real_3_2,Overhead_Yc_imag_3_2,Overhead_Yc_real_3_3,Overhead_Yc_imag_3_3,Overhead_Zc_real_0_0,Overhead_Zc_imag_0_0,Overhead_Zc_real_0_1,Overhead_Zc_imag_0_1,Overhead_Zc_real_0_2,Overhead_Zc_imag_0_2,Overhead_Zc_real_0_3,Overhead_Zc_imag_0_3,Overhead_Zc_real_1_0,Overhead_Zc_imag_1_0,Overhead_Zc_real_1_1,Overhead_Zc_imag_1_1,Overhead_Zc_real_1_2,Overhead_Zc_imag_1_2,Overhead_Zc_real_1_3,Overhead_Zc_imag_1_3,Overhead_Zc_real_2_0,Overhead_Zc_imag_2_0,Overhead_Zc_real_2_1,Overhead_Zc_imag_2_1,Overhead_Zc_real_2_2,Overhead_Zc_imag_2_2,Overhead_Zc_real_2_3,Overhead_Zc_imag_2_3,Overhead_Zc_real_3_0,Overhead_Zc_imag_3_0,Overhead_Zc_real_3_1,Overhead_Zc_imag_3_1,Overhead_Zc_real_3_2,Overhead_Zc_imag_3_2,Overhead_Zc_real_3_3,Overhead_Zc_imag_3_3,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Alpha_3,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Beta_3,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_Tau_3,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2,Overhead_H_real_3,Overhead_H_imag_3
6.2831853071795869e+01,1.5635219805275652e-03,7.5673120586790396e-04,-3.4259072311047746e-04,-2.6111568106790712e-04,-3.3750773356914680e-04,-2.5526840252575574e-04,-1.0202259245982475e-04,-1.0962177324379789e-04,-3.4259072311047789e-04,-2.6111568106790717e-04,1.5743332012178300e-03,7.6796883490307523e-04,-3.2932332062549265e-04,-2.4620584703777254e-04,-1.2566629016935274e-04,-1.3836293467539744e-04,-3.3750773356914664e-04,-2.5526840252575601e-04,-3.2932332062549292e-04,-2.4620584703777157e-04,1.5909636767293741e-03,7.8756749425426325e-04,-1.5826804415103372e-04,-1.7726240999345994e-04,-1.0202259245982497e-04,-1.0962177324379797e-04,-1.2566629016935260e-04,-1.3836293467539801e-04,-1.5826804415103364e-04,-1.7726240999345910e-04,8.6719373593402958e-04,6.4901337095660911e-04,6.4991662856876712e+02,-2.2403396178002669e+02,2.4169685594289064e+02,-5.7202616900198722e+00,2.4060621246296444e+02,-5.1169849436534003e+00,1.8702906621073092e+02,1.8078394913763034e+00,2.4169685594289098e+02,-5.7202616900197949e+00,6.4692617122551997e+02,-2.2276246966947366e+02,2.3868534366491079e+02,-4.3354194820267891e+00,2.0144052796734715e+02,-1.9433982533154752e+00,2.4060621246296441e+02,-5.1169849436534642e+00,2.3868534366491050e+02,-4.3354194820269170e+00,6.4383736394155505e+02,-2.2120022330891109e+02,2.2150839556151780e+02,-7.2747922925775752e+00,1.8702906621073112e+02,1.8078394913763260e+00,2.0144052796734695e+02,-1.9433982533153669e+00,2.2150839556151789e+02,-7.2747922925776685e+00,8.4668521484451389e+02,-5.3400028163510365e+02,1.3590149507770287e-07,1.3610186057821717e-07,6.3950611983516431e-08,2.5881955920001944e-07,2.5427676369470946e-07,2.5433795456313755e-07,3.1110749012528103e-07,3.4472009530599516e-07,6.4751046168676484e-05,6.4766628295368352e-05,7.9222871818162389e-05,8.7782251441693429e-05,9.9781968035929591e-01,-4.0595801433903605e-03,9.9781647753117531e-01,-4.0605440451249222e-03,9.9896493735695391e-01,-4.9726086601429523e-03,9.9585230204506525e-01,-5.4927005054328532e-03
6.5415379968575820e+01,1.5894837328368576e-03,7.5311639873144507e-04,-3.5261952656379997e-04,-2.6059939766699599e-04,-3.4739481854819082e-04,-2.5458769090745269e-04,-1.0558214659739924e-04,-1.1106938956666391e-04,-3.5261952656380003e-04,-2.6059939766699626e-04,1.6005693732687595e-03,7.6463981173611171e-04,-3.3899407864135733e-04,-2.4528846889854225e-04,-1.2995579191835385e-04,-1.4054280777416769e-04,-3.4739481854819060e-04,-2.5458769090745269e-04,-3.3899407864135733e-04,-2.4528846889854220e-04,1.6176599782357528e-03,7.8478289077297256e-04,-1.6355002088850427e-04,-1.8041778240519883e-04,-1.0558214659739927e-04,-1.1106938956666384e-04,-1.2995579191835374e-04,-1.4054280777416761e-04,-1.6355002088850421e-04,-1.8041778240519883e-04,8.8655781092049748e-04,6.5657299083204544e-04,6.4658862637438699e+02,-2.1729954960643559e+02,2.4194561824402598e+02,-5.7540576059289359e+00,2.4086276144515787e+02,-5.1783960253182260e+00,1.8747084906044591e+02,1.8610145129965801e+00,2.4194561824402598e+02,-5.7540576059289439e+00,6.4361558609027600e+02,-2.1608134913141882e+02,2.3895225414825629e+02,-4.4301639094307177e+00,2.0185709927397107e+02,-1.7003875824354158e+00,2.4086276144515784e+02,-5.1783960253181691e+00,2.3895225414825634e+02,-4.4301639094307008e+00,6.4054704025404601e+02,-2.1458967582265697e+02,2.2188584029338128e+02,-6.7692035206431509e+00,1.8747084906044586e+02,1.8610145129965949e+00,2.0185709927397107e+02,-1.7003875824353571e+00,2.2188584029338119e+02,-6.7692035206431038e+00,8.3683217095077680e+02,-5.2038231086174358e+02,1.3710381075224528e-07,1.3730920337346606e-07,6.4875139902646647e-08,2.6250713828750223e-07,2.6241040004981136e-07,2.6247334621866511e-07,3.2322007578174006e-07,3.5364258710749515e-07,6.4183169199871418e-05,6.4198565253553963e-05,7.9056656324432136e-05,8.6497722652349374e-05,9.9779994869048871e-01,-4.1893539559055056e-03,9.9779666542417333e-01,-4.1903451081701454e-03,9.9894917788676918e-01,-5.1661329191814735e-03,9.9579275299415182e-01,-5.6345357384402859e-03
6.8105136602345354e+01,1.6153436496509908e-03,7.4882791651161539e-04,-3.6263172172103935e-04,-2.5973293580672604e-04,-3.5725626883874388e-04,-2.5355400978158051e-04,-1.0922014558749313e-04,-1.1245505376023011e-04,-3.6263172172103930e-04,-2.5973293580672604e-04,1.6267189142133297e-03,7.6064203670804346e-04,-3.4862719177947967e-04,-2.4401361136333331e-04,-1.3436129132201279e-04,-1.4266935761508373e-04,-3.5725626883874388e-04,-2.5355400978158046e-04,-3.4862719177947962e-04,-2.4401361136333329e-04,1.6442975200274882e-03,7.8134039568896548e-04,-1.6899806384115300e-04,-1.8353090204707367e-04,-1.0922014558749315e-04,-1.1245505376023009e-04,-1.3436129132201279e-04,-1.4266935761508373e-04,-1.6899806384115302e-04,-1.8353090204707373e-04,9.0633673693986719e-04,6.6394744901834986e-04,6.4339232381035367e+02,-2.1073847905197579e+02,2.4216916593771731e+02,-5.8152883230380619e+00,2.4109322803785008e+02,-5.2666594881622677e+00,1.8789887919381397e+02,1.8840916116170623e+00,2.4216916593771739e+02,-5.8152883230380397e+00,6.4043514970598653e+02,-2.0957246327755914e+02,2.3919212491384181e+02,-4.5510557206838467e+00,2.0226477899340537e+02,-1.4929469329708605e+00,2.4109322803785003e+02,-5.2666594881622517e+00,2.3919212491384172e+02,-4.5510557206838262e+00,6.3738470839625575e+02,-2.0814988591415275e+02,2.2226106791578343e+02,-6.3066829863462841e+00,1.8789887919381397e+02,1.8840916116170707e+00,2.0226477899340540e+02,-1.4929469329708545e+00,2.2226106791578343e+02,-6.3066829863462823e+00,8.2726183250676263e+02,-5.0703017626282724e+02,1.3827387465630689e-07,1.3848424918128047e-07,6.5838177102257752e-08,2.6618324818386655e-07,2.7088881090107353e-07,2.7095359029774773e-07,3.3582790264432375e-07,3.6286510675427606e-07,6.3640148021785442e-05,6.3655366702761594e-05,7.8896346301787456e-05,8.5248220585295466e-05,9.9778069155503490e-01,-4.3246290813056081e-03,9.9777732855559231e-01,-4.3256486912775557e-03,9.9893272315372927e-01,-5.3675633579227831e-03,9.9573334219355947e-01,-5.7811351248125810e-03
7.0905490938862883e+01,1.6410559945073621e-03,7.4386291133037095e-04,-3.7260258303325089e-04,-2.5851561856861214e-04,-3.6706689010799711e-04,-2.5216717658197894e-04,-1.1293452040704892e-04,-1.1377452874830257e-04,-3.7260258303325078e-04,-2.5851561856861214e-04,1.6527369205310721e-03,7.5597188809729148e-04,-3.5819676000141794e-04,-2.4238163647622791e-04,-1.3888240674869658e-04,-1.4473653889262724e-04,-3.6706689010799717e-04,-2.5216717658197894e-04,-3.5819676000141783e-04,-2.4238163647622791e-04,1.6708330462603521e-03,7.7723509400312943e-04,-1.7461401470622077e-04,-1.8659330747854166e-04,-1.1293452040704890e-04,-1.1377452874830255e-04,-1.3888240674869655e-04,-1.4473653889262721e-04,-1.7461401470622080e-04,-1.8659330747854163e-04,9.2653113037360533e-04,6.7111415121328170e-04,6.4032394127923260e+02,-2.0434806126371006e+02,2.4236719409333716e+02,-5.9017229181595976e+00,2.4129732490748256e+02,-5.3795201278584628e+00,1.8831238947875553e+02,1.8783658011954871e+00,2.4236719409333708e+02,-5.9017229181596100e+00,6.3738110918069981e+02,-2.0323308867847683e+02,2.3940468531120760e+02,-4.6958197967100439e+00,2.0266262688969036e+02,-1.3198266166281329e+00,2.4129732490748256e+02,-5.3795201278584752e+00,2.3940468531120757e+02,-4.6958197967100528e+00,6.3434665595992294e+02,-2.0187807528297665e+02,2.2263290418370232e+02,-5.8860387020667533e+00,1.8831238947875551e+02,1.8783658011954931e+00,2.0266262688969036e+02,-1.3198266166281210e+00,2.2263290418370232e+02,-5.8860387020667346e+00,8.1796933375784897e+02,-4.9393925789983064e+02,1.3941071846798614e-07,1.3962601677070605e-07,6.6841955900376508e-08,2.6984367959693063e-07,2.7972851041619861e-07,2.7979520018657744e-07,3.4895114301147738e-07,3.7240087206444609e-07,6.3121432591422855e-05,6.3136481303616130e-05,7.8741691429760761e-05,8.4033180986909514e-05,9.9776192096402638e-01,-4.4656691124743183e-03,9.9775847914119387e-01,-4.4667183738295495e-03,9.9891553092346386e-01,-5.5772214123785083e-03,9.9567413330566268e-01,-5.9327088577814848e-03
7.3820990546372755e+01,1.6665742031474811e-03,7.3822239889395809e-04,-3.8250713842492373e-04,-2.5694885013930705e-04,-3.7680127084697355e-04,-2.5042915122919907e-04,-1.1672295310414342e-04,-1.1502357374862595e-04,-3.8250713842492417e-04,-2.5694885013930699e-04,1.6785776226229646e-03,7.5062949979858593e-04,-3.6767668445203291e-04,-2.4039513710776600e-04,-1.4351842487931733e-04,-1.4673807885056197e-04,-3.7680127084697323e-04,-2.5042915122919891e-04,-3.6767668445203291e-04,-2.4039513710776594e-04,1.6972223870426100e-03,7.7246562122087505e-04,-1.8039927226664313e-04,-1.8959601331767443e-04,-1.1672295310414342e-04,-1.1502357374862607e-04,-1.4351842487931739e-04,-1.4673807885056203e-04,-1.8039927226664310e-04,-1.8959601331767456e-04,9.4714032340633986e-04,6.7804946309287558e-04,6.3737971607462134e+02,-1.9812566648034948e+02,2.4253951444025515e+02,-6.0111776016457901e+00,2.4147488402713620e+02,-5.5147701670935643e+00,1.8871066775687132e+02,1.8451280347387420e+00,2.4253951444025532e+02,-6.0111776016457394e+00,6.3444973283228580e+02,-1.9706056073411656e+02,2.3958978650838614e+02,-4.8622281973619854e+00,2.0304974934959435e+02,-1.1797773125985733e+00,2.4147488402713617e+02,-5.5147701670935296e+00,2.3958978650838628e+02,-4.8622281973619526e+00,6.3142919784503499e+02,-1.9577152457504516e+02,2.2300021024404930e+02,-5.5060743182451661e+00,1.8871066775687143e+02,1.8451280347387478e+00,2.0304974934959421e+02,-1.1797773125986619e+00,2.2300021024404933e+02,-5.5060743182452541e+00,8.0894990983207651e+02,-4.8110509895471517e+02,1.4051349589730917e-07,1.4073364728396884e-07,6.7888781637757833e-08,2.7348405922661963e-07,2.8894669268684776e-07,2.8901536921842244e-07,3.6261084223839560e-07,3.8226375356230763e-07,6.2626456903005156e-05,6.2641341890284000e-05,7.8592463103970139e-05,8.2852045356325099e-05,9.9774364668386339e-01,-4.6127484932943523e-03,9.9774012714650995e-01,-4.6138285865796446e-03,9.9889755724865181e-01,-5.7954423788220558e-03,9.9561519232533591e-01,-6.0894775405656914e-03
7.6856369980520014e+01,1.6918513118266969e-03,7.3191141187310986e-04,-3.9232038963865439e-04,-2.5503617378728447e-04,-3.8643401031821379e-04,-2.4834409302089308e-04,-1.2058286949806940e-04,-1.1619795574180028e-04,-3.9232038963865417e-04,-2.5503617378728468e-04,1.7041948000685455e-03,7.4461891463691639e-04,-3.7704090570170394e-04,-2.3805899584655521e-04,-1.4826826673581999e-04,-1.4866748743895907e-04,-3.8643401031821412e-04,-2.4834409302089324e-04,-3.7704090570170410e-04,-2.3805899584655515e-04,1.7234208496783015e-03,7.6703431290428808e-04,-1.8635472301491363e-04,-1.9252951878817530e-04,-1.2058286949806940e-04,-1.1619795574180022e-04,-1.4826826673581994e-04,-1.4866748743895894e-04,-1.8635472301491363e-04,-1.9252951878817530e-04,9.6816222382359915e-04,6.8472875224091030e-04,6.3455589935441924e+02,-1.9206871638628019e+02,2.4268605210662935e+02,-6.1415224939868169e+00,2.4162585340711132e+02,-5.6702563157834280e+00,1.8909305635830111e+02,1.7856633101317989e+00,2.4268605210662932e+02,-6.1415224939868436e+00,6.3163730721735044e+02,-1.9105226651061113e+02,2.3974739827205951e+02,-5.0481075000558810e+00,2.0342529912379240e+02,-1.0715509547064699e+00,2.4162585340711132e+02,-5.6702563157834449e+00,2.3974739827205946e+02,-5.0481075000558953e+00,6.2862867334547479e+02,-1.8982756686756153e+02,2.2336188266629489e+02,-5.1655886420684505e+00,1.8909305635830111e+02,1.7856633101317898e+00,2.0342529912379248e+02,-1.0715509547064410e+00,2.2336188266629486e+02,-5.1655886420684292e+00,8.0019889053252837e+02,-4.6852340632462801e+02,1.4158148979475281e-07,1.4180641145419884e-07,6.8981029795182170e-08,2.7709986101516468e-07,2.9856124553471296e-07,2.9863198457680187e-07,3.7682895847956226e-07,3.9246830163902389e-07,6.2154638968327279e-05,6.2169365459751593e-05,7.8448453097656987e-05,8.1704259878731981e-05,9.9772587609804619e-01,-4.7661527381758426e-03,9.9772228014688247e-01,-4.7672648327279242e-03,9.9887875646876279e-01,-6.0225760409308845e-03,9.9555658737822672e-01,-6.2516726208057842e-03
8.0016558472918234e+01,1.7168403978688352e-03,7.2493917099628893e-04,-4.0201753867723027e-04,-2.5278334057035173e-04,-3.9593995326041065e-04,-2.4591842845688377e-04,-1.2451142678801140e-04,-1.1729346097948487e-04,-4.0201753867723076e-04,-2.5278334057035173e-04,1.7295422079154623e-03,7.3794825492070931e-04,-3.8626364978705812e-04,-2.3538045532811813e-04,-1.5313044583327283e-04,-1.5051806643067450e-04,-3.9593995326041038e-04,-2.4591842845688355e-04,-3.8626364978705806e-04,-2.3538045532811821e-04,1.7493836185629320e-03,7.6094737034850706e-04,-1.9248066019217477e-04,-1.9538381380728104e-04,-1.2451142678801151e-04,-1.1729346097948503e-04,-1.5313044583327291e-04,-1.5051806643067461e-04,-1.9248066019217464e-04,-1.9538381380728104e-04,9.8959314651630667e-04,6.9112642501297666e-04,6.3184875139451549e+02,-1.8617467705203595e+02,2.4280684161495992e+02,-6.2906887052292300e+00,2.4175029309583735e+02,-5.8438871339511866e+00,1.8945895057465509e+02,1.7012486587408007e+00,2.4280684161496001e+02,-6.2906887052291331e+00,6.2894013246404313e+02,-1.8520563816146418e+02,2.3987760503302698e+02,-5.2513464407737116e+00,2.0378847395092910e+02,-9.9390170181549198e-01,2.4175029309583746e+02,-5.8438871339511422e+00,2.3987760503302715e+02,-5.2513464407736654e+00,6.2594144157334279e+02,-1.8404358173927085e+02,2.2371685225485848e+02,-4.8633751951736288e+00,1.8945895057465520e+02,1.7012486587408369e+00,2.0378847395092907e+02,-9.9390170181557880e-01,2.2371685225485848e+02,-4.8633751951736901e+00,7.9171169321161074e+02,-4.5619005351657540e+02,1.4261411297548191e-07,1.4284371052958637e-07,7.0121135794761085e-08,2.8068641381044448e-07,3.0859078127752866e-07,3.0866365816933051e-07,3.9162843602089578e-07,4.0302978905084930e-07,6.1705384418795630e-05,6.1719956780955201e-05,7.8309478636913536e-05,8.0589277368084864e-05,9.9770861416596202e-01,-4.9261789226375981e-03,9.9770494328464299e-01,-4.9273241802193094e-03,9.9885908131951562e-01,-6.2589878338481005e-03,9.9549838857294337e-01,-6.4195370698829123e-03
8.3306687935856900e+01,1.7414951469001414e-03,7.1731891943366440e-04,-4.1157426789342999e-04,-2.5019820043414886e-04,-4.0529447695082877e-04,-2.4316073561577903e-04,-1.2850551828409240e-04,-1.1830590929945079e-04,-4.1157426789342923e-04,-2.5019820043414880e-04,1.7545741305185559e-03,7.3062956624364930e-04,-3.9531972728127133e-04,-2.3236899735259962e-04,-1.5810304469809078e-04,-1.5228294124326980e-04,-4.0529447695082887e-04,-2.4316073561577925e-04,-3.9531972728127127e-04,-2.3236899735259943e-04,1.7750662816792371e-03,7.5421471766039835e-04,-1.9877672295342787e-04,-1.9814843416952766e-04,-1.2850551828409227e-04,-1.1830590929945057e-04,-1.5810304469809062e-04,-1.5228294124326958e-04,-1.9877672295342809e-04,-1.9814843416952755e-04,1.0114277088687214e-03,6.9721605925821917e-04,6.2925454264769098e+02,-1.8044104629485597e+02,2.4290201886836800e+02,-6.4566722078809020e+00,2.4184836694585843e+02,-6.0336372206243212e+00,1.8980779767850018e+02,1.5931524863294813e+00,2.4290201886836775e+02,-6.4566722078810592e+00,6.2635452303960972e+02,-1.7951814088122541e+02,2.3998059750537146e+02,-5.4699004575031758e+00,2.0413851651914041e+02,-9.4558564394739952e-01,2.4184836694585832e+02,-6.0336372206243958e+00,2.3998059750537109e+02,-5.4699004575033081e+00,6.2336388181231496e+02,-1.7841698400237223e+02,2.2406408526897155e+02,-4.5982206088278339e+00,1.8980779767849998e+02,1.5931524863294146e+00,2.0413851651914044e+02,-9.4558564394724609e-01,2.2406408526897161e+02,-4.5982206088277069e+00,7.8348381276302780e+02,-4.4410107389356142e+02,1.4361092243089973e-07,1.4384509057795854e-07,7.1311597951970235e-08,2.8423893555335287e-07,3.1905461268764511e-07,3.1912970265998245e-07,4.0703318626742130e-07,4.1396420885898845e-07,6.1278078981280451e-05,6.1292500867291837e-05,7.8175367928360701e-05,7.9506549904415983e-05,9.9769186317002501e-01,-5.0931352977634488e-03,9.9768811901475729e-01,-5.0943148773741160e-03,9.9883848283683507e-01,-6.5050585305082955e-03,9.9544066743343662e-01,-6.5933253499766090e-03
8.6732101296147491e+01,1.7657702010889645e-03,7.0906813154344268e-04,-4.2096692340396093e-04,-2.4729080053818880e-04,-4.1447368264660418e-04,-2.4008184274616905e-04,-1.3256174956367061e-04,-1.1923116616249629e-04,-4.2096692340396218e-04,-2.4729080053818891e-04,1.7792457158104249e-03,7.2267902406394490e-04,-4.0418473596754871e-04,-2.2903644488915634e-04,-1.6318366139245747e-04,-1.5395506786450679e-04,-4.1447368264660407e-04,-2.4008184274616862e-04,-4.0418473596754865e-04,-2.2903644488915653e-04,1.8004251387936637e-03,7.4685020116813073e-04,-2.0524180351498154e-04,-2.0081246184517896e-04,-1.3256174956367074e-04,-1.1923116616249668e-04,-1.6318366139245752e-04,-1.5395506786450712e-04,-2.0524180351498133e-04,-2.0081246184517910e-04,1.0336586227546116e-03,7.0297042736430272e-04,6.2676954954900202e+02,-1.7486535128190775e+02,2.4297181926377834e+02,-6.6375423671128377e+00,2.4192034079163167e+02,-6.2375559628233512e+00,1.9013909538238150e+02,1.4626315010135134e+00,2.4297181926377868e+02,-6.6375423671125082e+00,6.2387680371086344e+02,-1.7398727085839354e+02,2.4005667096699818e+02,-5.7018006447552425e+00,2.0447471289367019e+02,-9.2536292575234591e-01,2.4192034079163190e+02,-6.2375559628231718e+00,2.4005667096699872e+02,-5.7018006447549965e+00,6.2089238968279699e+02,-1.7294522215699948e+02,2.2440258179768369e+02,-4.3689054722426448e+00,1.9013909538238181e+02,1.4626315010136655e+00,2.0447471289367022e+02,-9.2536292575254320e-01,2.2440258179768364e+02,-4.3689054722428144e+00,7.7551081670768053e+02,-4.3225266906131094e+02,1.4457160438182967e-07,1.4481022760549757e-07,7.2554950002748087e-08,2.8775253244674274e-07,3.2997281958371882e-07,3.3005019817550385e-07,4.2306822943526945e-07,4.2528834377373881e-07,6.0872099654456442e-05,6.0886374155478084e-05,7.8045978015120268e-05,7.8455536055161530e-05,9.9767562291896283e-01,-5.2673423535792565e-03,9.9767180730704907e-01,-5.2685574180904938e-03,9.9881691072656320e-01,-6.7611864987449167e-03,9.9538349688003736e-01,-6.7733045221568186e-03
9.0298361171640849e+01,1.7896218980826271e-03,7.0020810518536109e-04,-4.3017287637714440e-04,-2.4407314772484525e-04,-4.2345476456343879e-04,-2.3669457912378600e-04,-1.3667645104232062e-04,-1.2006516200047601e-04,-4.3017287637714163e-04,-2.4407314772484484e-04,1.8035136984635137e-03,7.1411654344966189e-04,-4.1283544485052877e-04,-2.2539670180219055e-04,-1.6836938847690573e-04,-1.5552728522813910e-04,-4.2345476456343868e-04,-2.3669457912378671e-04,-4.1283544485052893e-04,-2.2539670180219014e-04,1.8254178907535609e-03,7.3887122632513148e-04,-2.1187398169178489e-04,-2.0336462133237697e-04,-1.3667645104232040e-04,-1.2006516200047525e-04,-1.6836938847690578e-04,-1.5552728522813837e-04,-2.1187398169178549e-04,-2.0336462133237678e-04,1.0562765945945855e-03,7.0836171213091784e-04,6.2439006117335589e+02,-1.6944512924581099e+02,2.4301656856102738e+02,-6.8314428848362496e+00,2.4196657294104492e+02,-6.4537688838892375e+00,1.9045239297085342e+02,1.3109326562547510e+00,2.4301656856102676e+02,-6.8314428848369886e+00,6.2150331566211082e+02,-1.6861053677719295e+02,2.4010621546812411e+02,-5.9451555757880472e+00,2.0479639516535806e+02,-9.3199470472407764e-01,2.4196657294104438e+02,-6.4537688838896266e+00,2.4010621546812317e+02,-5.9451555757886894e+00,6.1852338251269396e+02,-1.6762576091216869e+02,2.2473138044422700e+02,-4.1741997683706034e+00,1.9045239297085286e+02,1.3109326562543993e+00,2.0479639516535801e+02,-9.3199470472369883e-01,2.2473138044422717e+02,-4.1741997683702339e+00,7.6778833370266966e+02,-4.2064119674528189e+02,1.4549601215655224e-07,1.4573896552220350e-07,7.3853787068252528e-08,2.9122225997826114e-07,3.4136620105626975e-07,3.4144594458200585e-07,4.3975959148662685e-07,4.3701975643233323e-07,6.0486803370864167e-05,6.0500933155671136e-05,7.7921164598010529e-05,7.7435692211802207e-05,9.9765989011449896e-01,-5.4491320522599765e-03,9.9765600501147422e-01,-5.4503837758630132e-03,9.9879431290032150e-01,-7.0277860406412094e-03,9.9532695023137596e-01,-6.9597540886964264e-03
