omega,Overhead_R_0_0,Overhead_R_0_1,Overhead_R_0_2,Overhead_R_0_3,Overhead_R_1_0,Overhead_R_1_1,Overhead_R_1_2,Overhead_R_1_3,Overhead_R_2_0,Overhead_R_2_1,Overhead_R_2_2,Overhead_R_2_3,Overhead_R_3_0,Overhead_R_3_1,Overhead_R_3_2,Overhead_R_3_3,Overhead_L_0_0,Overhead_L_0_1,Overhead_L_0_2,Overhead_L_0_3,Overhead_L_1_0,Overhead_L_1_1,Overhead_L_1_2,Overhead_L_1_3,Overhead_L_2_0,Overhead_L_2_1,Overhead_L_2_2,Overhead_L_2_3,Overhead_L_3_0,Overhead_L_3_1,Overhead_L_3_2,Overhead_L_3_3,Overhead_G_0_0,Overhead_G_0_1,Overhead_G_0_2,Overhead_G_0_3,Overhead_G_1_0,Overhead_G_1_1,Overhead_G_1_2,Overhead_G_1_3,Overhead_G_2_0,Overhead_G_2_1,Overhead_G_2_2,Overhead_G_2_3,Overhead_G_3_0,Overhead_G_3_1,Overhead_G_3_2,Overhead_G_3_3,Overhead_C_0_0,Overhead_C_0_1,Overhead_C_0_2,Overhead_C_0_3,Overhead_C_1_0,Overhead_C_1_1,Overhead_C_1_2,Overhead_C_1_3,Overhead_C_2_0,Overhead_C_2_1,Overhead_C_2_2,Overhead_C_2_3,Overhead_C_3_0,Overhead_C_3_1,Overhead_C_3_2,Overhead_C_3_3,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Alpha_3,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Beta_3
6.2831853071795869e+01,1.2050027767529372e-04,9.7575008017957968e-06,9.7622354978202691e-06,9.7705188452409558e-06,9.7575008017957968e-06,1.2050973235790827e-04,9.7669627201575279e-06,9.7752579675668183e-06,9.7622354978202691e-06,9.7669627201575279e-06,1.2051920153494652e-04,9.7800007212599535e-06,9.7705188452409558e-06,9.7752579675668183e-06,9.7800007212599535e-06,3.7910180119460476e-04,2.5406740198176180e-06,1.3657886567974371e-06,1.3672624809676742e-06,1.2361053059669088e-06,1.3657886567974371e-06,2.5405208350281223e-06,1.3656354698634581e-06,1.2937174478785096e-06,1.3672624809676742e-06,1.3656354698634581e-06,2.5403676462963476e-06,1.3713671728398984e-06,1.2361053059669088e-06,1.2937174478785096e-06,1.3713671728398984e-06,2.6605691715456079e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197412e-12,-1.7943497857070816e-12,-1.7223513206681102e-12,-7.5558393812329357e-13,-1.7943497857070820e-12,8.2409126348922624e-12,-1.6039879463136332e-12,-1.1056503671624995e-12,-1.7223513206681107e-12,-1.6039879463136332e-12,8.4915504219861969e-12,-1.5864060426618724e-12,-7.5558393812329336e-13,-1.1056503671624995e-12,-1.5864060426618722e-12,7.5195091259384950e-12,1.3590149507770287e-07,1.3610186057821717e-07,6.3950611983516431e-08,2.5881955920001944e-07,2.5427676369470946e-07,2.5433795456313755e-07,3.1110749012528103e-07,3.4472009530599516e-07
6.5415379968575820e+01,1.2090132151406154e-04,1.0156357069013524e-05,1.0161385086043407e-05,1.0170181547346027e-05,1.0156357069013524e-05,1.2091136161011218e-04,1.0166405005031481e-05,1.0175214360676931e-05,1.0161385086043407e-05,1.0166405005031481e-05,1.2092141741145607e-04,1.0180251108914814e-05,1.0170181547346027e-05,1.0175214360676931e-05,1.0180251108914814e-05,3.7950331062238415e-04,2.5366821309622379e-06,1.3617957648907453e-06,1.3632680306344220e-06,1.2321081284339243e-06,1.3617957648907453e-06,2.5365258295774484e-06,1.3616394612291592e-06,1.2897187118540789e-06,1.3632680306344220e-06,1.3616394612291592e-06,2.5363695240069583e-06,1.3673668782703712e-06,1.2321081284339243e-06,1.2897187118540789e-06,1.3673668782703712e-06,2.6565660994675385e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197315e-12,-1.7943497857070808e-12,-1.7223513206681107e-12,-7.5558393812329367e-13,-1.7943497857070814e-12,8.2409126348922624e-12,-1.6039879463136330e-12,-1.1056503671624995e-12,-1.7223513206681088e-12,-1.6039879463136328e-12,8.4915504219861953e-12,-1.5864060426618730e-12,-7.5558393812329326e-13,-1.1056503671624985e-12,-1.5864060426618716e-12,7.5195091259384966e-12,1.3710381075224528e-07,1.3730920337346606e-07,6.4875139902646647e-08,2.6250713828750223e-07,2.6241040004981136e-07,2.6247334621866511e-07,3.2322007578174006e-07,3.5364258710749515e-07
6.8105136602345354e+01,1.2131880982770936e-04,1.0571467831278226e-05,1.0576807304629944e-05,1.0586148600125511e-05,1.0571467831278226e-05,1.2132947150534775e-04,1.0582138003491004e-05,1.0591493270673469e-05,1.0576807304629944e-05,1.0582138003491004e-05,1.2134015020018020e-04,1.0596842205013049e-05,1.0586148600125511e-05,1.0591493270673469e-05,1.0596842205013049e-05,3.7992125507879188e-04,2.5326909721714490e-06,1.3578036179390015e-06,1.3592742935649433e-06,1.2281116087080259e-06,1.3578036179390015e-06,2.5325314908248746e-06,1.3576441341751829e-06,1.2857206019415594e-06,1.3592742935649433e-06,1.3576441341751829e-06,2.5323720050342007e-06,1.3633671781142714e-06,1.2281116087080259e-06,1.2857206019415594e-06,1.3633671781142714e-06,2.6525635621328893e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197396e-12,-1.7943497857070814e-12,-1.7223513206681109e-12,-7.5558393812329357e-13,-1.7943497857070816e-12,8.2409126348922608e-12,-1.6039879463136334e-12,-1.1056503671624993e-12,-1.7223513206681105e-12,-1.6039879463136330e-12,8.4915504219861969e-12,-1.5864060426618724e-12,-7.5558393812329357e-13,-1.1056503671624995e-12,-1.5864060426618726e-12,7.5195091259384934e-12,1.3827387465630689e-07,1.3848424918128047e-07,6.5838177102257752e-08,2.6618324818386655e-07,2.7088881090107353e-07,2.7095359029774773e-07,3.3582790264432375e-07,3.6286510675427606e-07
7.0905490938862883e+01,1.2175341826051684e-04,1.1003492403732730e-05,1.1009162586853963e-05,1.1019082392211262e-05,1.1003492403732730e-05,1.2176473991562377e-04,1.1014823262602185e-05,1.1024758206895517e-05,1.1009162586853963e-05,1.1014823262602185e-05,1.2177608000927235e-04,1.1030438641714076e-05,1.1019082392211262e-05,1.1024758206895517e-05,1.1030438641714076e-05,3.8035630640400632e-04,2.5287005549220035e-06,1.3538122306799258e-06,1.3552812838534561e-06,1.2241157597574861e-06,1.3538122306799258e-06,2.5285378289611249e-06,1.3536495021527211e-06,1.2817231304654745e-06,1.3552812838534561e-06,1.3536495021527211e-06,2.5283750982818450e-06,1.3593680840521737e-06,1.2241157597574861e-06,1.2817231304654745e-06,1.3593680840521737e-06,2.6485615697432906e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197412e-12,-1.7943497857070820e-12,-1.7223513206681102e-12,-7.5558393812329367e-13,-1.7943497857070818e-12,8.2409126348922624e-12,-1.6039879463136332e-12,-1.1056503671624997e-12,-1.7223513206681111e-12,-1.6039879463136330e-12,8.4915504219861969e-12,-1.5864060426618726e-12,-7.5558393812329367e-13,-1.1056503671624997e-12,-1.5864060426618722e-12,7.5195091259384966e-12,1.3941071846798614e-07,1.3962601677070605e-07,6.6841955900376508e-08,2.6984367959693063e-07,2.7972851041619861e-07,2.7979520018657744e-07,3.4895114301147738e-07,3.7240087206444609e-07
7.3820990546372755e+01,1.2220585047057215e-04,1.1453116719311838e-05,1.1459138052604030e-05,1.1469672119174935e-05,1.1453116719311838e-05,1.2221787286369187e-04,1.1465149084506590e-05,1.1475699554659422e-05,1.1459138052604030e-05,1.1465149084506590e-05,1.2222991523526416e-04,1.1481731996368321e-05,1.1469672119174935e-05,1.1475699554659422e-05,1.1481731996368321e-05,3.8080916394562370e-04,2.5247108917961012e-06,1.3498216192720883e-06,1.3512890170024883e-06,1.2201205959369392e-06,1.3498216192720883e-06,2.5245448552573408e-06,1.3496555800087600e-06,1.2777263111241569e-06,1.3512890170024883e-06,1.3496555800087600e-06,2.5243788137090068e-06,1.3553696091258909e-06,1.2201205959369392e-06,1.2777263111241569e-06,1.3553696091258909e-06,2.6445601338100072e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197396e-12,-1.7943497857070806e-12,-1.7223513206681111e-12,-7.5558393812329397e-13,-1.7943497857070804e-12,8.2409126348922559e-12,-1.6039879463136338e-12,-1.1056503671624983e-12,-1.7223513206681094e-12,-1.6039879463136330e-12,8.4915504219862049e-12,-1.5864060426618720e-12,-7.5558393812329306e-13,-1.1056503671624987e-12,-1.5864060426618734e-12,7.5195091259384885e-12,1.4051349589730917e-07,1.4073364728396884e-07,6.7888781637757833e-08,2.7348405922661963e-07,2.8894669268684776e-07,2.8901536921842244e-07,3.6261084223839560e-07,3.8226375356230763e-07
7.6856369980520014e+01,1.2267683922937339e-04,1.1921054314933512e-05,1.1927448498581963e-05,1.1938634780730850e-05,1.1921054314933512e-05,1.2268960563060634e-04,1.1933831520598679e-05,1.1945035576486410e-05,1.1927448498581963e-05,1.1933831520598679e-05,1.2270239367864031e-04,1.1951441796783596e-05,1.1938634780730850e-05,1.1945035576486410e-05,1.1951441796783596e-05,3.8128055560645213e-04,2.5207219986551756e-06,1.3458318034951373e-06,1.3472975121233846e-06,1.2161261351884010e-06,1.3458318034951373e-06,2.5205525842394499e-06,1.3456623861868771e-06,1.2737301611910422e-06,1.3472975121233846e-06,1.3456623861868771e-06,2.5203831645050611e-06,1.3513717699400502e-06,1.2161261351884010e-06,1.2737301611910422e-06,1.3513717699400502e-06,2.6405592693536389e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197396e-12,-1.7943497857070822e-12,-1.7223513206681096e-12,-7.5558393812329306e-13,-1.7943497857070826e-12,8.2409126348922689e-12,-1.6039879463136324e-12,-1.1056503671624999e-12,-1.7223513206681117e-12,-1.6039879463136334e-12,8.4915504219861953e-12,-1.5864060426618722e-12,-7.5558393812329387e-13,-1.1056503671624999e-12,-1.5864060426618718e-12,7.5195091259384982e-12,1.4158148979475281e-07,1.4180641145419884e-07,6.8981029795182170e-08,2.7709986101516468e-07,2.9856124553471296e-07,2.9863198457680187e-07,3.7682895847956226e-07,3.9246830163902389e-07
8.0016558472918234e+01,1.2316714762305284e-04,1.2408047404102637e-05,1.2414837475553803e-05,1.2426716266109420e-05,1.2408047404102637e-05,1.2318070396617886e-04,1.2421615453391320e-05,1.2433513502142643e-05,1.2414837475553803e-05,1.2421615453391320e-05,1.2319428376358584e-04,1.2440316615948004e-05,1.2426716266109420e-05,1.2433513502142643e-05,1.2440316615948004e-05,3.8177123898722529e-04,2.5167338779408816e-06,1.3418427900733840e-06,1.3433067752539710e-06,1.2121323823485546e-06,1.3418427900733840e-06,2.5165610169772857e-06,1.3416699260389745e-06,1.2697346848160325e-06,1.3433067752539710e-06,1.3416699260389745e-06,2.5163881503669416e-06,1.3473745699575328e-06,1.2121323823485546e-06,1.2697346848160325e-06,1.3473745699575328e-06,2.6365589781865018e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197380e-12,-1.7943497857070814e-12,-1.7223513206681113e-12,-7.5558393812329367e-13,-1.7943497857070806e-12,8.2409126348922640e-12,-1.6039879463136332e-12,-1.1056503671624991e-12,-1.7223513206681100e-12,-1.6039879463136336e-12,8.4915504219861969e-12,-1.5864060426618724e-12,-7.5558393812329367e-13,-1.1056503671624991e-12,-1.5864060426618724e-12,7.5195091259384918e-12,1.4261411297548191e-07,1.4284371052958637e-07,7.0121135794761085e-08,2.8068641381044448e-07,3.0859078127752866e-07,3.0866365816933051e-07,3.9162843602089578e-07,4.0302978905084930e-07
8.3306687935856900e+01,1.2367757039321881e-04,1.2914868079852142e-05,1.2922078495591443e-05,1.2934692568813549e-05,1.2914868079852142e-05,1.2369196543835265e-04,1.2929275808023348e-05,1.2941910747716687e-05,1.2922078495591443e-05,1.2929275808023348e-05,1.2370638589596155e-04,1.2949135295445028e-05,1.2934692568813549e-05,1.2941910747716687e-05,1.2949135295445028e-05,3.8228200266175917e-04,2.5127465540005025e-06,1.3378546080478705e-06,1.3393168347426526e-06,1.2081393645539087e-06,1.3378546080478705e-06,2.5125701764340905e-06,1.3376782272214185e-06,1.2657399084426888e-06,1.3393168347426526e-06,1.3376782272214185e-06,2.5123937928726750e-06,1.3433780349286900e-06,1.2081393645539087e-06,1.2657399084426888e-06,1.3433780349286900e-06,2.6325592843599446e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197396e-12,-1.7943497857070814e-12,-1.7223513206681100e-12,-7.5558393812329346e-13,-1.7943497857070816e-12,8.2409126348922624e-12,-1.6039879463136334e-12,-1.1056503671625003e-12,-1.7223513206681102e-12,-1.6039879463136332e-12,8.4915504219861985e-12,-1.5864060426618724e-12,-7.5558393812329346e-13,-1.1056503671624995e-12,-1.5864060426618724e-12,7.5195091259384934e-12,1.4361092243089973e-07,1.4384509057795854e-07,7.1311597951970235e-08,2.8423893555335287e-07,3.1905461268764511e-07,3.1912970265998245e-07,4.0703318626742130e-07,4.1396420885898845e-07
8.6732101296147491e+01,1.2420893524850166e-04,1.3442319473613584e-05,1.3449976196593646e-05,1.3463370961016048e-05,1.3442319473613584e-05,1.2422422075597476e-04,1.3457618722392431e-05,1.3471036095690503e-05,1.3449976196593646e-05,1.3457618722392431e-05,1.2423953379737517e-04,1.3478708131217210e-05,1.3463370961016048e-05,1.3471036095690503e-05,1.3478708131217210e-05,3.8281366741958956e-04,2.5087600141521881e-06,1.3338672498545240e-06,1.3353276823067210e-06,1.2041470722643856e-06,1.3338672498545240e-06,2.5085800484920525e-06,1.3336872807335062e-06,1.2617458218119690e-06,1.3353276823067210e-06,1.3336872807335062e-06,2.5084000764672558e-06,1.3393821538752457e-06,1.2041470722643856e-06,1.2617458218119690e-06,1.3393821538752457e-06,2.6285601751103787e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197396e-12,-1.7943497857070816e-12,-1.7223513206681115e-12,-7.5558393812329346e-13,-1.7943497857070814e-12,8.2409126348922624e-12,-1.6039879463136330e-12,-1.1056503671624993e-12,-1.7223513206681102e-12,-1.6039879463136334e-12,8.4915504219861985e-12,-1.5864060426618724e-12,-7.5558393812329346e-13,-1.1056503671624995e-12,-1.5864060426618726e-12,7.5195091259384934e-12,1.4457160438182967e-07,1.4481022760549757e-07,7.2554950002748087e-08,2.8775253244674274e-07,3.2997281958371882e-07,3.3005019817550385e-07,4.2306822943526945e-07,4.2528834377373881e-07
9.0298361171640849e+01,1.2476210427934888e-04,1.3991237008178120e-05,1.3999367599812280e-05,1.4013591259061643e-05,1.3991237008178120e-05,1.2477833519263751e-04,1.4007482809204371e-05,1.4021730965031727e-05,1.3999367599812280e-05,1.4007482809204371e-05,1.2479459593815325e-04,1.4029878148269196e-05,1.4013591259061643e-05,1.4021730965031727e-05,1.4029878148269196e-05,3.8336708759973239e-04,2.5047743243333521e-06,1.3298807870471573e-06,1.3313393887913666e-06,1.2001555750853333e-06,1.3298807870471573e-06,2.5045906976727180e-06,1.3296971567124773e-06,1.2577524938202462e-06,1.3313393887913666e-06,1.3296971567124773e-06,2.5044070642550614e-06,1.3353869949843059e-06,1.2001555750853333e-06,1.2577524938202462e-06,1.3353869949843059e-06,2.6245617168128627e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0938868693197380e-12,-1.7943497857070818e-12,-1.7223513206681100e-12,-7.5558393812329346e-13,-1.7943497857070812e-12,8.2409126348922640e-12,-1.6039879463136328e-12,-1.1056503671624993e-12,-1.7223513206681102e-12,-1.6039879463136332e-12,8.4915504219861985e-12,-1.5864060426618724e-12,-7.5558393812329346e-13,-1.1056503671624995e-12,-1.5864060426618724e-12,7.5195091259384950e-12,1.4549601215655224e-07,1.4573896552220350e-07,7.3853787068252528e-08,2.9122225997826114e-07,3.4136620105626975e-07,3.4144594458200585e-07,4.3975959148662685e-07,4.3701975643233323e-07
