omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5,re_6,im_6,re_7,im_7,re_8,im_8,re_9,im_9,re_10,im_10,re_11,im_11,re_12,im_12,re_13,im_13,re_14,im_14,re_15,im_15
62.83185307179587,0.0,5.085539105528358e-10,0.0,-1.1274232209495576e-10,0.0,-1.0821852511823227e-10,0.0,-4.7474738983571683e-11,0.0,-1.1274232209495578e-10,0.0,5.177918118530568e-10,0.0,-1.007815349717098e-10,0.0,-6.947006141833133e-11,0.0,-1.082185251182323e-10,0.0,-1.007815349717098e-10,0.0,5.33539848465983e-10,0.0,-9.96768313847399e-11,0.0,-4.747473898357167e-11,0.0,-6.947006141833133e-11,0.0,-9.967683138473989e-11,0.0,4.724646925729957e-10
65.41537996857582,0.0,5.294646849792168e-10,0.0,-1.1737807302856128e-10,0.0,-1.1266826608088284e-10,0.0,-4.942681041048814e-11,0.0,-1.1737807302856134e-10,0.0,5.390824312993147e-10,0.0,-1.0492548097312189e-10,0.0,-7.232653888033026e-11,0.0,-1.1266826608088272e-10,0.0,-1.0492548097312188e-10,0.0,5.554779973765473e-10,0.0,-1.0377535406517113e-10,0.0,-4.942681041048811e-11,0.0,-7.23265388803302e-11,0.0,-1.0377535406517104e-10,0.0,4.918915466504402e-10
68.10513660234535,0.0,5.512352708789502e-10,0.0,-1.222044372679699e-10,0.0,-1.1730097197133162e-10,0.0,-5.145914732042497e-11,0.0,-1.2220443726796991e-10,0.0,5.612484807273312e-10,0.0,-1.092398181922054e-10,0.0,-7.530046929003531e-11,0.0,-1.173009719713316e-10,0.0,-1.0923981819220535e-10,0.0,5.783182014550732e-10,0.0,-1.0804240024227293e-10,0.0,-5.145914732042497e-11,0.0,-7.530046929003533e-11,0.0,-1.0804240024227294e-10,0.0,5.121171962046236e-10
70.90549093886288,0.0,5.739010220727322e-10,0.0,-1.2722925247160407e-10,0.0,-1.2212416596117121e-10,0.0,-5.357505007815153e-11,0.0,-1.2722925247160404e-10,0.0,5.84325956161314e-10,0.0,-1.137315527933866e-10,0.0,-7.839668209039105e-11,0.0,-1.2212416596117126e-10,0.0,-1.1373155279338658e-10,0.0,6.020975515030396e-10,0.0,-1.1248489928331873e-10,0.0,-5.357505007815153e-11,0.0,-7.839668209039105e-11,0.0,-1.124848992833187e-10,0.0,5.331744861939289e-10
73.82099054637276,0.0,5.97498746063463e-10,0.0,-1.3246067856756837e-10,0.0,-1.2714568056057325e-10,0.0,-5.577795475319078e-11,0.0,-1.3246067856756837e-10,0.0,6.08352333713865e-10,0.0,-1.1840797902131462e-10,0.0,-8.162020530189635e-11,0.0,-1.2714568056057315e-10,0.0,-1.1840797902131454e-10,0.0,6.268546634254912e-10,0.0,-1.1711006547805066e-10,0.0,-5.577795475319071e-11,0.0,-8.162020530189639e-11,0.0,-1.1711006547805076e-10,0.0,5.550976120992688e-10
76.85636998052001,0.0,6.220667638089108e-10,0.0,-1.3790721100477032e-10,0.0,-1.323736703377055e-10,0.0,-5.807143869974215e-11,0.0,-1.3790721100477034e-10,0.0,6.333666304444223e-10,0.0,-1.23276691046175e-10,0.0,-8.497627368773889e-11,0.0,-1.3237367033770565e-10,0.0,-1.2327669104617508e-10,0.0,6.526297409404118e-10,0.0,-1.2192540975415348e-10,0.0,-5.8071438699742217e-11,0.0,-8.497627368773889e-11,0.0,-1.2192540975415343e-10,0.0,5.779221754550259e-10
80.01655847291823,0.0,6.47644971952108e-10,0.0,-1.4357769454889897e-10,0.0,-1.3781662516114787e-10,0.0,-6.045922636604036e-11,0.0,-1.4357769454889892e-10,0.0,6.594094677200675e-10,0.0,-1.2834559529606086e-10,0.0,-8.847033725466163e-11,0.0,-1.3781662516114777e-10,0.0,-1.283455952960609e-10,0.0,6.79464640866592e-10,0.0,-1.2693875187444454e-10,0.0,-6.045922636604036e-11,0.0,-8.847033725466163e-11,0.0,-1.2693875187444454e-10,0.0,6.016852416632996e-10
83.3066879358569,0.0,6.742749076105494e-10,0.0,-1.4948133764567152e-10,0.0,-1.4348338398680923e-10,0.0,-6.294519534258301e-11,0.0,-1.4948133764567154e-10,0.0,6.8652313718163e-10,0.0,-1.3362292329642585e-10,0.0,-9.210807010337201e-11,0.0,-1.4348338398680925e-10,0.0,-1.3362292329642582e-10,0.0,7.074029410959982e-10,0.0,-1.321582331355903e-10,0.0,-6.294519534258301e-11,0.0,-9.210807010337195e-11,0.0,-1.321582331355903e-10,0.0,6.264254001853861e-10
86.73210129614749,0.0,7.019998158293977e-10,0.0,-1.5562772737466714e-10,0.0,-1.4938314921174005e-10,0.0,-6.553338265905153e-11,0.0,-1.556277273746671e-10,0.0,7.147516694221775e-10,0.0,-1.391172450374736e-10,0.0,-9.589537964286055e-11,0.0,-1.4938314921173994e-10,0.0,-1.3911724503747365e-10,0.0,7.364900113610509e-10,0.0,-1.3759232958897e-10,0.0,-6.553338265905153e-11,0.0,-9.589537964286057e-11,0.0,-1.3759232958897003e-10,0.0,6.521828272082029e-10
90.29836117164085,0.0,7.308647198082352e-10,0.0,-1.6202684501803444e-10,0.0,-1.5552550161814161e-10,0.0,-6.822799134014789e-11,0.0,-1.620268450180344e-10,0.0,7.441409054894401e-10,0.0,-1.4483748289118689e-10,0.0,-9.983841618359667e-11,0.0,-1.5552550161814161e-10,0.0,-1.448374828911869e-10,0.0,7.66773086911709e-10,0.0,-1.4324986580515524e-10,0.0,-6.822799134014789e-11,0.0,-9.98384161835967e-11,0.0,-1.4324986580515524e-10,0.0,6.789993508874436e-10
94.01125890450754,0.0,7.609164940154119e-10,0.0,-1.6868908226935608e-10,0.0,-1.6192041593185022e-10,0.0,-7.103339723099635e-11,0.0,-1.6868908226935603e-10,0.0,7.747385713282839e-10,0.0,-1.507929261006004e-10,0.0,-1.0394358292517754e-10,0.0,-1.6192041593185022e-10,0.0,-1.5079292610060034e-10,0.0,7.983013452220246e-10,0.0,-1.4914002920436053e-10,0.0,-7.103339723099635e-11,0.0,-1.039435829251776e-10,0.0,-1.4914002920436055e-10,0.0,7.069185192734111e-10
97.8768239659487,0.0,7.922039403087117e-10,0.0,-1.756252581089898e-10,0.0,-1.685782770205519e-10,0.0,-7.39541561031919e-11,0.0,-1.7562525810898987e-10,0.0,8.065943552841123e-10,0.0,-1.5699324586484302e-10,0.0,-1.0821754635465049e-10,0.0,-1.6857827702055193e-10,0.0,-1.5699324586484307e-10,0.0,8.311259858507205e-10,0.0,-1.5527238497613338e-10,0.0,-7.395415610319188e-11,0.0,-1.0821754635465053e-10,0.0,-1.552723849761334e-10,0.0,7.35985671029827e-10
101.90133374761122,0.0,8.247778671859587e-10,0.0,-1.8284663637329194e-10,0.0,-1.7550989675804011e-10,0.0,-7.699501105303615e-11,0.0,-1.8284663637329192e-10,0.0,8.397599887930624e-10,0.0,-1.6344851104445107e-10,0.0,-1.1266724707239479e-10,0.0,-1.755098967580401e-10,0.0,-1.6344851104445097e-10,0.0,8.653003135854843e-10,0.0,-1.6165689161251464e-10,0.0,-7.699501105303617e-11,0.0,-1.1266724707239475e-10,0.0,-1.616568916125146e-10,0.0,7.662480090604671e-10
106.09132375560732,0.0,8.586911722942597e-10,0.0,-1.9036494404625453e-10,0.0,-1.8272653158189834e-10,0.0,-8.016090020397511e-11,0.0,-1.9036494404625463e-10,0.0,8.742893303900296e-10,0.0,-1.7016920451245136e-10,0.0,-1.1729991106314286e-10,0.0,-1.8272653158189842e-10,0.0,-1.7016920451245136e-10,0.0,9.008798250060014e-10,0.0,-1.6830391707989252e-10,0.0,-8.016090020397513e-11,0.0,-1.1729991106314279e-10,0.0,-1.6830391707989255e-10,0.0,7.977546771631847e-10
110.453598223693,0.0,8.939989283318669e-10,0.0,-1.9819239030325965e-10,0.0,-1.902399007731225e-10,0.0,-8.345696472574597e-11,0.0,-1.9819239030325962e-10,0.0,9.10238453170945e-10,0.0,-1.771662401777725e-10,0.0,-1.2212306143044537e-10,0.0,-1.9023990077312253e-10,0.0,-1.7716624017777253e-10,0.0,9.379222986062945e-10,0.0,-1.7522425565581321e-10,0.0,-8.345696472574601e-11,0.0,-1.2212306143044547e-10,0.0,-1.7522425565581327e-10,0.0,8.305568398358035e-10
114.9952411628399,0.0,9.307584724821666e-10,0.0,-2.0634168633787587e-10,0.0,-1.9806220548736514e-10,0.0,-8.688855718325651e-11,0.0,-2.0634168633787592e-10,0.0,9.476657358513302e-10,0.0,-1.8445098070862455e-10,0.0,-1.2714453061363404e-10,0.0,-1.9806220548736508e-10,0.0,-1.8445098070862455e-10,0.0,9.764878886227173e-10,0.0,-1.8242914545808854e-10,0.0,-8.688855718325642e-11,0.0,-1.2714453061363402e-10,0.0,-1.8242914545808857e-10,0.0,8.647077653634725e-10
119.72362786514542,0.0,9.690294995250233e-10,0.0,-2.148260660038981e-10,0.0,-2.0620614856871059e-10,0.0,-9.046125022875427e-11,0.0,-2.1482606600389805e-10,0.0,9.866319575690162e-10,0.0,-1.9203525598463232e-10,0.0,-1.3237247310712452e-10,0.0,-2.062061485687106e-10,0.0,-1.9203525598463224e-10,0.0,1.016639222719994e-09,0.0,-1.89930286694668e-10,0.0,-9.046125022875427e-11,0.0,-1.3237247310712455e-10,0.0,-1.89930286694668e-10,0.0,9.002629123224253e-10
124.64643688076109,0.0,1.0088741587766838e-09,0.0,-2.2365930730614482e-10,0.0,-2.1468495517815315e-10,0.0,-9.418084565140199e-11,0.0,-2.2365930730614497e-10,0.0,1.0272003965849648e-09,0.0,-1.999313823076838e-10,0.0,-1.3781537870271085e-10,0.0,-2.1468495517815312e-10,0.0,-1.9993138230768385e-10,0.0,1.0584415036939026e-09,0.0,-1.977398606639111e-10,0.0,-9.418084565140199e-11,0.0,-1.378153787027108e-10,0.0,-1.9773986066391109e-10,0.0,9.372800196405995e-10
