omega,re_0,im_0,re_1,im_1,re_2,im_2
62.83185307179587,2.4348713474517528e-08,2.1299469074117249e-07,2.0259913857990268e-08,2.1625874420055655e-07,3.557936157689836e-08,3.463897892493764e-07
65.41537996857582,2.4364510078032417e-08,2.2164128282575933e-07,2.0277720625969595e-08,2.2507537460709787e-07,3.695081091360258e-08,3.5994948507199497e-07
68.10513660234535,2.4379685107038352e-08,2.306475504252385e-07,2.0295918357671536e-08,2.3425736088445345e-07,3.839466196610871e-08,3.7403416133731793e-07
70.90549093886288,2.4394337630530652e-08,2.4002789924081556e-07,2.0314627327669035e-08,2.438193677907436e-07,3.9914949822683255e-08,3.886632099453782e-07
73.82099054637276,2.440852889372106e-08,2.497980710002198e-07,2.0333942927874606e-08,2.5377742232012605e-07,4.151606042629988e-08,4.038576257509182e-07
76.85636998052001,2.4422390388665982e-08,2.5997325574431836e-07,2.0354022865088128e-08,2.641469841008957e-07,4.320244845518199e-08,4.196376800855565e-07
80.01655847291823,2.443573693534593e-08,2.705718985217755e-07,2.037476779858978e-08,2.749468512173906e-07,4.4979048773372174e-08,4.3602745803842757e-07
83.3066879358569,2.444930405804117e-08,2.816071955350629e-07,2.0396856493239095e-08,2.8619039577076367e-07,4.685066892238475e-08,4.530447201026022e-07
86.73210129614749,2.4462718857066478e-08,2.931003652901294e-07,2.0420047385475157e-08,2.978992515039651e-07,4.882291325450009e-08,4.70716597662514e-07
90.29836117164085,2.4475601390328848e-08,3.050709069493637e-07,2.0444092739692105e-08,3.100933143533579e-07,5.090141328136566e-08,4.890684860952689e-07
94.01125890450754,2.4489240318582954e-08,3.1753443821812916e-07,2.047016836936909e-08,3.227883446632815e-07,5.309196568687658e-08,5.081201393849601e-07
97.8768239659487,2.4501868657027133e-08,3.305162852473496e-07,2.049686409217765e-08,3.3601032619184933e-07,5.540103653233448e-08,5.279045369682445e-07
101.90133374761122,2.451615950611126e-08,3.440316149662107e-07,2.052656773379841e-08,3.4977435814231484e-07,5.783504044429023e-08,5.484388458948303e-07
