omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Zc_real_0_0,Overhead_Zc_imag_0_0,Overhead_Zc_real_0_1,Overhead_Zc_imag_0_1,Overhead_Zc_real_0_2,Overhead_Zc_imag_0_2,Overhead_Zc_real_1_0,Overhead_Zc_imag_1_0,Overhead_Zc_real_1_1,Overhead_Zc_imag_1_1,Overhead_Zc_real_1_2,Overhead_Zc_imag_1_2,Overhead_Zc_real_2_0,Overhead_Zc_imag_2_0,Overhead_Zc_real_2_1,Overhead_Zc_imag_2_1,Overhead_Zc_real_2_2,Overhead_Zc_imag_2_2,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,2.8945964464454702e-03,2.9163583257762359e-04,-8.8162869627012648e-04,-1.0544386697926959e-04,-5.0124950406018525e-04,-2.4515241159102648e-05,-8.8162869627012529e-04,-1.0544386697926952e-04,3.1231975326967967e-03,3.4545410556630692e-04,-9.3928632577028933e-04,-1.1719693630513747e-04,-5.0124950406018492e-04,-2.4515241159102580e-05,-9.3928632577028922e-04,-1.1719693630513743e-04,2.9251409121551584e-03,2.9905693268622238e-04,4.0837914867327868e+02,-4.1565766606993897e+01,1.5108648566197991e+02,-1.4555917479738969e+01,1.1795593024210100e+02,-1.4380211944726144e+01,1.5108648566198008e+02,-1.4555917479738953e+01,4.0629948852385820e+02,-4.2460613955543458e+01,1.5668630904586624e+02,-1.4603047114950163e+01,1.1795593024210110e+02,-1.4380211944726165e+01,1.5668630904586612e+02,-1.4603047114950183e+01,4.0883379691590932e+02,-4.1684906151189701e+01,2.4348713474517528e-08,2.0259913857990268e-08,3.5579361576898361e-08,2.1299469074117249e-07,2.1625874420055655e-07,3.4638978924937640e-07,5.0848736825680728e-04,5.1627972189546487e-04,8.2694470793397178e-04,9.9584588263733320e-01,-3.1827312867033684e-02,9.9644113021391023e-01,-3.2334708603861242e-02,9.9333495733629096e-01,-5.1658658672264435e-02
6.5415379968575820e+01,2.8983070657003268e-03,2.8284120252943456e-04,-8.8271013704203254e-04,-9.9717173701069581e-05,-5.0085927915251424e-04,-2.1524465080816814e-05,-8.8271013704073367e-04,-9.9717173699203235e-05,3.1278260609392413e-03,3.3429486591535055e-04,-9.4057368963804090e-04,-1.1108122109933468e-04,-5.0085927915250383e-04,-2.1524465080812850e-05,-9.4057368963931061e-04,-1.1108122110116215e-04,2.9289840714737583e-03,2.8992428804286110e-04,4.0787460793743054e+02,-4.0806077419437543e+01,1.5068954256663656e+02,-1.4855307108833193e+01,1.1754834902141816e+02,-1.4671528744830539e+01,1.5068954256635644e+02,-1.4855307109094673e+01,4.0578304278822048e+02,-4.1687858882738070e+01,1.5629085009319863e+02,-1.4901087881900377e+01,1.1754834902141059e+02,-1.4671528744837220e+01,1.5629085009347133e+02,-1.4901087881645649e+01,4.0832768583670492e+02,-4.0920983622988146e+01,2.4364510078032417e-08,2.0277720625969595e-08,3.6950810913602580e-08,2.2164128282575933e-07,2.2507537460709787e-07,3.5994948507199497e-07,5.0823204634498293e-04,5.1610655181217181e-04,8.2537811118327340e-04,9.9580140583950028e-01,-3.3118808229432355e-02,9.9639483497722747e-01,-3.3652378032073535e-02,9.9302352812356987e-01,-5.3667906846826000e-02
6.8105136602345354e+01,2.9018259901966207e-03,2.7437937678815644e-04,-8.8364665569384750e-04,-9.4149857353909393e-05,-5.0041770684608152e-04,-1.8619817356684602e-05,-8.8364665565264175e-04,-9.4149857296385407e-05,3.1321769761480140e-03,3.2352923041112770e-04,-9.4170289295352502e-04,-1.0513603950858811e-04,-5.0041770684576613e-04,-1.8619817356555633e-05,-9.4170289299380790e-04,-1.0513603956490736e-04,2.9326233776179912e-03,2.8113238433370491e-04,4.0737245997517806e+02,-4.0085403818727883e+01,1.5028682831738629e+02,-1.5153312098732174e+01,1.1713591210656305e+02,-1.4960768947297957e+01,1.5028682830863389e+02,-1.5153312106767590e+01,4.0526967182307169e+02,-4.0955391623746628e+01,1.5588951292227267e+02,-1.5197871081729595e+01,1.1713591210632666e+02,-1.4960768947504505e+01,1.5588951293079157e+02,-1.5197871073903011e+01,4.0782408729158050e+02,-4.0196230576425599e+01,2.4379685107038352e-08,2.0295918357671536e-08,3.8394661966108708e-08,2.3064755042523849e-07,2.3425736088445345e-07,3.7403416133731793e-07,5.0799593525217802e-04,5.1594645992469738e-04,8.2380165431847297e-04,9.9575348904670147e-01,-3.4463967240374371e-02,9.9634482089956322e-01,-3.5024582629685670e-02,9.9269290937220567e-01,-5.5753671442969603e-02
7.0905490938862883e+01,2.9051672250677320e-03,2.6624351504882400e-04,-8.8444710674374276e-04,-8.8738799507435343e-05,-4.9992785917453181e-04,-1.5797858549546802e-05,-8.8444710674644210e-04,-8.8738799510117714e-05,3.1362695537540198e-03,3.1315096341047547e-04,-9.4268362651906540e-04,-9.9358310735250539e-05,-4.9992785917454591e-04,-1.5797858549582642e-05,-9.4268362651643057e-04,-9.9358310732653929e-05,2.9360735565499272e-03,2.7267446219875717e-04,4.0687213754893440e+02,-3.9402559571925011e+01,1.4987835375758883e+02,-1.5450193727018732e+01,1.1671859039924745e+02,-1.5248219127104232e+01,1.4987835375805403e+02,-1.5450193726641480e+01,4.0475872689048282e+02,-4.0262032224054686e+01,1.5548231447816198e+02,-1.5493651070858492e+01,1.1671859039926194e+02,-1.5248219127089056e+01,1.5548231447771147e+02,-1.5493651071220230e+01,4.0732242515907944e+02,-3.9509458634253022e+01,2.4394337630530652e-08,2.0314627327669035e-08,3.9914949822683255e-08,2.4002789924081556e-07,2.4381936779074359e-07,3.8866320994537822e-07,5.0777710455691461e-04,5.1579792600471434e-04,8.2221391770736802e-04,9.9570182232916027e-01,-3.5864931094645253e-02,9.9629076433181007e-01,-3.6453502220592016e-02,9.9234185339143843e-01,-5.7918648926908269e-02
7.3820990546372755e+01,2.9083443699501263e-03,2.5842623689726382e-04,-8.8512000532024672e-04,-8.3480413093795235e-05,-4.9939256044835545e-04,-1.3055059996384061e-05,-8.8512000519773621e-04,-8.3480412913678205e-05,3.1401225665492263e-03,3.0315292640482888e-04,-9.4352522761467891e-04,-9.3744431666021452e-05,-4.9939256044724371e-04,-1.3055059995796735e-05,-9.4352522773436258e-04,-9.3744431842173947e-05,2.9393489151262665e-03,2.6454317139714426e-04,4.0637306165972393e+02,-3.8756358221121850e+01,1.4946409248080411e+02,-1.5746216547612418e+01,1.1629631942247578e+02,-1.5534165654034878e+01,1.4946409245372743e+02,-1.5746216572899106e+01,4.0424954839489260e+02,-3.9606597322121992e+01,1.5506923420786242e+02,-1.5788686026486468e+01,1.1629631942172273e+02,-1.5534165654717770e+01,1.5506923423419627e+02,-1.5788686001892927e+01,4.0682211180668838e+02,-3.8859478786282708e+01,2.4408528893721061e-08,2.0333942927874606e-08,4.1516060426299882e-08,2.4979807100021982e-07,2.5377742232012605e-07,4.0385762575091819e-07,5.0757528953089992e-04,5.1566110216451615e-04,8.2061542949066126e-04,9.9564607267690841e-01,-3.7324039279992310e-02,9.9623231558577452e-01,-3.7941518734445519e-02,9.9196900367730301e-01,-6.0165753209425292e-02
7.6856369980520014e+01,2.9113699392913231e-03,2.5092051037797449e-04,-8.8567325199605902e-04,-7.8371185901420111e-05,-4.9881445225113431e-04,-1.0388086455112391e-05,-8.8567325207399960e-04,-7.8371186060372173e-05,3.1437533387701426e-03,2.9352820532096014e-04,-9.4423635870781203e-04,-8.8290860383252379e-05,-4.9881445225171100e-04,-1.0388086455429107e-05,-9.4423635863157690e-04,-8.8290860227441671e-05,2.9424626240299617e-03,2.5673149196403316e-04,4.0587471579855844e+02,-3.8145691459707137e+01,1.4904403320484224e+02,-1.6041631902115746e+01,1.1586905428327761e+02,-1.5818878168116685e+01,1.4904403322247688e+02,-1.6041631877566349e+01,4.0374154364332514e+02,-3.8987981312692661e+01,1.5465026633735522e+02,-1.6083221400689045e+01,1.1586905428373238e+02,-1.5818878167522572e+01,1.5465026632016961e+02,-1.6083221424644847e+01,4.0632262277917715e+02,-3.8245180252950384e+01,2.4422390388665982e-08,2.0354022865088128e-08,4.3202448455181989e-08,2.5997325574431836e-07,2.6414698410089572e-07,4.1963768008555649e-07,5.0738785049998672e-04,5.1553368478340770e-04,8.1900370819995344e-04,9.9558587611101212e-01,-3.8843546861236707e-02,9.9616909448482160e-01,-3.9490927147416040e-02,9.9157295387646072e-01,-6.2497769863897726e-02
8.0016558472918234e+01,2.9142563116273624e-03,2.4371808936209959e-04,-8.8611423136031135e-04,-7.3406674265396766e-05,-4.9819561292813587e-04,-7.7933317774670903e-06,-8.8611423042537184e-04,-7.3406672784788324e-05,3.1471789973676039e-03,2.8426802001028478e-04,-9.4482516779087922e-04,-8.2993024997645687e-05,-4.9819561291606317e-04,-7.7933317732043665e-06,-9.4482516870324999e-04,-8.2993026445226119e-05,2.9454277108288520e-03,2.4923110039913159e-04,4.0537645870303209e+02,-3.7569415081229089e+01,1.4861801846117990e+02,-1.6336701755672085e+01,1.1543660398776696e+02,-1.6102633469630700e+01,1.4861801822536233e+02,-1.6336701954164958e+01,4.0323399577840422e+02,-3.8405035545622781e+01,1.5422525840294108e+02,-1.6377514177231731e+01,1.1543660398104106e+02,-1.6102633475070750e+01,1.5422525863218439e+02,-1.6377513984319137e+01,4.0582330892672121e+02,-3.7665415454720716e+01,2.4435736935345929e-08,2.0374767798589780e-08,4.4979048773372174e-08,2.7057189852177549e-07,2.7494685121739060e-07,4.3602745803842757e-07,5.0721732542399539e-04,5.1541866420769689e-04,8.1738230128830514e-04,9.9552087164074032e-01,-4.0426195032582851e-02,9.9610071324606420e-01,-4.1104520792978314e-02,9.9115214140579888e-01,-6.4918025305965160e-02
8.3306687935856900e+01,2.9170135582210969e-03,2.3681312759947943e-04,-8.8644983835686731e-04,-6.8583896459027078e-05,-4.9753869606672244e-04,-5.2680156322883005e-06,-8.8644983837620536e-04,-6.8583896616002070e-05,3.1504136621169393e-03,2.7536665667489429e-04,-9.4529917366362279e-04,-7.7847922661462629e-05,-4.9753869606655656e-04,-5.2680156326390967e-06,-9.4529917364456555e-04,-7.7847922507312661e-05,2.9482547940579986e-03,2.4203615989122989e-04,4.0487804420153537e+02,-3.7026582067195584e+01,1.4818620778252148e+02,-1.6631637546207180e+01,1.1499910635068264e+02,-1.6385653334561145e+01,1.4818620778672533e+02,-1.6631637518232669e+01,4.0272659049420946e+02,-3.7856819074668536e+01,1.5379437492148355e+02,-1.6671770678262220e+01,1.1499910635073572e+02,-1.6385653333930019e+01,1.5379437491733663e+02,-1.6671770705621640e+01,4.0532391775837812e+02,-3.7119235545516304e+01,2.4449304058041170e-08,2.0396856493239095e-08,4.6850668922384747e-08,2.8160719553506291e-07,2.8619039577076367e-07,4.5304472010260222e-07,5.0705508017295710e-04,5.1530747925866368e-04,8.1574132520686104e-04,9.9545056473554072e-01,-4.2073933547977727e-02,9.9602667240879572e-01,-4.2784275192759555e-02,9.9070503092874518e-01,-6.7428882579601834e-02
8.6732101296147491e+01,2.9196528239082784e-03,2.3019676900736918e-04,-8.8668628899534407e-04,-6.3897723159746497e-05,-4.9684506231023422e-04,-2.8085105663245990e-06,-8.8668628931382325e-04,-6.3897723304690612e-05,3.1534727397976681e-03,2.6681406238197842e-04,-9.4566528860859573e-04,-7.2850200196695168e-05,-4.9684506231541443e-04,-2.8085105668658577e-06,-9.4566528829821608e-04,-7.2850200056775679e-05,2.9509556002903347e-03,2.3513764471262276e-04,4.0437877193011423e+02,-3.6516095338954273e+01,1.4774831634353211e+02,-1.6926691968906987e+01,1.1455624849509790e+02,-1.6668198843750183e+01,1.4774831642586787e+02,-1.6926691969811863e+01,4.0221855662869075e+02,-3.7342223993942817e+01,1.5335733517344156e+02,-1.6966240019697118e+01,1.1455624849761271e+02,-1.6668198843408760e+01,1.5335733509354853e+02,-1.6966240018349474e+01,4.0482374181225117e+02,-3.6605539422757275e+01,2.4462718857066478e-08,2.0420047385475157e-08,4.8822913254500090e-08,2.9310036529012938e-07,2.9789925150396509e-07,4.7071659766251398e-07,5.0690637187954615e-04,5.1520587023503369e-04,8.1408715566900927e-04,9.9537454814328430e-01,-4.3789914407590183e-02,9.9594652845620912e-01,-4.4533403281687090e-02,9.9022982162177109e-01,-7.0034063597862115e-02
9.0298361171640849e+01,2.9221842446438364e-03,2.2386119069311994e-04,-8.8682948888387490e-04,-5.9343597559192433e-05,-4.9611622147876112e-04,-4.1150184554133311e-07,-8.8682948843395203e-04,-5.9343597613119063e-05,3.1563703267022641e-03,2.5860144601274530e-04,-9.4593005491395770e-04,-6.7995122919657175e-05,-4.9611622147249345e-04,-4.1150184501261652e-07,-9.4593005535258221e-04,-6.7995122863359408e-05,2.9535408027902147e-03,2.2852759272320709e-04,4.0387805309103635e+02,-3.6036967702610184e+01,1.4730413816505870e+02,-1.7222110630859408e+01,1.1410780138620069e+02,-1.6950522481415241e+01,1.4730413806207397e+02,-1.7222110586274965e+01,4.0170923672393536e+02,-3.6860255689665678e+01,1.5291393734130600e+02,-1.7261163508281083e+01,1.1410780138297523e+02,-1.6950522480919762e+01,1.5291393744113978e+02,-1.7261163552517221e+01,4.0432218571167442e+02,-3.6123336368789111e+01,2.4475601390328848e-08,2.0444092739692105e-08,5.0901413281365660e-08,3.0507090694936371e-07,3.1009331435335790e-07,4.8906848609526890e-07,5.0677150115074475e-04,5.1511452200764740e-04,8.1242086747117964e-04,9.9529239195228258e-01,-4.5577030657454803e-02,9.9585981411762470e-01,-4.6354855760775651e-02,9.8972466186196772e-01,-7.2737001769544646e-02
