omega,re_0,im_0,re_1,im_1,re_2,im_2
62.83185307179587,2.4393682541207693e-08,2.1294932841041603e-07,2.034780689530938e-08,2.164788567828129e-07,3.565062251499978e-08,3.468975114762351e-07
65.41537996857582,2.4409451252546538e-08,2.2159367120514144e-07,2.0366528785082352e-08,2.2530393289797987e-07,3.7027100141318504e-08,3.604773272637291e-07
68.10513660234535,2.4424579686071846e-08,2.305976179351041e-07,2.0385713328562842e-08,2.3449472099182508e-07,3.8476367293255996e-08,3.745828790761377e-07
70.90549093886288,2.4439166036152747e-08,2.399755728464759e-07,2.0405487684628633e-08,2.4406590108373264e-07,4.000248896312054e-08,3.892335849356466e-07
73.82099054637276,2.4453270736789817e-08,2.497432712316231e-07,2.042595491401293e-08,2.540335118411417e-07,4.1609883241182175e-08,4.0445046131394093e-07
76.85636998052001,2.446702235937965e-08,2.599159120477705e-07,2.0447279046615135e-08,2.644130397459269e-07,4.33030391698849e-08,4.202538180226766e-07
80.01655847291823,2.4480242112320307e-08,2.705118897268e-07,2.046937551113738e-08,2.752232518300831e-07,4.508692688348571e-08,4.3666771222908685e-07
83.3066879358569,2.4493648030003215e-08,2.8154449341668765e-07,2.0492919112834322e-08,2.8647763163886024e-07,4.6966396663583874e-08,4.537100381229648e-07
86.73210129614749,2.450688468854463e-08,2.930348305288027e-07,2.0517693849852187e-08,2.9819772209065625e-07,4.894709111084541e-08,4.71407829007486e-07
90.29836117164085,2.451956185597989e-08,3.0500244728587227e-07,2.0543454774213915e-08,3.1040348997279884e-07,5.103469131586917e-08,4.897865656513326e-07
94.01125890450754,2.4532951006653837e-08,3.174629926943776e-07,2.0571376914557623e-08,3.2311074703994935e-07,5.3235039929903576e-08,5.088660777072652e-07
97.8768239659487,2.4545343464197536e-08,3.3044163653515917e-07,2.0600112173158974e-08,3.3634533884565646e-07,5.555465520429603e-08,5.286791455636796e-07
101.90133374761122,2.4559315876780817e-08,3.439537805139594e-07,2.063198299895017e-08,3.501226316343234e-07,5.800000901011358e-08,5.492433124628248e-07
106.09132375560732,2.4572770336229835e-08,3.580257418292938e-07,2.0665314117942215e-08,3.6446971862957097e-07,6.057825683046145e-08,5.705934655987569e-07
110.453598223693,2.458707426575055e-08,3.726780290616835e-07,2.070140527934459e-08,3.794073191319313e-07,6.329673101727735e-08,5.927537134224892e-07
114.9952411628399,2.4600854087654896e-08,3.879371570580461e-07,2.0739277422106528e-08,3.9496257039745644e-07,6.61632430495808e-08,6.157577262955875e-07
