omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Zc_real_0_0,Overhead_Zc_imag_0_0,Overhead_Zc_real_0_1,Overhead_Zc_imag_0_1,Overhead_Zc_real_0_2,Overhead_Zc_imag_0_2,Overhead_Zc_real_1_0,Overhead_Zc_imag_1_0,Overhead_Zc_real_1_1,Overhead_Zc_imag_1_1,Overhead_Zc_real_1_2,Overhead_Zc_imag_1_2,Overhead_Zc_real_2_0,Overhead_Zc_imag_2_0,Overhead_Zc_real_2_1,Overhead_Zc_imag_2_1,Overhead_Zc_real_2_2,Overhead_Zc_imag_2_2,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,2.9180008616394061e-03,2.9701847101931071e-04,-9.1439894131232959e-04,-1.1229144620469595e-04,-5.0343097456108550e-04,-2.4577066499244864e-05,-9.1439894131232840e-04,-1.1229144620469556e-04,3.1283235476548313e-03,3.4647148692780677e-04,-9.1439894131232916e-04,-1.1229144620469632e-04,-5.0343097456108604e-04,-2.4577066499245582e-05,-9.1439894131232905e-04,-1.1229144620469574e-04,2.9180008616394070e-03,2.9701847101931103e-04,4.0781586688453450e+02,-4.1637133599289029e+01,1.5412126402183782e+02,-1.4572677232841654e+01,1.1810019599944755e+02,-1.4405474058380074e+01,1.5412126402183773e+02,-1.4572677232841622e+01,4.0610502337320474e+02,-4.2432085839795548e+01,1.5412126402183787e+02,-1.4572677232841611e+01,1.1810019599944754e+02,-1.4405474058380106e+01,1.5412126402183773e+02,-1.4572677232841659e+01,4.0781586688453456e+02,-4.1637133599289029e+01,2.4393682541207693e-08,2.0347806895309381e-08,3.5650622514999782e-08,2.1294932841041603e-07,2.1647885678281289e-07,3.4689751147623510e-07,1.0913204114766705e-03,1.1094085002461220e-03,1.7777766090665938e-03,9.8984440873297797e-01,-6.7979894134557031e-02,9.9105679012220571e-01,-6.9194902698111571e-02,9.8242519697700381e-01,-1.1019656901177857e-01
6.5415379968575820e+01,2.9217997331296660e-03,2.8802529626925102e-04,-9.1560168866657422e-04,-1.0634159059033332e-04,-5.0304127332207610e-04,-2.1565954514811512e-05,-9.1560168866561232e-04,-1.0634159058895004e-04,3.1329763270894848e-03,3.3524428344192846e-04,-9.1560168866561265e-04,-1.0634159058895027e-04,-5.0304127332207631e-04,-2.1565954514811552e-05,-9.1560168866657433e-04,-1.0634159059033336e-04,2.9217997331296669e-03,2.8802529626925118e-04,4.0731058220560732e+02,-4.0879349600793823e+01,1.5372555753639938e+02,-1.4872011685719716e+01,1.1769280627545481e+02,-1.4699119319431832e+01,1.5372555753619287e+02,-1.4872011685912341e+01,4.0558893790442033e+02,-4.1656939768520282e+01,1.5372555753619295e+02,-1.4872011685912335e+01,1.1769280627545481e+02,-1.4699119319431833e+01,1.5372555753639929e+02,-1.4872011685719718e+01,4.0731058220560732e+02,-4.0879349600793816e+01,2.4409451252546538e-08,2.0366528785082352e-08,3.7027100141318504e-08,2.2159367120514144e-07,2.2530393289797987e-07,3.6047732726372911e-07,1.0907704298642326e-03,1.1090337842262783e-03,1.7744099237011258e-03,9.8964632891297222e-01,-7.0734478585446417e-02,9.9085018624275789e-01,-7.2010446234634665e-02,9.8149882765848429e-01,-1.1444061886977337e-01
6.8105136602345354e+01,2.9253995703633030e-03,2.7937089099888630e-04,-9.1665181433729073e-04,-1.0055752157128518e-04,-5.0259993815865206e-04,-1.8641100722010888e-05,-9.1665181430716791e-04,-1.0055752152920210e-04,3.1373492579264270e-03,3.2441138200805169e-04,-9.1665181430716802e-04,-1.0055752152920214e-04,-5.0259993815865195e-04,-1.8641100722010854e-05,-9.1665181433729084e-04,-1.0055752157128529e-04,2.9253995703633030e-03,2.7937089099888641e-04,4.0680771177418967e+02,-4.0160704423449715e+01,1.5332401321495618e+02,-1.5170046992212606e+01,1.1728051963036981e+02,-1.4990758055843067e+01,1.5332401320858955e+02,-1.5170046998055664e+01,4.0507598170515934e+02,-4.0922055993428096e+01,1.5332401320858955e+02,-1.5170046998055668e+01,1.1728051963036980e+02,-1.4990758055843063e+01,1.5332401321495621e+02,-1.5170046992212608e+01,4.0680771177418967e+02,-4.0160704423449722e+01,2.4424579686071846e-08,2.0385713328562842e-08,3.8476367293255996e-08,2.3059761793510410e-07,2.3449472099182508e-07,3.7458287907613770e-07,1.0902618609907680e-03,1.1086873021082437e-03,1.7710218799908061e-03,9.8943227153295121e-01,-7.3603071479710472e-02,9.9062661781640238e-01,-7.4942019160250214e-02,9.8051124148931157e-01,-1.1884190651113614e-01
7.0905490938862883e+01,2.9288148412210256e-03,2.7104847205682193e-04,-9.1755866165686630e-04,-9.4936152018068706e-05,-5.0211005111543540e-04,-1.5799035141900616e-05,-9.1755866165885375e-04,-9.4936152019993314e-05,3.1414617249719470e-03,3.1396655219481455e-04,-9.1755866165885267e-04,-9.4936152019993084e-05,-5.0211005111543529e-04,-1.5799035141900524e-05,-9.1755866165686608e-04,-9.4936152018068734e-05,2.9288148412210256e-03,2.7104847205682199e-04,4.0630668118053694e+02,-3.9480016150985485e+01,1.5291664487334984e+02,-1.5467041534078621e+01,1.1686330500312647e+02,-1.5280679345771897e+01,1.5291664487368766e+02,-1.5467041533811189e+01,4.0456550584506937e+02,-4.0226252559604809e+01,1.5291664487368752e+02,-1.5467041533811180e+01,1.1686330500312661e+02,-1.5280679345771922e+01,1.5291664487334970e+02,-1.5467041534078634e+01,4.0630668118053654e+02,-3.9480016150985541e+01,2.4439166036152747e-08,2.0405487684628633e-08,4.0002488963120540e-08,2.3997557284647590e-07,2.4406590108373264e-07,3.8923358493564660e-07,1.0897905568863755e-03,1.1083657853342304e-03,1.7676094289699618e-03,9.8920085535892055e-01,-7.6590161727126196e-02,9.9038464214025335e-01,-7.7994193777503718e-02,9.7945825796457320e-01,-1.2340549773238169e-01
7.3820990546372755e+01,2.9320595979209362e-03,2.6305068863368569e-04,-9.1833122607278429e-04,-8.9473895884767130e-05,-5.0157444437208694e-04,-1.3036198682020784e-05,-9.1833122598404971e-04,-8.9473895754563231e-05,3.1453326052209396e-03,3.0390265367725452e-04,-9.1833122598405047e-04,-8.9473895754563638e-05,-5.0157444437208684e-04,-1.3036198682020989e-05,-9.1833122607278461e-04,-8.9473895884766832e-05,2.9320595979209418e-03,2.6305068863368591e-04,4.0580690434669935e+02,-3.8836102744748210e+01,1.5250342906589589e+02,-1.5763257235187030e+01,1.1644109588137407e+02,-1.5569172093684944e+01,1.5250342904640453e+02,-1.5763257253348907e+01,4.0405685095664893e+02,-3.9568344205722937e+01,1.5250342904640453e+02,-1.5763257253348899e+01,1.1644109588137417e+02,-1.5569172093684966e+01,1.5250342906589569e+02,-1.5763257235187023e+01,4.0580690434669839e+02,-3.8836102744748196e+01,2.4453270736789817e-08,2.0425954914012930e-08,4.1609883241182175e-08,2.4974327123162308e-07,2.5403351184114171e-07,4.0445046131394093e-07,1.0893559235847180e-03,1.1080695369627071e-03,1.7641736798597871e-03,9.8895058020478732e-01,-7.9700649216444167e-02,9.9012268817829097e-01,-8.1171961129886575e-02,9.7833533752292345e-01,-1.2813684185742333e-01
7.6856369980520014e+01,2.9351467804968672e-03,2.5537052290491760e-04,-9.1897785353601755e-04,-8.4167228504569686e-05,-5.0099576380363325e-04,-1.0349224547284123e-05,-9.1897785358880518e-04,-8.4167228614424709e-05,3.1489793220822299e-03,2.9421275719650045e-04,-9.1897785358880334e-04,-8.4167228614424370e-05,-5.0099576380363347e-04,-1.0349224547283920e-05,-9.1897785353601711e-04,-8.4167228504569984e-05,2.9351467804968620e-03,2.5537052290491754e-04,4.0530785693546574e+02,-3.8227859804826593e+01,1.5208435633277108e+02,-1.6058943244724293e+01,1.1601384430413412e+02,-1.5856508573978246e+01,1.5208435634456069e+02,-1.6058943227717766e+01,4.0354942387126277e+02,-3.8947222993901541e+01,1.5208435634456058e+02,-1.6058943227717752e+01,1.1601384430413420e+02,-1.5856508573978251e+01,1.5208435633277114e+02,-1.6058943244724308e+01,4.0530785693546625e+02,-3.8227859804826686e+01,2.4467022359379649e-08,2.0447279046615135e-08,4.3303039169884902e-08,2.5991591204777050e-07,2.6441303974592690e-07,4.2025381802267661e-07,1.0889523366845828e-03,1.1077936522342685e-03,1.7607093522319680e-03,9.8867983062457687e-01,-8.2939245562607691e-02,9.8983906847595626e-01,-8.4480117490819517e-02,9.7713774898839012e-01,-1.3304104440218484e-01
8.0016558472918234e+01,2.9380891738993394e-03,2.4799971199458839e-04,-9.1950637786167582e-04,-7.9011653859500553e-05,-5.0037609788745072e-04,-7.7344819079791158e-06,-9.1950637718851258e-04,-7.9011652795488407e-05,3.1524190862331071e-03,2.8488808699481469e-04,-9.1950637718852201e-04,-7.9011652795494167e-05,-5.0037609788745256e-04,-7.7344819079817213e-06,-9.1950637786167690e-04,-7.9011653859498710e-05,2.9380891738993681e-03,2.4799971199459099e-04,4.0480889375775422e+02,-3.7654148005003726e+01,1.5165927461209134e+02,-1.6354359266838689e+01,1.1558135987464851e+02,-1.6142967789095529e+01,1.5165927444321352e+02,-1.6354359408460073e+01,4.0304251138309792e+02,-3.8361739338305874e+01,1.5165927444321466e+02,-1.6354359408459956e+01,1.1558135987464853e+02,-1.6142967789095472e+01,1.5165927461209108e+02,-1.6354359266838539e+01,4.0480889375775030e+02,-3.7654148005003428e+01,2.4480242112320307e-08,2.0469375511137380e-08,4.5086926883485713e-08,2.7051188972679998e-07,2.7522325183008312e-07,4.3666771222908685e-07,1.0885850398266053e-03,1.1075443480774174e-03,1.7572238299320845e-03,9.8838688837528865e-01,-8.6311670329891968e-02,9.8953196588437509e-01,-8.7924492361290407e-02,9.7586023948550238e-01,-1.3812423985472383e-01
8.3306687935856900e+01,2.9408972286748668e-03,2.4093239576408344e-04,-9.1992405445758462e-04,-7.4004155545320064e-05,-4.9971808780199019e-04,-5.1891495289818917e-06,-9.1992405446392395e-04,-7.4004155649884886e-05,3.1556661120683391e-03,2.7592285959560862e-04,-9.1992405446392341e-04,-7.4004155649885184e-05,-4.9971808780199009e-04,-5.1891495289818934e-06,-9.1992405445758506e-04,-7.4004155545320403e-05,2.9408972286748660e-03,2.4093239576408382e-04,4.0430975503840074e+02,-3.7114022780004618e+01,1.5122833899923930e+02,-1.6649715883093076e+01,1.1514377098247456e+02,-1.6428774901234018e+01,1.5122833900037077e+02,-1.6649715864001372e+01,4.0253579361172478e+02,-3.7810948051888374e+01,1.5122833900037077e+02,-1.6649715864001351e+01,1.1514377098247456e+02,-1.6428774901234011e+01,1.5122833899923936e+02,-1.6649715883093069e+01,4.0430975503840097e+02,-3.7114022780004660e+01,2.4493648030003215e-08,2.0492919112834322e-08,4.6966396663583874e-08,2.8154449341668765e-07,2.8647763163886024e-07,4.5371003812296482e-07,1.0882358802930235e-03,1.1073036231945615e-03,1.7536963225339385e-03,9.8806976489943210e-01,-8.9821973399780639e-02,9.8919933930159931e-01,-9.1509188513228021e-02,9.7449764118041182e-01,-1.4339048748194694e-01
8.6732101296147491e+01,2.9435824450507529e-03,2.3415967173891629e-04,-9.2023751534837624e-04,-6.9139513732522455e-05,-4.9902311036074888e-04,-2.7095828832510073e-06,-9.2023751558084545e-04,-6.9139513835768290e-05,3.1587358664843398e-03,2.6730704470206962e-04,-9.2023751558084187e-04,-6.9139513835765119e-05,-4.9902311036074791e-04,-2.7095828832498007e-06,-9.2023751534837548e-04,-6.9139513732522671e-05,2.9435824450507438e-03,2.3415967173891439e-04,4.0380974065718323e+02,-3.6606392556140641e+01,1.5079127366382147e+02,-1.6945263727177565e+01,1.1470076908658127e+02,-1.6714192708608529e+01,1.5079127372351741e+02,-1.6945263728353879e+01,4.0202850768783679e+02,-3.7293741413265145e+01,1.5079127372351684e+02,-1.6945263728353982e+01,1.1470076908658119e+02,-1.6714192708608568e+01,1.5079127366382147e+02,-1.6945263727177650e+01,4.0380974065718448e+02,-3.6606392556140683e+01,2.4506884688544631e-08,2.0517693849852187e-08,4.8947091110845412e-08,2.9303483052880269e-07,2.9819772209065625e-07,4.7140782900748599e-07,1.0879157084882672e-03,1.1070833645011246e-03,1.7501400135817176e-03,9.8772646154364208e-01,-9.3476699857657330e-02,9.8883906383555675e-01,-9.5240877073540356e-02,9.7304389507564626e-01,-1.4884652563138714e-01
9.0298361171640849e+01,2.9461553217229306e-03,2.2767362630631962e-04,-9.2045303826050208e-04,-6.4413057916918814e-05,-4.9829266433912289e-04,-2.9243137442678347e-07,-9.2045303793520359e-04,-6.4413057956545956e-05,3.1616425348226940e-03,2.5903178556679007e-04,-9.2045303793520750e-04,-6.4413057956549954e-05,-4.9829266433912419e-04,-2.9243137442821956e-07,-9.2045303826050306e-04,-6.4413057916918855e-05,2.9461553217229415e-03,2.2767362630632214e-04,4.0330825131967117e+02,-3.6130272504797041e+01,1.5034787123419102e+02,-1.7241247509835219e+01,1.1425211890616954e+02,-1.6999476621911953e+01,1.5034787116022162e+02,-1.7241247477593372e+01,4.0151999390508445e+02,-3.6809121315967516e+01,1.5034787116022227e+02,-1.7241247477593241e+01,1.1425211890616963e+02,-1.6999476621911896e+01,1.5034787123419113e+02,-1.7241247509835112e+01,4.0330825131966981e+02,-3.6130272504797041e+01,2.4519561855979891e-08,2.0543454774213915e-08,5.1034691315869171e-08,3.0500244728587227e-07,3.1040348997279884e-07,4.8978656565133258e-07,1.0876253649761145e-03,1.1068852465799962e-03,1.7465574357429202e-03,9.8735487887747697e-01,-9.7281874886707032e-02,9.8844890716555733e-01,-9.9125701134657074e-02,9.7149273042796747e-01,-1.5449842391771826e-01
