omega,re_Hmin_0,im_Hmin_0,re_Hmin_1,im_Hmin_1,re_Hmin_2,im_Hmin_2
6.2831853071795853e+00,9.96938204795246197e-01,-1.63068610283452356e-03,9.97970313203763504e-01,-1.68405573911734876e-03,9.96708008569619830e-01,-1.82624117306929169e-03
6.7325543550282054e+00,9.96853000171336712e-01,-1.63869873237746473e-03,9.97930445442123948e-01,-1.74390988823603125e-03,9.96614017430327404e-01,-1.83922031565881454e-03
7.2140619649742437e+00,9.96766980161085114e-01,-1.64463357258311411e-03,9.97890774917925216e-01,-1.80794967839569562e-03,9.96518859250338895e-01,-1.85005589055661215e-03
7.7300066646502446e+00,9.96680302969669585e-01,-1.64838319478327914e-03,9.97851283962083890e-01,-1.87656234535154599e-03,9.96422680385695592e-01,-1.85861007190722726e-03
8.2828513707880944e+00,9.96593143209458465e-01,-1.64984848429877056e-03,9.97811941022640703e-01,-1.95015699472146859e-03,9.96325644205832694e-01,-1.86475000240485071e-03
8.8752351462132175e+00,9.96505691983675446e-01,-1.64894097897161276e-03,9.97772700102295462e-01,-2.02916407106659962e-03,9.96227931551664114e-01,-1.86835011406788530e-03
9.5099857976907742e+00,9.96418156665236920e-01,-1.64558540074403103e-03,9.97733500412017027e-01,-2.11403483923949548e-03,9.96129740985580825e-01,-1.86929471819082330e-03
1.0190133374761119e+01,9.96330760327492682e-01,-1.63972237058401631e-03,9.97694266242947880e-01,-2.20524096147498190e-03,9.96031288815665161e-01,-1.86748088288247842e-03
1.0918924634002583e+01,9.96243740788844256e-01,-1.63131126528887017e-03,9.97654907072321295e-01,-2.30327421665461754e-03,9.95932808884101406e-01,-1.86282158615215824e-03
1.1699838537768235e+01,9.96157349087634647e-01,-1.62033306194635674e-03,9.97615317680724978e-01,-2.40864649809531713e-03,9.95834551835270476e-01,-1.85524888703993661e-03
1.2536602861381589e+01,9.96071847513913200e-01,-1.60679323952140317e-03,9.97575378501942001e-01,-2.52189008477580242e-03,9.95736784105342498e-01,-1.84471736293575182e-03
1.3433211988067390e+01,9.95987507023106899e-01,-1.59072451043328067e-03,9.97534955969338166e-01,-2.64355827452869129e-03,9.95639786326003029e-01,-1.83120746798801776e-03
1.4393945976563458e+01,9.95904604056707443e-01,-1.57218931767382896e-03,9.97493902879401206e-01,-2.77422640613455857e-03,9.95543851147978054e-01,-1.81472880935375312e-03
1.5423390992434912e+01,9.95823416779718640e-01,-1.55128193815441771e-03,9.97452058748837134e-01,-2.91449326535741723e-03,9.95449280431580541e-01,-1.79532318684504869e-03
1.6526461200621817e+01,9.95744220767501464e-01,-1.52813005510748709e-03,9.97409250117303192e-01,-3.06498288540415359e-03,9.95356381748704666e-01,-1.77306726345967305e-03
1.7708422223726544e+01,9.95667284222111260e-01,-1.50289564260084902e-03,9.97365290767703305e-01,-3.22634670667682876e-03,9.95265464190465909e-01,-1.74807471034382159e-03
1.8974916278021656e+01,9.95592862851170546e-01,-1.47577501874042970e-03,9.97319981853182935e-01,-3.39926605739877038e-03,9.95176833529086258e-01,-1.72049766709831461e-03
2.0331989107167519e+01,9.95521194580891833e-01,-1.44699799068441753e-03,9.97273111899079967e-01,-3.58445497008249344e-03,9.95090786823132678e-01,-1.69052740347535972e-03
2.1786118842210715e+01,9.95452494267768495e-01,-1.41682573645531603e-03,9.97224456632312295e-01,-3.78266287479242166e-03,9.95007606561118640e-01,-1.65839377453250690e-03
2.3344246925629555e+01,9.95386948916307301e-01,-1.38554826999193539e-03,9.97173778928648558e-01,-3.99467841523456178e-03,9.94927554874475373e-01,-1.62436420273121430e-03
2.5013811247045702e+01,9.95324713043887366e-01,-1.35348002819214025e-03,9.97120828012009186e-01,-4.22133212361689228e-03,9.94850867292360053e-01,-1.58874066173307800e-03
2.6802781648779042e+01,9.95265905240878657e-01,-1.32095526479287552e-03,9.97065339079528101e-01,-4.46350023279553504e-03,9.94777747359982700e-01,-1.55185617818531969e-03
2.8719697970734991e+01,9.95210605566667295e-01,-1.28832245972606424e-03,9.97007032442197794e-01,-4.72210816759695978e-03,9.94708361662659302e-01,-1.51406996543706519e-03
3.0773710816235841e+01,9.95158854080719690e-01,-1.25593834188150386e-03,9.96945612342149734e-01,-4.99813418339323766e-03,9.94642835744817710e-01,-1.47576167910536474e-03
3.2974625233396047e+01,9.95110651111955291e-01,-1.22416183712262434e-03,9.96880766516873740e-01,-5.29261326383068109e-03,9.94581251733378413e-01,-1.43732500704592432e-03
3.5332947520558982e+01,9.95065957909216592e-01,-1.19334807591028359e-03,9.96812163713407640e-01,-5.60664078437766653e-03,9.94523646329230071e-01,-1.39916078036582577e-03
3.7859935379226158e+01,9.95024699380357980e-01,-1.16384300448444528e-03,9.96739452839281892e-01,-5.94137659604681602e-03,9.94470011261537779e-01,-1.36167008216130786e-03
4.0567651653889101e+01,9.94986767414136053e-01,-1.13597872615853190e-03,9.96662261007807082e-01,-6.29804910194772978e-03,9.94420294693121765e-01,-1.32524764141798805e-03
4.3469021915296487e+01,9.94952025082872393e-01,-1.11006976564591991e-03,9.96580191569422791e-01,-6.67795942907730561e-03,9.94374404055630046e-01,-1.29027580510666061e-03
4.6577896162036765e+01,9.94920311358707177e-01,-1.08641047964853042e-03,9.96492821930888728e-01,-7.08248580731040550e-03,9.94332210002182193e-01,-1.25711947682163004e-03
4.9909114934975015e+01,9.94891446065579221e-01,-1.06527355559746240e-03,9.96399701174637720e-01,-7.51308804388077511e-03,9.94293551206613224e-01,-1.22612212966168033e-03
5.3478580160148262e+01,9.94865234787999264e-01,-1.04690963597943096e-03,9.96300347454019630e-01,-7.97131219100781496e-03,9.94258239686260925e-01,-1.19760308749147781e-03
5.7303331058295718e+01,9.94841473508653262e-01,-1.03154794634551655e-03,9.96194245170209380e-01,-8.45879539090372071e-03,9.94226066332148273e-01,-1.17185608020634394e-03
6.1401625483385565e+01,9.94819952782719508e-01,-1.01939774263202360e-03,9.96080841909308234e-01,-8.97727085698619282e-03,9.94196806338863204e-01,-1.14914897811024472e-03
6.5793027078417055e+01,9.94800461319438334e-01,-1.01065051852853791e-03,9.95959545125156609e-01,-9.52857314380086903e-03,9.94170224276375247e-01,-1.12972469463579542e-03
7.0498498664544442e+01,9.94782788895050563e-01,-1.00548262401519914e-03,9.95829718555911847e-01,-1.01146435007462981e-02,9.94146078603307393e-01,-1.11380291506278650e-03
7.5540502309326968e+01,9.94766728564966174e-01,-1.00405828994685337e-03,9.95690678341039970e-01,-1.07375355290118858e-02,9.94124125478054732e-01,-1.10158262197683487e-03
8.0943106551789882e+01,9.94752078189253708e-01,-1.00653279397999729e-03,9.95541688822770832e-01,-1.13994210097312955e-02,9.94104121792829920e-01,-1.09324510272050882e-03
8.6732101296147420e+01,9.94738641310729865e-01,-1.01305563820225722e-03,9.95381958004459722e-01,-1.21025959092115609e-02,9.94085827405149725e-01,-1.08895724602495886e-03
9.2935120922645552e+01,9.94726227440556388e-01,-1.02377376092658776e-03,9.95210632622680169e-01,-1.28494867228950843e-02,9.94069006580337589e-01,-1.08887508137145428e-03
9.9581776203206161e+01,9.94714651826390961e-01,-1.03883448841259746e-03,9.95026792824917794e-01,-1.36426568857219779e-02,9.94053428701758501e-01,-1.09314719937599059e-03
1.0670379565158625e+02,9.94703734766645309e-01,-1.05838831600797018e-03,9.94829446400324779e-01,-1.44848134276795298e-02,9.94038868309186752e-01,-1.10191808193774166e-03
1.1433517698280319e+02,9.94693300528207924e-01,-1.08259158198488470e-03,9.94617522502702522e-01,-1.53788139892531636e-02,9.94025104532428649e-01,-1.11533135300673214e-03
1.2251234940483201e+02,9.94683175940193287e-01,-1.11160867401616237e-03,9.94389864872204488e-01,-1.63276737638735486e-02,9.94011920012133010e-01,-1.13353254878315046e-03
1.3127434751729254e+02,9.94673188698879773e-01,-1.14561416246181103e-03,9.94145224459479393e-01,-1.73345728583597578e-02,9.93999099363647609e-01,-1.15667176862076920e-03
1.4066299764724937e+02,9.94663165414703010e-01,-1.18479447954102785e-03,9.93882251417166129e-01,-1.84028635793311163e-02,9.93986427239957893e-01,-1.18490580321534839e-03
1.5072311751161968e+02,9.94652929465385305e-01,-1.22934956492098263e-03,9.93599486433566992e-01,-1.95360781568068090e-02,9.93973686079245411e-01,-1.21840014311364042e-03
1.6150273015929693e+02,9.94642298613348408e-01,-1.27949390263357166e-03,9.93295351291638373e-01,-2.07379361493858355e-02,9.93960653518300652e-01,-1.25733028351497633e-03
1.7305329321426640e+02,9.94631082485598172e-01,-1.33545762240728366e-03,9.92968138681712853e-01,-2.20123523573362220e-02,9.93947099586110383e-01,-1.30188298925237173e-03
1.8542994451403050e+02,9.94619079770105219e-01,-1.39748702976350003e-03,9.92616000997317727e-01,-2.33634443890017862e-02,9.93932783549772547e-01,-1.35225688180704018e-03
1.9869176531592197e+02,9.94606075405262802e-01,-1.46584484021457240e-03,9.92236938474854835e-01,-2.47955402602567099e-02,9.93917450700149696e-01,-1.40866261935605752e-03
2.1290206232775020e+02,9.94591837174596205e-01,-1.54081023459617938e-03,9.91828785616568620e-01,-2.63131859907532184e-02,9.93900828503148093e-01,-1.47132278272725514e-03
2.2812866990908441e+02,9.94576115518983839e-01,-1.62267843871032047e-03,9.91389202039900108e-01,-2.79211537738507376e-02,9.93882625919431884e-01,-1.54047116976673004e-03
2.4444427388576150e+02,9.94558632904982920e-01,-1.71175939456583159e-03,9.90915645474565232e-01,-2.96244466817902202e-02,9.93862522309465479e-01,-1.61635105303808979e-03
2.6192675852338226e+02,9.94539086607332701e-01,-1.80837666185523771e-03,9.90405365525152348e-01,-3.14283073188149353e-02,9.93840169667673190e-01,-1.69921354318094964e-03
2.8065957831611280e+02,9.94517044684965490e-01,-1.91286431353235309e-03,9.89855218557658789e-01,-3.33381979851127275e-02,9.93815088669661617e-01,-1.78931375155108596e-03
3.0073215636556068e+02,9.94492334263493594e-01,-2.02556716258649183e-03,9.89262302391418658e-01,-3.53599055218217634e-02,9.93787054119419477e-01,-1.88691040158890655e-03
3.2224031125143301e+02,9.94464454619673477e-01,-2.14683291888782823e-03,9.88622962050227372e-01,-3.74993985862337592e-02,9.93755510989772994e-01,-1.99225668256337862e-03
3.4528671443168543e+02,9.94432957291689679e-01,-2.27701056883887476e-03,9.87933408538938407e-01,-3.97629275750630284e-02,9.93719951800930312e-01,-2.10559767307243184e-03
3.6998138035561527e+02,9.94397353976350762e-01,-2.41644279985574195e-03,9.87189546089501047e-01,-4.21570030518062522e-02,9.93679824653468269e-01,-2.22716138194439806e-03
3.9644219162949975e+02,9.94357109194651811e-01,-2.56546210540004038e-03,9.86386939392263740e-01,-4.46883984166099035e-02,9.93634525608016017e-01,-2.35715329623770176e-03
