omega,re_Yc_0_0,im_Yc_0_0,re_Yc_0_1,im_Yc_0_1,re_Yc_0_2,im_Yc_0_2,re_Yc_1_0,im_Yc_1_0,re_Yc_1_1,im_Yc_1_1,re_Yc_1_2,im_Yc_1_2,re_Yc_2_0,im_Yc_2_0,re_Yc_2_1,im_Yc_2_1,re_Yc_2_2,im_Yc_2_2
6.2831853071795853e+00,7.6330406556425002e-04,5.6599965169667609e-04,-6.6608973940365161e-05,-1.1931125728070082e-04,-3.5724575439023660e-05,-8.7520235173603548e-05,-6.6383417829365472e-05,-1.2506684969769281e-04,7.6266614265737263e-04,5.7173037215973879e-04,-7.0047427925286191e-05,-1.2808352245793190e-04,-3.5688147961059909e-05,-8.8534203066405681e-05,-7.0230483131453284e-05,-1.2336527175841621e-04,7.6110429514578582e-04,5.6499997475268943e-04
6.7325543550282054e+00,7.9141637502452595e-04,5.7689627443928643e-04,-7.1061727455193241e-05,-1.2589763981077517e-04,-3.9124164189528252e-05,-9.2873208672140877e-05,-7.1023626551232772e-05,-1.3211650336640695e-04,7.9070228030498799e-04,5.8314266369011191e-04,-7.4800457593776729e-05,-1.3521710946263533e-04,-3.9122010511155357e-05,-9.3968819932615610e-05,-7.4830513409817996e-05,-1.3011950681366690e-04,7.8913667532009473e-04,5.7591688653187514e-04
7.2140619649742437e+00,8.2038217459072711e-04,5.8742501218658739e-04,-7.6012943266788073e-05,-1.3271245911686687e-04,-4.2975120952405014e-05,-9.8389383396012931e-05,-7.6200023747054950e-05,-1.3941247941550439e-04,8.1959443544756482e-04,5.9423904963843582e-04,-8.0091980695420653e-05,-1.4260075597715294e-04,-4.3014125347702302e-05,-9.9569653888954032e-05,-7.9938315622554601e-05,-1.3710909394180332e-04,8.1802113003533975e-04,5.8647123841383466e-04
7.7300066646502446e+00,8.5019924864835695e-04,5.9752902795887791e-04,-8.1505224519584415e-05,-1.3972497280447785e-04,-4.7313923815698119e-05,-1.0403361484869091e-04,-8.1958506580492835e-05,-1.4692124251686970e-04,8.4934325578823501e-04,6.0496806644820859e-04,-8.5968185232252823e-05,-1.5020144136895319e-04,-4.7401566316533370e-05,-1.0530101702675677e-04,-8.5597398163158396e-05,-1.4430326252857622e-04,8.4775569025788888e-04,5.9660670551792497e-04
8.2828513707880944e+00,8.8086243911355503e-04,6.0714798307011212e-04,-8.7579536358243040e-05,-1.4689729450905882e-04,-5.2174219884951209e-05,-1.0976376695681968e-04,-8.8343102096405323e-05,-1.5460154220949663e-04,8.7994734050227531e-04,6.1527512823290127e-04,-9.2473509035512181e-05,-1.5797845077882673e-04,-5.2318528709971619e-05,-1.1112012044678248e-04,-9.1849704784285262e-05,-1.5166400752195355e-04,8.7833550924679095e-04,6.0626350076376098e-04
8.8752351462132175e+00,9.1236316940418547e-04,6.1621764255476456e-04,-9.4274077023385783e-05,-1.5418426390318853e-04,-5.7585562646497208e-05,-1.1553078478994306e-04,-9.5394740660348132e-05,-1.6240429675968559e-04,9.1140295826896913e-04,6.2510204900110709e-04,-9.9649430739645172e-05,-1.6588323838451579e-04,-5.7795046901219248e-05,-1.1697714973490610e-04,-9.8734483329530526e-05,-1.5914594138744548e-04,9.0975240314976791e-04,6.1537797861342159e-04
9.5099857976907742e+00,9.4468876494868627e-04,6.2466947967757599e-04,-1.0162308713720872e-04,-1.6153349798592019e-04,-6.3572105562182551e-05,-1.2127899957758699e-04,-1.0314996818136844e-04,-1.7027267600515622e-04,9.4370357632639356e-04,6.3438651104597032e-04,-1.0753319713978845e-04,-1.7385948394942996e-04,-6.3855668092654432e-05,-1.2281557645900241e-04,-1.0628709011664599e-04,-1.6669632537759325e-04,9.4199419100623560e-04,6.2388223386811604e-04
1.0190133374761119e+01,9.7782153737754332e-04,6.3243034053161876e-04,-1.0965562738318098e-04,-1.6888563523833930e-04,-7.0151294762413479e-05,-1.2694668129354425e-04,-1.1163963081067735e-04,-1.7814239437771365e-04,9.7683915715487306e-04,6.4306152852794808e-04,-1.1615651918527382e-04,-1.8184335380865550e-04,-7.0518125782236560e-05,-1.2857272101239093e-04,-1.1453775947408217e-04,-1.7425529170830858e-04,9.7504380066810103e-04,6.3170375504392729e-04
1.0918924634002583e+01,1.0117376162377253e-03,6.3942224919428397e-04,-1.1839435371424961e-04,-1.7617478091933706e-04,-7.7332605986738393e-05,-1.3246684868550322e-04,-1.2088756433342831e-04,-1.8594222140076470e-04,1.0107951907722282e-03,6.5105497557298327e-04,-1.2554426719886479e-04,-1.8976397382468934e-04,-7.7792058811580446e-05,-1.3418057661944346e-04,-1.2351036664781239e-04,-1.8175626508427803e-04,1.0088781232627814e-03,6.3876521127347236e-04
1.1699838537768235e+01,1.0464055343169685e-03,6.4556244374928311e-04,-1.2785431951601995e-04,-1.8332915537290861e-04,-8.5116373759188139e-05,-1.3776833672372296e-04,-1.3090932033159040e-04,-1.9359470980102132e-04,1.0455514476190963e-03,6.5828926110820466e-04,-1.3571319567858521e-04,-1.9754411507286583e-04,-8.5677824669771232e-05,-1.3956689424537936e-04,-1.3322121246226918e-04,-1.8912658582862315e-04,1.0434666204501275e-03,6.4498446171328363e-04
1.2536602861381589e+01,1.0817846021803704e-03,6.5076374302551324e-04,-1.3804183167264632e-04,-1.9027194746147407e-04,-9.3492761512461046e-05,-1.4277711690117168e-04,-1.4171095804661198e-04,-2.0101714153494864e-04,1.0810804606759226e-03,6.6468124691920728e-04,-1.4667072477433490e-04,-2.0510109360368414e-04,-9.4165456383544946e-05,-1.4465652354873722e-04,-1.4367785544854996e-04,-1.9628833748240617e-04,1.0787697175440255e-03,6.5027488635791551e-04
1.3433211988067390e+01,1.1178231408660989e-03,6.5493534114527895e-04,-1.4895338807405044e-04,-1.9692237424667484e-04,-1.0244092378131682e-04,-1.4741785801674064e-04,-1.5328793098816083e-04,-2.0812269097117333e-04,1.1173457739890318e-03,6.7014251030317817e-04,-1.5841380564846126e-04,-2.1234788512749405e-04,-1.0323381468657504e-04,-1.4937299712955397e-04,-1.5487801769472121e-04,-2.0315938122555106e-04,1.1147370482906976e-03,6.5454613509783514e-04
1.4393945976563458e+01,1.1544566766313160e-03,6.5798411392942267e-04,-1.6057472605455515e-04,-2.0319694791320157e-04,-1.1192841365868328e-04,-1.5161570636806402e-04,-1.6562409893335349e-04,-2.1482180448836085e-04,1.1543000267418945e-03,6.7458004992656975e-04,-1.7092789866084553e-04,-2.1919445613822737e-04,-1.1284998919323193e-04,-1.5364033655245496e-04,-1.6680859271464368e-04,-2.0965459993794330e-04,1.1513056515785314e-03,6.5770537980078389e-04
1.5423390992434912e+01,1.1916062370317315e-03,6.5981649844008036e-04,-1.7288001641540526e-04,-2.0901095223823250e-04,-1.2191089169034906e-04,-1.5529825509250704e-04,-1.7869090108450580e-04,-2.2102379741619640e-04,1.1918829770165803e-03,6.7789752354775875e-04,-1.8418609873753017e-04,-2.2554931542361498e-04,-1.2296900527645821e-04,-1.5738504938662352e-04,-1.7944478908125285e-04,-2.1568735675184676e-04,1.1883982555318238e-03,6.5965913269412689e-04
1.6526461200621817e+01,1.2291769156647589e-03,6.6034096764946114e-04,-1.8583124526114428e-04,-2.1428012628947046e-04,-1.3233219306788100e-04,-1.5839765657825892e-04,-1.9244673391110553e-04,-2.2663866464084074e-04,1.2300196021920332e-03,6.7999708168023398e-04,-1.9814845068904496e-04,-2.3132128610220271e-04,-1.3353389402059521e-04,-1.6053827056028623e-04,-1.9274945179076504e-04,-2.2117116901096065e-04,1.2259218127589800e-03,6.6031565653308004e-04
1.7708422223726544e+01,1.2670568932320115e-03,6.5947107415259641e-04,-1.9937783524439604e-04,-2.1892254706280736e-04,-1.4312480802410887e-04,-1.6085281495816268e-04,-2.0683658699096412e-04,-2.3157909521013000e-04,1.2686184432826361e-03,6.8078182814814651e-04,-2.1276150800025583e-04,-2.3642149309200213e-04,-1.4447618064979711e-04,-1.6303798428601044e-04,-2.0667261365177518e-04,-2.2602159321052375e-04,1.2637664716415298e-03,6.5958794553140447e-04
1.8974916278021656e+01,1.3051171074763884e-03,6.5712897696235974e-04,-2.1345656682361574e-04,-2.2286068941689273e-04,-1.5421082196796247e-04,-1.6261157411186889e-04,-2.2179199964477165e-04,-2.3576266741390321e-04,1.3075703825259442e-03,6.8015889165670153e-04,-2.2795819951135685e-04,-2.4076554758594235e-04,-1.5571683839838221e-04,-1.6483124102263793e-04,-2.2115133937328623e-04,-2.3015830347469964e-04,1.3018051749319843e-03,6.5739719758977873e-04
2.0331989107167519e+01,1.3432117494804317e-03,6.5324929783119119e-04,-2.2799186595527640e-04,-2.2602362096904756e-04,-1.6550334460218438e-04,-1.6363279334349735e-04,-2.3723140729521811e-04,-2.3911417913188729e-04,1.3467480526731578e-03,6.7804303282168377e-04,-2.4365807638969245e-04,-2.4427588850290939e-04,-1.6716773734274772e-04,-1.6587626043568126e-04,-2.3610993255660380e-04,-2.3350732526764448e-04,1.3398940640556235e-03,6.5367663177519407e-04
2.1786118842210715e+01,1.3811797270021511e-03,6.4778310549065709e-04,-2.4289651941547053e-04,-2.2834927340220526e-04,-1.7690842828714485e-04,-1.6388819186820112e-04,-2.5306094095004297e-04,-2.4156805139701818e-04,1.3860060667588666e-03,6.7436066211316512e-04,-2.5976800812893872e-04,-2.4688422348550403e-04,-1.7873358843901047e-04,-1.6614430018165843e-04,-2.5146057216630761e-04,-2.3600336915870164e-04,1.3778738332625563e-03,6.4837545712840151e-04
2.3344246925629555e+01,1.4188471706451423e-03,6.4070171507457500e-04,-2.5807288214010020e-04,-2.2978667449578146e-04,-1.8832744323180110e-04,-1.6336380518226960e-04,-2.6917574655594897e-04,-2.4307068241875618e-04,1.4251822308894207e-03,6.6905402171032362e-04,-2.7618340243714930e-04,-2.4853394972376692e-04,-1.9031435003802322e-04,-1.6562113173626330e-04,-2.6710445077679891e-04,-2.3759215016521933e-04,1.4155721165389245e-03,6.4146268715841814e-04
2.5013811247045702e+01,1.4560309803027867e-03,6.3200006758416035e-04,-2.7341458981984263e-04,-2.3029805741090322e-04,-1.9965982216491640e-04,-1.6206095327272595e-04,-2.8546183682192820e-04,-2.4358266443867162e-04,1.4640998381347467e-03,6.6208533404952998e-04,-2.9278996997964305e-04,-2.4918246785118599e-04,-2.0180800853145326e-04,-1.6430802213968947e-04,-2.8293343529461277e-04,-2.3823260900537077e-04,1.4528069134748045e-03,6.3293056941494540e-04
2.6802781648779042e+01,1.4925433025841340e-03,6.2169930707546583e-04,-2.8880879007300945e-04,-2.2986066999675268e-04,-2.1080605274089641e-04,-1.5999657237536532e-04,-3.0179848813720713e-04,-2.4308067577226512e-04,1.5025710723526745e-03,6.5344053632540328e-04,-3.0946605754866364e-04,-2.4880319855944284e-04,-2.1311361009028067e-04,-1.6222207146237270e-04,-2.9883227327155059e-04,-2.3789885336862132e-04,1.4893909572158135e-03,6.2279724957309312e-04
2.8719697970734991e+01,1.5281967330310450e-03,6.0984831560955961e-04,-3.0413883250603109e-04,-2.2846815767681595e-04,-2.2167074553794508e-04,-1.5720285479750223e-04,-3.1806111797965823e-04,-2.4155891528556905e-04,1.5404014432053503e-03,6.4313231272081629e-04,-3.2608549410415483e-04,-2.4738716298980558e-04,-2.2413436936305400e-04,-1.5939584977570019e-04,-3.1468129227952483e-04,-2.3658168575843003e-04,1.5251368303015221e-03,6.1110842705197860e-04
