t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
0.0000000000000000e+00,2.8169132042006549e+05,-1.4084566021003269e+05,-1.4084566021003269e+05,2.7873029936255980e+05,-1.5718659183334332e+05,-1.2265787110354088e+05,1.0000000000000000e+00,4.7940109755128724e-01,5.6645666625154138e+02,2.3934888941571748e+08,0.0000000000000000e+00
5.0000000000000001e-04,2.6854243913046131e+05,-8.5808124938693203e+04,-1.7361310371044558e+05,2.7814209163656388e+05,-1.1094616969006756e+05,-1.6588112781371409e+05,1.0000089858504424e+00,2.2374943020837565e-01,2.2613163827086009e+02,1.0332058457403517e+08,7.9310144877722382e+02
1.0000000000000000e-03,2.0819903706132146e+05,-2.7576291329753432e+04,-1.9307082232502836e+05,1.9677315596093010e+05,-3.0369688012967359e+04,-1.6236438284688114e+05,1.0000159133605246e+00,5.4177624389159118e-01,5.6728241061265339e+02,2.2549286240493873e+08,1.6228328836296348e+02
1.5000000000000000e-03,2.5671543093652814e+05,1.4251600709555492e+04,-2.5433840843673123e+05,2.5191310923737369e+05,-1.1784928153528515e+04,-2.4466476521045802e+05,1.0000147441317402e+00,4.2709711542347822e-01,3.4712843344644784e+02,2.1986489276197204e+08,6.8382642217453383e+02
2.0000000000000000e-03,1.8392181794806302e+05,6.1319861734057064e+04,-2.6370433126061014e+05,2.0688857516675990e+05,5.1435512865805329e+04,-2.5613770985035287e+05,1.0000147967673023e+00,5.3865520970410319e-01,4.3690905655572101e+02,2.5796706458593968e+08,2.3454443845418965e+02
2.5000000000000001e-03,1.9077804107591975e+05,1.1500869138405866e+05,-2.8544258651314554e+05,1.9526133865172724e+05,8.7327786626992151e+04,-2.8812114869644755e+05,1.0000130085822196e+00,4.6466245270394951e-01,2.0798998890414046e+02,2.3788000819116220e+08,4.5211006578989935e+02
3.0000000000000001e-03,1.0039930030032092e+05,1.5691979470439436e+05,-2.7844184584322374e+05,1.3278922258457937e+05,1.4797579094722858e+05,-2.7919813052524434e+05,1.0000128136868642e+00,5.0621360339209009e-01,1.9703855369706326e+02,2.4757386788536656e+08,1.1426873887095576e+02
3.5000000000000001e-03,8.6775123477510555e+04,2.0570693453991812e+05,-2.7138626233341167e+05,9.2359273050893302e+04,1.8391829342623553e+05,-2.8239509792655316e+05,1.0000115848463658e+00,4.8594540464021341e-01,2.1956376824583206e+01,2.4350888582345775e+08,1.9408440110113509e+02
4.0000000000000001e-03,5.8727199307028561e+00,2.3147766780558272e+05,-2.5303540019023203e+05,3.3899686792379973e+04,2.2694565250884401e+05,-2.5962550512638767e+05,1.0000108768498495e+00,4.9392653952747656e-01,-2.8497658734650557e+01,2.4723188006392890e+08,-4.9675792015158464e+01
4.5000000000000005e-03,-2.2012678330674924e+04,2.6502847405546362e+05,-2.2257124869713211e+05,-1.4581706573293435e+04,2.5038226462966803e+05,-2.4165123403903740e+05,1.0000100335545126e+00,4.9059742364187880e-01,-1.6737827994764203e+02,2.4463417994963548e+08,-4.5375320050762873e+01
5.0000000000000001e-03,-1.0109299540925930e+05,2.7180357258524036e+05,-1.9136015853120523e+05,-6.7826156576850641e+04,2.7292226963934826e+05,-2.0365814705973043e+05,1.0000094869363618e+00,4.8206507103898216e-01,-2.3857778161695313e+02,2.4421107188524345e+08,-2.2775269741948279e+02
5.4999999999999997e-03,-1.2475443963843588e+05,2.8701086033234705e+05,-1.4322259639427334e+05,-1.1726724789733910e+05,2.7993182359493902e+05,-1.6772859059761735e+05,1.0000093381894319e+00,4.8390889179633167e-01,-3.4454431759171854e+02,2.4059024033961526e+08,-2.6058322265473009e+02
6.0000000000000001e-03,-1.9091137014813512e+05,2.7373718034178315e+05,-1.0195632922054635e+05,-1.6177857753989298e+05,2.8167582131717581e+05,-1.1800362007233858e+05,1.0000093302439930e+00,4.7206388859691339e-01,-4.1086203054223722e+02,2.3970389065928102e+08,-3.9074092590806538e+02
