t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,LineLumped_line_1_2_i12a,LineLumped_line_1_2_i12b,LineLumped_line_1_2_i12c
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.0000000000000001e-04,3.8362833022828656e+05,-1.5200659588493500e+05,-2.2607814936043165e+05,1.7506895985356561e+05,-7.7830979578657483e+04,-9.9879625434686939e+04,8.4740683477530933e+02,-3.9611559108958431e+02,-4.4057610039026292e+02
1.0000000000000000e-03,2.4039477233453494e+05,-5.0759965345704302e+04,-2.0698709031220819e+05,3.2821521309354424e+05,-1.1713394472907040e+05,-2.0410512565578913e+05,4.5645882984586848e+02,-6.0699075468907566e+01,-3.9420819355405860e+02
1.5000000000000000e-03,2.2698721669893878e+05,5.3819112011633888e+03,-2.0839064221381536e+05,3.0601787204053090e+05,-4.1764458122919408e+04,-2.6396244528352539e+05,6.3661148997522878e+02,-4.2187864507919976e+01,-5.9046399504606734e+02
2.0000000000000000e-03,2.8566439559754456e+05,3.3196060486558606e+04,-3.2813000867422234e+05,1.7873349652597416e+05,6.0139145324409663e+04,-2.4175689672552302e+05,2.8426870026399303e+02,2.3236960189243598e+02,-5.4322522402584286e+02
2.5000000000000001e-03,8.0915522661889365e+04,1.3466365497819849e+05,-2.3189247540978377e+05,2.0931180014839859e+05,7.7646217095803309e+04,-2.8606804237100121e+05,3.1036357498035568e+02,2.1174613061346582e+02,-5.1754992284801119e+02
3.0000000000000001e-03,1.9740838612895494e+05,1.3058716608751037e+05,-2.9298331004322571e+05,1.3806135691051689e+05,1.4369982474152130e+05,-2.8856890900227393e+05,3.3870523285403914e+02,3.0894160762732349e+02,-6.5921521240627919e+02
3.5000000000000001e-03,6.0600653322477381e+04,2.0591182804946593e+05,-3.0013675416550436e+05,9.3847242686180412e+04,1.7282091114127144e+05,-2.6664253609776607e+05,2.5259846590615226e+01,4.4893502645116337e+02,-4.9179970933535230e+02
4.0000000000000001e-03,2.3920391921171968e+03,2.2276502259655518e+05,-2.1342608091813696e+05,6.6332057955497177e+04,2.1741359003169931e+05,-2.8497317758397892e+05,1.2019769615924243e+02,4.3310864202646417e+02,-5.4399999757617866e+02
4.5000000000000005e-03,2.7085898711122285e+04,2.5972854215219090e+05,-2.7136491472605342e+05,-2.3088786892066946e+04,2.5172270831697527e+05,-2.3427022525279169e+05,-9.9499856241719712e+01,5.7137005216837440e+02,-4.9279793750530723e+02
