omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,1.8302179106769530e-03,4.0600176423708406e-04,-4.5364092211016963e-04,-1.6480246397599472e-04,-3.0994497168554467e-04,-9.6533246763236857e-05,-4.5364092211017039e-04,-1.6480246397599513e-04,1.8763126389967585e-03,4.4439176369858000e-04,-4.6766643157677355e-04,-1.7070992666855933e-04,-3.0994497168554489e-04,-9.6533246763237115e-05,-4.6766643157677322e-04,-1.7070992666855909e-04,1.8296091027546922e-03,4.0842017090435533e-04,7.1223639334858657e-01,0.0000000000000000e+00,-3.3999845026487785e-01,-2.6590676044012038e-02,5.8235444299258210e-01,6.9388939039072284e-18,-4.1268223167588457e-02,2.7173809526965737e-03,8.5280588969299864e-01,0.0000000000000000e+00,5.7224167794663827e-01,2.5114917670740713e-02,-7.0068809664364573e-01,6.7127348413933974e-03,-3.9445176590161940e-01,-2.8703808928973146e-02,5.7685176029287477e-01,3.7486404227917366e-03,7.1999506582948125e-01,-5.8253737665528247e-03,-3.7890939401104184e-01,2.6933353784307310e-03,6.1549512715465848e-01,2.5998307704987247e-02,-3.3782443893507777e-02,-1.0149195171895236e-03,8.2122900577768743e-01,2.8414966631693288e-02,5.2207594894329767e-01,-1.9666935408201861e-02,-6.9331249007288920e-01,9.1148030693252832e-04,-4.3339236619289356e-01,2.0313064785999228e-03,5.9500476473184971e-01,1.9860151763020865e-02,3.5162372570943890e-04,3.5352275517066238e-04,4.8543078043257714e-04,9.9457098161948854e-01,-2.1976801844740972e-02,9.9394306324426529e-01,-2.2081581929101802e-02,9.9562012912785836e-01,-3.0376347254998364e-02
6.5415379968575820e+01,1.8400258153492730e-03,3.9462032265716150e-04,-4.5833287158111288e-04,-1.5982733018977380e-04,-3.1231789965159817e-04,-9.2859099066469925e-05,-4.5833287158111299e-04,-1.5982733018977382e-04,1.8876570542244991e-03,4.3230188308967447e-04,-4.7255272674823901e-04,-1.6561821814147434e-04,-3.1231789965159812e-04,-9.2859099066469925e-05,-4.7255272674823901e-04,-1.6561821814147434e-04,1.8395295503492242e-03,3.9699941386467835e-04,7.1219812885087241e-01,-8.0666271617790830e-05,-3.3977498960117358e-01,-2.5720901213914599e-02,5.8247404039390072e-01,3.6367469209896974e-04,-4.1313214512333482e-02,2.4389097491248936e-03,8.5303639965223443e-01,6.1132812776187873e-04,5.7206530759952290e-01,2.4546195624320439e-02,-7.0072597865626363e-01,6.6476775180617509e-03,-3.9424637867379148e-01,-2.8101810104360969e-02,5.7692903928597294e-01,3.9384969116328106e-03,7.1996940969374024e-01,-5.8085773983292798e-03,-3.7872189546145618e-01,2.1940396469620951e-03,6.1565943014217173e-01,2.5390365395601043e-02,-3.3808860428057017e-02,-7.8038134734170772e-04,8.2131270946890078e-01,2.7980235110479833e-02,5.2168251958391165e-01,-1.8661231434728712e-02,-6.9333478643551361e-01,9.2044851598990156e-04,-4.3323089451159441e-01,1.7880871185234205e-03,5.9509893816730886e-01,1.9515798093736672e-02,3.5090738483702614e-04,3.5263038076399411e-04,4.8463525319494496e-04,9.9454044871132075e-01,-2.2833427937833162e-02,9.9390849568344974e-01,-2.2931002268043614e-02,9.9551461680844811e-01,-3.1570978491409780e-02
6.8105136602345354e+01,1.8493175249470861e-03,3.8335788935695052e-04,-4.6275368925094499e-04,-1.5484565923345038e-04,-3.1451065104642488e-04,-8.9227237590156768e-05,-4.6275368925094543e-04,-1.5484565923345041e-04,1.8984236714573576e-03,4.2027976380914730e-04,-4.7716013610710190e-04,-1.6051636462543082e-04,-3.1451065104642494e-04,-8.9227237590156836e-05,-4.7716013610710179e-04,-1.6051636462543074e-04,1.8489293853978207e-03,3.8569290603232624e-04,7.1216138995006573e-01,-1.5656077835143889e-04,-3.3957183264006591e-01,-2.4871322287547487e-02,5.8258458507554156e-01,7.1667536891984601e-04,-4.1353499656382436e-02,2.1630731417334823e-03,8.5324865947054662e-01,1.2049592845360668e-03,5.7190321299627822e-01,2.3994095164640655e-02,-7.0076240410980850e-01,6.5872847295335435e-03,-3.9405601370231197e-01,-2.7523064055757857e-02,5.7699972716563619e-01,4.1232052241017073e-03,7.1994444387098266e-01,-5.7951444773540256e-03,-3.7854959817972950e-01,1.7031326150282961e-03,6.1581145414158145e-01,2.4801660181454962e-02,-3.3831427821645652e-02,-5.4670929848725752e-04,8.2138942496581679e-01,2.7560241568641664e-02,5.2131862760147352e-01,-1.7683442868236622e-02,-6.9335696401310232e-01,9.2579860100565825e-04,-4.3307994116110032e-01,1.5554805780834781e-03,5.9518463617989337e-01,1.9182204826345563e-02,3.5024012404438813e-04,3.5179742685342402e-04,4.8384890514536751e-04,9.9450893041787547e-01,-2.3726672291778952e-02,9.9387316358293165e-01,-2.3816975144382968e-02,9.9540344072973885e-01,-3.2813005005035187e-02
7.0905490938862883e+01,1.8581104042007842e-03,3.7223548014056826e-04,-4.6690969073028932e-04,-1.4987219112724817e-04,-3.1653080674434530e-04,-8.5645068401921643e-05,-4.6690969073029007e-04,-1.4987219112724823e-04,1.9086277931428120e-03,4.0835241472966181e-04,-4.8149489865116955e-04,-1.5541970421482850e-04,-3.1653080674434508e-04,-8.5645068401922294e-05,-4.8149489865116982e-04,-1.5541970421482842e-04,1.8578257644714126e-03,3.7452214880615096e-04,7.1212597707083192e-01,-2.2771292986144276e-04,-3.3938763902127661e-01,-2.4041569555403222e-02,5.8268675573545270e-01,1.0591344611534936e-03,-4.1389285544897000e-02,1.8896151158012894e-03,8.5344399070732557e-01,1.7809929253248535e-03,5.7175434695746474e-01,2.3458450346104862e-02,-7.0079757151112287e-01,6.5315456550701090e-03,-3.9387938926252930e-01,-2.6967441792053667e-02,5.7706427473262734e-01,4.3027426829125512e-03,7.1992003140147010e-01,-5.7851054341265537e-03,-3.7839160234516583e-01,1.2205577005347296e-03,6.1595217364619448e-01,2.4231776366813146e-02,-3.3850267641591714e-02,-3.1366999041400860e-04,8.2145975475866251e-01,2.7154608987943866e-02,5.2098220808921125e-01,-1.6733471629136680e-02,-6.9337914812657186e-01,9.2750800341895464e-04,-4.3293868226279425e-01,1.3336694600884682e-03,5.9526248536112369e-01,1.8859203731336874e-02,3.4961894952788031e-04,3.5102048144019799e-04,4.8307112289059338e-04,9.9447624851032113e-01,-2.4658021307453894e-02,9.9383688219799693e-01,-2.4740993034229688e-02,9.9528624120939302e-01,-3.4104275989217267e-02
7.3820990546372755e+01,1.8664228862662698e-03,3.6127205642639708e-04,-4.7080813408081364e-04,-1.4492059972097984e-04,-3.1838615971212372e-04,-8.2119084719558928e-05,-4.7080813408081386e-04,-1.4492059972097973e-04,1.9182864491557447e-03,3.9654474212251262e-04,-4.8556425433555681e-04,-1.5034249449517287e-04,-3.1838615971212372e-04,-8.2119084719558941e-05,-4.8556425433555686e-04,-1.5034249449517290e-04,1.8662369675832612e-03,3.6350658788176642e-04,7.1209169713179443e-01,-2.9415590603174002e-04,-3.3922115987051044e-01,-2.3231185630867734e-02,5.8278119139291418e-01,1.3912197414733679e-03,-4.1420751779852216e-02,1.6182609136493869e-03,8.5362364073708918e-01,2.3396018961795439e-03,5.7161772280954637e-01,2.2939034893643354e-02,-7.0083167359650489e-01,6.4804464192730893e-03,-3.9371528643727527e-01,-2.6434753141059156e-02,5.7712310865892102e-01,4.4771158491708554e-03,7.1989603691261583e-01,-5.7784901120788460e-03,-3.7824706453130574e-01,7.4618873267984762e-04,6.1608249768201351e-01,2.3680259889289207e-02,-3.3865477969879591e-02,-8.1014021790264492e-05,8.2152425697316434e-01,2.6762940719369112e-02,5.2067130716070409e-01,-1.5811092591451730e-02,-6.9340146485559706e-01,9.2555280491042461e-04,-4.3280632391551460e-01,1.1227912431127304e-03,5.9533307091375842e-01,1.8546596132510532e-02,3.4904117336302448e-04,3.5029642326545160e-04,4.8230156855992839e-04,9.9444221892991935e-01,-2.5629032322618688e-02,9.9379946068144853e-01,-2.5704617596772637e-02,9.9516263632268132e-01,-3.5446729338743252e-02
7.6856369980520014e+01,1.8742736849237764e-03,3.5048448302856357e-04,-4.7445681726551172e-04,-1.4000336992443224e-04,-3.2008446082566516e-04,-7.8654943385709120e-05,-4.7445681726551177e-04,-1.4000336992443221e-04,1.9274175040403505e-03,3.8487931956492500e-04,-4.8937602891765259e-04,-1.4529777401215351e-04,-3.2008446082566516e-04,-7.8654943385709188e-05,-4.8937602891765248e-04,-1.4529777401215346e-04,1.8741816026242397e-03,3.5266355512495595e-04,7.1205836746138784e-01,-3.5591958396946621e-04,-3.3907122755906277e-01,-2.2439719397470873e-02,5.8286849100992411e-01,1.7130958343801461e-03,-4.1448055217944146e-02,1.3487478981588545e-03,8.5378878282561421e-01,2.8809657772999875e-03,5.7149241159151631e-01,2.2435622676618517e-02,-7.0086489297645671e-01,6.4339754685789619e-03,-3.9356254944421820e-01,-2.5924807950426537e-02,5.7717663271564512e-01,4.6463389814803413e-03,7.1987233078777291e-01,-5.7753282716995844e-03,-3.7811519674128469e-01,2.7988824078868657e-04,6.1620327322677293e-01,2.3146679899460995e-02,-3.3877139378151115e-02,1.5149748912068894e-04,8.2158345281245770e-01,2.6384862911631793e-02,5.2038408425644078e-01,-1.4916064482461432e-02,-6.9342403669053709e-01,9.1990843295691759e-04,-4.3268211008130131e-01,9.2296537992900838e-04,5.9539694308824687e-01,1.8244188916692015e-02,3.4850385172950887e-04,3.4962188825292357e-04,4.8153941060266381e-04,9.9440663763754655e-01,-2.6641295531146098e-02,9.9376068749301971e-01,-2.6709443369206973e-02,9.9503221583096557e-01,-3.6842338974460528e-02
8.0016558472918234e+01,1.8816823176520843e-03,3.3988768069678402e-04,-4.7786428888619420e-04,-1.3513193121839212e-04,-3.2163357693552658e-04,-7.5257469169537992e-05,-4.7786428888619371e-04,-1.3513193121839214e-04,1.9360402049239955e-03,3.7337665162306467e-04,-4.9293884950145730e-04,-1.4029750616940698e-04,-3.2163357693552723e-04,-7.5257469169537979e-05,-4.9293884950145708e-04,-1.4029750616940701e-04,1.8816791296572388e-03,3.4200843031587303e-04,7.1202580988677411e-01,-4.1303881031666545e-04,-3.3893677100422825e-01,-2.1666626295344618e-02,5.8294921419817702e-01,2.0249654104800285e-03,-4.1471321884338545e-02,1.0807907230184887e-03,8.5394051661865900e-01,3.4053398364449761e-03,5.7137754569029264e-01,2.1947924097331595e-02,-7.0089740878606310e-01,6.3921173006840637e-03,-3.9342008266098843e-01,-2.5437351726989091e-02,5.7722522606863147e-01,4.8104552369791220e-03,7.1984878274528086e-01,-5.7756490287920294e-03,-3.7799527128988381e-01,-1.7855228660443767e-04,6.1631528393771151e-01,2.2630560007791296e-02,-3.3885304934071096e-02,3.8412275306794110e-04,8.2163782042817723e-01,2.6019976279521413e-02,5.2011881069661059e-01,-1.4048015558484818e-02,-6.9344698942747884e-01,9.1054930806698639e-04,-4.3256531194605913e-01,7.3426768078828017e-04,5.9545461120297383e-01,1.7951756218845105e-02,3.4800449004657847e-04,3.4899394682009268e-04,4.8078431663257725e-04,9.9436929592622347e-01,-2.7696487404945874e-02,9.9372034623320860e-01,-2.7757148958939749e-02,9.9489454459813353e-01,-3.8293189019108879e-02
8.3306687935856900e+01,1.8886684216763920e-03,3.2949453631005745e-04,-4.8103950139176030e-04,-1.3031653149186406e-04,-3.2304125400166750e-04,-7.1930708719642215e-05,-4.8103950139176041e-04,-1.3031653149186411e-04,1.9441744194386025e-03,3.6205491853125962e-04,-4.9626178828990006e-04,-1.3535243870348078e-04,-3.2304125400166756e-04,-7.1930708719642188e-05,-4.9626178828989973e-04,-1.3535243870348081e-04,1.8887491713104254e-03,3.3155453749054737e-04,7.1199385220738631e-01,-4.6554364238875212e-04,-3.3881677675936811e-01,-2.0911368833328170e-02,5.8302389256054410e-01,2.3270260611559859e-03,-4.1490664460899808e-02,8.1411189910373608e-04,8.5407988601063267e-01,3.9129800294702421e-03,5.7127229927728695e-01,2.1475653403025451e-02,-7.0092939403263343e-01,6.3548606166928812e-03,-3.9328683641687978e-01,-2.4972137282688295e-02,5.7726924912684163e-01,4.9695125665679754e-03,7.1982526625082643e-01,-5.7794836358562489e-03,-3.7788660203718455e-01,-6.2934972420602183e-04,6.1641927243312122e-01,2.2131446901041914e-02,-3.3890017456014755e-02,6.1711409874062840e-04,8.2168781430549520e-01,2.5667902786838649e-02,5.1987384221840738e-01,-1.3206568621843629e-02,-6.9347044710622663e-01,8.9744714610204312e-04,-4.3245523124154484e-01,5.5676465027485410e-04,5.9550655816987708e-01,1.7669079033710046e-02,3.4754058543864225e-04,3.4840967677463215e-04,4.8003570715009821e-04,9.9432996417641861e-01,-2.8796340214383331e-02,9.9367819953084791e-01,-2.8849468659647982e-02,9.9474915401492803e-01,-3.9801421823158656e-02
8.6732101296147491e+01,1.8952517549256879e-03,3.1931633962109811e-04,-4.8399170599434818e-04,-1.2556646136855428e-04,-3.2431515012196557e-04,-6.8678092734373480e-05,-4.8399170599434818e-04,-1.2556646136855436e-04,1.9518405084050553e-03,3.5093044675670016e-04,-4.9935424665335717e-04,-1.3047233349584809e-04,-3.2431515012196563e-04,-6.8678092734373412e-05,-4.9935424665335706e-04,-1.3047233349584806e-04,1.8954115027491052e-03,3.2131358382023298e-04,7.1196232814773186e-01,-5.1346814882498315e-04,-3.3871033665355621e-01,-2.0173347075281289e-02,5.8309301428310223e-01,2.6195017465509285e-03,-4.1506159588344506e-02,5.4842137976836508e-04,8.5420785600588112e-01,4.4041965537661987e-03,5.7117591282124569e-01,2.1018480500147051e-02,-7.0096101710809866e-01,6.3221905948896845e-03,-3.9316182444457770e-01,-2.4528870780723397e-02,5.7730903675669298e-01,5.1235802117864104e-03,7.1980165441059707e-01,-5.7868619071294999e-03,-3.7778857079661593e-01,-1.0727713793095032e-03,6.1651591347478718e-01,2.1648858519455982e-02,-3.3891287941128105e-02,8.5073393555052247e-04,8.2173384498746271e-01,2.5328250017405966e-02,5.1964765728434081e-01,-1.2391251930432922e-02,-6.9349453701844033e-01,8.8057421143409567e-04,-4.3235119928039389e-01,3.9048773874057036e-04,5.9555322619856788e-01,1.7395916591577253e-02,3.4710983061891611e-04,3.4786634678479880e-04,4.7929322705690159e-04,9.9428840414424668e-01,-2.9942660843950857e-02,9.9363400106271238e-01,-2.9988209507157221e-02,9.9459554724374477e-01,-4.1369277500202951e-02
9.0298361171640849e+01,1.9014520088839065e-03,3.0936249625847446e-04,-4.8673040747510991e-04,-1.2088988498011007e-04,-3.2546274528284216e-04,-6.5502350733045468e-05,-4.8673040747510991e-04,-1.2088988498010991e-04,1.9590591846268021e-03,3.4001735819634863e-04,-5.0222591326606588e-04,-1.2566579032925846e-04,-3.2546274528284227e-04,-6.5502350733045577e-05,-5.0222591326606577e-04,-1.2566579032925846e-04,1.9016858687176924e-03,3.1129536770128772e-04,7.1193107541054901e-01,-5.5684276519823994e-04,-3.3861660131745214e-01,-1.9451961405347787e-02,5.8315704119144318e-01,2.9026144249394495e-03,-4.1517868276876521e-02,2.8343313031143616e-04,8.5432533900079066e-01,4.8793037025022246e-03,5.7108766706634340e-01,2.0576075228627044e-02,-7.0099244249072745e-01,6.2940957414877804e-03,-3.9304410182841742e-01,-2.4107261647853678e-02,5.7734490565358354e-01,5.2727324134351564e-03,7.1977782201552598e-01,-5.7978157214393922e-03,-3.7770060181128151e-01,-1.5090952285638616e-03,6.1660584396686424e-01,2.1182328404487215e-02,-3.3889114249510237e-02,1.0852420072306143e-03,8.2177630103165389e-01,2.5000640817742534e-02,5.1943881490987498e-01,-1.1601583095663129e-02,-6.9351938695140347e-01,8.5990038934188092e-04,-4.3225257383449345e-01,2.3545975104757215e-04,5.9559503233990319e-01,1.7132032085793433e-02,3.4670998823836538e-04,3.4736130972864830e-04,4.7855640635406741e-04,9.9424435709889258e-01,-3.1137323594027381e-02,9.9358748410601039e-01,-3.1175245467489104e-02,9.9443319066559510e-01,-4.2999069594521613e-02
