bus,kv,latitude,longitude,generator,load
1007,115.0,31.09348,-104.624514,0,1
1011,22.0,29.6,-104.3,0,1
1046,115.0,30.575618,-101.331239,0,1
1053,230.0,31.5839,-102.9633,0,0
1079,500.0,31.8403,-102.3264,1,0
1089,115.0,32.929648,-102.133506,0,1
2023,13.8,33.6968,-95.5577,1,0
2040,161.0,33.663063,-94.997258,0,1
2041,161.0,35.386038,-101.578572,0,0
2042,18.0,35.386038,-101.578572,0,1
2112,161.0,34.008308,-98.25932,0,1
3105,13.2,30.731599,-98.385422,1,0
3134,161.0,32.747058,-100.954661,0,0
4044,115.0,26.5575,-99.1642,0,0
4070,230.0,25.943923,-97.317944,0,0
4075,24.0,26.208,-98.3992,0,0
4180,115.0,27.777437,-97.114983,0,1
5013,161.0,31.842565,-98.805134,0,1
5397,115.0,32.7683,-99.4228,0,0
6093,115.0,29.690514,-98.401812,0,1
7204,500.0,29.6744,-94.9139,0,0
7294,115.0,29.506866,-94.520121,0,1
8010,115.0,31.235882,-96.22928,0,1
8084,161.0,31.1803,-96.4866,0,0
8093,115.0,33.241961,-94.857848,0,1
