case,bus,status,accepted_steps,jacobian_evals,residual_evals,linear_solver_setups,error_test_failures,nonlinear_iterations,nonlinear_convergence_failures,diagnostic
ACTIVSg200,1,ok,292,52,384,52,4,380,0,
ACTIVSg200,2,ok,311,51,420,51,4,416,0,
ACTIVSg200,3,ok,315,50,410,50,2,406,0,
ACTIVSg200,4,ok,315,50,412,50,2,408,0,
ACTIVSg200,5,ok,256,51,350,51,4,346,2,
ACTIVSg200,6,ok,250,54,343,54,5,339,3,
ACTIVSg200,7,ok,301,53,400,53,5,396,0,
ACTIVSg200,8,ok,299,53,400,53,4,396,0,
ACTIVSg200,9,ok,292,52,381,52,4,377,0,
ACTIVSg200,10,ok,298,54,396,54,5,392,0,
ACTIVSg200,11,ok,298,50,366,50,3,362,0,
ACTIVSg200,12,ok,302,50,373,50,2,369,0,
ACTIVSg200,13,ok,302,50,373,50,2,369,0,
ACTIVSg200,14,ok,291,52,373,52,2,369,0,
ACTIVSg200,15,ok,304,45,390,45,2,386,0,
ACTIVSg200,16,ok,306,46,384,46,4,380,0,
ACTIVSg200,17,ok,258,51,336,51,4,332,0,
ACTIVSg200,18,ok,280,53,360,53,4,356,0,
ACTIVSg200,19,ok,245,52,319,52,4,315,0,
ACTIVSg200,20,ok,277,52,359,52,4,355,0,
ACTIVSg200,21,ok,280,53,360,53,4,356,0,
ACTIVSg200,22,ok,308,47,389,47,3,385,0,
ACTIVSg200,23,ok,326,49,414,49,2,410,0,
ACTIVSg200,24,ok,326,49,414,49,2,410,0,
ACTIVSg200,25,ok,281,49,367,49,2,363,0,
ACTIVSg200,26,ok,273,49,357,49,2,353,0,
ACTIVSg200,27,ok,340,48,447,48,2,443,0,
ACTIVSg200,28,ok,318,50,411,50,2,407,0,
ACTIVSg200,29,ok,292,52,388,52,5,384,0,
ACTIVSg200,30,ok,277,55,375,55,4,371,0,
ACTIVSg200,31,ok,280,52,370,52,5,366,0,
ACTIVSg200,32,ok,299,54,399,54,6,395,0,
ACTIVSg200,33,ok,299,54,399,54,6,395,0,
ACTIVSg200,34,ok,326,50,407,50,2,403,0,
ACTIVSg200,35,ok,320,48,399,48,3,395,0,
ACTIVSg200,36,ok,292,50,374,50,4,370,0,
ACTIVSg200,37,ok,303,50,397,50,4,393,0,
ACTIVSg200,38,ok,295,50,384,50,4,380,0,
ACTIVSg200,39,ok,293,45,372,45,2,368,0,
ACTIVSg200,40,ok,303,46,385,46,3,381,0,
ACTIVSg200,41,ok,306,50,401,50,4,397,0,
ACTIVSg200,42,ok,337,47,440,47,4,436,0,
ACTIVSg200,43,ok,265,54,351,54,4,347,0,
ACTIVSg200,44,ok,300,46,380,46,2,376,0,
ACTIVSg200,45,ok,272,50,357,50,2,353,0,
ACTIVSg200,46,ok,265,50,342,50,3,338,0,
ACTIVSg200,47,ok,357,53,457,53,4,453,0,
ACTIVSg200,48,ok,340,60,451,60,5,447,5,
ACTIVSg200,49,ok,292,56,393,56,5,389,1,
ACTIVSg200,50,ok,224,52,299,52,6,295,1,
ACTIVSg200,51,ok,247,53,332,53,7,328,1,
ACTIVSg200,52,ok,314,55,438,55,6,434,2,
ACTIVSg200,53,ok,323,55,432,55,6,428,2,
ACTIVSg200,54,ok,325,54,418,54,4,414,0,
ACTIVSg200,55,ok,293,51,390,51,4,386,0,
ACTIVSg200,56,ok,273,50,360,50,2,356,0,
ACTIVSg200,57,ok,294,50,366,50,2,362,0,
ACTIVSg200,58,ok,289,48,399,48,2,395,0,
ACTIVSg200,59,ok,265,52,342,52,4,338,0,
ACTIVSg200,60,ok,278,52,360,52,4,356,0,
ACTIVSg200,61,ok,261,50,337,50,2,333,0,
ACTIVSg200,62,ok,289,51,365,51,2,361,0,
ACTIVSg200,63,ok,321,49,434,49,2,430,0,
ACTIVSg200,64,ok,276,52,361,52,2,357,0,
ACTIVSg200,65,ok,220,49,292,49,1,288,0,
ACTIVSg200,66,ok,342,51,442,51,2,438,0,
ACTIVSg200,67,ok,312,56,407,56,5,403,0,
ACTIVSg200,68,ok,313,56,447,56,5,443,2,
ACTIVSg200,69,ok,338,51,432,51,5,428,0,
ACTIVSg200,70,ok,364,58,473,58,4,469,2,
ACTIVSg200,71,ok,339,57,445,57,4,441,3,
ACTIVSg200,72,ok,298,51,378,51,7,374,0,
ACTIVSg200,73,ok,330,46,413,46,2,409,0,
ACTIVSg200,74,ok,282,62,396,62,5,392,7,
ACTIVSg200,75,ok,286,55,370,55,6,366,0,
ACTIVSg200,76,ok,313,66,429,66,4,425,6,
ACTIVSg200,77,ok,278,66,383,66,6,379,3,
ACTIVSg200,78,ok,302,54,400,54,5,396,0,
ACTIVSg200,79,ok,271,53,362,53,5,358,0,
ACTIVSg200,80,ok,271,53,372,53,5,368,0,
ACTIVSg200,81,ok,294,55,401,55,5,397,0,
ACTIVSg200,82,ok,269,52,355,52,4,351,0,
ACTIVSg200,83,ok,273,56,370,56,7,366,0,
ACTIVSg200,84,ok,292,49,379,49,2,375,0,
ACTIVSg200,85,ok,282,49,362,49,2,358,0,
ACTIVSg200,86,ok,276,50,379,50,4,375,0,
ACTIVSg200,87,ok,300,53,386,53,3,382,0,
ACTIVSg200,88,ok,279,51,345,51,2,341,0,
ACTIVSg200,89,ok,262,46,331,46,1,327,0,
ACTIVSg200,90,ok,229,60,321,60,5,317,3,
ACTIVSg200,91,ok,254,64,364,64,3,360,6,
ACTIVSg200,92,ok,250,44,331,44,1,327,0,
ACTIVSg200,93,ok,291,56,385,56,6,381,3,
ACTIVSg200,94,ok,358,55,491,55,6,487,1,
ACTIVSg200,95,ok,275,47,348,47,0,344,0,
ACTIVSg200,96,ok,260,53,338,53,4,334,0,
ACTIVSg200,97,ok,291,52,385,52,4,381,0,
ACTIVSg200,98,ok,285,53,375,53,4,371,0,
ACTIVSg200,99,ok,298,52,393,52,4,389,0,
ACTIVSg200,100,ok,275,46,353,46,2,349,0,
ACTIVSg200,101,ok,291,52,374,52,4,370,0,
ACTIVSg200,102,ok,270,51,357,51,4,353,0,
ACTIVSg200,103,ok,285,49,377,49,2,373,0,
ACTIVSg200,104,ok,244,55,321,55,4,317,0,
ACTIVSg200,105,ok,294,48,382,48,2,378,0,
ACTIVSg200,106,ok,276,52,360,52,4,356,0,
ACTIVSg200,107,ok,292,50,383,50,4,379,0,
ACTIVSg200,108,ok,283,55,365,55,5,361,0,
ACTIVSg200,109,ok,258,52,337,52,5,333,0,
ACTIVSg200,110,ok,308,50,415,50,6,411,0,
ACTIVSg200,111,ok,263,47,341,47,4,337,0,
ACTIVSg200,112,ok,290,47,368,47,4,364,0,
ACTIVSg200,113,ok,283,53,370,53,4,366,0,
ACTIVSg200,114,ok,281,61,393,61,5,389,2,
ACTIVSg200,115,ok,255,49,329,49,3,325,0,
ACTIVSg200,116,ok,284,52,372,52,4,368,0,
ACTIVSg200,117,ok,277,52,368,52,4,364,0,
ACTIVSg200,118,ok,299,49,378,49,2,374,0,
ACTIVSg200,119,ok,269,52,347,52,4,343,0,
ACTIVSg200,120,ok,302,53,397,53,4,393,0,
ACTIVSg200,121,ok,273,54,355,54,5,351,0,
ACTIVSg200,122,ok,262,53,345,53,4,341,0,
ACTIVSg200,123,ok,292,46,369,46,2,365,0,
ACTIVSg200,124,ok,310,53,424,53,5,420,0,
ACTIVSg200,125,ok,303,56,405,56,8,401,1,
ACTIVSg200,126,ok,259,50,321,50,2,317,0,
ACTIVSg200,127,ok,274,46,362,46,3,358,0,
ACTIVSg200,128,ok,271,45,349,45,3,345,0,
ACTIVSg200,129,ok,298,48,387,48,4,383,0,
ACTIVSg200,130,ok,274,51,361,51,4,357,0,
ACTIVSg200,131,ok,280,52,365,52,4,361,0,
ACTIVSg200,132,ok,302,53,400,53,4,396,0,
ACTIVSg200,133,ok,301,54,393,54,5,389,0,
ACTIVSg200,134,ok,275,52,353,52,4,349,0,
ACTIVSg200,135,ok,311,47,395,47,5,391,0,
ACTIVSg200,136,ok,293,48,376,48,1,372,0,
ACTIVSg200,137,ok,326,50,424,50,2,420,0,
ACTIVSg200,138,ok,273,55,364,55,4,360,0,
ACTIVSg200,139,ok,261,52,341,52,4,337,0,
ACTIVSg200,140,ok,302,52,404,52,4,400,0,
ACTIVSg200,141,ok,290,52,378,52,4,374,0,
ACTIVSg200,142,ok,294,53,393,53,4,389,0,
ACTIVSg200,143,ok,273,54,359,54,4,355,0,
ACTIVSg200,144,ok,273,53,355,53,5,351,0,
ACTIVSg200,145,ok,321,49,405,49,3,401,0,
ACTIVSg200,146,ok,261,52,337,52,4,333,0,
ACTIVSg200,147,ok,281,56,372,56,3,368,3,
ACTIVSg200,148,ok,293,51,382,51,5,378,0,
ACTIVSg200,149,ok,301,52,373,52,3,369,0,
ACTIVSg200,150,ok,286,51,355,51,2,351,0,
ACTIVSg200,151,ok,339,57,461,57,4,457,4,
ACTIVSg200,152,ok,306,63,410,63,4,406,4,
ACTIVSg200,153,ok,274,50,356,50,4,352,0,
ACTIVSg200,154,ok,312,46,400,46,1,396,0,
ACTIVSg200,155,ok,273,50,343,50,2,339,0,
ACTIVSg200,156,ok,299,52,389,52,4,385,0,
ACTIVSg200,157,ok,292,47,377,47,3,373,0,
ACTIVSg200,158,ok,336,53,430,53,4,426,0,
ACTIVSg200,159,ok,308,50,405,50,3,401,0,
ACTIVSg200,160,ok,299,53,397,53,4,393,0,
ACTIVSg200,161,ok,294,50,380,50,4,376,0,
ACTIVSg200,162,ok,275,52,353,52,4,349,0,
ACTIVSg200,163,ok,285,49,365,49,2,361,0,
ACTIVSg200,164,ok,256,49,316,49,0,312,0,
ACTIVSg200,165,ok,266,56,357,56,5,353,0,
ACTIVSg200,166,ok,265,51,347,51,4,343,0,
ACTIVSg200,167,ok,266,53,349,53,3,345,1,
ACTIVSg200,168,ok,285,49,370,49,3,366,0,
ACTIVSg200,169,ok,256,50,339,50,4,335,0,
ACTIVSg200,170,ok,263,61,356,61,4,352,4,
ACTIVSg200,171,ok,281,48,350,48,1,346,0,
ACTIVSg200,172,ok,277,49,356,49,2,352,0,
ACTIVSg200,173,ok,256,48,329,48,2,325,0,
ACTIVSg200,174,ok,292,49,370,49,2,366,0,
ACTIVSg200,175,ok,246,48,315,48,3,311,0,
ACTIVSg200,176,ok,338,51,448,51,3,444,0,
ACTIVSg200,177,ok,268,53,355,53,4,351,0,
ACTIVSg200,178,ok,245,55,325,55,4,321,0,
ACTIVSg200,179,ok,271,51,353,51,3,349,0,
ACTIVSg200,180,ok,265,47,350,47,2,346,0,
ACTIVSg200,181,ok,283,53,364,53,4,360,0,
ACTIVSg200,182,ok,313,53,420,53,4,416,2,
ACTIVSg200,183,ok,323,55,411,55,4,407,1,
ACTIVSg200,184,ok,278,49,336,49,2,332,0,
ACTIVSg200,185,ok,297,50,392,50,4,388,0,
ACTIVSg200,186,ok,281,52,362,52,4,358,0,
ACTIVSg200,187,ok,269,50,347,50,2,343,0,
ACTIVSg200,188,ok,267,49,348,49,2,344,0,
ACTIVSg200,189,ok,265,48,335,48,2,331,0,
ACTIVSg200,190,ok,293,49,390,49,4,386,2,
ACTIVSg200,191,ok,282,46,348,46,1,344,0,
ACTIVSg200,192,ok,313,49,414,49,3,410,0,
ACTIVSg200,193,ok,289,52,382,52,4,378,0,
ACTIVSg200,194,ok,280,49,346,49,2,342,0,
ACTIVSg200,195,ok,258,44,328,44,2,324,0,
ACTIVSg200,196,ok,257,54,344,54,5,340,0,
ACTIVSg200,197,ok,299,56,401,56,5,397,1,
ACTIVSg200,198,ok,275,48,352,48,3,348,0,
ACTIVSg200,199,ok,229,48,293,48,3,289,0,
ACTIVSg200,200,ok,305,52,417,52,3,413,0,
ACTIVSg2000,1001,ok,1105,229,1852,229,73,1848,51,
ACTIVSg2000,1002,ok,948,203,1574,203,45,1570,56,
ACTIVSg2000,1003,ok,902,156,1476,156,49,1472,40,
ACTIVSg2000,1004,ok,921,157,1418,157,35,1414,35,
ACTIVSg2000,1005,ok,1082,247,1842,247,70,1838,59,
ACTIVSg2000,1006,ok,1035,180,1645,180,43,1641,50,
ACTIVSg2000,1007,ok,1027,261,1739,261,52,1735,72,
ACTIVSg2000,1008,ok,1006,207,1683,207,42,1679,62,
