segment,phase,t,h,accepted_steps,residual_evals,jacobian_evals,error_test_failures
0,init,0,0,0,2,2,0
0,step,4.1666666666666669e-06,4.1666666666666669e-06,1,3,3,0
0,step,8.3333333333333337e-06,4.1666666666666669e-06,2,4,3,0
0,step,1.6666666666666667e-05,8.3333333333333337e-06,3,5,3,0
0,step,3.3333333333333335e-05,1.6666666666666667e-05,4,6,4,0
0,step,6.666666666666667e-05,3.3333333333333335e-05,5,7,5,0
0,step,0.00013333333333333334,6.666666666666667e-05,6,8,6,0
0,step,0.00026666666666666668,0.00013333333333333334,7,9,7,0
0,step,0.00053333333333333336,0.00026666666666666668,8,10,8,0
0,step,0.0010666666666666667,0.00053333333333333336,9,11,9,0
0,step,0.0021333333333333334,0.0010666666666666667,10,12,10,0
0,step,0.0042666666666666669,0.0021333333333333334,11,13,11,0
0,step,0.0085333333333333337,0.0042666666666666669,12,14,12,0
0,step,0.017066666666666667,0.0085333333333333337,13,15,13,0
0,step,0.034133333333333335,0.017066666666666667,14,16,14,0
0,step,0.06826666666666667,0.034133333333333335,15,17,15,0
0,step,0.13653333333333334,0.06826666666666667,16,18,16,0
0,step,0.27306666666666668,0.13653333333333334,17,19,17,0
0,step,0.54613333333333336,0.27306666666666668,18,20,18,0
0,step,1.0922666666666667,0.54613333333333336,19,21,19,0
0,end,1,0,19,21,19,0
1,init,1,0,0,7,2,0
1,step,1.0000041666666666,4.1666666666666516e-06,1,9,3,0
1,step,1.0000083333333332,4.1666666666666516e-06,2,10,3,0
1,step,1.0000166666666666,8.3333333333333032e-06,3,12,3,0
1,step,1.0000333333333333,1.6666666666666606e-05,4,13,4,0
1,step,1.0000666666666667,3.3333333333333213e-05,5,15,5,0
1,step,1.0000966666666666,2.9999999999999892e-05,6,17,5,0
1,step,1.0001266666666666,2.9999999999999892e-05,7,19,5,0
1,step,1.0001866666666666,5.9999999999999785e-05,8,21,6,0
1,step,1.0002466666666665,5.9999999999999785e-05,9,22,6,0
1,step,1.0003666666666664,0.00011999999999999957,10,24,7,0
1,step,1.0004866666666663,0.00011999999999999957,11,25,7,0
1,step,1.0007266666666663,0.00023999999999999914,12,27,8,0
1,step,1.0009426666666663,0.00021599999999999923,13,29,8,0
1,step,1.0011586666666663,0.00021599999999999923,14,30,8,0
1,step,1.0013746666666663,0.00021599999999999923,15,31,8,0
1,step,1.0015906666666663,0.00021599999999999923,16,32,8,0
1,step,1.0020226666666663,0.00043199999999999847,17,34,8,0
1,step,1.0024114666666664,0.00038879999999999861,18,36,8,0
1,step,1.0028190175821323,0.00040755091546602331,19,40,9,1
1,step,1.0031858134060518,0.00036679582391942097,20,42,10,1
1,step,1.0035526092299714,0.00036679582391942097,21,43,10,1
1,step,1.0039194050538909,0.00036679582391942097,22,44,10,1
1,step,1.0042862008778104,0.00036679582391942097,23,45,10,1
1,step,1.0050197925256492,0.00073359164783884194,24,47,10,1
1,step,1.005753384173488,0.00073359164783884194,25,49,11,1
1,step,1.0064869758213268,0.00073359164783884194,26,51,11,1
1,step,1.0072205674691657,0.00073359164783884194,27,52,11,1
1,step,1.0074039653811253,0.00018339791195971049,28,60,13,1
1,step,1.0074956643371051,9.1698955979855243e-05,29,64,15,1
