case,mu,signal,series,samples,relative_max_error,relative_l2_error,absolute_max_error,absolute_l2_error,max_error_time,wall_seconds,status,notes
ACTIVSg200,10,omega,40,2403,5.176711863430e-02,5.331502847123e-02,5.536976842827e-04,6.504337973212e-03,1.458333333333e+00,0.165055,ok,
ACTIVSg200,10,p,40,2403,9.606680161644e-03,2.054162883210e-03,5.766570582853e-02,5.731102372745e-01,1.620833333333e+00,0.165055,ok,
ACTIVSg200,10,q,40,2403,1.256861533727e-02,1.209095306565e-02,4.494261968989e-02,4.352053280200e-01,1.504166666667e+00,0.165055,ok,
ACTIVSg200,10,vmag,200,2403,1.080856166082e-02,2.150194823637e-03,1.193032066679e-02,1.108842246089e-01,1.483333333333e+00,0.165055,ok,
ACTIVSg200,11.9378,omega,40,2403,4.531850387151e-02,4.643365216545e-02,4.847237263884e-04,5.664822390137e-03,1.458333333333e+00,0.168420,ok,
ACTIVSg200,11.9378,p,40,2403,8.353641959873e-03,1.799741194027e-03,5.014413426380e-02,5.021267355050e-01,1.620833333333e+00,0.168420,ok,
ACTIVSg200,11.9378,q,40,2403,1.107089893910e-02,1.070155606741e-02,3.958711340064e-02,3.851949629904e-01,1.504166666667e+00,0.168420,ok,
ACTIVSg200,11.9378,vmag,200,2403,9.548118578795e-03,1.911292475101e-03,1.053906338181e-02,9.856417742832e-02,1.483333333333e+00,0.168420,ok,
ACTIVSg200,14.251,omega,40,2403,3.957654106182e-02,4.048791292838e-02,4.233080711455e-04,4.939452853491e-03,1.458333333333e+00,0.167249,ok,
ACTIVSg200,14.251,p,40,2403,7.240102289699e-03,1.577794482927e-03,4.345992598704e-02,4.402037335362e-01,1.620833333333e+00,0.167249,ok,
ACTIVSg200,14.251,q,40,2403,9.688996110903e-03,9.427819512377e-03,3.464573110914e-02,3.393477140403e-01,1.504166666667e+00,0.167249,ok,
ACTIVSg200,14.251,vmag,200,2403,8.390161639417e-03,1.690728589114e-03,9.260928692050e-03,8.718983348257e-02,1.483333333333e+00,0.167249,ok,
ACTIVSg200,17.0125,omega,40,2403,3.446030667410e-02,3.533359665871e-02,3.685851658059e-04,4.310635501233e-03,1.458333333333e+00,0.164147,ok,
ACTIVSg200,17.0125,p,40,2403,6.255491329554e-03,1.384728675731e-03,3.754963387490e-02,3.863384867848e-01,1.620833333333e+00,0.164147,ok,
ACTIVSg200,17.0125,q,40,2403,8.430175726945e-03,8.261742571400e-03,3.014446472012e-02,2.973755969674e-01,1.504166666667e+00,0.164147,ok,
ACTIVSg200,17.0125,vmag,200,2403,7.333462340300e-03,1.488074135455e-03,8.094560595864e-03,7.673906794706e-02,1.483333333333e+00,0.164147,ok,
ACTIVSg200,20.3092,omega,40,2403,2.991368919233e-02,3.084391897913e-02,3.199548452977e-04,3.762902866438e-03,1.458333333333e+00,0.164216,ok,
ACTIVSg200,20.3092,p,40,2403,5.390110962127e-03,1.216353813907e-03,3.235504335474e-02,3.393619992824e-01,1.620833333333e+00,0.164216,ok,
ACTIVSg200,20.3092,q,40,2403,7.300654150632e-03,7.203595834032e-03,2.610554258960e-02,2.592883514517e-01,1.504166666667e+00,0.164216,ok,
ACTIVSg200,20.3092,vmag,200,2403,6.379427365160e-03,1.302820226672e-03,7.041511768654e-03,6.718563780885e-02,1.483333333333e+00,0.164216,ok,
ACTIVSg200,24.2446,omega,40,2403,2.589347898760e-02,2.691698209259e-02,2.769549422818e-04,3.283823600386e-03,1.458333333333e+00,0.166020,ok,
ACTIVSg200,24.2446,p,40,2403,4.636012798196e-03,1.069566112077e-03,2.782844288972e-02,2.984083167326e-01,1.620833333333e+00,0.166020,ok,
ACTIVSg200,24.2446,q,40,2403,6.310018916103e-03,6.254708411669e-03,2.256324764285e-02,2.251338179206e-01,1.520833333333e+00,0.166020,ok,
ACTIVSg200,24.2446,vmag,200,2403,5.528275103766e-03,1.135347621386e-03,6.102023265618e-03,5.854917855581e-02,1.483333333333e+00,0.166020,ok,
ACTIVSg200,28.9427,omega,40,2403,2.236235145761e-02,2.348036858268e-02,2.391862352754e-04,2.864562907993e-03,1.462500000000e+00,0.167792,ok,
ACTIVSg200,28.9427,p,40,2403,3.982968140125e-03,9.419155619981e-04,2.390843300997e-02,2.627938882752e-01,1.620833333333e+00,0.167792,ok,
ACTIVSg200,28.9427,q,40,2403,5.444666938202e-03,5.415114637485e-03,1.946893822235e-02,1.949132321725e-01,1.520833333333e+00,0.167792,ok,
ACTIVSg200,28.9427,vmag,200,2403,4.778908065493e-03,9.859023170856e-04,5.274883693834e-03,5.084237612721e-02,1.491666666667e+00,0.167792,ok,
ACTIVSg200,34.5511,omega,40,2403,1.927956031717e-02,2.046464704447e-02,2.062129047015e-04,2.496650282228e-03,1.462500000000e+00,0.167969,ok,
ACTIVSg200,34.5511,p,40,2403,3.419860782698e-03,8.308437898203e-04,2.052828683284e-02,2.318049291096e-01,1.620833333333e+00,0.167969,ok,
ACTIVSg200,34.5511,q,40,2403,4.690733090360e-03,4.679346627310e-03,1.677303566780e-02,1.684297815730e-01,1.520833333333e+00,0.167969,ok,
ACTIVSg200,34.5511,vmag,200,2403,4.124747459875e-03,8.539165733907e-04,4.552831487675e-03,4.403595250078e-02,1.491666666667e+00,0.167969,ok,
ACTIVSg200,41.2463,omega,40,2403,1.660017661092e-02,1.783012216611e-02,1.775543934188e-04,2.175242966148e-03,1.462500000000e+00,0.167664,ok,
ACTIVSg200,41.2463,p,40,2403,2.935830690217e-03,7.351627705533e-04,1.762281517608e-02,2.051099809616e-01,1.620833333333e+00,0.167664,ok,
ACTIVSg200,41.2463,q,40,2403,4.036332666001e-03,4.038717677453e-03,1.443304286767e-02,1.453707943495e-01,1.520833333333e+00,0.167664,ok,
ACTIVSg200,41.2463,vmag,200,2403,3.555322961171e-03,7.383070333194e-04,3.924309665970e-03,3.807403962327e-02,1.491666666667e+00,0.167664,ok,
ACTIVSg200,49.2388,omega,40,2403,1.427854855754e-02,1.553586304421e-02,1.527224129873e-04,1.895347462856e-03,1.462500000000e+00,0.164860,ok,
ACTIVSg200,49.2388,p,40,2403,2.520306583085e-03,6.533539517735e-04,1.512856216429e-02,1.822853685975e-01,1.620833333333e+00,0.164860,ok,
ACTIVSg200,49.2388,q,40,2403,3.469824072960e-03,3.483251005820e-03,1.240733203438e-02,1.253771632668e-01,1.520833333333e+00,0.164860,ok,
ACTIVSg200,49.2388,vmag,200,2403,3.061392010821e-03,6.375689560897e-04,3.379116437689e-03,3.287903893802e-02,1.491666666667e+00,0.164860,ok,
ACTIVSg200,58.7802,omega,40,2403,1.226953240824e-02,1.354934603560e-02,1.312341088494e-04,1.652995946144e-03,1.462500000000e+00,0.164432,ok,
ACTIVSg200,58.7802,p,40,2403,2.163576314445e-03,5.840466800240e-04,1.298722901013e-02,1.629486805082e-01,1.620833333333e+00,0.164432,ok,
ACTIVSg200,58.7802,q,40,2403,2.980350675888e-03,3.002605047499e-03,1.065708221428e-02,1.080766509899e-01,1.520833333333e+00,0.164432,ok,
ACTIVSg200,58.7802,vmag,200,2403,2.633744659282e-03,5.499709634892e-04,2.907086005125e-03,2.836166433549e-02,1.491666666667e+00,0.164432,ok,
ACTIVSg200,60,omega,40,2403,1.205524811678e-02,1.334247443103e-02,1.289421382107e-04,1.627757980945e-03,1.462500000000e+00,0.164591,ok,
ACTIVSg200,60,p,40,2403,2.125697219424e-03,5.769434721397e-04,1.275985340131e-02,1.609668896827e-01,1.620833333333e+00,0.164591,ok,
ACTIVSg200,60,q,40,2403,2.928031222930e-03,2.951348432649e-03,1.046999929277e-02,1.062317052889e-01,1.520833333333e+00,0.164591,ok,
ACTIVSg200,60,vmag,200,2403,2.588167897546e-03,5.406241367548e-04,2.856779091075e-03,2.787965422943e-02,1.491666666667e+00,0.164591,ok,
ACTIVSg200,70.1704,omega,40,2403,1.053429495290e-02,1.185220615154e-02,1.126741235527e-04,1.445947920283e-03,1.462500000000e+00,0.168084,ok,
ACTIVSg200,70.1704,p,40,2403,1.929237040381e-03,5.270961147792e-04,1.158056828917e-02,1.470595062722e-01,2.079166666667e+00,0.168084,ok,
ACTIVSg200,70.1704,q,40,2403,2.557903378533e-03,2.587810689722e-03,9.146503068167e-03,9.314642063028e-02,1.520833333333e+00,0.168084,ok,
ACTIVSg200,70.1704,vmag,200,2403,2.264465486513e-03,4.740787278042e-04,2.499481451905e-03,2.444794841763e-02,1.491666666667e+00,0.168084,ok,
ACTIVSg200,83.7678,omega,40,2403,9.036244301755e-03,1.039821255115e-02,9.665107265944e-05,1.268563305494e-03,1.462500000000e+00,0.215689,ok,
ACTIVSg200,83.7678,p,40,2403,1.809809401143e-03,4.795842299807e-04,1.086368389246e-02,1.338037183341e-01,2.070833333333e+00,0.215689,ok,
ACTIVSg200,83.7678,q,40,2403,2.193992599133e-03,2.230161167846e-03,7.845237708320e-03,8.027307833548e-02,1.520833333333e+00,0.215689,ok,
ACTIVSg200,83.7678,vmag,200,2403,1.945590054920e-03,4.083115908724e-04,2.147511756856e-03,2.105637761518e-02,1.491666666667e+00,0.215689,ok,
ACTIVSg200,100,omega,40,2403,7.744547762760e-03,9.172420710028e-03,8.283517173033e-05,1.119018896571e-03,1.462500000000e+00,0.216472,ok,
ACTIVSg200,100,p,40,2403,1.695616028147e-03,4.387356523353e-04,1.017821905507e-02,1.224069891759e-01,2.062500000000e+00,0.216472,ok,
