case,mu,cpu,trial_1_seconds,trial_2_seconds,trial_3_seconds,trial_4_seconds,trial_5_seconds,trial_6_seconds,trial_7_seconds,cpu_seconds,status,notes
Hawaii,10,14,0.032811,0.032697,0.03204,0.03272,0.031073,0.031054,0.030272,0.03204,ok,
Hawaii,11.9378,14,0.034084,0.037484,0.038166,0.034465,0.032672,0.034197,0.038242,0.034465,ok,
Hawaii,14.251,14,0.035859,0.035081,0.034742,0.035045,0.034701,0.034552,0.037253,0.035045,ok,
Hawaii,17.0125,14,0.035278,0.043149,0.036728,0.036048,0.035018,0.034616,0.038441,0.036048,ok,
Hawaii,20.3092,14,0.036943,0.035058,0.040178,0.035911,0.036359,0.034863,0.03581,0.035911,ok,
Hawaii,24.2446,14,0.036348,0.036493,0.037332,0.036587,0.04403,0.0382,0.037199,0.037199,ok,
Hawaii,28.9427,14,0.03966,0.038245,0.037875,0.041543,0.039389,0.039953,0.039376,0.039389,ok,
Hawaii,34.5511,14,0.040562,0.041971,0.042559,0.042329,0.041732,0.041712,0.042017,0.041971,ok,
Hawaii,41.2463,14,0.047688,0.048222,0.048878,0.046197,0.045915,0.045678,0.046347,0.046347,ok,
Hawaii,49.2388,14,0.045987,0.043857,0.043852,0.043175,0.046569,0.042929,0.044667,0.043857,ok,
Hawaii,58.7802,14,0.045535,0.046172,0.044343,0.044556,0.046547,0.045364,0.045019,0.045364,ok,
Hawaii,60,14,0.055315,0.04736,0.04475,0.045452,0.044627,0.044199,0.043619,0.04475,ok,
Hawaii,70.1704,14,0.052522,0.050032,0.049271,0.047512,0.075756,0.047859,0.050068,0.050032,ok,
Hawaii,83.7678,14,0.050888,0.053503,0.058854,0.060685,0.054294,0.052857,0.053568,0.053568,ok,
Hawaii,100,14,0.055117,0.052485,0.050969,0.052022,0.052543,0.058921,0.054578,0.052543,ok,
Hawaii,119.378,14,0.057201,0.053604,0.061448,0.05588,0.054392,0.05549,0.054652,0.05549,ok,
Hawaii,142.51,14,0.054456,0.056711,0.054391,0.057792,0.056807,0.055834,0.057511,0.056711,ok,
Hawaii,170.125,14,0.062839,0.060444,0.064386,0.065054,0.065123,0.064879,0.060478,0.064386,ok,
Hawaii,203.092,14,0.057513,0.05796,0.057455,0.059543,0.056877,0.057443,0.05928,0.057513,ok,
Hawaii,240,14,0.062339,0.061358,0.063713,0.063535,0.061464,0.061483,0.061095,0.061483,ok,
Hawaii,242.446,14,0.065572,0.062592,0.06307,0.062906,0.067113,0.065701,0.06275,0.06307,ok,
Hawaii,289.427,14,0.064952,0.065941,0.064142,0.065124,0.065422,0.067833,0.066927,0.065422,ok,
Hawaii,345.511,14,0.070185,0.070852,0.066357,0.063519,0.065654,0.067039,0.064358,0.066357,ok,
Hawaii,412.463,14,0.071363,0.070806,0.071314,0.074473,0.071647,0.073143,0.075697,0.071647,ok,
Hawaii,492.388,14,0.074166,0.076338,0.076547,0.073744,0.077935,0.075994,0.078789,0.076338,ok,
Hawaii,587.802,14,0.076494,0.075978,0.078072,0.077598,0.075627,0.075479,0.074022,0.075978,ok,
Hawaii,701.704,14,0.080315,0.088258,0.079658,0.080202,0.080882,0.079433,0.080996,0.080315,ok,
Hawaii,837.678,14,0.08824,0.082587,0.085576,0.086655,0.088016,0.08326,0.0845,0.085576,ok,
Hawaii,1000,14,0.089999,0.09028,0.085678,0.095345,0.08588,0.091685,0.087578,0.089999,ok,
Hawaii,1193.78,14,0.094259,0.095385,0.094273,0.095312,0.095672,0.095998,0.095172,0.095312,ok,
Hawaii,1425.1,14,0.090808,0.09058,0.086901,0.08794,0.085766,0.091772,0.087276,0.08794,ok,
Hawaii,1701.25,14,0.11503,0.094758,0.102259,0.095167,0.096532,0.097663,0.09857,0.097663,ok,
Hawaii,2030.92,14,0.105298,0.101053,0.108388,0.100226,0.102726,0.108284,0.102714,0.102726,ok,
Hawaii,2424.46,14,0.104067,0.104088,0.103743,0.099667,0.105127,0.102889,0.104943,0.104067,ok,
Hawaii,2894.27,14,0.101724,0.108922,0.100113,0.099639,0.10156,0.105251,0.101061,0.10156,ok,
Hawaii,3455.11,14,0.111965,0.111234,0.109258,0.108515,0.117811,0.115578,0.112469,0.111965,ok,
Hawaii,4124.63,14,0.109577,0.109885,0.109895,0.108816,0.107875,0.107887,0.109885,0.109577,ok,
Hawaii,4923.88,14,0.108389,0.108822,0.111355,0.108912,0.108419,0.105907,0.105702,0.108419,ok,
Hawaii,5878.02,14,0.118798,0.115964,0.124479,0.124507,0.120229,0.125312,0.123881,0.123881,ok,
Hawaii,7017.04,14,0.127318,0.126661,0.126296,0.123276,0.127286,0.123148,0.13025,0.126661,ok,
Hawaii,8376.78,14,0.11829,0.122548,0.122402,0.120344,0.119494,0.118525,0.120554,0.120344,ok,
Hawaii,10000,14,0.126864,0.121588,0.125188,0.122771,0.127449,0.125558,0.133049,0.125558,ok,
IEEE39,10,14,0.008153,0.008135,0.007991,0.008496,0.01331,0.010112,0.008761,0.008496,ok,
IEEE39,11.9378,14,0.008338,0.008815,0.009156,0.008695,0.008339,0.00838,0.008281,0.00838,ok,
IEEE39,14.251,14,0.008247,0.008377,0.008298,0.008291,0.009196,0.008536,0.008172,0.008298,ok,
IEEE39,17.0125,14,0.008693,0.008829,0.008875,0.008664,0.008448,0.008578,0.008572,0.008664,ok,
IEEE39,20.3092,14,0.008506,0.008567,0.009237,0.009152,0.008943,0.008377,0.009517,0.008943,ok,
IEEE39,24.2446,14,0.008649,0.008688,0.008586,0.008512,0.008886,0.008757,0.010169,0.008688,ok,
IEEE39,28.9427,14,0.009012,0.008946,0.009639,0.00908,0.011005,0.008872,0.009697,0.00908,ok,
IEEE39,34.5511,14,0.010723,0.009897,0.009249,0.011449,0.00919,0.00938,0.009599,0.009599,ok,
IEEE39,41.2463,14,0.009395,0.009403,0.009119,0.016162,0.010195,0.009473,0.010393,0.009473,ok,
IEEE39,49.2388,14,0.010338,0.009314,0.011607,0.01008,0.009042,0.00923,0.009404,0.009404,ok,
IEEE39,58.7802,14,0.009677,0.009286,0.011131,0.010371,0.009543,0.009538,0.009313,0.009543,ok,
IEEE39,60,14,0.010227,0.010169,0.011693,0.014832,0.012097,0.010414,0.013006,0.011693,ok,
IEEE39,70.1704,14,0.009561,0.009169,0.009093,0.009684,0.00929,0.009024,0.00911,0.009169,ok,
IEEE39,83.7678,14,0.010015,0.01192,0.010012,0.010444,0.0106,0.009872,0.009884,0.010015,ok,
IEEE39,100,14,0.00934,0.009165,0.009366,0.009947,0.009813,0.009243,0.009902,0.009366,ok,
IEEE39,119.378,14,0.010319,0.013634,0.010264,0.011305,0.010657,0.010435,0.010272,0.010435,ok,
IEEE39,142.51,14,0.010853,0.010365,0.010782,0.010376,0.010773,0.010463,0.010963,0.010773,ok,
IEEE39,170.125,14,0.00932,0.009519,0.009352,0.00934,0.009244,0.009399,0.009331,0.00934,ok,
IEEE39,203.092,14,0.010074,0.010092,0.010646,0.010813,0.011472,0.010852,0.010687,0.010687,ok,
IEEE39,240,14,0.010887,0.010635,0.010656,0.011659,0.011335,0.011354,0.011132,0.011132,ok,
IEEE39,242.446,14,0.010878,0.010888,0.010557,0.011011,0.010596,0.011512,0.010377,0.010878,ok,
IEEE39,289.427,14,0.011555,0.013607,0.011825,0.011781,0.011709,0.011615,0.011651,0.011709,ok,
IEEE39,345.511,14,0.010789,0.011603,0.010936,0.011755,0.011092,0.012382,0.011993,0.011603,ok,
IEEE39,412.463,14,0.011649,0.011196,0.011215,0.014042,0.012072,0.01119,0.013808,0.011649,ok,
IEEE39,492.388,14,0.011551,0.0118,0.011577,0.012732,0.015072,0.012364,0.012562,0.012364,ok,
IEEE39,587.802,14,0.012098,0.011458,0.011249,0.011531,0.01171,0.01203,0.0119,0.01171,ok,
IEEE39,701.704,14,0.011185,0.011181,0.011224,0.012721,0.01165,0.014637,0.013199,0.01165,ok,
IEEE39,837.678,14,0.011896,0.011962,0.011687,0.012094,0.01177,0.013507,0.011651,0.011896,ok,
IEEE39,1000,14,0.012897,0.01214,0.013133,0.011904,0.012829,0.012054,0.012066,0.01214,ok,
IEEE39,1193.78,14,0.013121,0.013324,0.013179,0.017389,0.014425,0.013409,0.013494,0.013409,ok,
IEEE39,1425.1,14,0.012914,0.018333,0.017142,0.016659,0.026782,0.016637,0.013978,0.016659,ok,
IEEE39,1701.25,14,0.014668,0.015438,0.015847,0.013407,0.013681,0.014771,0.0133,0.014668,ok,
IEEE39,2030.92,14,0.01483,0.014224,0.013875,0.014884,0.016245,0.013492,0.0147,0.0147,ok,
IEEE39,2424.46,14,0.014068,0.014209,0.014011,0.015389,0.015358,0.014077,0.014344,0.014209,ok,
IEEE39,2894.27,14,0.014014,0.013901,0.015823,0.0158,0.016076,0.017963,0.015142,0.0158,ok,
IEEE39,3455.11,14,0.01619,0.014729,0.014803,0.016664,0.014532,0.017582,0.015603,0.015603,ok,
IEEE39,4124.63,14,0.013925,0.014913,0.015641,0.014854,0.015226,0.014402,0.014061,0.014854,ok,
IEEE39,4923.88,14,0.013935,0.01467,0.013702,0.014129,0.013467,0.014423,0.014225,0.014129,ok,
IEEE39,5878.02,14,0.015518,0.013858,0.015291,0.013977,0.014148,0.014128,0.013518,0.014128,ok,
IEEE39,7017.04,14,0.014864,0.015707,0.015793,0.014789,0.014705,0.0148,0.016586,0.014864,ok,
IEEE39,8376.78,14,0.015286,0.014961,0.014507,0.014031,0.014494,0.014377,0.013931,0.014494,ok,
IEEE39,10000,14,0.012569,0.013719,0.01234,0.012248,0.012471,0.013663,0.014145,0.012569,ok,
ACTIVSg200,10,14,0.022355,0.020617,0.021764,0.02093,0.021622,0.020412,0.021022,0.021022,ok,
ACTIVSg200,11.9378,14,0.02299,0.022426,0.02719,0.023367,0.022398,0.023427,0.022547,0.02299,ok,
ACTIVSg200,14.251,14,0.02314,0.021283,0.021301,0.020679,0.020603,0.021009,0.020864,0.021009,ok,
ACTIVSg200,17.0125,14,0.021547,0.021645,0.021749,0.021471,0.021822,0.021653,0.022734,0.021653,ok,
ACTIVSg200,20.3092,14,0.025405,0.029693,0.024694,0.023597,0.023029,0.022852,0.022664,0.023597,ok,
ACTIVSg200,24.2446,14,0.022942,0.025148,0.022274,0.022151,0.022027,0.022745,0.023838,0.022745,ok,
ACTIVSg200,28.9427,14,0.022995,0.022252,0.022852,0.023026,0.023234,0.022862,0.022898,0.022898,ok,
ACTIVSg200,34.5511,14,0.023682,0.022491,0.023166,0.022869,0.022385,0.022924,0.022746,0.022869,ok,
ACTIVSg200,41.2463,14,0.024979,0.0233,0.022475,0.022927,0.023752,0.023467,0.023793,0.023467,ok,
ACTIVSg200,49.2388,14,0.026921,0.024887,0.025375,0.024051,0.024197,0.023908,0.023767,0.024197,ok,
ACTIVSg200,58.7802,14,0.02761,0.025334,0.024101,0.024183,0.023604,0.023151,0.024002,0.024101,ok,
ACTIVSg200,60,14,0.024603,0.024033,0.024285,0.024107,0.023865,0.023598,0.025423,0.024107,ok,
