t,SampledSignalSource_SRC1_out,DelaySmooth_DS1_out,Ieeest_PSS1_vss
4.1666666666666666e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
8.3333333333333332e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.2500000000000001e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.6666666666666666e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.0833333333333332e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.4999999999999998e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.9166666666666664e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
3.3333333333333333e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
3.7499999999999999e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
4.1666666666666664e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
4.5833333333333330e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
4.9999999999999996e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
5.4166666666666662e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
5.8333333333333327e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
6.2499999999999993e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
6.6666666666666666e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
7.0833333333333331e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
7.4999999999999997e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
7.9166666666666663e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
8.3333333333333329e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
8.7499999999999994e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
9.1666666666666660e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
9.5833333333333326e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
9.9999999999999992e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.0416666666666666e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.0833333333333332e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.1249999999999999e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.1666666666666665e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.2083333333333332e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.2499999999999999e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.2916666666666665e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.3333333333333333e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.3750000000000001e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.4166666666666669e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.4583333333333337e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.5000000000000005e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.5416666666666673e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.5833333333333341e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.6250000000000009e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.6666666666666677e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.7083333333333345e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.7500000000000013e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.7916666666666681e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.8333333333333349e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.8750000000000017e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.9166666666666685e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.9583333333333353e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.0000000000000021e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.0416666666666689e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.0833333333333356e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.1250000000000024e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2.1666666666666692e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
