t,Bus_2_Vm,Bus_3_Vm,GenClassical_genrou_2_1_speed,GenClassical_genrou_3_1_speed
0.0000000000000000e+00,1.0599975585937500e+00,9.6999949216842596e-01,9.9999994039535500e-01,9.9999994039535500e-01
4.1669999999999997e-03,1.0599975585937500e+00,9.6999949216842596e-01,9.9999994039535500e-01,9.9999994039535500e-01
8.3330000000000001e-03,1.0599975585937500e+00,9.6999949216842596e-01,9.9999988079071001e-01,9.9999994039535500e-01
1.2500000000000001e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999976158142001e-01,9.9999988079071001e-01
1.6667000000000001e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999970197677601e-01,9.9999988079071001e-01
2.0833000000000001e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999964237213101e-01,9.9999982118606501e-01
2.5000000000000001e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999958276748602e-01,9.9999982118606501e-01
2.9166999999999998e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999952316284102e-01,9.9999982118606501e-01
3.3333000000000002e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999946355819602e-01,9.9999976158142001e-01
3.7499999999999999e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999940395355202e-01,9.9999976158142001e-01
4.1667000000000003e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999934434890703e-01,9.9999976158142001e-01
4.5832999999999999e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999934434890703e-01,9.9999970197677601e-01
5.0000000000000003e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999928474426203e-01,9.9999970197677601e-01
5.4167000000000000e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999922513961703e-01,9.9999970197677601e-01
5.8333000000000003e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999922513961703e-01,9.9999970197677601e-01
6.2500000000000000e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999922513961703e-01,9.9999970197677601e-01
6.6667000000000004e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999916553497303e-01,9.9999970197677601e-01
7.0832999999999993e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999916553497303e-01,9.9999970197677601e-01
7.4999999999999997e-02,1.0599975585937500e+00,9.6999949216842596e-01,9.9999916553497303e-01,9.9999970197677601e-01
7.9167000000000001e-02,1.0599968433380100e+00,9.6999883651733398e-01,9.9999916553497303e-01,9.9999970197677601e-01
8.3333000000000004e-02,1.0599968433380100e+00,9.6999883651733398e-01,9.9999916553497303e-01,9.9999970197677601e-01
8.7499999999999994e-02,1.0599968433380100e+00,9.6999883651733398e-01,9.9999910593032804e-01,9.9999964237213101e-01
9.1666999999999998e-02,1.0599968433380100e+00,9.6999883651733398e-01,9.9999910593032804e-01,9.9999964237213101e-01
9.5833000000000002e-02,1.0599968433380100e+00,9.6999883651733398e-01,9.9999910593032804e-01,9.9999964237213101e-01
1.0000000000000001e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999910593032804e-01,9.9999964237213101e-01
1.0416700000000000e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999910593032804e-01,9.9999964237213101e-01
1.0833300000000000e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999910593032804e-01,9.9999964237213101e-01
1.1250000000000000e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999916553497303e-01,9.9999970197677601e-01
1.1666700000000001e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999916553497303e-01,9.9999970197677601e-01
1.2083300000000000e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999922513961703e-01,9.9999970197677601e-01
1.2500000000000000e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999922513961703e-01,9.9999970197677601e-01
1.2916700000000000e-01,1.0599968433380100e+00,9.6999883651733398e-01,9.9999928474426203e-01,9.9999976158142001e-01
1.3333300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
1.3750000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
1.4166699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
1.4583299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999976158142001e-01
1.4999999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999976158142001e-01
1.5416700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999976158142001e-01
1.5833300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,9.9999982118606501e-01
1.6250000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,9.9999982118606501e-01
1.6666700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999958276748602e-01,9.9999982118606501e-01
1.7083300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999964237213101e-01,9.9999982118606501e-01
1.7499999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999970197677601e-01,9.9999988079071001e-01
1.7916699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,9.9999988079071001e-01
1.8333300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999982118606501e-01,9.9999988079071001e-01
1.8750000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999988079071001e-01,9.9999994039535500e-01
1.9166700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999994039535500e-01,9.9999994039535500e-01
1.9583300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,1.0000000000000000e+00
