t,Bus_2_Vm,Bus_3_Vm,GenClassical_genrou_2_1_speed,GenClassical_genrou_3_1_speed
4.167000000000e-03,1.059997558590e+00,9.699994325600e-01,9.999999404000e-01,9.999999404000e-01
8.333000000000e-03,1.059997558590e+00,9.699994325600e-01,9.999998808000e-01,9.999999404000e-01
1.250000000000e-02,1.059997558590e+00,9.699994325600e-01,9.999997616000e-01,9.999998808000e-01
1.666700000000e-02,1.059997558590e+00,9.699994325600e-01,9.999997020000e-01,9.999998808000e-01
2.083300000000e-02,1.059997558590e+00,9.699994325600e-01,9.999996424000e-01,9.999998212000e-01
2.500000000000e-02,1.059997439380e+00,9.699993729600e-01,9.999995828000e-01,9.999998212000e-01
2.916700000000e-02,1.059997439380e+00,9.699993729600e-01,9.999995232000e-01,9.999998212000e-01
3.333300000000e-02,1.059997439380e+00,9.699993729600e-01,9.999994636000e-01,9.999997616000e-01
3.750000000000e-02,1.059997320180e+00,9.699992537500e-01,9.999994040000e-01,9.999997616000e-01
4.166700000000e-02,1.059997320180e+00,9.699992537500e-01,9.999993443000e-01,9.999997020000e-01
4.583300000000e-02,1.059997200970e+00,9.699991941500e-01,9.999992847000e-01,9.999997020000e-01
5.000000000000e-02,1.059997200970e+00,9.699991941500e-01,9.999992251000e-01,9.999996424000e-01
5.416700000000e-02,1.059997081760e+00,9.699990749400e-01,9.999991655000e-01,9.999996424000e-01
5.833300000000e-02,1.059997081760e+00,9.699990749400e-01,9.999991059000e-01,9.999996424000e-01
6.250000000000e-02,1.059996962550e+00,9.699989557300e-01,9.999991059000e-01,9.999995828000e-01
6.666700000000e-02,1.059996962550e+00,9.699989557300e-01,9.999990463000e-01,9.999995828000e-01
7.083300000000e-02,1.059996843340e+00,9.699988365200e-01,9.999989867000e-01,9.999995828000e-01
7.500000000000e-02,1.059996843340e+00,9.699988365200e-01,9.999989867000e-01,9.999995828000e-01
7.916700000000e-02,1.059996724130e+00,9.699987173100e-01,9.999989271000e-01,9.999995232000e-01
8.333300000000e-02,1.059996604920e+00,9.699985981000e-01,9.999989271000e-01,9.999995232000e-01
8.750000000000e-02,1.059996604920e+00,9.699985384900e-01,9.999989271000e-01,9.999995232000e-01
9.166700000000e-02,1.059996485710e+00,9.699984788900e-01,9.999988675000e-01,9.999995232000e-01
