t,Bus_Bus_1_Vm,Genrou_DV1_speed
4.1669999999999997e-03,1.0000004769999999e+00,1.0000000000000000e+00
8.3330000000000001e-03,1.0000004769999999e+00,1.0000000000000000e+00
1.2500000000000001e-02,1.0000004769999999e+00,9.9999994000000003e-01
1.6667000000000001e-02,1.0000004769999999e+00,9.9999994000000003e-01
2.0833000000000001e-02,1.0000004769999999e+00,9.9999994000000003e-01
2.5000000000000001e-02,1.0000004769999999e+00,9.9999994000000003e-01
2.9166999999999998e-02,1.0000004769999999e+00,9.9999994000000003e-01
3.3333000000000002e-02,1.0000004769999999e+00,9.9999994000000003e-01
3.7499999999999999e-02,1.0000004769999999e+00,9.9999994000000003e-01
4.1667000000000003e-02,1.0000004769999999e+00,9.9999994000000003e-01
4.5832999999999999e-02,1.0000004769999999e+00,9.9999994000000003e-01
5.0000000000000003e-02,1.0000004769999999e+00,9.9999988100000003e-01
5.4167000000000000e-02,1.0000004769999999e+00,9.9999988100000003e-01
5.8333000000000003e-02,1.0000004769999999e+00,9.9999988100000003e-01
6.2500000000000000e-02,1.0000004769999999e+00,9.9999988100000003e-01
6.6667000000000004e-02,1.0000004769999999e+00,9.9999988100000003e-01
7.0832999999999993e-02,1.0000004769999999e+00,9.9999988100000003e-01
7.4999999999999997e-02,1.0000004769999999e+00,9.9999988100000003e-01
7.9167000000000001e-02,1.0000004769999999e+00,9.9999988100000003e-01
8.3333000000000004e-02,1.0000004769999999e+00,9.9999988100000003e-01
8.7499999999999994e-02,1.0000004769999999e+00,9.9999988100000003e-01
9.1666999999999998e-02,1.0000004769999999e+00,9.9999988100000003e-01
9.5833000000000002e-02,1.0000004769999999e+00,9.9999988100000003e-01
1.0000000000000001e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.0416700000000000e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.0833300000000000e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.1250000000000000e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.1666700000000001e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.2083300000000000e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.2500000000000000e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.2916700000000000e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.3333300000000001e-01,1.0000004769999999e+00,9.9999988100000003e-01
1.3750000000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.4166699999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.4583299999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.4999999999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.5416700000000000e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.5833300000000000e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.6250000000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.6666700000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.7083300000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.7499999999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.7916699999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.8333300000000000e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.8750000000000000e-01,1.0000004769999999e+00,9.9999994000000003e-01
1.9166700000000000e-01,1.0000004769999999e+00,9.9999994000000003e-01
