t,Bus_Bus 1_Vm,Genrou_DV1_speed,Ieeet1_DV3_efd
0.000000000000e+00,1.000000476840e+00,1.000000000000e+00,1.914047120000e+00
4.167000000000e-03,1.000000476840e+00,1.000000000000e+00,1.914047120000e+00
8.333000000000e-03,1.000000476840e+00,1.000000000000e+00,1.914047120000e+00
1.250000000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.666700000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
2.083300000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
2.500000000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
2.916700000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
3.333300000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
3.750000000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
4.166700000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
4.583300000000e-02,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
5.000000000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
5.416700000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
5.833300000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
6.250000000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
6.666700000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
7.083300000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
7.500000000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
7.916700000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
8.333300000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
8.750000000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
9.166700000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
9.583300000000e-02,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.000000000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.041670000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.083330000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.125000000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.166670000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.208330000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.250000000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.291670000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.333330000000e-01,1.000000476840e+00,9.999998800000e-01,1.914047120000e+00
1.375000000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.416670000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.458330000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.500000000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.541670000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.583330000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.625000000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.666670000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.708330000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.750000000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.791670000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.833330000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.875000000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.916670000000e-01,1.000000476840e+00,9.999999400000e-01,1.914047120000e+00
1.958330000000e-01,1.000000476840e+00,1.000000000000e+00,1.914047120000e+00
2.000000000000e-01,1.000000476840e+00,1.000000000000e+00,1.914047120000e+00
2.041670000000e-01,1.000000476840e+00,1.000000000000e+00,1.914047120000e+00
