time_s,accepted_steps,residual_evaluations,error_test_failures
0,0,0,0
0.01,361,582,17
0.02,675,1096,21
0.03,933,1554,39
0.04,1255,2059,52
0.05,1649,2713,75
0.06,1950,3290,101
0.07,2156,3668,110
0.08,2515,4296,146
0.09,2817,4801,165
0.1,3171,5411,192
0.11,3544,6053,225
0.12,3828,6517,241
0.13,4210,7192,259
0.14,4539,7813,295
0.15,4890,8410,319
0.16,5293,9053,346
0.17,5532,9462,361
0.18,5878,10054,387
0.19,6185,10588,405
0.2,6545,11199,422
0.21,6837,11676,442
0.22,7055,12051,458
0.23,7382,12604,472
0.24,7702,13143,494
0.25,8000,13617,508
0.26,8328,14163,520
0.27,8680,14784,536
0.28,8977,15258,553
0.29,9306,15800,566
0.3,9635,16325,570
0.31,9998,16945,588
0.32,10265,17445,609
0.33,10622,18018,635
0.34,10915,18485,654
0.35,11218,19030,679
0.36,11568,19601,700
0.37,11888,20166,730
0.38,12176,20652,748
0.39,12488,21159,774
0.4,12786,21663,799
0.41,13136,22231,822
0.42,13449,22813,840
0.43,13800,23444,869
0.44,14110,23952,881
0.45,14403,24457,899
0.46,14796,25081,918
0.47,15118,25653,949
0.48,15459,26206,961
0.49,15845,26914,987
0.5,16146,27426,1008
0.51,16476,27970,1033
0.52,16754,28481,1056
0.53,17078,29062,1077
0.54,17473,29721,1109
0.55,17792,30277,1129
0.56,18152,30889,1157
0.57,18462,31393,1166
0.58,18810,31945,1183
0.59,19104,32458,1194
0.6,19381,32942,1213
0.61,19768,33609,1240
0.62,20103,34163,1247
0.63,20421,34748,1287
0.64,20696,35241,1320
0.65,21050,35871,1336
0.66,21404,36487,1356
0.67,21707,36992,1378
0.68,22124,37605,1395
0.69,22445,38143,1411
0.7,22857,38923,1435
0.71,23177,39443,1445
0.72,23397,39846,1460
0.73,23737,40484,1486
0.74,24129,41175,1516
0.75,24415,41651,1521
0.76,24628,42032,1539
0.77,24894,42486,1555
0.78,25275,43076,1573
0.79,25531,43541,1587
0.8,25893,44219,1605
0.81,26172,44668,1617
0.82,26521,45201,1635
0.83,26896,45860,1672
0.84,27237,46444,1690
0.85,27528,46960,1705
0.86,27921,47620,1726
0.87,28190,48072,1739
0.88,28494,48639,1762
0.89,28810,49198,1783
0.9,29161,49792,1815
0.91,29466,50304,1828
0.92,29769,50830,1836
0.93,30142,51429,1848
0.94,30465,51972,1864
0.95,30842,52572,1892
0.96,31089,52998,1909
0.97,31411,53494,1922
0.98,31741,54026,1943
0.99,32037,54543,1957
1,32398,55125,1974
1.01,32811,55778,2004
1.02,33107,56339,2023
1.03,33487,57009,2060
1.04,33814,57589,2076
1.05,34048,58035,2092
