time_s,accepted_steps,residual_evaluations,error_test_failures
0,0,0,0
0.01,412,657,27
0.02,693,1130,48
0.03,1063,1739,80
0.04,1443,2405,101
0.05,1757,2965,123
0.06,2241,3741,151
0.07,2660,4474,187
0.08,3090,5162,217
0.09,3391,5696,234
0.1,3716,6209,252
0.11,4049,6822,285
0.12,4379,7411,293
0.13,4760,8015,315
0.14,5112,8613,342
0.15,5467,9194,349
0.16,5798,9759,381
0.17,6071,10238,395
0.18,6516,10992,426
0.19,6863,11603,440
0.2,7219,12202,464
0.21,7569,12824,494
0.22,7885,13366,504
0.23,8224,13959,523
0.24,8535,14495,557
0.25,8820,14958,574
0.26,9253,15678,613
0.27,9572,16159,622
0.28,9935,16758,639
0.29,10287,17342,658
0.3,10608,17877,668
0.31,10961,18448,687
0.32,11231,18927,713
0.33,11612,19592,748
0.34,11987,20209,767
0.35,12257,20688,786
0.36,12625,21292,811
0.37,12911,21788,827
0.38,13255,22321,840
0.39,13583,22913,850
0.4,13884,23406,868
0.41,14200,23931,882
0.42,14521,24461,908
0.43,14925,25137,933
0.44,15191,25606,954
0.45,15483,26159,978
0.46,15865,26829,1011
0.47,16105,27235,1027
0.48,16440,27803,1057
0.49,16768,28361,1079
0.5,17102,28980,1096
0.51,17479,29606,1117
0.52,17800,30172,1140
0.53,18117,30713,1174
0.54,18486,31341,1198
0.55,18810,31849,1213
0.56,19204,32523,1244
0.57,19632,33240,1273
0.58,19924,33763,1298
0.59,20343,34489,1324
0.6,20664,35059,1344
0.61,20986,35594,1357
0.62,21353,36195,1373
0.63,21632,36698,1399
0.64,21978,37271,1414
0.65,22250,37777,1440
0.66,22623,38387,1459
0.67,22952,38921,1479
0.68,23283,39478,1490
0.69,23646,40113,1519
0.7,23910,40550,1529
0.71,24149,40984,1551
0.72,24489,41593,1577
0.73,24874,42260,1591
0.74,25269,42927,1617
0.75,25537,43464,1643
0.76,25883,44003,1655
0.77,26221,44568,1668
0.78,26663,45362,1710
0.79,27003,45964,1741
0.8,27341,46587,1779
0.81,27691,47186,1794
0.82,27993,47673,1805
0.83,28310,48193,1825
0.84,28654,48784,1848
0.85,29020,49419,1865
0.86,29382,50008,1886
0.87,29682,50493,1900
0.88,30043,51078,1923
0.89,30439,51713,1939
0.9,30845,52383,1955
0.91,31187,52943,1978
0.92,31532,53531,1993
0.93,31806,54006,2017
0.94,32134,54612,2050
0.95,32397,55056,2063
0.96,32748,55669,2085
0.97,33073,56211,2092
0.98,33504,56982,2129
0.99,33862,57612,2160
1,34245,58253,2189
1.01,36713,61655,2270
1.02,38700,64318,2308
1.03,40578,66813,2336
1.04,42434,69350,2364
1.05,44143,71662,2392
1.06,46076,74327,2461
1.07,47534,76363,2494
1.08,49099,78503,2524
1.09,50410,80333,2562
1.1,51690,82059,2584
1.11,53000,83886,2627
1.12,54028,85424,2671
1.13,54951,86803,2711
1.14,55960,88304,2739
1.15,56922,89705,2777
1.16,57762,90950,2816
1.17,58572,92192,2842
1.18,59351,93398,2868
1.19,60242,94729,2900
1.2,60895,95750,2920
1.21,61512,96707,2942
1.22,62193,97780,2971
1.23,62730,98582,2990
1.24,63309,99530,3028
1.25,63880,100428,3061
1.26,64358,101169,3083
1.27,64857,101952,3113
1.28,65331,102719,3139
1.29,65759,103435,3156
1.3,66204,104173,3183
1.31,66601,104784,3195
1.32,67016,105451,3221
1.33,67481,106215,3250
1.34,67896,106888,3289
1.35,68503,108096,3370
1.36,68910,108761,3390
1.37,69415,109563,3418
1.38,69907,110369,3437
1.39,70248,110931,3460
1.4,70701,111651,3493
